No.,tL,tR
true,0.909091,1.111111
0,1.000000,1.000000
1,1.000000,1.000000
2,1.000000,1.000000
3,1.000000,1.000000
4,0.981926,1.018752
5,0.928184,1.083863
6,0.990148,1.010051
7,0.977611,1.023439
8,0.953747,1.050969
9,0.983929,1.016604
10,1.000000,1.000000
11,0.967392,1.034883
12,0.999999,1.000000
13,0.949221,1.056518
14,1.000000,1.000001
15,0.955747,1.048550
16,1.000000,1.000000
17,0.945847,1.060731
18,0.953390,1.051402
19,0.963095,1.039845
20,1.000000,1.000001
21,1.000000,1.000000
22,0.981261,1.019469
23,0.983929,1.016604
24,0.984688,1.015795
25,0.981926,1.018752
26,0.945847,1.060731
27,0.986921,1.013430
28,1.000000,1.000000
29,0.997212,1.002804
30,0.999999,1.000000
31,0.963095,1.039845
32,0.977611,1.023439
33,1.000000,1.000001
34,0.981270,1.019457
35,1.000000,1.000000
36,0.983929,1.016604
37,0.950263,1.055231
38,1.000000,1.000001
39,0.976610,1.024538
40,0.999999,1.000000
41,0.945847,1.060731
42,0.959068,1.044582
43,0.943670,1.063480
44,0.999999,1.000000
45,0.958288,1.045508
46,0.962298,1.040776
47,0.999999,1.000000
48,0.955562,1.048771
49,0.962281,1.040797
50,1.000000,1.000000
51,0.962281,1.040797
52,1.000000,1.000001
53,0.945847,1.060731
54,0.997215,1.002802
55,1.000000,1.000000
56,1.000000,1.000000
57,1.000000,1.000000
58,0.968680,1.033412
59,0.983926,1.016607
60,1.000000,1.000001
61,0.990148,1.010051
62,0.928184,1.083863
63,0.945847,1.060731
64,1.000000,1.000000
65,0.999999,1.000001
66,0.982769,1.017847
67,0.999999,1.000000
68,0.924174,1.089379
69,0.999999,1.000000
70,0.976610,1.024538
71,0.983926,1.016607
72,0.962298,1.040776
73,0.999999,1.000000
74,0.928184,1.083863
75,0.940721,1.067253
76,0.997215,1.002802
77,1.000000,1.000000
78,0.982769,1.017847
79,1.000000,1.000000
80,0.968680,1.033412
81,0.997215,1.002802
82,0.999999,1.000000
83,1.000000,1.000000
84,1.000000,1.000000
85,0.968680,1.033412
86,0.967390,1.034886
87,0.999999,1.000000
88,0.928184,1.083863
89,1.000000,1.000000
90,1.000000,1.000000
91,0.964267,1.038483
92,0.958288,1.045508
93,1.000000,1.000000
94,1.000000,1.000000
95,1.000000,1.000000
96,0.962298,1.040776
97,0.999999,1.000000
98,1.000000,1.000000
99,0.928184,1.083863
100,0.940721,1.067253
101,1.000000,1.000000
102,0.976610,1.024538
103,1.000000,1.000001
104,1.000000,1.000001
105,0.981261,1.019469
106,0.983929,1.016604
107,0.999999,1.000000
108,1.000000,1.000000
109,0.948105,1.057904
110,0.999999,1.000001
111,0.999999,1.000000
112,1.000000,1.000000
113,0.953747,1.050969
114,1.000000,1.000000
115,1.000000,1.000000
116,0.945847,1.060731
117,1.000000,1.000001
118,1.000000,1.000000
119,0.981927,1.018751
120,1.000000,1.000000
121,0.952118,1.052954
122,0.945847,1.060731
123,0.981926,1.018752
124,0.999999,1.000000
125,1.000000,1.000001
126,0.940248,1.067860
127,0.986164,1.014231
128,0.999999,1.000000
129,0.980823,1.019942
130,1.000000,1.000000
131,0.967390,1.034886
132,1.000000,1.000001
133,1.000000,1.000000
134,1.000000,1.000000
135,0.912577,1.105948
136,0.955859,1.048417
137,0.981926,1.018752
138,1.000000,1.000000
139,1.000000,1.000000
140,0.997212,1.002804
141,0.948105,1.057904
142,0.977611,1.023439
143,0.983929,1.016604
144,0.999999,1.000000
145,0.999999,1.000000
146,0.980823,1.019942
147,0.967392,1.034883
148,1.000000,1.000000
149,0.978874,1.022058
150,1.000000,1.000000
151,0.999999,1.000000
152,0.999999,1.000000
153,1.000000,1.000000
154,1.000000,1.000000
155,0.999999,1.000000
156,1.000000,1.000001
157,0.945847,1.060731
158,1.000000,1.000001
159,0.981535,1.019174
160,0.983926,1.016607
161,0.964229,1.038526
162,0.957752,1.046147
163,0.928184,1.083863
164,0.967390,1.034886
165,0.974946,1.026376
166,0.983929,1.016604
167,0.976242,1.024942
168,1.000000,1.000000
169,0.999999,1.000000
170,0.960025,1.043450
171,0.950776,1.054601
172,0.978874,1.022058
173,1.000000,1.000000
174,1.000000,1.000000
175,0.963088,1.039856
176,0.983926,1.016607
177,0.938567,1.070037
178,1.000000,1.000000
179,0.999999,1.000000
180,0.957752,1.046147
181,0.940248,1.067860
182,0.974927,1.026397
183,0.969618,1.032347
184,1.000000,1.000000
185,0.969618,1.032347
186,0.962298,1.040776
187,0.981926,1.018752
188,1.000000,1.000001
189,1.000000,1.000001
190,0.924174,1.089379
191,0.999999,1.000001
192,0.999999,1.000000
193,0.977611,1.023439
194,1.000000,1.000000
195,0.963088,1.039856
196,0.976242,1.024942
197,0.964267,1.038483
198,0.999999,1.000000
199,1.000000,1.000001
200,0.945847,1.060731
201,0.976716,1.024420
202,0.954124,1.050511
203,1.000000,1.000000
204,1.000000,1.000001
205,1.000000,1.000001
206,1.000000,1.000000
207,0.999999,1.000000
208,1.000000,1.000001
209,0.928184,1.083863
210,1.000000,1.000001
211,1.000000,1.000001
212,0.948414,1.057522
213,0.997215,1.002802
214,1.000000,1.000001
215,0.981927,1.018751
216,0.949221,1.056518
217,0.945847,1.060731
218,0.979054,1.021861
219,0.949221,1.056518
220,0.999999,1.000000
221,0.997212,1.002804
222,1.000000,1.000000
223,0.999999,1.000000
224,0.990148,1.010051
225,1.000000,1.000000
226,0.999999,1.000000
227,0.999999,1.000000
228,0.999999,1.000000
229,0.943670,1.063480
230,0.960025,1.043450
231,0.999999,1.000000
232,1.000000,1.000000
233,1.000000,1.000000
234,0.954124,1.050511
235,0.999999,1.000000
236,0.962298,1.040776
237,0.997212,1.002804
238,1.000000,1.000000
239,0.969989,1.031927
240,1.000000,1.000000
241,0.912577,1.105948
242,0.962281,1.040797
243,1.000000,1.000001
244,0.991475,1.008672
245,0.945847,1.060731
246,0.999999,1.000000
247,1.000000,1.000000
248,0.999999,1.000000
249,0.962281,1.040797
250,0.980823,1.019942
251,0.999999,1.000000
252,0.982771,1.017844
253,0.963095,1.039845
254,0.954124,1.050511
255,1.000000,1.000001
256,0.981535,1.019174
257,0.997212,1.002804
258,0.983929,1.016604
259,0.999999,1.000000
260,0.962281,1.040797
261,1.000000,1.000001
262,0.962281,1.040797
263,0.982769,1.017847
264,0.990148,1.010051
265,1.000000,1.000001
266,0.999999,1.000000
267,1.000000,1.000000
268,0.997212,1.002804
269,0.976242,1.024942
270,0.999999,1.000000
271,0.953747,1.050969
272,0.924174,1.089379
273,1.000000,1.000001
274,0.940248,1.067860
275,0.997212,1.002804
276,0.999999,1.000000
277,0.999999,1.000000
278,1.000000,1.000000
279,0.981926,1.018752
280,1.000000,1.000000
281,0.928184,1.083863
282,0.999999,1.000000
283,0.999999,1.000000
284,1.000000,1.000001
285,0.999999,1.000000
286,0.998092,1.001916
287,1.000000,1.000000
288,1.000000,1.000000
289,1.000000,1.000000
290,1.000000,1.000000
291,1.000000,1.000000
292,0.955747,1.048550
293,1.000000,1.000000
294,0.974927,1.026397
295,0.955747,1.048550
296,1.000000,1.000000
297,0.999999,1.000000
298,1.000000,1.000000
299,0.957752,1.046147
300,1.000000,1.000001
301,0.945847,1.060731
302,0.969618,1.032347
303,0.981535,1.019174
304,0.981535,1.019174
305,0.999999,1.000000
306,1.000000,1.000001
307,0.990148,1.010051
308,0.999999,1.000000
309,0.983926,1.016607
310,0.999999,1.000001
311,0.962281,1.040797
312,1.000000,1.000000
313,0.924174,1.089379
314,0.977611,1.023439
315,0.957752,1.046147
316,0.999999,1.000000
317,0.983926,1.016607
318,1.000000,1.000000
319,0.988184,1.012103
320,1.000000,1.000000
321,0.981927,1.018751
322,1.000000,1.000000
323,0.981926,1.018752
324,1.000000,1.000001
325,0.981926,1.018752
326,0.983929,1.016604
327,1.000000,1.000001
328,0.967392,1.034883
329,0.948154,1.057845
330,0.999999,1.000000
331,0.981926,1.018752
332,1.000000,1.000000
333,0.924174,1.089379
334,0.974799,1.026538
335,0.967390,1.034886
336,1.000000,1.000000
337,0.955747,1.048550
338,1.000000,1.000000
339,0.955562,1.048771
340,0.999999,1.000000
341,0.984688,1.015795
342,0.998092,1.001916
343,0.998092,1.001916
344,0.997212,1.002804
345,0.999999,1.000000
346,1.000000,1.000000
347,0.999999,1.000000
348,0.948105,1.057904
349,1.000000,1.000000
350,1.000000,1.000001
351,1.000000,1.000001
352,0.977611,1.023439
353,1.000000,1.000000
354,1.000000,1.000001
355,0.999999,1.000000
356,0.990148,1.010051
357,0.953390,1.051402
358,1.000000,1.000000
359,1.000000,1.000001
360,0.916249,1.100600
361,1.000000,1.000001
362,0.945850,1.060727
363,0.984688,1.015795
364,0.928184,1.083863
365,0.974799,1.026538
366,0.983929,1.016604
367,1.000000,1.000001
368,1.000000,1.000000
369,0.981927,1.018751
370,0.928184,1.083863
371,0.997212,1.002804
372,0.981926,1.018752
373,1.000000,1.000000
374,1.000000,1.000000
375,0.978874,1.022058
376,0.962281,1.040797
377,0.999999,1.000000
378,0.962281,1.040797
379,0.964267,1.038483
380,1.000000,1.000000
381,0.976610,1.024538
382,1.000000,1.000000
383,0.962298,1.040776
384,1.000000,1.000000
385,0.928184,1.083863
386,0.963095,1.039845
387,1.000000,1.000000
388,0.981927,1.018751
389,1.000000,1.000000
390,0.997212,1.002804
391,1.000000,1.000000
392,1.000000,1.000000
393,0.962281,1.040797
394,1.000000,1.000000
395,0.983926,1.016607
396,0.955747,1.048550
397,1.000000,1.000000
398,0.963088,1.039856
399,0.999999,1.000000
400,0.948105,1.057904
401,1.000000,1.000000
402,0.999999,1.000000
403,0.999999,1.000000
404,0.998092,1.001916
