ó^Ç¶ÇΩèdóvìx,0.320000,0.380000,0.210000,0.350000,0.150000,0.290000,0.120000,0.180000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],ãÊä‘ïùÇÃëçòa
1,0.333333, 0.333333,0.333333, 0.333333,0.166667, 0.166667,0.166667, 0.166667,0.000000
2,0.353602, 0.365520,0.204428, 0.365274,0.172048, 0.224868,0.109077, 0.205184,0.321691
3,0.400000, 0.400000,0.200000, 0.200000,0.200000, 0.200000,0.200000, 0.200000,0.000000
4,0.246173, 0.415855,0.228160, 0.253238,0.228160, 0.253238,0.127826, 0.247352,0.339364
5,0.283139, 0.396275,0.274823, 0.286874,0.193357, 0.284683,0.135544, 0.145304,0.226272
6,0.284866, 0.401425,0.193683, 0.291594,0.189674, 0.295611,0.137844, 0.205302,0.387865
7,0.312713, 0.468854,0.210697, 0.302837,0.222154, 0.230005,0.096383, 0.156357,0.316104
8,0.389212, 0.401199,0.198341, 0.279699,0.194606, 0.200599,0.136484, 0.199861,0.162716
9,0.271601, 0.454425,0.212175, 0.391797,0.180878, 0.277088,0.106019, 0.106019,0.458657
10,0.313866, 0.344009,0.246901, 0.386106,0.158902, 0.246901,0.124793, 0.178523,0.311078
11,0.270883, 0.367361,0.194083, 0.291593,0.279168, 0.282792,0.120038, 0.194083,0.271656
12,0.263458, 0.339623,0.320279, 0.396534,0.196666, 0.263458,0.109635, 0.110347,0.219923
13,0.281934, 0.342098,0.274304, 0.286431,0.274304, 0.286431,0.109294, 0.145204,0.120328
14,0.315773, 0.415936,0.206184, 0.258933,0.239771, 0.315773,0.119702, 0.127928,0.237141
15,0.283139, 0.396275,0.274823, 0.286874,0.193357, 0.284683,0.135544, 0.145304,0.226272
16,0.304037, 0.508660,0.167174, 0.307291,0.158945, 0.257341,0.104670, 0.191881,0.530348
17,0.270883, 0.367361,0.194083, 0.291593,0.279168, 0.282792,0.120038, 0.194083,0.271656
18,0.320884, 0.414571,0.235568, 0.328189,0.160991, 0.238957,0.131616, 0.169224,0.301881
19,0.311008, 0.466732,0.230089, 0.368868,0.168194, 0.208027,0.086096, 0.160986,0.409225
20,0.270883, 0.367361,0.194083, 0.291593,0.279168, 0.282792,0.120038, 0.194083,0.271656
21,0.331850, 0.458556,0.219082, 0.245290,0.219082, 0.245290,0.103279, 0.177569,0.253412
22,0.373027, 0.402997,0.196715, 0.336868,0.186513, 0.201499,0.103592, 0.198789,0.280305
23,0.275826, 0.390747,0.267564, 0.345345,0.190899, 0.278912,0.111592, 0.139115,0.308238
24,0.313866, 0.344009,0.246901, 0.386106,0.158902, 0.246901,0.124793, 0.178523,0.311078
25,0.281934, 0.342098,0.274304, 0.286431,0.274304, 0.286431,0.109294, 0.145204,0.120328
26,0.315773, 0.415936,0.239771, 0.315773,0.206184, 0.258933,0.119702, 0.127928,0.237141
27,0.334425, 0.464598,0.221390, 0.334425,0.129284, 0.227040,0.143052, 0.145785,0.343697
28,0.412966, 0.420845,0.207975, 0.306351,0.167940, 0.216492,0.099491, 0.167940,0.223257
29,0.333333, 0.333333,0.333333, 0.333333,0.166667, 0.166667,0.166667, 0.166667,0.000000
30,0.354788, 0.358090,0.283481, 0.367981,0.167662, 0.219485,0.106773, 0.141740,0.174592
31,0.285714, 0.285714,0.285714, 0.285714,0.285714, 0.285714,0.142857, 0.142857,0.000000
32,0.248076, 0.347680,0.241336, 0.251198,0.241336, 0.251198,0.169648, 0.249529,0.199209
33,0.389212, 0.401199,0.198341, 0.279699,0.194606, 0.200599,0.136484, 0.199861,0.162716
34,0.283139, 0.396275,0.193357, 0.284683,0.274823, 0.286874,0.135544, 0.145304,0.226272
35,0.274818, 0.286875,0.283141, 0.396282,0.193358, 0.284679,0.135542, 0.145305,0.226284
36,0.326473, 0.333521,0.326473, 0.333521,0.165920, 0.233243,0.113811, 0.167037,0.134646
37,0.313866, 0.344009,0.246901, 0.386106,0.158902, 0.246901,0.124793, 0.178523,0.311078
38,0.263616, 0.428775,0.214388, 0.356701,0.145375, 0.264243,0.159122, 0.167780,0.434998
39,0.283139, 0.396275,0.274823, 0.286874,0.193357, 0.284683,0.135544, 0.145304,0.226272
40,0.374917, 0.474807,0.230956, 0.309178,0.135114, 0.187459,0.135173, 0.152396,0.247678
41,0.333333, 0.333333,0.333333, 0.333333,0.166667, 0.166667,0.166667, 0.166667,0.000000
42,0.320884, 0.414571,0.235568, 0.328189,0.160991, 0.238957,0.131616, 0.169224,0.301881
43,0.374917, 0.474807,0.230956, 0.309178,0.135114, 0.187459,0.135173, 0.152396,0.247678
44,0.328192, 0.397581,0.318693, 0.333465,0.156710, 0.169369,0.127016, 0.168975,0.138779
45,0.382895, 0.473220,0.190526, 0.275038,0.152868, 0.197329,0.133786, 0.194337,0.279849
46,0.315160, 0.427407,0.225807, 0.339254,0.162400, 0.164507,0.139659, 0.225807,0.313952
47,0.246892, 0.386109,0.313861, 0.344021,0.158903, 0.246892,0.124791, 0.178532,0.311106
48,0.288657, 0.404424,0.198618, 0.293914,0.198479, 0.208714,0.198479, 0.208714,0.231535
49,0.351252, 0.479724,0.236013, 0.349173,0.165300, 0.204601,0.095125, 0.118813,0.304622
50,0.283139, 0.396275,0.274823, 0.286874,0.193357, 0.284683,0.135544, 0.145304,0.226272
51,0.333333, 0.333333,0.333333, 0.333333,0.166667, 0.166667,0.166667, 0.166667,0.000000
52,0.275826, 0.390747,0.267564, 0.345345,0.190899, 0.278912,0.111592, 0.139115,0.308238
53,0.283139, 0.396275,0.193357, 0.284683,0.274823, 0.286874,0.135544, 0.145304,0.226272
54,0.320884, 0.414571,0.235568, 0.328189,0.160991, 0.238957,0.131616, 0.169224,0.301881
55,0.318691, 0.333465,0.328189, 0.397584,0.156708, 0.169370,0.127017, 0.168976,0.138788
56,0.329765, 0.460642,0.224760, 0.331375,0.157299, 0.169430,0.157299, 0.169430,0.261754
57,0.389212, 0.401199,0.194606, 0.200599,0.198341, 0.279699,0.136484, 0.199861,0.162716
58,0.389212, 0.401199,0.194606, 0.200599,0.198341, 0.279699,0.136484, 0.199861,0.162716
59,0.354788, 0.358090,0.283481, 0.367981,0.167662, 0.219485,0.106773, 0.141740,0.174592
60,0.246892, 0.386109,0.313861, 0.344021,0.158903, 0.246892,0.124791, 0.178532,0.311106
61,0.283139, 0.396275,0.274823, 0.286874,0.193357, 0.284683,0.135544, 0.145304,0.226272
62,0.327082, 0.453966,0.218753, 0.333536,0.155431, 0.235093,0.108302, 0.167838,0.380865
63,0.284866, 0.401425,0.193683, 0.291594,0.189674, 0.295611,0.137844, 0.205302,0.387865
64,0.320884, 0.414571,0.235568, 0.328189,0.160991, 0.238957,0.131616, 0.169224,0.301881
65,0.281934, 0.342098,0.274304, 0.286431,0.274304, 0.286431,0.109294, 0.145204,0.120328
66,0.380933, 0.455384,0.225966, 0.315450,0.154791, 0.226476,0.107185, 0.133814,0.262250
67,0.283139, 0.396275,0.274823, 0.286874,0.193357, 0.284683,0.135544, 0.145304,0.226272
68,0.248076, 0.347680,0.241336, 0.251198,0.241336, 0.251198,0.169648, 0.249529,0.199209
69,0.271879, 0.404131,0.191357, 0.349415,0.189091, 0.285377,0.107569, 0.201182,0.480209
70,0.238795, 0.337047,0.331265, 0.345362,0.166055, 0.243163,0.165633, 0.172681,0.196505
71,0.329765, 0.460642,0.224760, 0.331375,0.157299, 0.169430,0.157299, 0.169430,0.261754
72,0.238795, 0.337047,0.331265, 0.345362,0.166055, 0.243163,0.165633, 0.172681,0.196505
