ó^Ç¶ÇΩèdóvìx,0.320000,0.380000,0.210000,0.350000,0.150000,0.290000,0.120000,0.180000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],ãÊä‘ïùÇÃëçòa
1,0.333333, 0.333333,0.333333, 0.333333,0.166667, 0.166667,0.166667, 0.166667,0.000000
2,0.359561, 0.359561,0.284851, 0.284851,0.198458, 0.198458,0.157130, 0.157130,0.000000
3,0.400000, 0.400000,0.200000, 0.200000,0.200000, 0.200000,0.200000, 0.200000,0.000000
4,0.331014, 0.331014,0.240699, 0.240699,0.240699, 0.240699,0.187589, 0.187589,0.000000
5,0.339707, 0.339707,0.280849, 0.280849,0.239020, 0.239020,0.140424, 0.140424,0.000000
6,0.343146, 0.343146,0.242639, 0.242639,0.242643, 0.242643,0.171573, 0.171573,0.000000
7,0.390784, 0.390784,0.256767, 0.256767,0.226079, 0.226079,0.126370, 0.126370,0.000000
8,0.395205, 0.395205,0.239020, 0.239020,0.197603, 0.197603,0.168172, 0.168172,0.000000
9,0.363013, 0.363013,0.301986, 0.301986,0.228983, 0.228983,0.106019, 0.106019,0.000000
10,0.328937, 0.328937,0.316503, 0.316503,0.202901, 0.202901,0.151658, 0.151658,0.000000
11,0.319122, 0.319122,0.242838, 0.242838,0.280980, 0.280980,0.157060, 0.157060,0.000000
12,0.301540, 0.301540,0.358407, 0.358407,0.230062, 0.230062,0.109991, 0.109991,0.000000
13,0.312016, 0.312016,0.280368, 0.280368,0.280368, 0.280368,0.127249, 0.127249,0.000000
14,0.365855, 0.365855,0.232558, 0.232558,0.277772, 0.277772,0.123815, 0.123815,0.000000
15,0.339707, 0.339707,0.280849, 0.280849,0.239020, 0.239020,0.140424, 0.140424,0.000000
16,0.406349, 0.406349,0.237233, 0.237233,0.208143, 0.208143,0.148276, 0.148276,0.000000
17,0.319122, 0.319122,0.242838, 0.242838,0.280980, 0.280980,0.157060, 0.157060,0.000000
18,0.367727, 0.367727,0.281878, 0.281878,0.199974, 0.199974,0.150420, 0.150420,0.000000
19,0.388870, 0.388870,0.299478, 0.299478,0.188111, 0.188111,0.123541, 0.123541,0.000000
20,0.319122, 0.319122,0.242838, 0.242838,0.280980, 0.280980,0.157060, 0.157060,0.000000
21,0.395203, 0.395203,0.232186, 0.232186,0.232186, 0.232186,0.140424, 0.140424,0.000000
22,0.388012, 0.388012,0.266792, 0.266792,0.194006, 0.194006,0.151191, 0.151191,0.000000
23,0.333286, 0.333286,0.306455, 0.306455,0.234906, 0.234906,0.125353, 0.125353,0.000000
24,0.328937, 0.328937,0.316503, 0.316503,0.202901, 0.202901,0.151658, 0.151658,0.000000
25,0.312016, 0.312016,0.280368, 0.280368,0.280368, 0.280368,0.127249, 0.127249,0.000000
26,0.365855, 0.365855,0.277772, 0.277772,0.232558, 0.232558,0.123815, 0.123815,0.000000
27,0.399512, 0.399512,0.277907, 0.277907,0.178162, 0.178162,0.144418, 0.144418,0.000000
28,0.416905, 0.416905,0.257163, 0.257163,0.192216, 0.192216,0.133715, 0.133715,0.000000
29,0.333333, 0.333333,0.333333, 0.333333,0.166667, 0.166667,0.166667, 0.166667,0.000000
30,0.356439, 0.356439,0.325731, 0.325731,0.193574, 0.193574,0.124257, 0.124257,0.000000
31,0.285714, 0.285714,0.285714, 0.285714,0.285714, 0.285714,0.142857, 0.142857,0.000000
32,0.297878, 0.297878,0.246267, 0.246267,0.246267, 0.246267,0.209589, 0.209589,0.000000
33,0.395205, 0.395205,0.239020, 0.239020,0.197603, 0.197603,0.168172, 0.168172,0.000000
34,0.339707, 0.339707,0.239020, 0.239020,0.280849, 0.280849,0.140424, 0.140424,0.000000
35,0.280847, 0.280847,0.339711, 0.339711,0.239018, 0.239018,0.140423, 0.140423,0.000000
36,0.329997, 0.329997,0.329997, 0.329997,0.199582, 0.199582,0.140424, 0.140424,0.000000
37,0.328937, 0.328937,0.316503, 0.316503,0.202901, 0.202901,0.151658, 0.151658,0.000000
38,0.346196, 0.346196,0.285545, 0.285545,0.204809, 0.204809,0.163451, 0.163451,0.000000
39,0.339707, 0.339707,0.280849, 0.280849,0.239020, 0.239020,0.140424, 0.140424,0.000000
40,0.424862, 0.424862,0.270067, 0.270067,0.161286, 0.161286,0.143784, 0.143784,0.000000
41,0.333333, 0.333333,0.333333, 0.333333,0.166667, 0.166667,0.166667, 0.166667,0.000000
42,0.367727, 0.367727,0.281878, 0.281878,0.199974, 0.199974,0.150420, 0.150420,0.000000
43,0.424862, 0.424862,0.270067, 0.270067,0.161286, 0.161286,0.143784, 0.143784,0.000000
44,0.362887, 0.362887,0.326079, 0.326079,0.163039, 0.163039,0.147995, 0.147995,0.000000
45,0.428058, 0.428058,0.232782, 0.232782,0.175098, 0.175098,0.164062, 0.164062,0.000000
46,0.371283, 0.371283,0.282530, 0.282530,0.163453, 0.163453,0.182733, 0.182733,0.000000
47,0.316500, 0.316500,0.328941, 0.328941,0.202897, 0.202897,0.151661, 0.151661,0.000000
48,0.346541, 0.346541,0.246266, 0.246266,0.203596, 0.203596,0.203596, 0.203596,0.000000
49,0.415488, 0.415488,0.292593, 0.292593,0.184950, 0.184950,0.106969, 0.106969,0.000000
50,0.339707, 0.339707,0.280849, 0.280849,0.239020, 0.239020,0.140424, 0.140424,0.000000
51,0.333333, 0.333333,0.333333, 0.333333,0.166667, 0.166667,0.166667, 0.166667,0.000000
52,0.333286, 0.333286,0.306455, 0.306455,0.234906, 0.234906,0.125353, 0.125353,0.000000
53,0.339707, 0.339707,0.239020, 0.239020,0.280849, 0.280849,0.140424, 0.140424,0.000000
54,0.367727, 0.367727,0.281878, 0.281878,0.199974, 0.199974,0.150420, 0.150420,0.000000
55,0.326078, 0.326078,0.362886, 0.362886,0.163039, 0.163039,0.147997, 0.147997,0.000000
56,0.395203, 0.395203,0.278067, 0.278067,0.163365, 0.163365,0.163365, 0.163365,0.000000
57,0.395205, 0.395205,0.197603, 0.197603,0.239020, 0.239020,0.168172, 0.168172,0.000000
58,0.395205, 0.395205,0.197603, 0.197603,0.239020, 0.239020,0.168172, 0.168172,0.000000
59,0.356439, 0.356439,0.325731, 0.325731,0.193574, 0.193574,0.124257, 0.124257,0.000000
60,0.316500, 0.316500,0.328941, 0.328941,0.202897, 0.202897,0.151661, 0.151661,0.000000
61,0.339707, 0.339707,0.280849, 0.280849,0.239020, 0.239020,0.140424, 0.140424,0.000000
62,0.390524, 0.390524,0.276144, 0.276144,0.195262, 0.195262,0.138070, 0.138070,0.000000
63,0.343146, 0.343146,0.242639, 0.242639,0.242643, 0.242643,0.171573, 0.171573,0.000000
64,0.367727, 0.367727,0.281878, 0.281878,0.199974, 0.199974,0.150420, 0.150420,0.000000
65,0.312016, 0.312016,0.280368, 0.280368,0.280368, 0.280368,0.127249, 0.127249,0.000000
66,0.418159, 0.418159,0.270708, 0.270708,0.190634, 0.190634,0.120499, 0.120499,0.000000
67,0.339707, 0.339707,0.280849, 0.280849,0.239020, 0.239020,0.140424, 0.140424,0.000000
68,0.297878, 0.297878,0.246267, 0.246267,0.246267, 0.246267,0.209589, 0.209589,0.000000
69,0.338005, 0.338005,0.270386, 0.270386,0.237234, 0.237234,0.154375, 0.154375,0.000000
70,0.287921, 0.287921,0.338313, 0.338313,0.204609, 0.204609,0.169157, 0.169157,0.000000
71,0.395203, 0.395203,0.278067, 0.278067,0.163365, 0.163365,0.163365, 0.163365,0.000000
72,0.287921, 0.287921,0.338313, 0.338313,0.204609, 0.204609,0.169157, 0.169157,0.000000
73,0.306446, 0.306446,0.333297, 0.333297,0.234904, 0.234904,0.125353, 0.125353,0.000000
74,0.362887, 0.362887,0.326079, 0.326079,0.163039, 0.163039,0.147995, 0.147995,0.000000
75,0.343146, 0.343146,0.242639, 0.242639,0.242643, 0.242643,0.171573, 0.171573,0.000000
76,0.364533, 0.364533,0.281041, 0.281041,0.234765, 0.234765,0.119661, 0.119661,0.000000
77,0.329997, 0.329997,0.329997, 0.329997,0.199582, 0.199582,0.140424, 0.140424,0.000000
78,0.359561, 0.359561,0.284851, 0.284851,0.198458, 0.198458,0.157130, 0.157130,0.000000
79,0.337353, 0.337353,0.263114, 0.263114,0.273455, 0.273455,0.126078, 0.126078,0.000000
80,0.333333, 0.333333,0.333333, 0.333333,0.166667, 0.166667,0.166667, 0.166667,0.000000
81,0.356909, 0.356909,0.308463, 0.308463,0.199509, 0.199509,0.135119, 0.135119,0.000000
82,0.329997, 0.329997,0.329997, 0.329997,0.199582, 0.199582,0.140424, 0.140424,0.000000
83,0.338311, 0.338311,0.287924, 0.287924,0.169155, 0.169155,0.204610, 0.204610,0.000000
84,0.378802, 0.378802,0.242837, 0.242837,0.181515, 0.181515,0.196846, 0.196846,0.000000
85,0.359561, 0.359561,0.284851, 0.284851,0.198458, 0.198458,0.157130, 0.157130,0.000000
86,0.418092, 0.418092,0.249691, 0.249691,0.222594, 0.222594,0.109623, 0.109623,0.000000
87,0.358405, 0.358405,0.301542, 0.301542,0.230062, 0.230062,0.109991, 0.109991,0.000000
88,0.338311, 0.338311,0.287924, 0.287924,0.204610, 0.204610,0.169155, 0.169155,0.000000
89,0.343146, 0.343146,0.242643, 0.242643,0.242639, 0.242639,0.171573, 0.171573,0.000000
90,0.312016, 0.312016,0.280368, 0.280368,0.280368, 0.280368,0.127249, 0.127249,0.000000
91,0.333333, 0.333333,0.333333, 0.333333,0.166667, 0.166667,0.166667, 0.166667,0.000000
92,0.385690, 0.385690,0.241642, 0.241642,0.204222, 0.204222,0.168446, 0.168446,0.000000
93,0.371283, 0.371283,0.282530, 0.282530,0.163453, 0.163453,0.182733, 0.182733,0.000000
94,0.356439, 0.356439,0.325731, 0.325731,0.193574, 0.193574,0.124257, 0.124257,0.000000
95,0.365855, 0.365855,0.277772, 0.277772,0.232558, 0.232558,0.123815, 0.123815,0.000000
96,0.362887, 0.362887,0.326079, 0.326079,0.163039, 0.163039,0.147995, 0.147995,0.000000
97,0.306446, 0.306446,0.333297, 0.333297,0.234904, 0.234904,0.125353, 0.125353,0.000000
98,0.338311, 0.338311,0.287924, 0.287924,0.204610, 0.204610,0.169155, 0.169155,0.000000
99,0.346541, 0.346541,0.203596, 0.203596,0.246266, 0.246266,0.203596, 0.203596,0.000000
100,0.343146, 0.343146,0.242639, 0.242639,0.242643, 0.242643,0.171573, 0.171573,0.000000
101,0.364533, 0.364533,0.281041, 0.281041,0.234765, 0.234765,0.119661, 0.119661,0.000000
102,0.329997, 0.329997,0.329997, 0.329997,0.199582, 0.199582,0.140424, 0.140424,0.000000
103,0.424862, 0.424862,0.270067, 0.270067,0.161286, 0.161286,0.143784, 0.143784,0.000000
104,0.339707, 0.339707,0.280849, 0.280849,0.239020, 0.239020,0.140424, 0.140424,0.000000
105,0.339707, 0.339707,0.280849, 0.280849,0.239020, 0.239020,0.140424, 0.140424,0.000000
106,0.333286, 0.333286,0.306455, 0.306455,0.234906, 0.234906,0.125353, 0.125353,0.000000
107,0.361723, 0.361723,0.309793, 0.309793,0.181759, 0.181759,0.146726, 0.146726,0.000000
108,0.287921, 0.287921,0.338313, 0.338313,0.204609, 0.204609,0.169157, 0.169157,0.000000
109,0.356439, 0.356439,0.325731, 0.325731,0.193574, 0.193574,0.124257, 0.124257,0.000000
110,0.362887, 0.362887,0.326079, 0.326079,0.163039, 0.163039,0.147995, 0.147995,0.000000
111,0.418159, 0.418159,0.270708, 0.270708,0.190634, 0.190634,0.120499, 0.120499,0.000000
112,0.395205, 0.395205,0.239020, 0.239020,0.197603, 0.197603,0.168172, 0.168172,0.000000
113,0.423587, 0.423587,0.227044, 0.227044,0.227044, 0.227044,0.122324, 0.122324,0.000000
114,0.339986, 0.339986,0.287341, 0.287341,0.237007, 0.237007,0.135667, 0.135667,0.000000
115,0.350914, 0.350914,0.350914, 0.350914,0.189058, 0.189058,0.109113, 0.109113,0.000000
116,0.312016, 0.312016,0.280368, 0.280368,0.280368, 0.280368,0.127249, 0.127249,0.000000
117,0.367727, 0.367727,0.199974, 0.199974,0.281878, 0.281878,0.150420, 0.150420,0.000000
118,0.339986, 0.339986,0.287341, 0.287341,0.237007, 0.237007,0.135667, 0.135667,0.000000
119,0.365855, 0.365855,0.277772, 0.277772,0.232558, 0.232558,0.123815, 0.123815,0.000000
120,0.277771, 0.277771,0.365857, 0.365857,0.232558, 0.232558,0.123814, 0.123814,0.000000
121,0.333333, 0.333333,0.333333, 0.333333,0.166667, 0.166667,0.166667, 0.166667,0.000000
122,0.345323, 0.345323,0.247678, 0.247678,0.209332, 0.209332,0.197667, 0.197667,0.000000
123,0.367727, 0.367727,0.281878, 0.281878,0.199974, 0.199974,0.150420, 0.150420,0.000000
124,0.365855, 0.365855,0.277772, 0.277772,0.232558, 0.232558,0.123815, 0.123815,0.000000
125,0.338311, 0.338311,0.287924, 0.287924,0.204610, 0.204610,0.169155, 0.169155,0.000000
126,0.395203, 0.395203,0.232186, 0.232186,0.232186, 0.232186,0.140424, 0.140424,0.000000
127,0.390524, 0.390524,0.276144, 0.276144,0.195262, 0.195262,0.138070, 0.138070,0.000000
128,0.415488, 0.415488,0.292593, 0.292593,0.184950, 0.184950,0.106969, 0.106969,0.000000
129,0.287921, 0.287921,0.338313, 0.338313,0.204609, 0.204609,0.169157, 0.169157,0.000000
130,0.378802, 0.378802,0.242837, 0.242837,0.196846, 0.196846,0.181515, 0.181515,0.000000
131,0.400000, 0.400000,0.200000, 0.200000,0.200000, 0.200000,0.200000, 0.200000,0.000000
132,0.394071, 0.394071,0.294551, 0.294551,0.204901, 0.204901,0.106477, 0.106477,0.000000
133,0.285714, 0.285714,0.285714, 0.285714,0.285714, 0.285714,0.142857, 0.142857,0.000000
134,0.329997, 0.329997,0.329997, 0.329997,0.199582, 0.199582,0.140424, 0.140424,0.000000
135,0.287921, 0.287921,0.338313, 0.338313,0.204609, 0.204609,0.169157, 0.169157,0.000000
136,0.325381, 0.325381,0.285476, 0.285476,0.203371, 0.203371,0.185772, 0.185772,0.000000
137,0.451168, 0.451168,0.260943, 0.260943,0.168930, 0.168930,0.118959, 0.118959,0.000000
138,0.365855, 0.365855,0.232558, 0.232558,0.277772, 0.277772,0.123815, 0.123815,0.000000
139,0.329997, 0.329997,0.329997, 0.329997,0.199582, 0.199582,0.140424, 0.140424,0.000000
140,0.354004, 0.354004,0.354004, 0.354004,0.160671, 0.160671,0.131321, 0.131321,0.000000
141,0.362887, 0.362887,0.326079, 0.326079,0.163039, 0.163039,0.147995, 0.147995,0.000000
142,0.367727, 0.367727,0.281878, 0.281878,0.199974, 0.199974,0.150420, 0.150420,0.000000
143,0.425785, 0.425785,0.231234, 0.231234,0.194551, 0.194551,0.148431, 0.148431,0.000000
144,0.328937, 0.328937,0.316503, 0.316503,0.202901, 0.202901,0.151658, 0.151658,0.000000
145,0.287921, 0.287921,0.338313, 0.338313,0.204609, 0.204609,0.169157, 0.169157,0.000000
146,0.395205, 0.395205,0.239020, 0.239020,0.197603, 0.197603,0.168172, 0.168172,0.000000
147,0.378802, 0.378802,0.242837, 0.242837,0.196846, 0.196846,0.181515, 0.181515,0.000000
148,0.301540, 0.301540,0.358407, 0.358407,0.230062, 0.230062,0.109991, 0.109991,0.000000
149,0.418861, 0.418861,0.295220, 0.295220,0.157539, 0.157539,0.128380, 0.128380,0.000000
150,0.316500, 0.316500,0.328941, 0.328941,0.202897, 0.202897,0.151661, 0.151661,0.000000
151,0.388012, 0.388012,0.266792, 0.266792,0.194006, 0.194006,0.151191, 0.151191,0.000000
152,0.280978, 0.280978,0.297555, 0.297555,0.245429, 0.245429,0.176038, 0.176038,0.000000
153,0.362887, 0.362887,0.326079, 0.326079,0.163039, 0.163039,0.147995, 0.147995,0.000000
154,0.428058, 0.428058,0.232782, 0.232782,0.164062, 0.164062,0.175098, 0.175098,0.000000
155,0.308861, 0.308861,0.308861, 0.308861,0.240699, 0.240699,0.141579, 0.141579,0.000000
156,0.343146, 0.343146,0.242639, 0.242639,0.242643, 0.242643,0.171573, 0.171573,0.000000
157,0.395203, 0.395203,0.232186, 0.232186,0.232186, 0.232186,0.140424, 0.140424,0.000000
158,0.367727, 0.367727,0.281878, 0.281878,0.199974, 0.199974,0.150420, 0.150420,0.000000
159,0.423587, 0.423587,0.227044, 0.227044,0.227044, 0.227044,0.122324, 0.122324,0.000000
160,0.395203, 0.395203,0.278067, 0.278067,0.163365, 0.163365,0.163365, 0.163365,0.000000
161,0.287921, 0.287921,0.338313, 0.338313,0.204609, 0.204609,0.169157, 0.169157,0.000000
162,0.424862, 0.424862,0.270067, 0.270067,0.161286, 0.161286,0.143784, 0.143784,0.000000
163,0.330088, 0.330088,0.288325, 0.288325,0.206806, 0.206806,0.174781, 0.174781,0.000000
164,0.343146, 0.343146,0.242643, 0.242643,0.242639, 0.242639,0.171573, 0.171573,0.000000
165,0.358405, 0.358405,0.301542, 0.301542,0.230062, 0.230062,0.109991, 0.109991,0.000000
166,0.378802, 0.378802,0.242837, 0.242837,0.196846, 0.196846,0.181515, 0.181515,0.000000
167,0.328937, 0.328937,0.316503, 0.316503,0.202901, 0.202901,0.151658, 0.151658,0.000000
168,0.371760, 0.371760,0.233518, 0.233518,0.241359, 0.241359,0.153364, 0.153364,0.000000
