No.,tL,tR
true,0.900901,1.123596
0,0.955443,1.048915
1,0.964592,1.038106
2,0.959707,1.043824
3,0.947385,1.058803
4,0.923646,1.090114
5,0.927597,1.084663
6,0.954730,1.049776
7,0.875903,1.165065
8,0.940685,1.067299
9,0.971409,1.030323
10,0.972609,1.028978
11,0.952060,1.053024
12,0.953385,1.051409
13,0.968021,1.034164
14,0.919822,1.095491
15,0.930707,1.080440
16,0.880004,1.157887
17,0.959800,1.043715
18,0.886368,1.147053
19,0.934731,1.075070
20,0.963528,1.039344
21,0.930265,1.081038
22,0.933742,1.076379
23,0.981554,1.019154
24,0.965541,1.037010
25,0.947744,1.058354
26,0.967171,1.035136
27,0.973144,1.028380
28,0.967657,1.034581
29,0.952494,1.052492
30,0.956348,1.047826
31,0.983748,1.016797
32,0.978796,1.022143
33,0.924724,1.088618
34,0.872375,1.171363
35,0.927940,1.084194
36,0.957558,1.046380
37,0.920502,1.094530
38,0.912181,1.106530
39,0.981429,1.019287
40,0.947522,1.058631
41,0.944830,1.062012
42,0.953243,1.051581
43,0.927626,1.084622
44,0.922417,1.091832
45,0.911196,1.107984
46,0.898182,1.127855
47,0.982661,1.017961
48,0.987525,1.012796
49,0.942774,1.064623
50,0.949145,1.056614
51,0.978403,1.022571
52,0.929472,1.082111
53,0.973178,1.028342
54,0.948617,1.057270
55,1.000000,1.000000
56,0.979740,1.021114
57,0.923948,1.089694
58,0.903180,1.120070
59,0.944272,1.062718
60,0.931678,1.079133
61,0.952018,1.053074
62,0.944009,1.063051
63,0.951958,1.053148
64,0.965883,1.036614
65,0.931874,1.078873
66,0.953427,1.051359
67,0.955544,1.048795
68,0.959016,1.044642
69,0.922269,1.092042
70,0.925723,1.087235
71,0.972462,1.029144
72,0.942948,1.064399
73,0.956945,1.047113
74,0.955500,1.048849
75,0.896252,1.130910
76,0.955837,1.048440
77,0.976853,1.024270
78,0.940625,1.067376
79,0.873039,1.170171
80,0.956558,1.047576
81,0.972573,1.029018
82,0.932916,1.077479
83,0.946895,1.059415
84,0.974315,1.027075
85,0.934742,1.075054
86,0.969213,1.032807
87,0.905081,1.117160
88,0.986548,1.013821
89,0.965461,1.037104
90,0.958858,1.044831
91,0.969657,1.032301
92,0.942323,1.065196
93,0.959605,1.043947
94,0.931628,1.079203
95,0.925830,1.087089
96,0.958577,1.045165
97,0.931122,1.079883
98,0.951253,1.054012
99,0.914151,1.103644
100,0.911731,1.107194
101,0.980750,1.020021
102,0.964913,1.037736
103,0.960439,1.042960
104,1.000000,1.000001
105,0.976750,1.024382
106,0.899664,1.125524
107,0.978044,1.022965
108,0.961036,1.042257
109,0.911456,1.107599
110,0.970568,1.031272
111,0.936618,1.072580
112,0.980170,1.020648
113,0.923905,1.089754
114,0.949335,1.056379
115,0.918866,1.096848
116,0.968663,1.033434
117,0.939218,1.069193
118,0.966092,1.036374
119,0.986439,1.013940
120,0.977777,1.023257
121,0.906837,1.114497
122,0.983052,1.017542
123,0.926252,1.086507
124,0.893420,1.135455
125,0.915668,1.101440
126,0.903786,1.119139
127,0.964596,1.038103
