ó^Ç¶ÇΩèdóvìx,0.270000,0.330000,0.210000,0.290000,0.150000,0.250000,0.090000,0.210000,0.030000,0.170000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],ãÊä‘ïùÇÃëçòa
1,0.216739, 0.448417,0.143360, 0.337832,0.166289, 0.305651,0.097956, 0.188776,0.027491, 0.067489,0.696330
2,0.242684, 0.463462,0.121966, 0.312989,0.127104, 0.192271,0.101297, 0.195257,0.083282, 0.159688,0.647335
3,0.195890, 0.444119,0.162502, 0.305214,0.162502, 0.274698,0.056402, 0.238449,0.002721, 0.157503,0.839965
4,0.179620, 0.400325,0.178305, 0.410211,0.144986, 0.293741,0.078232, 0.153633,0.039435, 0.121512,0.758844
5,0.344695, 0.512941,0.130286, 0.214409,0.073790, 0.341961,0.049923, 0.206828,0.011543, 0.113625,0.779527
6,0.210602, 0.566698,0.043350, 0.377854,0.059072, 0.375946,0.000001, 0.199908,0.000001, 0.166568,1.373947
7,0.222989, 0.306669,0.222989, 0.306669,0.181148, 0.264829,0.088276, 0.224462,0.049554, 0.132414,0.470089
8,0.161914, 0.454722,0.104891, 0.401522,0.059767, 0.422729,0.038398, 0.146010,0.025640, 0.184407,1.218781
9,0.237803, 0.455076,0.150347, 0.325812,0.146543, 0.199008,0.080568, 0.254764,0.045910, 0.104169,0.677658
10,0.231155, 0.409966,0.231155, 0.273217,0.115666, 0.300104,0.102487, 0.184173,0.057899, 0.094178,0.523277
11,0.302219, 0.356861,0.167892, 0.381905,0.076079, 0.317210,0.128479, 0.173740,0.013089, 0.082526,0.624484
12,0.187542, 0.478739,0.148011, 0.399577,0.099153, 0.211583,0.111047, 0.208113,0.000867, 0.155368,0.906760
13,0.264714, 0.375614,0.264714, 0.375614,0.104632, 0.160082,0.104632, 0.160082,0.057562, 0.132357,0.407495
14,0.252121, 0.368748,0.131278, 0.366902,0.193807, 0.310435,0.063478, 0.184374,0.029715, 0.099141,0.659201
15,0.095879, 0.447130,0.132872, 0.416535,0.180426, 0.282169,0.084334, 0.245135,0.033808, 0.081712,0.945363
16,0.207460, 0.434446,0.141860, 0.302768,0.102577, 0.384130,0.064865, 0.091990,0.060558, 0.209345,0.845360
17,0.125160, 0.478330,0.143004, 0.433074,0.021024, 0.293356,0.080887, 0.288039,0.000001, 0.137124,1.259845
18,0.212996, 0.358178,0.253824, 0.324367,0.143818, 0.289095,0.115033, 0.185353,0.000001, 0.117336,0.548658
19,0.122474, 0.302894,0.212684, 0.393104,0.046077, 0.374264,0.059837, 0.212684,0.049512, 0.226471,1.018833
20,0.219845, 0.494937,0.111287, 0.328402,0.092312, 0.308712,0.049079, 0.241071,0.013045, 0.141310,1.028864
21,0.233276, 0.264285,0.116418, 0.410475,0.139056, 0.376204,0.086337, 0.271856,0.023675, 0.078418,0.802476
22,0.191133, 0.488978,0.124812, 0.360103,0.119077, 0.288082,0.080819, 0.159249,0.000001, 0.187744,0.968314
23,0.203110, 0.430352,0.096327, 0.385499,0.161969, 0.295629,0.067118, 0.223351,0.047780, 0.088864,0.847391
24,0.212755, 0.414588,0.268862, 0.370216,0.154277, 0.215939,0.059490, 0.152009,0.001186, 0.150679,0.606861
25,0.248235, 0.470227,0.152198, 0.304728,0.206867, 0.206867,0.063791, 0.206867,0.036785, 0.103434,0.584246
26,0.191680, 0.401168,0.244949, 0.302646,0.151167, 0.273797,0.099400, 0.235043,0.040144, 0.060005,0.545321
27,0.252727, 0.433661,0.191186, 0.326899,0.150627, 0.207909,0.097525, 0.101357,0.086101, 0.152008,0.443667
28,0.265663, 0.448988,0.145200, 0.320590,0.183052, 0.200127,0.119333, 0.196550,0.020434, 0.100063,0.532637
29,0.234718, 0.359673,0.172240, 0.297195,0.126407, 0.341376,0.099366, 0.179836,0.049587, 0.139601,0.635363
30,0.384781, 0.384781,0.124529, 0.308414,0.094245, 0.316551,0.062717, 0.192390,0.035398, 0.096195,0.596661
31,0.159319, 0.525061,0.171274, 0.340440,0.042864, 0.297576,0.000001, 0.287247,0.006570, 0.169648,1.239944
32,0.219444, 0.469812,0.138939, 0.300630,0.138939, 0.300630,0.017358, 0.231265,0.029302, 0.153681,0.912036
33,0.185158, 0.409463,0.186050, 0.278005,0.158308, 0.367147,0.107607, 0.154046,0.046147, 0.108069,0.633461
34,0.216162, 0.425083,0.126121, 0.510908,0.046275, 0.298489,0.055851, 0.160311,0.000001, 0.160797,1.111179
35,0.234063, 0.486300,0.052302, 0.353137,0.105414, 0.237337,0.000001, 0.329527,0.030545, 0.171375,1.155352
36,0.363415, 0.455090,0.126702, 0.295571,0.158789, 0.204626,0.019214, 0.197190,0.000001, 0.179403,0.663759
37,0.194848, 0.385071,0.245628, 0.323701,0.148360, 0.289804,0.122814, 0.161851,0.000001, 0.127921,0.576697
38,0.201207, 0.471481,0.084358, 0.336344,0.072884, 0.305206,0.094523, 0.226071,0.018879, 0.189045,1.056297
39,0.142767, 0.370400,0.096375, 0.439161,0.138010, 0.271102,0.128292, 0.282151,0.038253, 0.093490,0.912609
40,0.293789, 0.493564,0.121211, 0.311890,0.185020, 0.209301,0.064848, 0.131011,0.078864, 0.110501,0.512535
41,0.088739, 0.406724,0.175596, 0.281959,0.133343, 0.397254,0.088440, 0.233622,0.046748, 0.147575,0.934270
42,0.212215, 0.318030,0.179346, 0.279027,0.212215, 0.318030,0.061919, 0.223437,0.063219, 0.132561,0.542171
43,0.308020, 0.438204,0.121397, 0.337531,0.121464, 0.186556,0.053016, 0.319811,0.015815, 0.098185,0.760575
44,0.176697, 0.307042,0.241869, 0.372214,0.115347, 0.251857,0.018713, 0.343641,0.006771, 0.165849,0.881205
45,0.239319, 0.324317,0.126042, 0.324317,0.140909, 0.183408,0.072167, 0.313768,0.074592, 0.201159,0.693940
46,0.202068, 0.496891,0.184669, 0.359172,0.034131, 0.327422,0.006373, 0.233075,0.001247, 0.154951,1.143023
47,0.155314, 0.490113,0.025366, 0.456571,0.095434, 0.361136,0.001263, 0.240968,0.000001, 0.173833,1.445244
48,0.261160, 0.379536,0.256131, 0.278981,0.183130, 0.281179,0.084717, 0.098376,0.072343, 0.104447,0.285038
49,0.252177, 0.322401,0.206431, 0.297922,0.107467, 0.214934,0.087973, 0.318711,0.034696, 0.157288,0.622512
50,0.254435, 0.344206,0.136710, 0.344206,0.149660, 0.194546,0.113534, 0.319468,0.037271, 0.105962,0.616778
51,0.159747, 0.307046,0.233396, 0.380696,0.092168, 0.367884,0.098133, 0.195275,0.000001, 0.165653,0.833110
52,0.292009, 0.365564,0.185722, 0.359115,0.145088, 0.240067,0.074119, 0.171870,0.040034, 0.126414,0.526058
53,0.291272, 0.425368,0.179160, 0.246208,0.088269, 0.343228,0.060995, 0.212684,0.039241, 0.113576,0.682127
54,0.176102, 0.388420,0.158012, 0.344959,0.150402, 0.239252,0.150402, 0.239252,0.021340, 0.131859,0.687486
55,0.270061, 0.361902,0.188297, 0.315982,0.090211, 0.309479,0.111949, 0.263317,0.000908, 0.087896,0.677149
56,0.252778, 0.381042,0.151024, 0.351084,0.094323, 0.222587,0.094323, 0.222587,0.047162, 0.183090,0.720779
57,0.381431, 0.427974,0.177384, 0.323806,0.114778, 0.213987,0.119386, 0.134901,0.035900, 0.070452,0.342241
58,0.215445, 0.494830,0.122473, 0.336378,0.118625, 0.210128,0.124632, 0.266687,0.000001, 0.110800,0.837646
59,0.195102, 0.507380,0.171369, 0.345756,0.124419, 0.258562,0.045064, 0.189446,0.000001, 0.162900,0.928090
60,0.177471, 0.291036,0.143685, 0.362892,0.124396, 0.259182,0.126644, 0.293285,0.072084, 0.149324,0.711440
61,0.227689, 0.362338,0.230010, 0.272963,0.115005, 0.252297,0.022005, 0.352352,0.036225, 0.129116,0.738132
62,0.248532, 0.413052,0.254641, 0.309462,0.100042, 0.165974,0.072400, 0.268684,0.042223, 0.124990,0.564324
63,0.226367, 0.394711,0.197827, 0.307596,0.117794, 0.299049,0.126356, 0.181240,0.046004, 0.103056,0.571304
64,0.242478, 0.324272,0.283375, 0.365169,0.084721, 0.270125,0.053624, 0.182584,0.031516, 0.162136,0.608571
65,0.282443, 0.402993,0.170035, 0.295466,0.111982, 0.210414,0.123930, 0.193837,0.056540, 0.152361,0.510141
66,0.215308, 0.523498,0.112089, 0.423044,0.148444, 0.240720,0.009247, 0.174821,0.000001, 0.152828,1.029822
67,0.241906, 0.389411,0.166117, 0.450368,0.039486, 0.280493,0.070344, 0.171562,0.000001, 0.190311,0.964290
68,0.236041, 0.275943,0.166007, 0.419207,0.163050, 0.346878,0.001996, 0.255992,0.039842, 0.095043,0.786129
69,0.269077, 0.411647,0.205564, 0.340362,0.156317, 0.323229,0.052478, 0.170776,0.023102, 0.047448,0.586924
70,0.169304, 0.380691,0.181131, 0.388628,0.160052, 0.303702,0.055072, 0.231877,0.037877, 0.091666,0.793128
71,0.215987, 0.376524,0.207436, 0.294595,0.121237, 0.251016,0.035236, 0.292022,0.050438, 0.155508,0.739331
72,0.282249, 0.405785,0.092845, 0.255528,0.191039, 0.376008,0.105226, 0.165297,0.010935, 0.115088,0.635413
73,0.209259, 0.388010,0.148868, 0.417895,0.075112, 0.238693,0.149317, 0.238693,0.000001, 0.134151,0.834885
74,0.154315, 0.319098,0.244794, 0.365832,0.106585, 0.224144,0.152657, 0.219625,0.047587, 0.165364,0.588125
75,0.188386, 0.543907,0.124332, 0.289359,0.118661, 0.279262,0.072366, 0.198961,0.000001, 0.184765,0.992508
76,0.129500, 0.487449,0.154237, 0.454926,0.068112, 0.268096,0.028483, 0.308474,0.016670, 0.084052,1.205996
77,0.308181, 0.365358,0.285221, 0.417551,0.139796, 0.168385,0.048933, 0.112256,0.037394, 0.116925,0.360950
78,0.218825, 0.318833,0.174910, 0.452265,0.059809, 0.268488,0.097782, 0.208991,0.010077, 0.190019,0.877193
79,0.146635, 0.421359,0.172998, 0.238531,0.122450, 0.429246,0.075247, 0.113225,0.074545, 0.205764,0.816250
80,0.148112, 0.464417,0.153132, 0.349402,0.035787, 0.330174,0.073460, 0.256714,0.035670, 0.153132,1.107679
81,0.211582, 0.531134,0.081476, 0.328319,0.095200, 0.301224,0.021707, 0.279517,0.000001, 0.149839,1.180066
82,0.254956, 0.376073,0.194397, 0.315514,0.234820, 0.317479,0.072970, 0.141754,0.036808, 0.055230,0.412100
83,0.259082, 0.385104,0.167058, 0.315048,0.156423, 0.256736,0.074014, 0.221413,0.065173, 0.099949,0.556499
84,0.251897, 0.423812,0.184218, 0.337854,0.125189, 0.372547,0.058812, 0.140291,0.010692, 0.094688,0.738384
85,0.233012, 0.464729,0.186673, 0.279352,0.143396, 0.349120,0.032729, 0.188730,0.000001, 0.122257,0.808377
86,0.185766, 0.482015,0.161261, 0.373491,0.049172, 0.322361,0.049522, 0.267376,0.032392, 0.076643,1.043772
87,0.202362, 0.380980,0.160672, 0.273863,0.242069, 0.242069,0.063451, 0.192466,0.121034, 0.121034,0.420825
88,0.166334, 0.383969,0.155870, 0.366119,0.065188, 0.389676,0.050746, 0.260995,0.023526, 0.137576,1.076670
89,0.152398, 0.309273,0.242976, 0.459611,0.188793, 0.256649,0.111361, 0.145288,0.000001, 0.133649,0.608942
90,0.236407, 0.399580,0.132958, 0.438252,0.156999, 0.242581,0.000001, 0.219711,0.000001, 0.173509,0.947268
91,0.219189, 0.431383,0.170826, 0.251841,0.040284, 0.244622,0.121602, 0.308921,0.085413, 0.125920,0.725373
92,0.300892, 0.322305,0.311599, 0.333012,0.114085, 0.247211,0.080150, 0.161155,0.038733, 0.090858,0.309083
93,0.213316, 0.396591,0.152477, 0.244114,0.112489, 0.406285,0.106658, 0.198296,0.017296, 0.152477,0.795527
94,0.181957, 0.279228,0.230592, 0.431732,0.133504, 0.289069,0.104546, 0.143911,0.013479, 0.191981,0.671844
95,0.190364, 0.402522,0.137286, 0.378315,0.085116, 0.305635,0.155976, 0.246546,0.028799, 0.069441,0.804918
96,0.205867, 0.419072,0.073617, 0.411498,0.138401, 0.388313,0.068248, 0.137618,0.053209, 0.104157,0.921316
97,0.234236, 0.306159,0.177977, 0.375506,0.160943, 0.325836,0.113726, 0.231597,0.035420, 0.038600,0.555397
98,0.232142, 0.313079,0.134862, 0.288953,0.194341, 0.391349,0.095837, 0.136305,0.021458, 0.191674,0.642719
99,0.127756, 0.381804,0.270396, 0.270396,0.167471, 0.360528,0.046273, 0.257603,0.000001, 0.117772,0.776206
100,0.193414, 0.422747,0.123090, 0.308283,0.097616, 0.369270,0.054207, 0.191973,0.096523, 0.142877,0.870300
101,0.177580, 0.482923,0.044462, 0.364308,0.102193, 0.262115,0.019305, 0.389294,0.049525, 0.108295,1.213870
102,0.354345, 0.450379,0.154103, 0.200242,0.154103, 0.200242,0.106690, 0.182160,0.062989, 0.134746,0.335539
103,0.266703, 0.457774,0.203241, 0.265712,0.126469, 0.355769,0.084451, 0.175857,0.000001, 0.064022,0.638270
104,0.143541, 0.335587,0.232034, 0.400851,0.158221, 0.242630,0.112079, 0.242630,0.024437, 0.107991,0.659376
105,0.291140, 0.318665,0.253470, 0.339993,0.085189, 0.278039,0.119854, 0.176878,0.000001, 0.136773,0.500694
106,0.229604, 0.278645,0.199645, 0.376770,0.205083, 0.254124,0.100909, 0.255272,0.036415, 0.063531,0.456687
107,0.128269, 0.407013,0.204176, 0.407013,0.102758, 0.305595,0.000001, 0.342707,0.013255, 0.089214,1.103082
108,0.249938, 0.585205,0.077810, 0.266986,0.103428, 0.280296,0.039686, 0.191862,0.000001, 0.204787,1.058272
109,0.212135, 0.443831,0.195318, 0.429886,0.078437, 0.262213,0.101866, 0.177583,0.000001, 0.098730,0.824485
110,0.197737, 0.364490,0.128157, 0.364490,0.050708, 0.339478,0.119589, 0.244901,0.051985, 0.138466,0.903648
111,0.302504, 0.469380,0.158587, 0.305598,0.120111, 0.186446,0.069624, 0.118860,0.093591, 0.175299,0.511166
112,0.165700, 0.422703,0.142415, 0.386188,0.132151, 0.254037,0.105754, 0.293289,0.034254, 0.063509,0.839452
113,0.254477, 0.418522,0.150145, 0.378458,0.102678, 0.266723,0.092350, 0.209261,0.031336, 0.096052,0.738028
114,0.213808, 0.349470,0.088097, 0.349470,0.145977, 0.281639,0.049733, 0.349470,0.000001, 0.172337,1.004770
115,0.254368, 0.328543,0.205192, 0.425832,0.117978, 0.285780,0.076152, 0.169171,0.037390, 0.099595,0.617841
116,0.101529, 0.435216,0.155003, 0.372591,0.157681, 0.357281,0.046209, 0.263797,0.000001, 0.110692,1.079154
117,0.157928, 0.350403,0.197850, 0.302169,0.212359, 0.250009,0.134237, 0.297773,0.000001, 0.097271,0.595252
118,0.240731, 0.300886,0.120607, 0.377491,0.140255, 0.385419,0.054067, 0.217588,0.027551, 0.135404,0.833576
119,0.242785, 0.471455,0.141248, 0.316537,0.195337, 0.201761,0.093922, 0.101415,0.065942, 0.169597,0.521531
120,0.217895, 0.433976,0.178810, 0.256979,0.178810, 0.256979,0.082015, 0.266037,0.000077, 0.128421,0.684785
121,0.180089, 0.384415,0.246938, 0.336302,0.154209, 0.320182,0.114957, 0.167530,0.000001, 0.095378,0.607612
122,0.218262, 0.454882,0.079763, 0.474037,0.043444, 0.260030,0.079466, 0.245572,0.000001, 0.144543,1.158127
123,0.207120, 0.207120,0.184788, 0.385966,0.207120, 0.207120,0.110298, 0.302912,0.071139, 0.116417,0.439070
124,0.220494, 0.358789,0.279482, 0.438097,0.104040, 0.219048,0.034499, 0.161544,0.000001, 0.184006,0.722968
125,0.204514, 0.392329,0.110607, 0.298422,0.160461, 0.344034,0.068675, 0.252247,0.008249, 0.160461,0.894988
126,0.245165, 0.444459,0.146577, 0.369121,0.076494, 0.226056,0.096547, 0.232555,0.032375, 0.130651,0.805684
127,0.188352, 0.408410,0.195470, 0.530584,0.039645, 0.282528,0.039161, 0.149191,0.009528, 0.157130,1.055686
128,0.209967, 0.372076,0.258593, 0.355956,0.153637, 0.256456,0.095989, 0.128228,0.031713, 0.137384,0.500200
129,0.248625, 0.539191,0.090737, 0.320783,0.144531, 0.218183,0.063559, 0.234354,0.000001, 0.140035,0.905094
130,0.181424, 0.370590,0.186612, 0.507907,0.088641, 0.274207,0.072810, 0.188564,0.038231, 0.091013,0.864563
131,0.300439, 0.443867,0.177155, 0.266712,0.152552, 0.201758,0.093554, 0.181634,0.060746, 0.121582,0.431107
132,0.260672, 0.508876,0.142116, 0.321409,0.098198, 0.223211,0.114490, 0.244138,0.024217, 0.062674,0.720615
133,0.146908, 0.326795,0.185822, 0.429258,0.135337, 0.307540,0.027616, 0.293815,0.028482, 0.118426,0.951670
134,0.184817, 0.558346,0.171596, 0.382710,0.069717, 0.257041,0.052857, 0.155162,0.000001, 0.167752,1.042023
135,0.159323, 0.279112,0.217204, 0.403334,0.133474, 0.219218,0.100410, 0.355102,0.042308, 0.090515,0.694563
136,0.197458, 0.415905,0.141708, 0.330256,0.145338, 0.283107,0.057783, 0.208274,0.110085, 0.110085,0.695256
137,0.128086, 0.388553,0.175580, 0.305037,0.129548, 0.305037,0.078119, 0.257543,0.000001, 0.232496,0.977330
138,0.103338, 0.416426,0.158280, 0.432215,0.129941, 0.381270,0.051735, 0.145908,0.031264, 0.149623,1.050883
139,0.248632, 0.461520,0.182060, 0.281603,0.165206, 0.263343,0.018534, 0.154920,0.059694, 0.164488,0.651750
140,0.184723, 0.474265,0.216638, 0.304534,0.131943, 0.269417,0.054430, 0.130293,0.032013, 0.201743,0.760507
141,0.243655, 0.290812,0.193985, 0.385909,0.148435, 0.290764,0.098322, 0.267234,0.030780, 0.050104,0.569647
142,0.181514, 0.368970,0.132225, 0.281887,0.197168, 0.268307,0.107139, 0.330563,0.041538, 0.090687,0.680830
143,0.075026, 0.449687,0.074236, 0.446264,0.131178, 0.345537,0.038585, 0.313918,0.000001, 0.125566,1.361945
144,0.194042, 0.446977,0.114812, 0.332165,0.031010, 0.336700,0.016846, 0.399353,0.021260, 0.106836,1.244062
145,0.194101, 0.388196,0.116325, 0.291340,0.092251, 0.348976,0.182437, 0.270049,0.025614, 0.090711,0.778546
146,0.176475, 0.417907,0.189017, 0.374755,0.167323, 0.292435,0.039074, 0.259735,0.000001, 0.083278,0.856221
147,0.188728, 0.583511,0.086421, 0.325642,0.000001, 0.306726,0.081411, 0.227830,0.000001, 0.199729,1.286876
148,0.179626, 0.367657,0.173602, 0.412254,0.096203, 0.273641,0.074221, 0.136821,0.078054, 0.207923,0.796590
149,0.234324, 0.344126,0.148937, 0.378256,0.134227, 0.289225,0.052308, 0.301111,0.000001, 0.117483,0.860404
150,0.233132, 0.257056,0.178431, 0.367641,0.169423, 0.367854,0.058785, 0.233185,0.043442, 0.091050,0.633573
151,0.208700, 0.425705,0.179324, 0.238076,0.147058, 0.244956,0.112714, 0.259094,0.057303, 0.127070,0.589804
152,0.179374, 0.301304,0.225612, 0.341176,0.232674, 0.283394,0.068052, 0.111322,0.077718, 0.179374,0.433139
153,0.182387, 0.272779,0.207380, 0.405410,0.134853, 0.299605,0.111808, 0.287073,0.013056, 0.085649,0.701030
154,0.172384, 0.332412,0.197708, 0.413656,0.113271, 0.300533,0.126199, 0.206213,0.041984, 0.095639,0.696907
155,0.160916, 0.414800,0.213821, 0.355249,0.108850, 0.212981,0.142268, 0.212981,0.016130, 0.162004,0.716030
156,0.213235, 0.373546,0.152902, 0.313972,0.133080, 0.293391,0.097324, 0.213235,0.084546, 0.124768,0.637824
157,0.126001, 0.355192,0.284151, 0.339966,0.099072, 0.316329,0.081806, 0.197042,0.030459, 0.169983,0.757023
158,0.272460, 0.389423,0.233446, 0.311474,0.159461, 0.272460,0.118725, 0.161700,0.035110, 0.045740,0.361595
159,0.233724, 0.351090,0.247424, 0.349376,0.149200, 0.286427,0.095603, 0.193808,0.000001, 0.093346,0.548095
160,0.242625, 0.242625,0.143815, 0.400882,0.080924, 0.242625,0.110854, 0.379597,0.034740, 0.121313,0.774084
161,0.147534, 0.448821,0.092990, 0.397165,0.124552, 0.298177,0.099392, 0.234874,0.044419, 0.112075,0.982225
162,0.289932, 0.357585,0.161879, 0.442597,0.116211, 0.198119,0.041968, 0.206020,0.000254, 0.185435,0.779512
163,0.141104, 0.335616,0.255018, 0.395687,0.157359, 0.238328,0.123703, 0.226107,0.024180, 0.102898,0.597271
164,0.226053, 0.444963,0.166421, 0.302977,0.167754, 0.277209,0.055823, 0.222481,0.024483, 0.111836,0.718932
165,0.267022, 0.481461,0.196296, 0.297706,0.087855, 0.261369,0.100185, 0.163399,0.066755, 0.077952,0.563773
166,0.193781, 0.527608,0.180347, 0.372595,0.065196, 0.276471,0.036605, 0.161320,0.001502, 0.184574,1.045138
167,0.264801, 0.420623,0.114941, 0.261228,0.171356, 0.249267,0.058019, 0.229883,0.041798, 0.188084,0.698168
168,0.280511, 0.363587,0.206278, 0.343805,0.138935, 0.246428,0.146411, 0.184502,0.026463, 0.063080,0.402806
169,0.202636, 0.512212,0.159797, 0.278950,0.135149, 0.270122,0.070304, 0.109777,0.003812, 0.257240,0.856603
170,0.216600, 0.437326,0.148574, 0.284626,0.129474, 0.239825,0.085075, 0.241899,0.074276, 0.142324,0.692002
171,0.241346, 0.334040,0.193688, 0.403349,0.068931, 0.301344,0.099506, 0.185615,0.022921, 0.149259,0.747215
172,0.174727, 0.433820,0.147823, 0.379592,0.101666, 0.310832,0.052220, 0.243427,0.000001, 0.155892,1.047126
173,0.228366, 0.469963,0.108649, 0.394421,0.085138, 0.322023,0.055846, 0.174582,0.046971, 0.114040,0.950058
174,0.210089, 0.328787,0.229369, 0.444361,0.162023, 0.258155,0.074707, 0.154662,0.020776, 0.117071,0.606071
175,0.233377, 0.380191,0.155079, 0.481070,0.018296, 0.287572,0.000001, 0.228947,0.000001, 0.215467,1.186492
176,0.204585, 0.303122,0.159051, 0.394481,0.145974, 0.358873,0.098051, 0.205071,0.000001, 0.130792,0.784676
177,0.110684, 0.386634,0.145176, 0.503075,0.124329, 0.262305,0.000001, 0.252715,0.000001, 0.215080,1.239618
178,0.205224, 0.330081,0.186919, 0.452042,0.133826, 0.273591,0.121188, 0.138012,0.025291, 0.133826,0.655104
179,0.205284, 0.423940,0.141426, 0.358840,0.109272, 0.306432,0.132244, 0.174187,0.057659, 0.090717,0.708229
180,0.314139, 0.416484,0.182656, 0.233828,0.090066, 0.314207,0.068831, 0.208242,0.000001, 0.171547,0.688615
181,0.174459, 0.300521,0.236690, 0.408326,0.097269, 0.324417,0.092744, 0.197241,0.049589, 0.118745,0.698498
182,0.168668, 0.366620,0.259751, 0.414163,0.168130, 0.230091,0.101706, 0.188631,0.029150, 0.073090,0.545189
183,0.248979, 0.333662,0.209413, 0.333662,0.109763, 0.353613,0.064104, 0.145309,0.055835, 0.145660,0.623812
184,0.219935, 0.430014,0.137051, 0.279704,0.191072, 0.277836,0.091801, 0.182300,0.053159, 0.137127,0.613963
185,0.193350, 0.515819,0.119100, 0.363351,0.030029, 0.357299,0.020598, 0.217601,0.060295, 0.122559,1.153256
186,0.205663, 0.439168,0.135428, 0.322938,0.190479, 0.291881,0.053670, 0.217186,0.008160, 0.135428,0.813201
187,0.145985, 0.385789,0.171559, 0.391480,0.145455, 0.280470,0.088629, 0.176031,0.068032, 0.146570,0.760679
188,0.133133, 0.484198,0.128958, 0.378907,0.048444, 0.408758,0.046493, 0.154333,0.020903, 0.195874,1.244138
189,0.214624, 0.398874,0.296343, 0.372629,0.093464, 0.229903,0.094924, 0.158564,0.047670, 0.093004,0.505950
190,0.239053, 0.389340,0.214904, 0.300901,0.168102, 0.319446,0.129712, 0.153320,0.027810, 0.057412,0.440838
