No.,tL,tR
true,0.900901,1.123596
0,0.895666,1.131845
1,0.906710,1.114689
2,0.853421,1.207371
3,0.871448,1.173043
4,0.891589,1.138423
5,0.751384,1.494496
6,0.910037,1.109703
7,0.802293,1.327013
8,0.891618,1.138376
9,0.928333,1.083658
10,0.933610,1.076555
11,0.860450,1.193578
12,0.915039,1.102349
13,0.914097,1.103725
14,0.891719,1.138213
15,0.876327,1.164316
16,0.783237,1.382655
17,0.885699,1.148173
18,0.846575,1.221343
19,0.806881,1.314648
20,0.903195,1.120048
21,0.842949,1.228974
22,0.881428,1.155434
23,0.907772,1.113086
24,0.934465,1.075421
25,0.940582,1.067432
26,0.960707,1.042644
27,0.923367,1.090504
28,0.906855,1.114471
29,0.929346,1.082279
30,0.797302,1.340896
31,0.829428,1.258891
32,0.915395,1.101837
33,0.854116,1.205986
34,0.801186,1.330051
35,0.867696,1.179909
36,0.910643,1.108802
37,0.794993,1.347482
38,0.898055,1.128053
39,0.946529,1.059876
40,0.870209,1.175294
41,0.901252,1.123050
42,0.898076,1.128023
43,0.896318,1.130806
44,0.904676,1.117781
45,0.783277,1.382531
46,0.774344,1.411267
47,0.976426,1.024740
48,0.925482,1.087569
49,0.908354,1.112216
50,0.876549,1.163926
51,0.917737,1.098461
52,0.920721,1.094216
53,0.883842,1.151310
54,0.893409,1.135468
55,0.861824,1.190944
56,0.975897,1.025324
57,0.877626,1.162033
58,0.868232,1.178921
59,0.879885,1.158095
60,0.962724,1.040279
61,0.920914,1.093946
62,0.905471,1.116566
63,0.893749,1.134922
64,0.885238,1.148949
65,0.830595,1.256212
66,0.834798,1.246720
67,0.877911,1.161532
68,0.887666,1.144885
69,0.843756,1.227260
70,0.898570,1.127243
71,0.882817,1.153053
72,0.870765,1.174282
73,0.885520,1.148474
74,0.876629,1.163783
75,0.803182,1.324589
76,0.954066,1.050580
77,0.861148,1.192239
78,0.907994,1.112754
79,0.808059,1.311534
80,0.787103,1.370768
81,0.921716,1.092815
82,0.884752,1.149769
83,0.891397,1.138737
84,0.852900,1.208418
85,0.815902,1.291386
86,0.969186,1.032838
87,0.823827,1.272019
88,0.919257,1.096294
89,0.855916,1.202414
90,0.869193,1.177152
91,0.979034,1.021884
92,0.905824,1.116032
93,0.881227,1.155778
94,0.861008,1.192506
95,0.890649,1.139961
96,0.925781,1.087156
