ó^Ç¶ÇΩèdóvìx,0.270000,0.330000,0.210000,0.290000,0.150000,0.250000,0.090000,0.210000,0.030000,0.170000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],ãÊä‘ïùÇÃëçòa
1,0.332578, 0.332578,0.240596, 0.240596,0.235970, 0.235970,0.143366, 0.143366,0.047490, 0.047490,0.000000
2,0.353073, 0.353073,0.217478, 0.217478,0.159688, 0.159688,0.148277, 0.148277,0.121485, 0.121485,0.000000
3,0.320005, 0.320005,0.233858, 0.233858,0.218600, 0.218600,0.147426, 0.147426,0.080112, 0.080112,0.000000
4,0.289972, 0.289972,0.294258, 0.294258,0.219364, 0.219364,0.115933, 0.115933,0.080474, 0.080474,0.000000
5,0.428818, 0.428818,0.172347, 0.172347,0.207875, 0.207875,0.128376, 0.128376,0.062584, 0.062584,0.000000
6,0.388650, 0.388650,0.210602, 0.210602,0.217509, 0.217509,0.099954, 0.099954,0.083285, 0.083285,0.000000
7,0.264829, 0.264829,0.264829, 0.264829,0.222989, 0.222989,0.156369, 0.156369,0.090984, 0.090984,0.000000
8,0.308318, 0.308318,0.253207, 0.253207,0.241248, 0.241248,0.092204, 0.092204,0.105023, 0.105023,0.000000
9,0.346439, 0.346439,0.238080, 0.238080,0.172776, 0.172776,0.167666, 0.167666,0.075039, 0.075039,0.000000
10,0.320561, 0.320561,0.252186, 0.252186,0.207885, 0.207885,0.143330, 0.143330,0.076039, 0.076039,0.000000
11,0.329540, 0.329540,0.274899, 0.274899,0.196644, 0.196644,0.151110, 0.151110,0.047808, 0.047808,0.000000
12,0.333141, 0.333141,0.273794, 0.273794,0.155368, 0.155368,0.159580, 0.159580,0.078118, 0.078118,0.000000
13,0.320164, 0.320164,0.320164, 0.320164,0.132357, 0.132357,0.132357, 0.132357,0.094959, 0.094959,0.000000
14,0.310435, 0.310435,0.249090, 0.249090,0.252121, 0.252121,0.123926, 0.123926,0.064428, 0.064428,0.000000
15,0.271505, 0.271505,0.274704, 0.274704,0.231297, 0.231297,0.164735, 0.164735,0.057760, 0.057760,0.000000
16,0.320953, 0.320953,0.222314, 0.222314,0.243354, 0.243354,0.078428, 0.078428,0.134952, 0.134952,0.000000
17,0.301745, 0.301745,0.288039, 0.288039,0.157190, 0.157190,0.184463, 0.184463,0.068562, 0.068562,0.000000
18,0.285587, 0.285587,0.289095, 0.289095,0.216456, 0.216456,0.150193, 0.150193,0.058668, 0.058668,0.000000
19,0.212684, 0.212684,0.302894, 0.302894,0.210170, 0.210170,0.136260, 0.136260,0.137991, 0.137991,0.000000
20,0.357391, 0.357391,0.219845, 0.219845,0.200512, 0.200512,0.145075, 0.145075,0.077178, 0.077178,0.000000
21,0.248781, 0.248781,0.263446, 0.263446,0.257630, 0.257630,0.179096, 0.179096,0.051047, 0.051047,0.000000
22,0.340055, 0.340055,0.242458, 0.242458,0.203580, 0.203580,0.120034, 0.120034,0.093873, 0.093873,0.000000
23,0.316731, 0.316731,0.240913, 0.240913,0.228799, 0.228799,0.145235, 0.145235,0.068322, 0.068322,0.000000
24,0.313671, 0.313671,0.319539, 0.319539,0.185108, 0.185108,0.105749, 0.105749,0.075932, 0.075932,0.000000
25,0.359231, 0.359231,0.228463, 0.228463,0.206867, 0.206867,0.135329, 0.135329,0.070109, 0.070109,0.000000
26,0.296424, 0.296424,0.273797, 0.273797,0.212482, 0.212482,0.167222, 0.167222,0.050075, 0.050075,0.000000
27,0.343194, 0.343194,0.259043, 0.259043,0.179268, 0.179268,0.099441, 0.099441,0.119055, 0.119055,0.000000
28,0.357325, 0.357325,0.232895, 0.232895,0.191589, 0.191589,0.157942, 0.157942,0.060249, 0.060249,0.000000
29,0.297195, 0.297195,0.234718, 0.234718,0.233892, 0.233892,0.139601, 0.139601,0.094594, 0.094594,0.000000
30,0.384781, 0.384781,0.216471, 0.216471,0.205398, 0.205398,0.127554, 0.127554,0.065797, 0.065797,0.000000
31,0.342190, 0.342190,0.255857, 0.255857,0.170220, 0.170220,0.143624, 0.143624,0.088109, 0.088109,0.000000
32,0.344628, 0.344628,0.219785, 0.219785,0.219785, 0.219785,0.124311, 0.124311,0.091492, 0.091492,0.000000
33,0.297310, 0.297310,0.232028, 0.232028,0.262727, 0.262727,0.130827, 0.130827,0.077108, 0.077108,0.000000
34,0.320623, 0.320623,0.318515, 0.318515,0.172382, 0.172382,0.108081, 0.108081,0.080399, 0.080399,0.000000
35,0.360182, 0.360182,0.202719, 0.202719,0.171375, 0.171375,0.164764, 0.164764,0.100960, 0.100960,0.000000
36,0.409252, 0.409252,0.211137, 0.211137,0.181707, 0.181707,0.108202, 0.108202,0.089702, 0.089702,0.000000
37,0.289960, 0.289960,0.284665, 0.284665,0.219082, 0.219082,0.142332, 0.142332,0.063961, 0.063961,0.000000
38,0.336344, 0.336344,0.210351, 0.210351,0.189045, 0.189045,0.160297, 0.160297,0.103962, 0.103962,0.000000
39,0.256583, 0.256583,0.267768, 0.267768,0.204556, 0.204556,0.205221, 0.205221,0.065871, 0.065871,0.000000
40,0.393677, 0.393677,0.216551, 0.216551,0.197160, 0.197160,0.097930, 0.097930,0.094683, 0.094683,0.000000
41,0.247731, 0.247731,0.228777, 0.228777,0.265298, 0.265298,0.161031, 0.161031,0.097162, 0.097162,0.000000
42,0.265122, 0.265122,0.229187, 0.229187,0.265122, 0.265122,0.142678, 0.142678,0.097890, 0.097890,0.000000
43,0.373112, 0.373112,0.229464, 0.229464,0.154010, 0.154010,0.186413, 0.186413,0.057000, 0.057000,0.000000
44,0.241869, 0.241869,0.307042, 0.307042,0.183602, 0.183602,0.181177, 0.181177,0.086310, 0.086310,0.000000
45,0.281818, 0.281818,0.225180, 0.225180,0.162159, 0.162159,0.192968, 0.192968,0.137876, 0.137876,0.000000
46,0.349479, 0.349479,0.271921, 0.271921,0.180777, 0.180777,0.119724, 0.119724,0.078099, 0.078099,0.000000
47,0.322714, 0.322714,0.240968, 0.240968,0.228285, 0.228285,0.121115, 0.121115,0.086917, 0.086917,0.000000
48,0.320348, 0.320348,0.267556, 0.267556,0.232154, 0.232154,0.091546, 0.091546,0.088395, 0.088395,0.000000
49,0.287289, 0.287289,0.252177, 0.252177,0.161200, 0.161200,0.203342, 0.203342,0.095992, 0.095992,0.000000
50,0.299321, 0.299321,0.240458, 0.240458,0.172103, 0.172103,0.216501, 0.216501,0.071617, 0.071617,0.000000
51,0.233396, 0.233396,0.307046, 0.307046,0.230026, 0.230026,0.146704, 0.146704,0.082827, 0.082827,0.000000
52,0.328786, 0.328786,0.272418, 0.272418,0.192577, 0.192577,0.122994, 0.122994,0.083224, 0.083224,0.000000
53,0.358320, 0.358320,0.212684, 0.212684,0.215749, 0.215749,0.136839, 0.136839,0.076408, 0.076408,0.000000
54,0.282261, 0.282261,0.251485, 0.251485,0.194827, 0.194827,0.194827, 0.194827,0.076600, 0.076600,0.000000
55,0.315982, 0.315982,0.252139, 0.252139,0.199845, 0.199845,0.187633, 0.187633,0.044402, 0.044402,0.000000
56,0.316910, 0.316910,0.251054, 0.251054,0.158455, 0.158455,0.158455, 0.158455,0.115126, 0.115126,0.000000
57,0.404703, 0.404703,0.250595, 0.250595,0.164382, 0.164382,0.127144, 0.127144,0.053176, 0.053176,0.000000
58,0.355137, 0.355137,0.229426, 0.229426,0.164377, 0.164377,0.195660, 0.195660,0.055401, 0.055401,0.000000
59,0.351241, 0.351241,0.258562, 0.258562,0.191491, 0.191491,0.117255, 0.117255,0.081450, 0.081450,0.000000
60,0.234254, 0.234254,0.253289, 0.253289,0.191789, 0.191789,0.209965, 0.209965,0.110704, 0.110704,0.000000
61,0.295014, 0.295014,0.251486, 0.251486,0.183651, 0.183651,0.187178, 0.187178,0.082670, 0.082670,0.000000
62,0.330792, 0.330792,0.282051, 0.282051,0.133008, 0.133008,0.170542, 0.170542,0.083606, 0.083606,0.000000
63,0.310539, 0.310539,0.252711, 0.252711,0.208422, 0.208422,0.153798, 0.153798,0.074530, 0.074530,0.000000
64,0.283375, 0.283375,0.324272, 0.324272,0.177423, 0.177423,0.118104, 0.118104,0.096826, 0.096826,0.000000
65,0.342718, 0.342718,0.232750, 0.232750,0.161198, 0.161198,0.158884, 0.158884,0.104450, 0.104450,0.000000
66,0.369403, 0.369403,0.267567, 0.267567,0.194582, 0.194582,0.092034, 0.092034,0.076414, 0.076414,0.000000
67,0.315659, 0.315659,0.308243, 0.308243,0.159990, 0.159990,0.120953, 0.120953,0.095156, 0.095156,0.000000
68,0.255992, 0.255992,0.292607, 0.292607,0.254964, 0.254964,0.128994, 0.128994,0.067442, 0.067442,0.000000
69,0.340362, 0.340362,0.272963, 0.272963,0.239773, 0.239773,0.111627, 0.111627,0.035275, 0.035275,0.000000
70,0.274998, 0.274998,0.284880, 0.284880,0.231877, 0.231877,0.143474, 0.143474,0.064771, 0.064771,0.000000
71,0.296255, 0.296255,0.251016, 0.251016,0.186126, 0.186126,0.163629, 0.163629,0.102973, 0.102973,0.000000
72,0.344017, 0.344017,0.174187, 0.174187,0.283524, 0.283524,0.135262, 0.135262,0.063011, 0.063011,0.000000
73,0.298635, 0.298635,0.283382, 0.283382,0.156902, 0.156902,0.194005, 0.194005,0.067076, 0.067076,0.000000
74,0.236707, 0.236707,0.305313, 0.305313,0.165364, 0.165364,0.186141, 0.186141,0.106475, 0.106475,0.000000
75,0.366147, 0.366147,0.206846, 0.206846,0.198961, 0.198961,0.135663, 0.135663,0.092383, 0.092383,0.000000
76,0.308474, 0.308474,0.304582, 0.304582,0.168104, 0.168104,0.168479, 0.168479,0.050361, 0.050361,0.000000
77,0.336769, 0.336769,0.351386, 0.351386,0.154090, 0.154090,0.080595, 0.080595,0.077160, 0.077160,0.000000
78,0.268829, 0.268829,0.313588, 0.313588,0.164148, 0.164148,0.153387, 0.153387,0.100048, 0.100048,0.000000
79,0.283997, 0.283997,0.205764, 0.205764,0.275848, 0.275848,0.094236, 0.094236,0.140155, 0.140155,0.000000
80,0.306265, 0.306265,0.251267, 0.251267,0.182980, 0.182980,0.165087, 0.165087,0.094401, 0.094401,0.000000
81,0.371358, 0.371358,0.204897, 0.204897,0.198212, 0.198212,0.150612, 0.150612,0.074920, 0.074920,0.000000
82,0.315514, 0.315514,0.254956, 0.254956,0.276150, 0.276150,0.107362, 0.107362,0.046019, 0.046019,0.000000
83,0.322093, 0.322093,0.241053, 0.241053,0.206579, 0.206579,0.147713, 0.147713,0.082561, 0.082561,0.000000
84,0.337854, 0.337854,0.261036, 0.261036,0.248868, 0.248868,0.099551, 0.099551,0.052690, 0.052690,0.000000
85,0.348871, 0.348871,0.233012, 0.233012,0.246258, 0.246258,0.110730, 0.110730,0.061129, 0.061129,0.000000
86,0.333891, 0.333891,0.267376, 0.267376,0.185766, 0.185766,0.158449, 0.158449,0.054518, 0.054518,0.000000
87,0.291671, 0.291671,0.217267, 0.217267,0.242069, 0.242069,0.127958, 0.127958,0.121034, 0.121034,0.000000
88,0.275152, 0.275152,0.260995, 0.260995,0.227432, 0.227432,0.155870, 0.155870,0.080551, 0.080551,0.000000
89,0.230836, 0.230836,0.351294, 0.351294,0.222721, 0.222721,0.128324, 0.128324,0.066825, 0.066825,0.000000
90,0.317994, 0.317994,0.285605, 0.285605,0.199790, 0.199790,0.109856, 0.109856,0.086755, 0.086755,0.000000
91,0.325286, 0.325286,0.211333, 0.211333,0.142453, 0.142453,0.215261, 0.215261,0.105667, 0.105667,0.000000
92,0.311599, 0.311599,0.322305, 0.322305,0.180648, 0.180648,0.120652, 0.120652,0.064796, 0.064796,0.000000
93,0.304954, 0.304954,0.198296, 0.198296,0.259387, 0.259387,0.152477, 0.152477,0.084887, 0.084887,0.000000
94,0.230592, 0.230592,0.331162, 0.331162,0.211287, 0.211287,0.124228, 0.124228,0.102730, 0.102730,0.000000
95,0.296443, 0.296443,0.257801, 0.257801,0.195376, 0.195376,0.201261, 0.201261,0.049120, 0.049120,0.000000
96,0.312470, 0.312470,0.242557, 0.242557,0.263357, 0.263357,0.102933, 0.102933,0.078683, 0.078683,0.000000
97,0.270198, 0.270198,0.276741, 0.276741,0.243389, 0.243389,0.172662, 0.172662,0.037010, 0.037010,0.000000
98,0.272610, 0.272610,0.211908, 0.211908,0.292845, 0.292845,0.116071, 0.116071,0.106566, 0.106566,0.000000
99,0.254780, 0.254780,0.270396, 0.270396,0.264000, 0.264000,0.151938, 0.151938,0.058886, 0.058886,0.000000
100,0.308080, 0.308080,0.215687, 0.215687,0.233443, 0.233443,0.123090, 0.123090,0.119700, 0.119700,0.000000
101,0.330251, 0.330251,0.204385, 0.204385,0.182154, 0.182154,0.204300, 0.204300,0.078910, 0.078910,0.000000
102,0.402362, 0.402362,0.177173, 0.177173,0.177173, 0.177173,0.144425, 0.144425,0.098868, 0.098868,0.000000
103,0.362239, 0.362239,0.234477, 0.234477,0.241119, 0.241119,0.130154, 0.130154,0.032011, 0.032011,0.000000
104,0.239564, 0.239564,0.316442, 0.316442,0.200425, 0.200425,0.177354, 0.177354,0.066214, 0.066214,0.000000
105,0.304902, 0.304902,0.296731, 0.296731,0.181614, 0.181614,0.148366, 0.148366,0.068387, 0.068387,0.000000
106,0.254124, 0.254124,0.288208, 0.288208,0.229604, 0.229604,0.178091, 0.178091,0.049973, 0.049973,0.000000
107,0.267641, 0.267641,0.305595, 0.305595,0.204176, 0.204176,0.171354, 0.171354,0.051234, 0.051234,0.000000
108,0.417571, 0.417571,0.172398, 0.172398,0.191862, 0.191862,0.115774, 0.115774,0.102394, 0.102394,0.000000
109,0.327983, 0.327983,0.312602, 0.312602,0.170325, 0.170325,0.139725, 0.139725,0.049366, 0.049366,0.000000
110,0.281114, 0.281114,0.246323, 0.246323,0.195093, 0.195093,0.182245, 0.182245,0.095226, 0.095226,0.000000
111,0.385942, 0.385942,0.232092, 0.232092,0.153279, 0.153279,0.094242, 0.094242,0.134445, 0.134445,0.000000
112,0.294202, 0.294202,0.264301, 0.264301,0.193094, 0.193094,0.199522, 0.199522,0.048882, 0.048882,0.000000
113,0.336499, 0.336499,0.264301, 0.264301,0.184700, 0.184700,0.150805, 0.150805,0.063694, 0.063694,0.000000
114,0.281639, 0.281639,0.218783, 0.218783,0.213808, 0.213808,0.199601, 0.199601,0.086169, 0.086169,0.000000
