ó^Ç¶ÇΩèdóvìx,0.230000,0.370000,0.190000,0.310000,0.150000,0.250000,0.110000,0.190000,0.070000,0.130000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],ãÊä‘ïùÇÃëçòa
1,0.279840, 0.352744,0.183661, 0.295149,0.176372, 0.273119,0.121098, 0.151077,0.073788, 0.093152,0.330482
2,0.268294, 0.404335,0.162559, 0.278124,0.142193, 0.182269,0.128118, 0.174481,0.117434, 0.142193,0.362806
3,0.198114, 0.387970,0.184654, 0.277230,0.181916, 0.243056,0.121528, 0.211491,0.091477, 0.102566,0.444624
4,0.258388, 0.339093,0.237623, 0.315312,0.165913, 0.252895,0.104605, 0.134140,0.077859, 0.114172,0.311224
5,0.375152, 0.417441,0.162541, 0.187576,0.163987, 0.221978,0.109910, 0.178472,0.068389, 0.114553,0.240041
6,0.387666, 0.397417,0.197477, 0.202021,0.153453, 0.232133,0.096201, 0.154182,0.076100, 0.103349,0.178207
7,0.234226, 0.256884,0.226146, 0.325489,0.196359, 0.234226,0.105291, 0.206088,0.098180, 0.117113,0.279598
8,0.242225, 0.402562,0.184803, 0.304088,0.141826, 0.264846,0.112323, 0.124016,0.088282, 0.135030,0.461082
9,0.236339, 0.348560,0.214012, 0.273463,0.179398, 0.248688,0.109556, 0.194952,0.088026, 0.107006,0.345337
10,0.262414, 0.383144,0.229400, 0.282617,0.162609, 0.229443,0.123886, 0.165263,0.073754, 0.087471,0.295875
11,0.237127, 0.345003,0.189411, 0.297106,0.146098, 0.201496,0.182074, 0.237127,0.063388, 0.101173,0.363808
12,0.282377, 0.366628,0.167813, 0.328050,0.119521, 0.201301,0.122209, 0.215538,0.072930, 0.123633,0.470298
13,0.219391, 0.409061,0.200601, 0.329667,0.113601, 0.219391,0.130712, 0.141966,0.100350, 0.135260,0.470690
14,0.268053, 0.360997,0.148900, 0.282904,0.206265, 0.268053,0.111970, 0.166735,0.065383, 0.120741,0.398860
15,0.228681, 0.351745,0.210570, 0.266421,0.213929, 0.233462,0.117248, 0.225442,0.066605, 0.085896,0.325933
16,0.294706, 0.350419,0.218096, 0.301361,0.175209, 0.240425,0.096744, 0.104569,0.104569, 0.113902,0.221352
17,0.209821, 0.399803,0.210006, 0.334240,0.099274, 0.227735,0.119585, 0.216625,0.069604, 0.113307,0.583419
18,0.272253, 0.322679,0.254306, 0.290651,0.161340, 0.259625,0.125916, 0.146562,0.069809, 0.096859,0.232753
19,0.187119, 0.255135,0.246909, 0.336655,0.162899, 0.222106,0.141813, 0.193355,0.107472, 0.146538,0.307577
20,0.245281, 0.444511,0.178393, 0.245281,0.167996, 0.226653,0.099815, 0.197521,0.070775, 0.123774,0.475480
21,0.238993, 0.271914,0.213256, 0.318866,0.159433, 0.300085,0.124971, 0.224690,0.068127, 0.079664,0.390439
22,0.227104, 0.379796,0.230998, 0.279981,0.172020, 0.251406,0.093327, 0.125065,0.065870, 0.174434,0.421362
23,0.233329, 0.394257,0.193791, 0.232017,0.194063, 0.233329,0.104815, 0.200703,0.097032, 0.116664,0.353942
24,0.271973, 0.352533,0.271704, 0.315458,0.157604, 0.201871,0.096465, 0.143003,0.088133, 0.101253,0.228239
25,0.264915, 0.398052,0.181807, 0.275662,0.198716, 0.213553,0.100467, 0.181807,0.079042, 0.105977,0.350104
26,0.249079, 0.321365,0.249393, 0.295862,0.161413, 0.261336,0.107122, 0.188210,0.073965, 0.092254,0.318054
27,0.276984, 0.409404,0.203552, 0.314533,0.157267, 0.201269,0.098678, 0.100204,0.097156, 0.140953,0.332726
28,0.262308, 0.436960,0.164799, 0.262308,0.169259, 0.189327,0.135619, 0.200127,0.079612, 0.099681,0.376805
29,0.270161, 0.337533,0.216109, 0.270161,0.148477, 0.264217,0.120070, 0.163302,0.083662, 0.126308,0.323042
30,0.367733, 0.377868,0.179075, 0.270805,0.176206, 0.202211,0.088006, 0.176782,0.067404, 0.093909,0.243152
31,0.233490, 0.371073,0.206143, 0.276644,0.138322, 0.180042,0.133139, 0.248331,0.065021, 0.147794,0.447769
32,0.242746, 0.410734,0.187255, 0.274733,0.194830, 0.223052,0.106445, 0.134397,0.091578, 0.134230,0.354292
33,0.293764, 0.391593,0.183863, 0.230199,0.195797, 0.252924,0.115099, 0.160226,0.077090, 0.099445,0.268774
34,0.266447, 0.445159,0.185863, 0.296100,0.123491, 0.236658,0.101257, 0.133223,0.070748, 0.141053,0.504387
35,0.258645, 0.401539,0.168062, 0.258645,0.135683, 0.242704,0.107688, 0.198522,0.085963, 0.142548,0.487916
36,0.387666, 0.397417,0.153453, 0.232133,0.197477, 0.202021,0.096201, 0.154182,0.076100, 0.103349,0.178207
37,0.272253, 0.322679,0.254306, 0.290651,0.161340, 0.259625,0.125916, 0.146562,0.069809, 0.096859,0.232753
38,0.232959, 0.429264,0.174167, 0.189409,0.140653, 0.240423,0.109818, 0.232959,0.090237, 0.160110,0.504329
39,0.227788, 0.274129,0.227792, 0.274143,0.191735, 0.236153,0.137064, 0.241776,0.068536, 0.120885,0.294170
40,0.351598, 0.417439,0.195661, 0.210397,0.195661, 0.210397,0.096930, 0.118890,0.094310, 0.108719,0.131682
41,0.201692, 0.309170,0.237204, 0.256731,0.147409, 0.277556,0.121651, 0.215230,0.092519, 0.140838,0.399050
42,0.235349, 0.311655,0.172118, 0.268234,0.246839, 0.246839,0.100009, 0.172118,0.123419, 0.123419,0.244530
