ó^Ç¶ÇΩèdóvìx,0.230000,0.370000,0.190000,0.310000,0.150000,0.250000,0.110000,0.190000,0.070000,0.130000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],ãÊä‘ïùÇÃëçòa
1,0.219171, 0.413413,0.162518, 0.316292,0.158146, 0.291345,0.109624, 0.162551,0.060734, 0.106206,0.579615
2,0.234855, 0.437774,0.130985, 0.309698,0.129813, 0.194648,0.112482, 0.190118,0.097396, 0.162231,0.588937
3,0.185945, 0.400139,0.170819, 0.291064,0.139527, 0.285445,0.112451, 0.220568,0.087221, 0.106822,0.608073
4,0.208319, 0.389161,0.182924, 0.370011,0.142341, 0.276468,0.094457, 0.144289,0.069117, 0.122913,0.605684
5,0.350117, 0.442477,0.151969, 0.198148,0.121767, 0.264198,0.094876, 0.193506,0.049117, 0.133825,0.464308
6,0.382076, 0.403008,0.191865, 0.207633,0.146860, 0.238726,0.078701, 0.171682,0.071301, 0.108149,0.258394
7,0.215293, 0.275817,0.197012, 0.354622,0.185030, 0.245555,0.096086, 0.215293,0.092515, 0.122777,0.428128
8,0.207304, 0.437482,0.113038, 0.375854,0.091245, 0.315427,0.097734, 0.138605,0.072915, 0.150396,0.835527
9,0.192600, 0.392299,0.195069, 0.292406,0.135681, 0.292406,0.090464, 0.214043,0.073163, 0.121869,0.626045
10,0.247979, 0.397579,0.207407, 0.304610,0.143858, 0.248193,0.104504, 0.184645,0.064261, 0.096964,0.463981
11,0.209910, 0.372220,0.146168, 0.340349,0.136715, 0.210878,0.140452, 0.278749,0.059140, 0.105420,0.615231
12,0.183314, 0.465690,0.107912, 0.387952,0.099575, 0.221247,0.108167, 0.229580,0.037992, 0.158571,0.926078
13,0.196653, 0.431799,0.166294, 0.363973,0.037129, 0.295863,0.124747, 0.147931,0.079623, 0.155987,0.791107
14,0.237159, 0.391891,0.092245, 0.339558,0.159793, 0.314525,0.083194, 0.195512,0.046771, 0.139353,0.761676
15,0.205702, 0.374724,0.171989, 0.305002,0.185961, 0.261431,0.106332, 0.236359,0.063292, 0.089209,0.533451
16,0.262072, 0.383053,0.202041, 0.317416,0.163854, 0.251780,0.092077, 0.109236,0.100657, 0.117815,0.358600
17,0.145237, 0.464387,0.178423, 0.365823,0.034324, 0.292684,0.064088, 0.272123,0.019407, 0.163504,1.117042
18,0.233145, 0.361787,0.240071, 0.304886,0.154607, 0.266357,0.117256, 0.155222,0.059066, 0.107602,0.391708
19,0.165723, 0.276531,0.218682, 0.364881,0.144274, 0.240731,0.125601, 0.209567,0.095184, 0.158826,0.501070
20,0.211837, 0.477955,0.108824, 0.314849,0.108337, 0.286312,0.056784, 0.240553,0.041896, 0.152653,0.944643
21,0.221687, 0.289221,0.156613, 0.375509,0.138334, 0.321184,0.094207, 0.255454,0.062640, 0.085151,0.653039
22,0.187855, 0.419044,0.183390, 0.327588,0.156494, 0.266932,0.085163, 0.133229,0.028590, 0.211713,0.717013
23,0.213696, 0.413890,0.172951, 0.252856,0.179090, 0.248302,0.058621, 0.246897,0.089545, 0.124151,0.572193
24,0.250947, 0.373560,0.227687, 0.359476,0.146791, 0.212685,0.089869, 0.149600,0.082731, 0.106655,0.403950
25,0.250089, 0.412878,0.170019, 0.287450,0.187758, 0.224511,0.074894, 0.207381,0.072764, 0.112255,0.488950
26,0.192211, 0.378233,0.218578, 0.326678,0.137802, 0.284947,0.095166, 0.200166,0.068157, 0.098062,0.576173
27,0.252727, 0.433661,0.191186, 0.326899,0.150627, 0.207909,0.097525, 0.101357,0.086101, 0.152008,0.443667
28,0.247814, 0.451454,0.128325, 0.298783,0.129122, 0.229464,0.100314, 0.235432,0.039476, 0.139818,0.709900
29,0.243135, 0.364559,0.182423, 0.303847,0.108935, 0.303760,0.105332, 0.178040,0.068284, 0.141686,0.583783
30,0.358019, 0.387583,0.144495, 0.305385,0.162993, 0.215424,0.075580, 0.189209,0.063070, 0.098243,0.391686
31,0.179469, 0.425095,0.164423, 0.318364,0.120697, 0.197667,0.079189, 0.302282,0.034345, 0.178470,0.843756
32,0.225808, 0.427672,0.123276, 0.338712,0.175399, 0.242484,0.079886, 0.160956,0.084349, 0.141459,0.622566
33,0.274401, 0.410956,0.159817, 0.254245,0.182923, 0.265798,0.109123, 0.166203,0.070031, 0.106504,0.407412
34,0.234481, 0.477125,0.058361, 0.423603,0.105901, 0.254248,0.056579, 0.177901,0.045486, 0.166315,0.998385
35,0.228511, 0.431673,0.096615, 0.330092,0.108543, 0.269844,0.077699, 0.228511,0.039318, 0.189193,0.898627
36,0.382076, 0.403008,0.146860, 0.238726,0.191865, 0.207633,0.078701, 0.171682,0.071301, 0.108149,0.258394
37,0.233145, 0.361787,0.240071, 0.304886,0.154607, 0.266357,0.117256, 0.155222,0.059066, 0.107602,0.391708
38,0.183324, 0.478899,0.143684, 0.219891,0.062169, 0.318907,0.058845, 0.283932,0.068559, 0.181788,0.966835
39,0.172123, 0.329794,0.172140, 0.329794,0.176929, 0.250959,0.125479, 0.253361,0.062744, 0.126676,0.581169
40,0.342919, 0.426117,0.167826, 0.238232,0.167826, 0.238232,0.086371, 0.129449,0.066311, 0.136717,0.337495
41,0.142651, 0.368211,0.204259, 0.289676,0.112852, 0.312113,0.089914, 0.246968,0.080287, 0.153070,0.740074
42,0.189390, 0.357614,0.152923, 0.287429,0.246839, 0.246839,0.080676, 0.191451,0.123419, 0.123419,0.413506
43,0.306979, 0.400717,0.163767, 0.316307,0.128828, 0.178152,0.090556, 0.248817,0.060406, 0.105471,0.498928
44,0.194072, 0.282576,0.238324, 0.366441,0.133982, 0.241906,0.019347, 0.288242,0.062212, 0.172898,0.704127
45,0.236201, 0.335047,0.167524, 0.338248,0.114900, 0.220147,0.114900, 0.220147,0.083762, 0.169124,0.565425
46,0.221501, 0.455391,0.184609, 0.320668,0.068962, 0.307674,0.051097, 0.195049,0.052989, 0.142060,0.841682
47,0.163015, 0.504322,0.128466, 0.342374,0.091020, 0.297348,0.027321, 0.265151,0.024838, 0.156146,1.130680
48,0.232634, 0.365593,0.213820, 0.302033,0.176961, 0.299113,0.076177, 0.125178,0.074778, 0.133713,0.451261
49,0.269382, 0.327078,0.240535, 0.298230,0.109026, 0.218052,0.072687, 0.234090,0.065917, 0.165002,0.484905
50,0.269093, 0.413528,0.142943, 0.284575,0.169628, 0.189163,0.083976, 0.268048,0.069912, 0.109135,0.528896
51,0.206015, 0.280020,0.243017, 0.317023,0.206015, 0.280020,0.121509, 0.158511,0.066362, 0.121509,0.314165
52,0.301511, 0.339845,0.220052, 0.334316,0.134353, 0.229820,0.100258, 0.119794,0.100258, 0.119794,0.287137
53,0.268155, 0.418872,0.171757, 0.247115,0.123677, 0.280568,0.080274, 0.202122,0.067374, 0.140087,0.577528
54,0.178349, 0.330583,0.194562, 0.278510,0.192012, 0.241440,0.133747, 0.249597,0.078845, 0.122354,0.444968
55,0.246682, 0.373165,0.161627, 0.309924,0.111410, 0.310681,0.117754, 0.224868,0.050596, 0.093291,0.623861
