ó^Ç¶ÇΩèdóvìx,0.230000,0.370000,0.190000,0.310000,0.150000,0.250000,0.110000,0.190000,0.070000,0.130000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],ãÊä‘ïùÇÃëçòa
1,0.227976, 0.341964,0.170222, 0.303968,0.121587, 0.243174,0.091190, 0.260544,0.056994, 0.182381,0.664061
2,0.229574, 0.377158,0.125719, 0.268900,0.088004, 0.264011,0.076525, 0.229574,0.076525, 0.264011,0.807306
3,0.188406, 0.350825,0.094203, 0.317936,0.094203, 0.329711,0.066934, 0.267735,0.044623, 0.245424,1.023262
4,0.229165, 0.343747,0.192981, 0.308769,0.122221, 0.249998,0.083333, 0.229164,0.057291, 0.183332,0.630020
5,0.305795, 0.407727,0.152898, 0.264823,0.152898, 0.254230,0.105929, 0.168825,0.050966, 0.135909,0.463028
6,0.328824, 0.451718,0.164412, 0.274020,0.128506, 0.192759,0.084697, 0.174688,0.054804, 0.145573,0.477514
7,0.200979, 0.334965,0.200979, 0.301469,0.139139, 0.250451,0.066993, 0.200979,0.069570, 0.234476,0.644679
8,0.231712, 0.397220,0.122949, 0.286881,0.078240, 0.276635,0.078240, 0.260801,0.052160, 0.215161,0.873397
9,0.206991, 0.310487,0.169357, 0.338713,0.143302, 0.257943,0.071651, 0.214953,0.071651, 0.214953,0.674097
10,0.225472, 0.338207,0.182112, 0.303519,0.122757, 0.251093,0.081838, 0.209244,0.060704, 0.225054,0.654237
11,0.209817, 0.349695,0.161859, 0.323718,0.104909, 0.224804,0.153110, 0.269765,0.044961, 0.157363,0.650690
12,0.225968, 0.404232,0.133263, 0.280934,0.078746, 0.255926,0.075323, 0.244799,0.056492, 0.244316,0.860414
13,0.202663, 0.360290,0.105737, 0.270217,0.081065, 0.252203,0.081065, 0.310750,0.054043, 0.281966,0.950852
14,0.208505, 0.364884,0.114026, 0.243256,0.165856, 0.290249,0.104253, 0.285066,0.041464, 0.182442,0.731792
15,0.190173, 0.297145,0.190173, 0.316955,0.190173, 0.332802,0.063391, 0.193902,0.047543, 0.177743,0.637095
16,0.241705, 0.354500,0.177250, 0.279869,0.120852, 0.241705,0.080568, 0.221563,0.080568, 0.201421,0.598113
17,0.130529, 0.342640,0.130529, 0.369833,0.074371, 0.261059,0.071663, 0.261059,0.053747, 0.304569,1.078318
18,0.236634, 0.331287,0.182208, 0.298158,0.118831, 0.242944,0.091104, 0.257468,0.059158, 0.182208,0.624130
19,0.145816, 0.291632,0.215410, 0.344656,0.118476, 0.236951,0.118476, 0.236951,0.072908, 0.218724,0.657829
20,0.201985, 0.346261,0.136682, 0.286561,0.123665, 0.309161,0.082443, 0.239879,0.045561, 0.227803,0.819329
21,0.188782, 0.377565,0.188782, 0.314637,0.094391, 0.213406,0.094391, 0.213406,0.062927, 0.251710,0.741450
22,0.194441, 0.351075,0.194441, 0.349994,0.127946, 0.247638,0.064814, 0.228843,0.038888, 0.201920,0.758938
23,0.198050, 0.330083,0.111403, 0.259940,0.148537, 0.297074,0.074269, 0.222806,0.074269, 0.283571,0.786947
24,0.273858, 0.365144,0.239626, 0.319501,0.136929, 0.213000,0.073731, 0.159750,0.071000, 0.147462,0.409714
25,0.215930, 0.359884,0.137768, 0.295547,0.110214, 0.286558,0.067824, 0.220429,0.044086, 0.261759,0.848354
26,0.204342, 0.336175,0.204342, 0.361855,0.140073, 0.242359,0.068114, 0.204342,0.051085, 0.187313,0.664088
