ó^Ç¶ÇΩèdóvìx,0.230000,0.370000,0.200000,0.300000,0.170000,0.230000,0.100000,0.200000,0.030000,0.170000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],ãÊä‘ïùÇÃëçòa
1,0.285808, 0.315810,0.255234, 0.285808,0.157905, 0.255234,0.127617, 0.179861,0.035552, 0.101170,0.275767
2,0.293157, 0.329268,0.185906, 0.293157,0.139819, 0.210906,0.109756, 0.190254,0.082317, 0.165460,0.378090
3,0.219074, 0.351810,0.175905, 0.248127,0.175905, 0.248632,0.087952, 0.226767,0.046754, 0.219074,0.588819
4,0.280080, 0.307858,0.254208, 0.289103,0.153929, 0.254208,0.118013, 0.167313,0.048184, 0.127104,0.291171
5,0.372947, 0.402144,0.184251, 0.216776,0.184251, 0.214756,0.100536, 0.184251,0.033099, 0.106988,0.249831
6,0.395973, 0.435367,0.197987, 0.237381,0.166993, 0.201161,0.054873, 0.166993,0.033527, 0.109746,0.301295
7,0.244360, 0.281397,0.244360, 0.281397,0.204608, 0.244360,0.081453, 0.204608,0.068203, 0.145257,0.314034
8,0.344997, 0.387854,0.193927, 0.237260,0.113630, 0.207455,0.091606, 0.201589,0.041491, 0.180191,0.428698
9,0.245825, 0.279158,0.245825, 0.288788,0.207688, 0.248206,0.089349, 0.207688,0.047101, 0.140373,0.328424
10,0.283564, 0.311846,0.248097, 0.283564,0.155923, 0.248097,0.102602, 0.178650,0.062024, 0.125632,0.295580
11,0.248845, 0.280713,0.248845, 0.282178,0.124422, 0.220884,0.220884, 0.248845,0.027924, 0.096462,0.258161
12,0.295304, 0.339748,0.204610, 0.295304,0.134970, 0.205413,0.113249, 0.214548,0.042186, 0.154667,0.419361
13,0.287666, 0.332111,0.166055, 0.237159,0.161951, 0.287666,0.110008, 0.208859,0.038574, 0.169951,0.471491
14,0.277458, 0.317458,0.158729, 0.243681,0.243681, 0.277458,0.129638, 0.189032,0.027076, 0.135792,0.326839
15,0.235759, 0.282744,0.235759, 0.272682,0.235759, 0.276784,0.094248, 0.235759,0.030298, 0.100208,0.336355
16,0.288347, 0.326645,0.207018, 0.288347,0.163322, 0.215714,0.086640, 0.147943,0.069006, 0.207018,0.371334
17,0.237419, 0.283133,0.228328, 0.285903,0.179894, 0.237419,0.094378, 0.237119,0.036514, 0.179894,0.446935
18,0.283923, 0.319289,0.251231, 0.283923,0.159645, 0.251231,0.125616, 0.177987,0.036422, 0.110733,0.286326
19,0.209308, 0.284779,0.279223, 0.321159,0.160579, 0.224933,0.075069, 0.209308,0.074978, 0.160664,0.401686
20,0.293569, 0.329163,0.204444, 0.293569,0.164581, 0.221835,0.102578, 0.211587,0.046763, 0.131911,0.376129
21,0.248666, 0.279435,0.221417, 0.248666,0.248666, 0.279435,0.124333, 0.221417,0.036903, 0.091063,0.240032
22,0.247570, 0.289792,0.247570, 0.287076,0.198999, 0.250745,0.089931, 0.157118,0.032199, 0.198999,0.367462
23,0.280141, 0.313474,0.156737, 0.234312,0.221269, 0.280141,0.094962, 0.221269,0.063690, 0.134005,0.366402
24,0.311101, 0.324054,0.312943, 0.329610,0.162027, 0.183650,0.090783, 0.155551,0.054009, 0.076273,0.138273
25,0.293956, 0.331603,0.210918, 0.293956,0.165801, 0.230362,0.093178, 0.210918,0.036845, 0.132464,0.398604
26,0.258863, 0.288984,0.258863, 0.295787,0.206719, 0.258863,0.094722, 0.206719,0.038585, 0.091895,0.284495
27,0.351327, 0.375717,0.187859, 0.210936,0.187859, 0.221116,0.070312, 0.123359,0.095852, 0.175664,0.213583
28,0.284714, 0.334714,0.193022, 0.284714,0.152357, 0.221513,0.103000, 0.194857,0.038089, 0.193022,0.457638
29,0.270937, 0.307301,0.237171, 0.270937,0.153650, 0.237171,0.135469, 0.193650,0.047434, 0.146279,0.310677
30,0.387895, 0.423046,0.193947, 0.220311,0.172568, 0.204292,0.073437, 0.172568,0.040858, 0.111076,0.262588
31,0.262305, 0.300619,0.209596, 0.284527,0.150310, 0.229040,0.119083, 0.262305,0.033402, 0.148813,0.450609
32,0.343728, 0.378114,0.189057, 0.218469,0.189057, 0.218469,0.094529, 0.137202,0.059510, 0.171864,0.248237
33,0.272249, 0.306087,0.251196, 0.286284,0.153044, 0.251196,0.125598, 0.177791,0.041866, 0.134689,0.312095
34,0.373280, 0.401946,0.200973, 0.230064,0.179920, 0.206821,0.100486, 0.186640,0.025563, 0.094308,0.239556
35,0.299528, 0.342651,0.196325, 0.299528,0.171325, 0.228825,0.085663, 0.147393,0.028863, 0.199897,0.436590
36,0.389347, 0.427529,0.171407, 0.209616,0.194673, 0.232855,0.054438, 0.171407,0.039854, 0.108875,0.300563
37,0.277310, 0.312655,0.256257, 0.287836,0.156328, 0.256257,0.128129, 0.174680,0.041119, 0.109430,0.281716
38,0.284643, 0.327976,0.162321, 0.222321,0.152946, 0.212321,0.106161, 0.284643,0.065595, 0.181071,0.456667
39,0.229885, 0.259880,0.229885, 0.263218,0.229885, 0.267980,0.129940, 0.229885,0.037603, 0.121839,0.285605
40,0.383508, 0.397241,0.198620, 0.218109,0.198620, 0.215394,0.072703, 0.127836,0.079448, 0.108521,0.134201
41,0.249587, 0.289093,0.221016, 0.273397,0.144547, 0.235302,0.124794, 0.266254,0.039217, 0.156794,0.441679
42,0.240892, 0.263114,0.202363, 0.240892,0.240892, 0.270521,0.087705, 0.202363,0.101182, 0.150076,0.253933
43,0.356705, 0.388233,0.194116, 0.264584,0.132292, 0.191686,0.132292, 0.189781,0.031630, 0.118680,0.305928
44,0.248000, 0.296148,0.248000, 0.288740,0.198498, 0.252761,0.090074, 0.153670,0.025612, 0.198498,0.379635
45,0.270301, 0.316967,0.193659, 0.270301,0.155150, 0.210326,0.135150, 0.190865,0.063622, 0.193659,0.364236
46,0.303874, 0.358290,0.179145, 0.253064,0.126532, 0.303874,0.105875, 0.165147,0.038382, 0.165818,0.492385
47,0.275826, 0.338283,0.169142, 0.236488,0.169142, 0.234221,0.084571, 0.275826,0.026431, 0.190072,0.549780
48,0.265726, 0.285171,0.265726, 0.293226,0.247063, 0.265726,0.070598, 0.126198,0.057034, 0.123531,0.187705
49,0.300295, 0.358629,0.216146, 0.302256,0.150148, 0.204116,0.079836, 0.147797,0.024633, 0.216146,0.457886
50,0.373737, 0.404906,0.186869, 0.211352,0.186869, 0.218038,0.105676, 0.186869,0.026696, 0.098990,0.240308
51,0.246897, 0.273922,0.255172, 0.273922,0.246897, 0.273922,0.127586, 0.146336,0.031897, 0.123448,0.183103
52,0.302811, 0.336145,0.282811, 0.302811,0.151406, 0.188942,0.087328, 0.146534,0.059806, 0.141406,0.231675
53,0.367097, 0.396188,0.183549, 0.214513,0.183549, 0.207791,0.107257, 0.183549,0.041558, 0.114949,0.233981
54,0.228571, 0.258624,0.228571, 0.258201,0.228571, 0.264127,0.129312, 0.228571,0.051640, 0.123810,0.266667
55,0.281447, 0.322142,0.229593, 0.281447,0.155943, 0.229593,0.114796, 0.237000,0.029744, 0.118294,0.376953
56,0.265824, 0.305824,0.197326, 0.265824,0.152912, 0.209826,0.132912, 0.195769,0.076456, 0.197326,0.349139
57,0.405208, 0.433541,0.202604, 0.221863,0.156960, 0.202604,0.107969, 0.158161,0.027733, 0.083358,0.199054
58,0.295690, 0.334906,0.223486, 0.295690,0.147845, 0.201100,0.111635, 0.223486,0.038327, 0.127835,0.366033
59,0.255621, 0.294139,0.227049, 0.277843,0.147070, 0.246494,0.117041, 0.255621,0.032353, 0.146771,0.441734
60,0.220598, 0.267265,0.220598, 0.251709,0.191752, 0.228932,0.125855, 0.228006,0.073533, 0.191752,0.335328
61,0.302504, 0.344322,0.172161, 0.232340,0.186906, 0.302504,0.093948, 0.152922,0.025487, 0.186906,0.437989
62,0.287905, 0.331655,0.254572, 0.287905,0.130626, 0.254572,0.104302, 0.162266,0.039480, 0.146718,0.366232
63,0.248139, 0.277199,0.248139, 0.280831,0.220990, 0.248139,0.124069, 0.220990,0.034650, 0.096854,0.248026
64,0.287822, 0.315600,0.310044, 0.338616,0.144496, 0.162040,0.081020, 0.143911,0.071956, 0.144496,0.209325
65,0.276983, 0.317724,0.158862, 0.240796,0.163124, 0.276983,0.113255, 0.203022,0.070742, 0.178509,0.434068
66,0.361431, 0.389990,0.194995, 0.223278,0.194995, 0.226813,0.097497, 0.180716,0.027910, 0.102376,0.246344
67,0.352473, 0.400824,0.200412, 0.232296,0.148672, 0.211523,0.077432, 0.181236,0.046459, 0.148672,0.349104
68,0.231642, 0.288053,0.262412, 0.303437,0.151719, 0.249034,0.082342, 0.262412,0.038607, 0.130342,0.466556
69,0.310541, 0.332996,0.276295, 0.310541,0.166498, 0.276295,0.103514, 0.134947,0.023428, 0.064947,0.239451
70,0.223657, 0.254768,0.250323, 0.283657,0.223429, 0.250323,0.125162, 0.223429,0.045424, 0.119828,0.264010
71,0.293280, 0.321058,0.238303, 0.293280,0.160529, 0.238303,0.100932, 0.150400,0.050133, 0.153783,0.313646
72,0.295819, 0.326931,0.136145, 0.264598,0.264598, 0.295819,0.107495, 0.159401,0.049303, 0.099891,0.293278
73,0.285405, 0.322187,0.203020, 0.285405,0.139275, 0.203020,0.161093, 0.222464,0.031712, 0.146418,0.358989
74,0.216106, 0.257772,0.232772, 0.263883,0.181825, 0.232772,0.131942, 0.223513,0.077591, 0.181825,0.319531
75,0.276363, 0.326363,0.158181, 0.237046,0.204414, 0.276363,0.087605, 0.216008,0.036263, 0.181396,0.474349
76,0.306245, 0.354164,0.177082, 0.264634,0.122702, 0.216914,0.091230, 0.306245,0.037805, 0.122979,0.529872
77,0.328099, 0.341612,0.328099, 0.340454,0.164049, 0.177207,0.084471, 0.109366,0.042171, 0.084471,0.106222
78,0.274846, 0.316513,0.243769, 0.274846,0.137423, 0.243769,0.137423, 0.179090,0.045808, 0.146514,0.321463
79,0.247027, 0.294395,0.192949, 0.288004,0.147198, 0.219616,0.096475, 0.254719,0.054904, 0.204714,0.522896
80,0.325847, 0.365062,0.182531, 0.233289,0.182531, 0.225865,0.091266, 0.173832,0.037246, 0.182531,0.361159
81,0.309003, 0.346650,0.175897, 0.309003,0.173325, 0.215214,0.103333, 0.201823,0.038517, 0.127234,0.399849
82,0.271610, 0.293316,0.271610, 0.288212,0.271610, 0.288212,0.073329, 0.135805,0.041387, 0.064910,0.140910
83,0.283222, 0.319042,0.213260, 0.283222,0.159521, 0.226303,0.090957, 0.213260,0.070805, 0.140408,0.364469
84,0.305666, 0.334832,0.253221, 0.305666,0.167416, 0.253221,0.097089, 0.137931,0.031653, 0.113305,0.289911
85,0.291578, 0.324569,0.245662, 0.291578,0.162284, 0.245662,0.114966, 0.170508,0.032074, 0.121120,0.306873
86,0.241763, 0.287684,0.241763, 0.282789,0.220711, 0.260477,0.095895, 0.241763,0.031965, 0.095192,0.335808
87,0.240000, 0.266667,0.200000, 0.240000,0.240000, 0.273333,0.066667, 0.200000,0.120000, 0.153333,0.266667
88,0.228571, 0.258624,0.228571, 0.264127,0.228571, 0.258201,0.129312, 0.228571,0.051640, 0.123810,0.266667
89,0.232215, 0.295656,0.295656, 0.327579,0.163790, 0.232215,0.116108, 0.172828,0.040947, 0.123004,0.302567
90,0.389990, 0.421808,0.173576, 0.194995,0.194995, 0.226813,0.097497, 0.173576,0.024374, 0.102376,0.239135
91,0.273826, 0.306479,0.153239, 0.225238,0.103690, 0.211641,0.211641, 0.273826,0.091275, 0.149145,0.332656
92,0.316532, 0.333199,0.316532, 0.332258,0.158266, 0.172155,0.110753, 0.158266,0.034431, 0.067608,0.126971
93,0.330556, 0.367460,0.169444, 0.198016,0.169444, 0.206944,0.165278, 0.198016,0.029563, 0.165278,0.271429
94,0.197444, 0.259111,0.242444, 0.288159,0.194444, 0.242444,0.121222, 0.212259,0.048026, 0.194444,0.392836
95,0.285168, 0.316316,0.253185, 0.285168,0.142584, 0.189825,0.158158, 0.253185,0.027118, 0.089292,0.267573
96,0.293926, 0.337225,0.168613, 0.254994,0.127497, 0.293926,0.121783, 0.183630,0.058785, 0.159621,0.458792
97,0.264835, 0.312835,0.242613, 0.274712,0.137356, 0.267108,0.132418, 0.244886,0.035104, 0.088135,0.375349
98,0.266651, 0.303015,0.151508, 0.242080,0.242080, 0.281651,0.121040, 0.173326,0.056330, 0.162318,0.324781
99,0.238819, 0.274451,0.250313, 0.295816,0.213667, 0.251673,0.091484, 0.213667,0.035759, 0.134352,0.339918
100,0.264437, 0.303823,0.212922, 0.264437,0.151911, 0.221255,0.093250, 0.212922,0.106461, 0.168582,0.342038
101,0.285185, 0.343131,0.171566, 0.227578,0.113789, 0.285185,0.114377, 0.234780,0.046956, 0.177453,0.536254
102,0.359101, 0.381743,0.179550, 0.203080,0.179550, 0.200727,0.127248, 0.179550,0.062203, 0.127248,0.184695
103,0.375078, 0.403467,0.201734, 0.223010,0.201734, 0.225138,0.100867, 0.187539,0.024542, 0.056893,0.192092
104,0.234407, 0.279334,0.279334, 0.313816,0.156908, 0.234407,0.139667, 0.194746,0.043281, 0.124100,0.292806
105,0.290743, 0.353458,0.176729, 0.239994,0.151088, 0.210703,0.088364, 0.290743,0.026683, 0.171496,0.532787
106,0.252537, 0.289460,0.252537, 0.281767,0.213507, 0.252537,0.091871, 0.213507,0.042701, 0.109576,0.293694
107,0.238819, 0.274451,0.250313, 0.295816,0.214205, 0.255755,0.091484, 0.214205,0.030601, 0.134352,0.349157
108,0.344707, 0.379795,0.165136, 0.199897,0.189897, 0.231564,0.094949, 0.181445,0.047474, 0.165136,0.315673
109,0.293995, 0.336217,0.260653, 0.293995,0.146997, 0.260653,0.097998, 0.173354,0.033407, 0.102729,0.333898
110,0.223688, 0.279487,0.232734, 0.282734,0.130653, 0.188632,0.139743, 0.251484,0.047158, 0.223688,0.452049
111,0.378937, 0.402466,0.201233, 0.235684,0.117842, 0.189468,0.072047, 0.138812,0.112964, 0.150545,0.233953
112,0.304921, 0.349366,0.174683, 0.241188,0.120594, 0.304921,0.116455, 0.231290,0.031701, 0.124879,0.503289
113,0.298314, 0.327481,0.231269, 0.298314,0.163740, 0.231269,0.115635, 0.174157,0.037289, 0.122531,0.307505
114,0.236118, 0.288118,0.193840, 0.236118,0.211118, 0.256118,0.118059, 0.224451,0.042224, 0.193840,0.397286
115,0.286750, 0.327726,0.253423, 0.286750,0.163863, 0.253423,0.090821, 0.185291,0.035844, 0.116109,0.338598
116,0.265657, 0.306809,0.220202, 0.277561,0.153404, 0.239646,0.110101, 0.239646,0.026872, 0.160101,0.447528
117,0.235431, 0.266654,0.235431, 0.266200,0.235431, 0.268124,0.133327, 0.235431,0.031352, 0.092618,0.258055
118,0.236889, 0.296148,0.236889, 0.276395,0.138198, 0.251889,0.118444, 0.253556,0.041148, 0.150444,0.456864
119,0.290531, 0.326515,0.204854, 0.290531,0.163257, 0.220507,0.087680, 0.145967,0.065303, 0.204854,0.376749
120,0.253175, 0.281580,0.205739, 0.272620,0.222406, 0.261722,0.140790, 0.222406,0.031287, 0.108275,0.293206
121,0.279982, 0.315359,0.255658, 0.289441,0.157680, 0.255658,0.127829, 0.177672,0.032010, 0.108712,0.293684
122,0.373677, 0.426893,0.184461, 0.223171,0.111586, 0.201892,0.099871, 0.205967,0.024080, 0.148402,0.412650
123,0.227451, 0.268192,0.227451, 0.272712,0.227451, 0.268192,0.090904, 0.227451,0.056863, 0.133333,0.339760
124,0.377078, 0.414115,0.207057, 0.256666,0.127598, 0.203317,0.067128, 0.168780,0.036667, 0.141595,0.368946
125,0.226129, 0.262486,0.226129, 0.264224,0.226129, 0.264224,0.131243, 0.226129,0.035166, 0.138140,0.310407
126,0.290438, 0.331742,0.227663, 0.290438,0.165871, 0.230044,0.096813, 0.195601,0.041468, 0.129923,0.355496
127,0.260067, 0.306981,0.260067, 0.300067,0.150643, 0.260067,0.095022, 0.167715,0.033341, 0.166028,0.401717
128,0.285988, 0.314262,0.314262, 0.341762,0.157131, 0.187657,0.088829, 0.122703,0.044414, 0.142994,0.218754
129,0.307135, 0.348151,0.174075, 0.307135,0.174075, 0.226823,0.087038, 0.197885,0.049736, 0.127947,0.415881
130,0.250350, 0.282096,0.282096, 0.319832,0.159916, 0.250350,0.121048, 0.173249,0.033860, 0.127202,0.305460
131,0.364094, 0.388336,0.182047, 0.206846,0.182047, 0.206289,0.103423, 0.182047,0.068949, 0.115923,0.198882
132,0.382419, 0.396482,0.188987, 0.208710,0.188987, 0.209960,0.132161, 0.188987,0.033118, 0.070188,0.148654
133,0.240793, 0.288790,0.288790, 0.317957,0.158978, 0.240793,0.120397, 0.172966,0.043242, 0.127293,0.295600
134,0.293671, 0.341819,0.257308, 0.294681,0.168371, 0.257308,0.053631, 0.184696,0.035099, 0.113416,0.383840
135,0.169044, 0.300161,0.300161, 0.338088,0.169044, 0.210070,0.169044, 0.204209,0.034035, 0.106144,0.317344
136,0.291883, 0.326366,0.163183, 0.220801,0.190498, 0.291883,0.073600, 0.193946,0.096764, 0.151076,0.368144
137,0.283643, 0.321143,0.160571, 0.210571,0.160571, 0.210571,0.160571, 0.283643,0.040143, 0.168571,0.389000
138,0.260345, 0.294109,0.260345, 0.302011,0.147055, 0.260345,0.130172, 0.173922,0.034626, 0.137069,0.334914
