ó^Ç¶ÇΩèdóvìx,0.230000,0.370000,0.200000,0.300000,0.170000,0.230000,0.100000,0.200000,0.030000,0.170000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],ãÊä‘ïùÇÃëçòa
1,0.234330, 0.344985,0.187790, 0.306724,0.117165, 0.247797,0.093895, 0.283148,0.029291, 0.154873,0.675057
2,0.225399, 0.384012,0.128004, 0.276009,0.086403, 0.280809,0.075133, 0.244182,0.056350, 0.243700,0.857424
3,0.100728, 0.311019,0.113641, 0.389853,0.113641, 0.402911,0.056821, 0.255693,0.028410, 0.227283,1.173517
4,0.226600, 0.352489,0.190821, 0.327122,0.123600, 0.247200,0.082400, 0.247200,0.037767, 0.164800,0.677624
5,0.305152, 0.432298,0.152576, 0.290318,0.152576, 0.281520,0.079178, 0.168572,0.025429, 0.112381,0.570179
6,0.322673, 0.497455,0.161337, 0.336118,0.098595, 0.211274,0.040334, 0.171745,0.026889, 0.133580,0.700344
7,0.195699, 0.358781,0.195699, 0.358781,0.125806, 0.251613,0.065233, 0.203226,0.041935, 0.203226,0.751254
8,0.220092, 0.430180,0.140059, 0.322135,0.076396, 0.254652,0.062526, 0.275024,0.025010, 0.193927,0.951835
9,0.196216, 0.343378,0.196216, 0.385891,0.126139, 0.262789,0.065405, 0.210231,0.031535, 0.182200,0.768979
10,0.221225, 0.350272,0.175210, 0.306617,0.121674, 0.248878,0.081116, 0.228138,0.043802, 0.223068,0.713947
11,0.206511, 0.349102,0.206511, 0.355658,0.103256, 0.217674,0.156604, 0.249288,0.022372, 0.133023,0.609491
12,0.228682, 0.424696,0.140328, 0.297563,0.053075, 0.245157,0.076701, 0.273932,0.032669, 0.227197,0.937090
13,0.197767, 0.392395,0.098883, 0.306068,0.103004, 0.290834,0.063387, 0.295805,0.021129, 0.230728,1.031660
14,0.211214, 0.398961,0.128009, 0.259956,0.162473, 0.306893,0.085339, 0.270241,0.018053, 0.158862,0.789825
15,0.187373, 0.312289,0.187373, 0.337272,0.187373, 0.353927,0.062458, 0.197502,0.020819, 0.153612,0.709205
16,0.202657, 0.368467,0.133215, 0.293652,0.112943, 0.263534,0.066608, 0.288633,0.044405, 0.225886,0.880345
17,0.177068, 0.379431,0.160971, 0.415841,0.060640, 0.254687,0.067071, 0.254687,0.025295, 0.204309,1.017910
18,0.238564, 0.351219,0.167071, 0.316556,0.119282, 0.252275,0.083536, 0.284005,0.029821, 0.157672,0.723453
19,0.139736, 0.319582,0.199838, 0.385401,0.110624, 0.290389,0.049959, 0.224999,0.046579, 0.232893,0.906528
20,0.204643, 0.363810,0.143099, 0.301164,0.116656, 0.311084,0.063883, 0.233313,0.035775, 0.226573,0.871888
21,0.205768, 0.342946,0.168238, 0.246748,0.205768, 0.342946,0.102884, 0.213998,0.028040, 0.142665,0.578608
22,0.188839, 0.368236,0.188839, 0.356696,0.121397, 0.256282,0.062946, 0.239680,0.020982, 0.196102,0.833993
23,0.198248, 0.357947,0.112053, 0.280133,0.156874, 0.291338,0.074702, 0.224106,0.049562, 0.255037,0.817122
24,0.269457, 0.332207,0.269149, 0.349894,0.151396, 0.211955,0.076495, 0.161489,0.050465, 0.127492,0.366074
25,0.208687, 0.375637,0.142541, 0.307998,0.110865, 0.307958,0.054460, 0.221730,0.024637, 0.245487,0.917621
26,0.200791, 0.351182,0.200791, 0.361423,0.157246, 0.251593,0.066930, 0.210022,0.030003, 0.170018,0.688479
27,0.293012, 0.379193,0.158605, 0.264341,0.158605, 0.296476,0.053905, 0.143185,0.080857, 0.171822,0.510032
28,0.162993, 0.436587,0.116423, 0.275480,0.101870, 0.314100,0.067914, 0.295424,0.025468, 0.203741,1.050665
29,0.207066, 0.372718,0.162695, 0.292850,0.113886, 0.246240,0.103533, 0.296104,0.032539, 0.172368,0.760563
30,0.323092, 0.479252,0.161546, 0.278666,0.122552, 0.229785,0.053849, 0.170866,0.032309, 0.148084,0.613306
31,0.189366, 0.352613,0.121735, 0.338154,0.103640, 0.295885,0.080807, 0.264460,0.023031, 0.230310,0.962842
32,0.278027, 0.370702,0.155368, 0.284841,0.155368, 0.284841,0.077684, 0.186755,0.046338, 0.160076,0.574432
33,0.218473, 0.339847,0.183977, 0.337292,0.109237, 0.238334,0.091989, 0.291298,0.030663, 0.158890,0.731322
34,0.299851, 0.426104,0.178619, 0.321515,0.103411, 0.235548,0.089310, 0.206823,0.021357, 0.117462,0.614903
35,0.193035, 0.367686,0.130104, 0.302028,0.105710, 0.348842,0.052855, 0.273219,0.015101, 0.211419,1.006389
36,0.313447, 0.478007,0.118894, 0.242741,0.156724, 0.321283,0.039181, 0.165765,0.031345, 0.132612,0.680819
37,0.231342, 0.337832,0.186697, 0.326720,0.115671, 0.243438,0.093348, 0.275407,0.033049, 0.156496,0.679786
38,0.169334, 0.352778,0.120953, 0.374953,0.092604, 0.264584,0.060476, 0.264584,0.048381, 0.251354,1.016505
39,0.188574, 0.296331,0.188574, 0.330005,0.188574, 0.350209,0.094287, 0.204830,0.026939, 0.131677,0.626103
40,0.334533, 0.399442,0.182970, 0.242435,0.182970, 0.262257,0.060990, 0.124388,0.073188, 0.136826,0.330697
41,0.186798, 0.352841,0.120085, 0.340239,0.100871, 0.270190,0.093399, 0.280197,0.020014, 0.235366,0.957667
42,0.200979, 0.301469,0.139139, 0.250451,0.200979, 0.334965,0.066993, 0.200979,0.069570, 0.234476,0.644679
43,0.272050, 0.417143,0.149260, 0.298520,0.092044, 0.245449,0.092044, 0.236683,0.022671, 0.174136,0.743865
44,0.187307, 0.390223,0.187307, 0.359005,0.120412, 0.260892,0.062436, 0.222298,0.015609, 0.194511,0.853859
