ó^Ç¶ÇΩèdóvìx,0.250000,0.350000,0.200000,0.300000,0.150000,0.250000,0.100000,0.200000,0.050000,0.150000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],ãÊä‘ïùÇÃëçòa
1,0.286225, 0.314003,0.241026, 0.286225,0.157001, 0.241026,0.120513, 0.176446,0.047930, 0.129604,0.294608
2,0.293157, 0.329268,0.185906, 0.293157,0.139819, 0.210906,0.109756, 0.190254,0.082317, 0.165460,0.378090
3,0.254262, 0.311401,0.155701, 0.255701,0.155701, 0.255701,0.122295, 0.254262,0.081530, 0.153447,0.461024
4,0.279219, 0.304219,0.250893, 0.283429,0.152109, 0.250893,0.116356, 0.162337,0.070857, 0.129689,0.261132
5,0.361163, 0.386515,0.180582, 0.207052,0.180582, 0.204111,0.125664, 0.180582,0.048087, 0.125664,0.207847
6,0.394744, 0.431108,0.197372, 0.233736,0.164624, 0.197372,0.055692, 0.164624,0.049343, 0.111385,0.276449
7,0.242601, 0.279638,0.242601, 0.279638,0.204942, 0.242601,0.080867, 0.204942,0.077790, 0.144378,0.302396
8,0.315859, 0.354321,0.177160, 0.243827,0.117152, 0.243827,0.117152, 0.182172,0.078101, 0.170430,0.389153
9,0.245264, 0.274894,0.245264, 0.286005,0.205823, 0.245264,0.089162, 0.205823,0.060258, 0.142240,0.308455
10,0.277048, 0.311112,0.250674, 0.277048,0.155556, 0.250674,0.103704, 0.173738,0.076986, 0.123460,0.272064
11,0.288190, 0.323190,0.243181, 0.288190,0.144095, 0.185762,0.152428, 0.243181,0.034295, 0.097488,0.275621
12,0.290932, 0.333037,0.204472, 0.290932,0.136306, 0.204472,0.111012, 0.211428,0.058186, 0.159223,0.398183
13,0.291659, 0.333326,0.166663, 0.259708,0.122711, 0.291659,0.122711, 0.187496,0.061356, 0.162711,0.469800
14,0.271677, 0.309413,0.154707, 0.237870,0.237870, 0.271677,0.135839, 0.196373,0.039645, 0.144930,0.320526
15,0.234462, 0.281308,0.234462, 0.267429,0.234462, 0.272923,0.093769, 0.234462,0.044571, 0.102154,0.316549
16,0.286619, 0.322517,0.215201, 0.286619,0.161258, 0.228442,0.073249, 0.137645,0.073249, 0.215201,0.380848
17,0.232027, 0.280598,0.248834, 0.303736,0.128856, 0.232027,0.093533, 0.255790,0.054473, 0.170126,0.484555
18,0.281363, 0.316673,0.251175, 0.281363,0.158336, 0.251175,0.125587, 0.173725,0.048633, 0.111969,0.269811
19,0.205059, 0.278464,0.278464, 0.315501,0.157750, 0.217559,0.074744, 0.205059,0.102529, 0.164873,0.362908
20,0.289744, 0.323077,0.207148, 0.289744,0.161539, 0.220192,0.102564, 0.207148,0.064702, 0.134143,0.348608
21,0.243792, 0.293792,0.243647, 0.276981,0.138490, 0.248140,0.121896, 0.247995,0.060912, 0.124353,0.382523
22,0.247088, 0.287828,0.247088, 0.285183,0.199562, 0.248448,0.089770, 0.155412,0.040060, 0.199562,0.352866
23,0.270880, 0.311818,0.155909, 0.239007,0.221221, 0.270880,0.101375, 0.221221,0.076771, 0.130918,0.347689
24,0.302035, 0.321083,0.304416, 0.326638,0.160541, 0.180019,0.087509, 0.151017,0.060006, 0.106735,0.170984
25,0.299946, 0.334429,0.195988, 0.299946,0.167215, 0.212655,0.092112, 0.207753,0.055738, 0.134217,0.378001
26,0.259211, 0.284211,0.259211, 0.292544,0.196552, 0.259211,0.094737, 0.196552,0.061596, 0.096175,0.257387
27,0.356227, 0.386858,0.193429, 0.232677,0.116338, 0.204050,0.077559, 0.143742,0.098104, 0.191017,0.316687
28,0.289649, 0.321110,0.229251, 0.289649,0.160555, 0.229251,0.104789, 0.187359,0.055580, 0.132807,0.320352
29,0.267971, 0.298740,0.234807, 0.267971,0.149370, 0.234807,0.133985, 0.182703,0.078269, 0.151377,0.271195
30,0.387162, 0.420496,0.193581, 0.218581,0.171167, 0.201857,0.072860, 0.171167,0.050464, 0.112664,0.249529
31,0.243769, 0.274846,0.274846, 0.316513,0.137423, 0.179090,0.137423, 0.243769,0.045808, 0.146514,0.321463
32,0.341202, 0.377658,0.188829, 0.211906,0.188829, 0.222087,0.096338, 0.131916,0.070635, 0.170601,0.228335
33,0.269825, 0.303713,0.248772, 0.280351,0.151857, 0.248772,0.124386, 0.172412,0.062193, 0.137719,0.285936
34,0.344432, 0.382528,0.191264, 0.229359,0.164812, 0.204597,0.095632, 0.184337,0.038227, 0.164812,0.331267
35,0.288563, 0.326299,0.233586, 0.288563,0.163149, 0.233586,0.098574, 0.152389,0.044999, 0.170292,0.342258
36,0.382265, 0.409537,0.172339, 0.193891,0.191132, 0.217603,0.101449, 0.172339,0.048473, 0.110972,0.208685
37,0.276243, 0.311837,0.250789, 0.276243,0.155919, 0.250789,0.125394, 0.168556,0.069061, 0.115169,0.245189
38,0.358788, 0.392121,0.179394, 0.212727,0.159394, 0.179394,0.089697, 0.179394,0.089697, 0.159394,0.246061
39,0.228571, 0.258624,0.228571, 0.258201,0.228571, 0.264127,0.129312, 0.228571,0.051640, 0.123810,0.266667
40,0.382091, 0.392436,0.196218, 0.215573,0.196218, 0.209121,0.071858, 0.127364,0.098109, 0.111012,0.111012
41,0.240075, 0.277112,0.225789, 0.275789,0.138556, 0.235789,0.130037, 0.252575,0.058947, 0.165331,0.413192
42,0.240892, 0.263114,0.202363, 0.240892,0.240892, 0.270521,0.087705, 0.202363,0.101182, 0.150076,0.253933
