No.,tL,tR
true,0.869565,1.176471
0,0.889682,1.141549
1,0.906710,1.114689
2,0.969190,1.032834
3,0.896254,1.130908
4,0.936283,1.073024
5,0.857778,1.198756
6,0.901252,1.123050
7,0.903767,1.119168
8,0.852862,1.208493
9,0.923881,1.089789
10,0.941394,1.066387
11,0.872759,1.170674
12,0.856405,1.201449
13,0.883429,1.152011
14,0.885940,1.147772
15,0.868977,1.177551
16,0.784605,1.378411
17,0.916469,1.100286
18,0.844483,1.225726
19,0.851284,1.211676
20,0.906622,1.114821
21,0.830438,1.256573
22,0.899956,1.125069
23,0.897594,1.128783
24,0.895291,1.132446
25,0.969424,1.032566
26,0.960707,1.042644
27,0.927559,1.084713
28,0.911521,1.107501
29,0.929615,1.081916
30,0.861160,1.192213
31,0.952239,1.052807
32,0.935817,1.073635
33,0.879022,1.159591
34,0.818019,1.286119
35,0.954782,1.049712
36,0.937021,1.072056
37,0.931397,1.079511
38,0.893232,1.135758
39,0.980149,1.020672
40,0.866015,1.183032
41,0.946564,1.059832
42,0.888519,1.143469
43,0.870898,1.174037
44,0.894748,1.133314
45,0.845931,1.222688
46,0.762866,1.451054
47,0.915189,1.102136
48,0.928011,1.084099
49,0.942283,1.065249
50,0.865763,1.183502
51,0.915723,1.101363
52,0.916209,1.100660
53,0.899635,1.125573
54,0.892742,1.136551
55,0.954524,1.050025
56,0.980834,1.019930
57,0.893055,1.136045
58,0.838539,1.238465
59,0.856005,1.202237
60,0.894069,1.134405
61,0.916669,1.099996
62,0.911034,1.108222
63,0.913751,1.104228
64,0.800158,1.332893
65,0.877056,1.163031
66,0.907625,1.113311
67,0.901076,1.123320
68,0.923940,1.089704
69,0.887934,1.144440
70,0.887317,1.145466
71,0.904521,1.118017
72,0.868902,1.177687
73,0.885520,1.148474
74,0.920943,1.093906
75,0.800670,1.331478
76,0.968339,1.033802
77,0.877263,1.162666
78,0.881963,1.154514
79,0.834883,1.246527
80,0.785955,1.374261
81,0.961241,1.042017
82,0.912774,1.105657
83,0.927209,1.085193
84,0.886900,1.146162
85,0.889262,1.142238
86,0.969186,1.032838
87,0.844696,1.225277
88,0.905812,1.116051
89,0.890217,1.140668
90,0.877332,1.162547
91,0.974564,1.026799
92,0.909015,1.111226
93,0.909873,1.109943
94,0.862986,1.188730
95,0.860595,1.193297
96,0.924594,1.088798
97,0.896506,1.130508
98,0.899494,1.125790
99,0.900864,1.123651
100,0.853242,1.207729
101,0.955851,1.048425
102,0.950326,1.055153
103,0.891948,1.137838
104,0.847735,1.218938
105,0.946565,1.059831
106,0.860008,1.194431
107,0.891193,1.139072
108,0.847143,1.220162
109,0.847487,1.219451
110,0.897619,1.128741
111,0.875966,1.164954
112,0.880458,1.157099
113,0.869688,1.176244
114,0.912057,1.106713
115,0.824167,1.271207
116,0.924777,1.088543
117,0.839381,1.236635
118,0.987002,1.013346
119,0.891117,1.139195
120,0.927857,1.084306
121,0.851220,1.211808
122,0.885193,1.149025
123,0.841472,1.232125
124,0.862827,1.189037
125,0.880617,1.156826
126,0.910803,1.108565
127,0.892517,1.136917
128,0.853352,1.207508
129,0.850331,1.213613
130,0.947789,1.058297
131,0.888501,1.143498
132,0.848617,1.217118
133,0.880090,1.157737
134,0.902079,1.121767
135,0.885598,1.148344
136,0.860619,1.193252
137,0.881032,1.156113
138,0.857508,1.199285
139,0.887062,1.145894
140,0.913669,1.104348
141,0.910669,1.108762
142,0.805062,1.319503
143,0.804600,1.320751
144,0.890937,1.139489
145,0.851367,1.211504
146,0.812440,1.300153
147,0.929720,1.081775
148,0.918092,1.097956
149,0.893512,1.135304
150,0.927943,1.084191
151,0.944534,1.062387
152,0.928860,1.082941
153,0.911032,1.108225
154,0.918231,1.097756
