ó^Ç¶ÇΩèdóvìx,0.270000,0.330000,0.200000,0.300000,0.130000,0.270000,0.100000,0.200000,0.070000,0.130000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],ãÊä‘ïùÇÃëçòa
1,0.300811, 0.334145,0.274145, 0.300811,0.150406, 0.190180,0.095090, 0.155534,0.061806, 0.137072,0.235485
2,0.290428, 0.324555,0.184079, 0.290428,0.137992, 0.204079,0.108185, 0.184079,0.108185, 0.167992,0.342264
3,0.329394, 0.359881,0.179941, 0.228659,0.179941, 0.218402,0.097663, 0.170758,0.070664, 0.164697,0.284795
4,0.278414, 0.300636,0.247605, 0.278414,0.150318, 0.247605,0.114712, 0.157389,0.092805, 0.132103,0.232293
5,0.359101, 0.381743,0.179550, 0.203080,0.179550, 0.203080,0.127248, 0.179550,0.059850, 0.127248,0.189401
6,0.380134, 0.403663,0.201832, 0.243119,0.121560, 0.190067,0.115499, 0.152772,0.063356, 0.127999,0.235241
7,0.240892, 0.270521,0.240892, 0.270521,0.202363, 0.240892,0.080297, 0.202363,0.101182, 0.150076,0.268748
8,0.366837, 0.405135,0.202568, 0.237862,0.118931, 0.197935,0.065978, 0.190085,0.061140, 0.153529,0.369092
9,0.300689, 0.318546,0.279252, 0.300689,0.150345, 0.174154,0.106182, 0.155345,0.075172, 0.139626,0.176720
10,0.305768, 0.335398,0.239679, 0.305768,0.111799, 0.239679,0.110565, 0.151288,0.066553, 0.133502,0.331271
11,0.286818, 0.321301,0.221933, 0.286818,0.143409, 0.191420,0.160650, 0.221933,0.047855, 0.117863,0.278669
12,0.286456, 0.326456,0.202834, 0.286456,0.138582, 0.207379,0.108819, 0.207182,0.071614, 0.164223,0.383392
13,0.288571, 0.298095,0.288571, 0.298095,0.140952, 0.153810,0.140952, 0.153810,0.096190, 0.140952,0.089524
14,0.269827, 0.304113,0.152056, 0.236205,0.236205, 0.269827,0.134913, 0.189556,0.059051, 0.148247,0.295895
15,0.286768, 0.322788,0.210737, 0.286768,0.161394, 0.223780,0.107596, 0.210737,0.062262, 0.127168,0.342484
16,0.293801, 0.316127,0.241813, 0.293801,0.158063, 0.241813,0.080604, 0.129514,0.105376, 0.139088,0.240685
17,0.240761, 0.287190,0.240761, 0.293142,0.123038, 0.240761,0.095730, 0.245109,0.067333, 0.166176,0.464754
18,0.276243, 0.311837,0.250789, 0.276243,0.155919, 0.250789,0.125394, 0.168556,0.069061, 0.115169,0.245189
19,0.201904, 0.272257,0.272257, 0.314784,0.157392, 0.210238,0.104928, 0.201904,0.100952, 0.163383,0.325132
20,0.291006, 0.324339,0.190289, 0.291006,0.162169, 0.223622,0.108113, 0.202337,0.065017, 0.142102,0.366812
21,0.245181, 0.299027,0.241285, 0.281078,0.140539, 0.251703,0.083901, 0.241285,0.080428, 0.135573,0.417332
22,0.245701, 0.281503,0.245701, 0.281256,0.201225, 0.245701,0.089308, 0.152081,0.056301, 0.201225,0.323531
23,0.280998, 0.310627,0.155314, 0.225313,0.196741, 0.280998,0.098371, 0.206741,0.098371, 0.146528,0.340413
24,0.301595, 0.316410,0.299744, 0.316410,0.158205, 0.180043,0.087521, 0.150798,0.079103, 0.110171,0.147664
