ó^Ç¶ÇΩèdóvìx,0.270000,0.330000,0.200000,0.300000,0.130000,0.270000,0.100000,0.200000,0.070000,0.130000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],ãÊä‘ïùÇÃëçòa
1,0.290928, 0.325824,0.196806, 0.354444,0.151607, 0.242086,0.112147, 0.157915,0.069840, 0.098403,0.357345
2,0.268294, 0.404335,0.162559, 0.278124,0.142193, 0.182269,0.128118, 0.174481,0.117434, 0.142193,0.362806
3,0.249115, 0.400583,0.192080, 0.263768,0.186518, 0.230851,0.111081, 0.167578,0.073868, 0.124558,0.374675
4,0.262748, 0.344449,0.233800, 0.289788,0.170741, 0.252495,0.107163, 0.134443,0.094537, 0.109837,0.262023
5,0.379247, 0.379247,0.183360, 0.202341,0.183360, 0.202341,0.107988, 0.183360,0.064752, 0.114005,0.162588
6,0.374340, 0.404015,0.202007, 0.259159,0.121945, 0.216163,0.109840, 0.133357,0.069135, 0.110038,0.245464
7,0.244861, 0.291770,0.244861, 0.291770,0.180895, 0.244861,0.090718, 0.197385,0.090448, 0.122431,0.296432
8,0.249447, 0.423452,0.210257, 0.300096,0.150048, 0.271863,0.088186, 0.128160,0.088952, 0.089539,0.426221
9,0.304374, 0.342865,0.226678, 0.324631,0.150227, 0.163750,0.114288, 0.178459,0.081388, 0.113339,0.246088
10,0.263537, 0.434264,0.222816, 0.281200,0.133428, 0.226053,0.135418, 0.144325,0.071113, 0.087846,0.347376
11,0.288344, 0.332007,0.176729, 0.312497,0.137997, 0.234271,0.166004, 0.191416,0.058568, 0.102167,0.344717
12,0.282377, 0.366628,0.167813, 0.328050,0.119521, 0.201301,0.122209, 0.215538,0.072930, 0.123633,0.470298
13,0.291912, 0.311229,0.291912, 0.311229,0.131950, 0.145956,0.131950, 0.145956,0.101851, 0.136054,0.100850
14,0.268053, 0.360997,0.148900, 0.282904,0.206265, 0.268053,0.111970, 0.166735,0.065383, 0.120741,0.398860
15,0.256875, 0.395274,0.198019, 0.279355,0.184487, 0.199941,0.130934, 0.202779,0.065289, 0.087047,0.328793
16,0.278491, 0.363180,0.226771, 0.283876,0.180022, 0.267244,0.082496, 0.101943,0.098497, 0.117481,0.267448
17,0.209821, 0.399803,0.210006, 0.334240,0.099274, 0.227735,0.119585, 0.216625,0.069604, 0.113307,0.583419
18,0.272253, 0.322679,0.254306, 0.290651,0.161340, 0.259625,0.125916, 0.146562,0.069809, 0.096859,0.232753
19,0.180366, 0.257135,0.244078, 0.386218,0.162654, 0.213529,0.117489, 0.189878,0.106765, 0.141887,0.377296
20,0.245281, 0.444511,0.178393, 0.245281,0.167996, 0.226653,0.099815, 0.197521,0.070775, 0.123774,0.475480
21,0.233112, 0.262340,0.198993, 0.331208,0.158735, 0.347730,0.104538, 0.218624,0.067017, 0.077704,0.475212
22,0.227104, 0.379796,0.230998, 0.279981,0.172020, 0.251406,0.093327, 0.125065,0.065870, 0.174434,0.421362
23,0.246453, 0.415554,0.194428, 0.225842,0.179914, 0.246453,0.098324, 0.201312,0.085301, 0.106420,0.391162
