No.,tL,tR
true,0.917431,1.098901
0,0.876811,1.163460
1,0.822255,1.275782
2,0.861816,1.190955
3,0.862419,1.189809
4,0.889500,1.141850
5,0.866178,1.182728
6,0.853742,1.206727
7,0.826151,1.266515
8,0.906329,1.115265
9,0.834987,1.246297
10,0.835953,1.244152
11,0.804905,1.319930
12,0.936975,1.072116
13,0.843822,1.227119
14,0.828587,1.260834
15,0.861442,1.191676
16,0.776194,1.405163
17,0.872828,1.170550
18,0.834796,1.246724
19,0.816881,1.288939
20,0.824354,1.270764
21,0.822747,1.274601
22,0.846800,1.220877
23,0.901326,1.122934
24,0.836094,1.243838
25,0.850113,1.214053
26,0.834233,1.247983
27,0.838141,1.239337
28,0.847639,1.219138
29,0.874808,1.167007
30,0.916668,1.100001
31,0.860641,1.193206
32,0.862031,1.190547
33,0.822286,1.275710
34,0.828427,1.261204
35,0.869395,1.176783
36,0.872828,1.170550
37,0.873787,1.168829
38,0.857892,1.198533
39,0.889586,1.141709
40,0.818668,1.284515
41,0.866625,1.181896
42,0.838087,1.239452
43,0.819371,1.282788
44,0.869718,1.176190
45,0.783974,1.380365
46,0.794226,1.349688
47,0.860457,1.193562
48,0.858664,1.197033
49,0.881706,1.154956
50,0.829882,1.257846
51,0.896396,1.130681
52,0.830870,1.255583
53,0.839597,1.236167
54,0.833200,1.250303
55,0.920000,1.095236
56,0.900256,1.124600
57,0.819398,1.282721
58,0.840481,1.234257
59,0.835540,1.245068
60,0.837707,1.240287
61,0.880197,1.157552
62,0.814328,1.295347
63,0.885054,1.149259
64,0.845440,1.223715
65,0.846846,1.220781
66,0.832405,1.252096
67,0.819716,1.281943
68,0.854519,1.205181
69,0.882627,1.153379
70,0.828427,1.261204
71,0.872737,1.170715
72,0.814876,1.293961
73,0.826975,1.264585
74,0.875911,1.165053
75,0.816721,1.289339
76,0.934065,1.075950
77,0.859869,1.194697
78,0.862047,1.190522
79,0.833319,1.250033
80,0.832556,1.251754
81,0.929341,1.082289
82,0.811539,1.302468
83,0.906452,1.115080
84,0.863633,1.187507
85,0.791869,1.356547
86,0.835057,1.246142
87,0.856025,1.202201
88,0.842716,1.229469
89,0.825518,1.268006
90,0.857749,1.198815
91,0.913618,1.104423
92,0.868199,1.178983
93,0.866625,1.181896
94,0.847561,1.219298
95,0.794355,1.349313
96,0.820618,1.279743
97,0.862419,1.189809
98,0.845843,1.222872
99,0.843750,1.227272
100,0.784798,1.377815
101,0.909983,1.109779
102,0.862402,1.189843
103,0.897614,1.128750
104,0.846708,1.221071
105,0.860848,1.192814
106,0.844448,1.225801
107,0.898011,1.128126
108,0.827219,1.264012
109,0.838444,1.238672
110,0.909227,1.110905
111,0.779192,1.395440
112,0.897614,1.128750
113,0.862930,1.188837
114,0.836089,1.243851
115,0.805019,1.319625
116,0.881914,1.154601
117,0.831498,1.254156
118,0.863511,1.187736
119,0.858223,1.197890
120,0.869685,1.176249
121,0.830392,1.256679
122,0.822389,1.275463
123,0.828537,1.260948
124,0.858387,1.197572
125,0.804996,1.319684
126,0.866516,1.182097
127,0.889610,1.141666
128,0.826867,1.264837
129,0.845481,1.223626
130,0.839478,1.236423
131,0.866159,1.182763
132,0.852985,1.208245
133,0.814561,1.294758
134,0.851718,1.210794
135,0.799550,1.334588
136,0.894286,1.134057
137,0.861447,1.191666
138,0.853194,1.207826
139,0.831801,1.253463
140,0.836140,1.243736
141,0.862445,1.189760
142,0.796577,1.342952
143,0.829774,1.258094
144,0.869624,1.176363
145,0.848673,1.217005
146,0.806513,1.315625
147,0.852898,1.208417
148,0.814524,1.294850
149,0.815960,1.291239
150,0.833256,1.250175
151,0.872762,1.170668
152,0.869794,1.176054
153,0.854285,1.205644
154,0.852434,1.209354
155,0.843768,1.227235
156,0.838589,1.238358
157,0.830744,1.255871
158,0.853311,1.207592
159,0.856025,1.202201
160,0.811237,1.303247
161,0.852750,1.208721
162,0.863734,1.187316
163,0.879388,1.158955
164,0.874279,1.167950
165,0.847639,1.219138
166,0.864980,1.184968
167,0.872737,1.170715
168,0.850585,1.213096
169,0.832672,1.251491
170,0.887455,1.145239
171,0.815621,1.292086
172,0.854867,1.204490
173,0.859335,1.195727
174,0.852434,1.209354
175,0.847272,1.219896
176,0.852434,1.209354
177,0.844612,1.225456
178,0.821892,1.276660
179,0.880208,1.157533
180,0.848194,1.217991
181,0.847350,1.219735
182,0.880468,1.157086
183,0.826914,1.264729
184,0.816115,1.290852
185,0.870748,1.174311
186,0.835382,1.245420
187,0.807557,1.312860
188,0.934065,1.075950
189,0.865753,1.183520
190,0.860018,1.194411
191,0.795950,1.344740
192,0.871529,1.172895
193,0.848767,1.216811
194,0.796688,1.342637
195,0.848194,1.217991
196,0.801229,1.329930
197,0.825518,1.268006
198,0.831440,1.254282
199,0.826867,1.264837
200,0.815986,1.291174
201,0.788499,1.366553
202,0.845396,1.223809
203,0.848331,1.217709
204,0.835608,1.244919
205,0.853436,1.207343
206,0.868366,1.178671
