ó^Ç¶ÇΩèdóvìx,0.210000,0.250000,0.170000,0.230000,0.140000,0.220000,0.100000,0.200000,0.070000,0.190000,0.040000,0.180000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],ãÊä‘ïùÇÃëçòa
1,0.205259, 0.244322,0.205259, 0.244322,0.178261, 0.205259,0.102630, 0.213880,0.068420, 0.178261,0.051315, 0.102811,0.377711
2,0.177020, 0.204798,0.168687, 0.196465,0.098232, 0.192172,0.102399, 0.192172,0.177020, 0.218687,0.088510, 0.183838,0.376263
3,0.182469, 0.261360,0.218072, 0.267218,0.130680, 0.240642,0.121857, 0.177902,0.049116, 0.131868,0.036347, 0.182469,0.522919
4,0.186193, 0.233068,0.207027, 0.246378,0.149156, 0.228632,0.117402, 0.207798,0.059364, 0.169990,0.035083, 0.159909,0.491550
5,0.179174, 0.238697,0.165733, 0.211432,0.105716, 0.233286,0.101492, 0.206137,0.077762, 0.210424,0.059725, 0.210424,0.620799
6,0.169490, 0.253881,0.169490, 0.217109,0.162545, 0.211156,0.124626, 0.194742,0.078454, 0.178170,0.054182, 0.186156,0.482428
7,0.212246, 0.292566,0.162950, 0.219389,0.146283, 0.187950,0.094295, 0.185172,0.146283, 0.196283,0.034257, 0.122327,0.407373
8,0.192221, 0.230415,0.213054, 0.252406,0.164443, 0.216526,0.107519, 0.195197,0.071018, 0.167317,0.053264, 0.136620,0.396962
9,0.187450, 0.225102,0.187450, 0.226802,0.187450, 0.225329,0.107614, 0.201339,0.067534, 0.141468,0.055013, 0.187450,0.414979
10,0.227116, 0.285317,0.179696, 0.229497,0.142659, 0.195128,0.142659, 0.196980,0.076499, 0.160754,0.037791, 0.125904,0.387160
11,0.241331, 0.272143,0.217521, 0.241331,0.113999, 0.159405,0.136071, 0.217521,0.066467, 0.137005,0.063601, 0.133606,0.322021
12,0.192352, 0.230231,0.192352, 0.230231,0.111328, 0.217352,0.111328, 0.217352,0.096176, 0.217352,0.048088, 0.135859,0.496753
13,0.193317, 0.224567,0.193317, 0.218958,0.109479, 0.197915,0.193317, 0.218958,0.109479, 0.197915,0.042830, 0.099950,0.316523
14,0.190471, 0.233401,0.190471, 0.233401,0.190471, 0.219091,0.109545, 0.204360,0.063490, 0.192770,0.048193, 0.124336,0.414716
