ó^Ç¶ÇΩèdóvìx,0.210000,0.250000,0.170000,0.230000,0.140000,0.220000,0.100000,0.200000,0.070000,0.190000,0.040000,0.180000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],ãÊä‘ïùÇÃëçòa
1,0.205038, 0.223737,0.200375, 0.250822,0.137538, 0.304194,0.133926, 0.205190,0.061583, 0.137538,0.062705, 0.077355,0.397672
2,0.173931, 0.235015,0.120595, 0.255098,0.127549, 0.198795,0.117507, 0.206152,0.172744, 0.183937,0.082163, 0.126515,0.411021
3,0.124049, 0.324480,0.190950, 0.253532,0.157001, 0.223117,0.126766, 0.246424,0.070287, 0.106404,0.045265, 0.131722,0.571361
4,0.186433, 0.207216,0.189002, 0.375824,0.116287, 0.189002,0.130367, 0.220078,0.058941, 0.134101,0.055020, 0.137730,0.527901
5,0.126368, 0.220818,0.132737, 0.305341,0.134714, 0.333348,0.096525, 0.149609,0.111116, 0.206376,0.056680, 0.126368,0.683720
6,0.141734, 0.305182,0.147999, 0.281838,0.144814, 0.165326,0.127486, 0.147999,0.086793, 0.216481,0.072160, 0.162190,0.558029
7,0.163177, 0.334036,0.175302, 0.181785,0.153523, 0.205235,0.101616, 0.209277,0.143217, 0.203232,0.041047, 0.088552,0.444235
8,0.183720, 0.279904,0.234214, 0.247587,0.133866, 0.260979,0.094998, 0.183720,0.079659, 0.137365,0.061028, 0.102959,0.425029
9,0.187434, 0.271161,0.162344, 0.235534,0.147357, 0.232733,0.114932, 0.205588,0.077578, 0.129918,0.066122, 0.169298,0.488465
10,0.183532, 0.305360,0.158900, 0.261123,0.141735, 0.226713,0.149294, 0.173761,0.087041, 0.169030,0.045343, 0.098169,0.468311
11,0.240501, 0.272084,0.212444, 0.278063,0.107953, 0.167978,0.130826, 0.212444,0.072989, 0.133808,0.062956, 0.107953,0.344662
12,0.170814, 0.268058,0.141991, 0.250629,0.134029, 0.255638,0.120611, 0.232282,0.115727, 0.182489,0.056736, 0.070996,0.520182
13,0.168286, 0.241294,0.180618, 0.237286,0.118308, 0.193782,0.180618, 0.237286,0.118308, 0.193782,0.048259, 0.082173,0.371204
14,0.176611, 0.236449,0.196899, 0.196899,0.161564, 0.233605,0.116802, 0.286584,0.077185, 0.181978,0.041819, 0.093605,0.458239
15,0.170222, 0.314633,0.143148, 0.255361,0.127681, 0.207969,0.158632, 0.185931,0.063820, 0.079990,0.104878, 0.187737,0.463241
16,0.194701, 0.216561,0.194701, 0.216561,0.211993, 0.285657,0.142828, 0.201553,0.081685, 0.097350,0.072187, 0.084223,0.203811
