ó^Ç¶ÇΩèdóvìx,0.210000,0.250000,0.170000,0.230000,0.140000,0.220000,0.100000,0.200000,0.070000,0.190000,0.040000,0.180000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],ãÊä‘ïùÇÃëçòa
1,0.189729, 0.239046,0.171076, 0.280121,0.122289, 0.319443,0.123814, 0.215302,0.005016, 0.194105,0.059202, 0.080858,0.657750
2,0.118309, 0.290637,0.083129, 0.292564,0.098676, 0.227667,0.107339, 0.216320,0.162412, 0.194269,0.030337, 0.178340,0.799597
3,0.074815, 0.373715,0.122160, 0.322323,0.131325, 0.248794,0.111121, 0.262070,0.048162, 0.128528,0.000001, 0.176987,1.024834
4,0.175223, 0.218426,0.175223, 0.389603,0.100758, 0.204531,0.104952, 0.245494,0.017819, 0.175223,0.043806, 0.148943,0.764440
5,0.112320, 0.234866,0.029176, 0.408902,0.039948, 0.428114,0.045147, 0.200987,0.087870, 0.229622,0.009455, 0.173593,1.352167
6,0.063717, 0.383199,0.137742, 0.292094,0.137742, 0.172397,0.110860, 0.164625,0.013451, 0.289823,0.058513, 0.175836,0.955948
7,0.145408, 0.351805,0.159833, 0.197254,0.091490, 0.267267,0.089272, 0.221622,0.044329, 0.302121,0.036571, 0.093028,0.866193
8,0.158267, 0.305357,0.200781, 0.281020,0.115730, 0.279115,0.055994, 0.222724,0.063080, 0.153944,0.043537, 0.120450,0.725220
9,0.083985, 0.374610,0.125079, 0.272800,0.078122, 0.301968,0.098835, 0.221685,0.069152, 0.138344,0.051222, 0.184198,0.987210
10,0.165837, 0.323054,0.088369, 0.331654,0.090798, 0.277650,0.125203, 0.197852,0.074057, 0.182014,0.041384, 0.102127,0.828703
11,0.179112, 0.333473,0.176534, 0.313973,0.085478, 0.190453,0.100920, 0.242351,0.035935, 0.170862,0.042762, 0.128146,0.758517
12,0.114443, 0.324430,0.130713, 0.261907,0.124591, 0.265076,0.097422, 0.255471,0.108525, 0.189691,0.039762, 0.087970,0.769088
