ó^Ç¶ÇΩèdóvìx,0.160000,0.300000,0.140000,0.260000,0.130000,0.230000,0.110000,0.190000,0.100000,0.160000,0.090000,0.130000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],ãÊä‘ïùÇÃëçòa
1,0.112998, 0.212360,0.195694, 0.225997,0.178150, 0.213238,0.106619, 0.212360,0.097847, 0.194817,0.097847, 0.152073,0.421691
2,0.112320, 0.188203,0.173052, 0.224639,0.098431, 0.179870,0.173052, 0.208766,0.164719, 0.206385,0.082359, 0.188203,0.392136
3,0.196914, 0.252858,0.196914, 0.235376,0.126429, 0.213581,0.111278, 0.176429,0.079881, 0.133545,0.079881, 0.196914,0.417405
4,0.155719, 0.250930,0.250930, 0.283337,0.124532, 0.170212,0.131778, 0.170871,0.083643, 0.157140,0.077860, 0.143050,0.351078
5,0.175325, 0.222944,0.167749, 0.205628,0.102814, 0.219336,0.099567, 0.198052,0.109668, 0.205628,0.087662, 0.205628,0.514430
6,0.171221, 0.229753,0.171221, 0.214872,0.171221, 0.217517,0.076584, 0.181638,0.097515, 0.191423,0.085611, 0.191423,0.453253
7,0.229274, 0.282234,0.141117, 0.229274,0.141117, 0.172367,0.141117, 0.172367,0.127228, 0.155006,0.070559, 0.138339,0.299176
8,0.183767, 0.209809,0.204601, 0.237008,0.162375, 0.210773,0.116189, 0.189323,0.069936, 0.162375,0.102300, 0.151543,0.321662
9,0.200390, 0.244250,0.122125, 0.225828,0.112914, 0.218908,0.112914, 0.218908,0.100195, 0.162914,0.100195, 0.180458,0.502534
10,0.123427, 0.280405,0.184445, 0.246855,0.140202, 0.209137,0.093468, 0.203676,0.115491, 0.181869,0.067655, 0.153370,0.550622
11,0.225722, 0.248711,0.220167, 0.244241,0.112861, 0.149047,0.124355, 0.220167,0.081414, 0.125682,0.110083, 0.137552,0.250797
12,0.178922, 0.267910,0.178922, 0.213645,0.133955, 0.203077,0.103350, 0.201650,0.101538, 0.201650,0.084253, 0.131128,0.438118
13,0.168904, 0.209028,0.187423, 0.218287,0.099884, 0.174460,0.199769, 0.232176,0.113773, 0.192978,0.063503, 0.139815,0.333488
14,0.107407, 0.194613,0.194613, 0.214815,0.176094, 0.203872,0.194613, 0.224916,0.097306, 0.176094,0.088047, 0.127609,0.283838
15,0.186301, 0.214078,0.186301, 0.209870,0.104935, 0.191856,0.186301, 0.221654,0.066730, 0.133081,0.107039, 0.191856,0.324790
16,0.207407, 0.229630,0.114815, 0.207407,0.207407, 0.229630,0.114815, 0.207407,0.103704, 0.137037,0.103704, 0.137037,0.296296
17,0.234256, 0.267590,0.211529, 0.234256,0.117128, 0.211529,0.117128, 0.172729,0.077105, 0.136736,0.083278, 0.136736,0.319151
18,0.221789, 0.261005,0.130503, 0.222009,0.098659, 0.222009,0.098659, 0.221789,0.098659, 0.161439,0.087002, 0.176480,0.529461
19,0.117593, 0.246296,0.149537, 0.235185,0.123148, 0.253241,0.116204, 0.182870,0.116204, 0.182870,0.110648, 0.166204,0.533333
20,0.181217, 0.227249,0.227249, 0.255026,0.127513, 0.181217,0.127513, 0.181217,0.090608, 0.155291,0.090608, 0.155291,0.310582
21,0.195139, 0.250139,0.161250, 0.215139,0.125069, 0.194583,0.147361, 0.202083,0.078750, 0.157778,0.090625, 0.182083,0.403611
22,0.204377, 0.234680,0.204377, 0.237710,0.102189, 0.204377,0.117340, 0.204377,0.102189, 0.150673,0.102189, 0.135522,0.334680
23,0.200673, 0.242340,0.114226, 0.200673,0.171044, 0.219192,0.100337, 0.209007,0.094781, 0.187710,0.100337, 0.159680,0.437205
24,0.162890, 0.249458,0.249458, 0.291124,0.074269, 0.162890,0.124729, 0.158955,0.127705, 0.178322,0.070272, 0.149927,0.381354
25,0.204377, 0.226599,0.204377, 0.234680,0.113300, 0.204377,0.117340, 0.204377,0.102189, 0.150673,0.102189, 0.135522,0.312458
26,0.186279, 0.214057,0.159428, 0.205724,0.167761, 0.204798,0.107029, 0.182912,0.102862, 0.201431,0.093140, 0.174579,0.367003
27,0.295077, 0.334759,0.147538, 0.175316,0.084930, 0.170775,0.147538, 0.187221,0.078977, 0.164632,0.056925, 0.156310,0.378028
28,0.172458, 0.222570,0.172458, 0.204509,0.155791, 0.178014,0.172458, 0.204509,0.072647, 0.155791,0.111285, 0.177509,0.285805
29,0.305739, 0.329548,0.143610, 0.166758,0.139443, 0.169536,0.084768, 0.161416,0.109849, 0.160277,0.081064, 0.147990,0.271052
30,0.176481, 0.277432,0.135740, 0.231553,0.135740, 0.201172,0.111808, 0.169928,0.111808, 0.183888,0.092477, 0.171972,0.471891
31,0.238644, 0.284098,0.134473, 0.211872,0.105936, 0.238644,0.119322, 0.177683,0.102464, 0.152655,0.070323, 0.163885,0.457676
32,0.193438, 0.265139,0.129364, 0.210703,0.152698, 0.218130,0.129364, 0.174920,0.065790, 0.157961,0.105352, 0.197142,0.447988
33,0.189794, 0.215835,0.136090, 0.216800,0.210627, 0.249516,0.105314, 0.156292,0.105314, 0.195967,0.071945, 0.146507,0.361834
34,0.189794, 0.221044,0.105314, 0.156292,0.210627, 0.249516,0.136090, 0.216800,0.105314, 0.195967,0.066737, 0.146507,0.372250
35,0.223292, 0.277333,0.185594, 0.223292,0.138666, 0.205876,0.090592, 0.193927,0.096765, 0.139424,0.090592, 0.134644,0.348994
