No.,tL,tR
true,0.884956,1.149425
0,0.904892,1.117448
1,0.917244,1.099170
2,0.916028,1.100921
3,0.925644,1.087343
4,0.877770,1.161776
5,0.892209,1.137417
6,0.942125,1.065452
7,0.935986,1.073414
8,0.873155,1.169964
9,0.894187,1.134216
10,0.971262,1.030488
11,0.893697,1.135007
12,0.919507,1.095937
13,0.948125,1.057881
14,0.929823,1.081633
15,0.947368,1.058824
16,0.938813,1.069719
17,0.876132,1.164658
18,0.879838,1.158176
19,0.916920,1.099637
20,0.900619,1.124035
21,0.938834,1.069691
22,0.900956,1.123510
23,0.907396,1.113655
24,0.938834,1.069691
25,0.921717,1.092815
26,0.917744,1.098454
27,0.943612,1.063557
28,0.944397,1.062563
29,0.881062,1.156063
30,0.912301,1.106354
31,0.883530,1.151839
32,0.917209,1.099219
33,0.912848,1.105548
34,0.933566,1.076616
35,0.943980,1.063084
36,0.929757,1.081725
37,0.951596,1.053591
38,0.921070,1.093726
39,0.896614,1.130336
40,0.915323,1.101944
41,0.907081,1.114128
42,0.910467,1.109062
43,0.916826,1.099771
44,0.886815,1.146301
45,0.926073,1.086756
46,0.935307,1.074310
47,0.916707,1.099942
48,0.929625,1.081904
49,0.942597,1.064849
50,0.883309,1.152214
51,0.899455,1.125852
52,0.906500,1.115007
53,0.925618,1.087378
54,0.982532,1.018101
55,0.942857,1.064516
56,0.911083,1.108149
57,0.903162,1.120101
58,0.955752,1.048544
59,0.933852,1.076233
60,0.936121,1.073235
61,0.914481,1.103165
62,0.929625,1.081904
63,0.908892,1.111409
64,0.935875,1.073558
65,0.905429,1.116632
66,0.909300,1.110801
67,0.964824,1.037837
68,0.889170,1.142392
69,0.896726,1.130158
70,0.866677,1.181798
71,0.913824,1.104124
72,0.916176,1.100709
73,0.932861,1.077551
74,0.933538,1.076651
75,0.913319,1.104860
76,0.893171,1.135854
77,0.938624,1.069966
78,0.979530,1.021346
79,0.880948,1.156259
80,0.927117,1.085321
81,0.904207,1.118494
82,0.902661,1.120873
83,0.917244,1.099170
84,0.928910,1.082872
85,0.906581,1.114881
86,0.937033,1.072037
87,0.921856,1.092618
88,0.928801,1.083020
89,0.902599,1.120966
90,0.932392,1.078181
91,0.905488,1.116541
92,0.963056,1.039891
93,0.917244,1.099170
94,0.956522,1.047620
95,0.915349,1.101905
96,0.891892,1.137931
97,0.920995,1.093832
98,0.903185,1.120063
99,0.916135,1.100765
100,0.924155,1.089410
101,0.898515,1.127330
102,0.915075,1.102301
103,0.932393,1.078179
104,0.916775,1.099843
105,0.904874,1.117476
106,0.856536,1.201191
107,0.896834,1.129984
108,0.936916,1.072194
109,0.848824,1.216693
110,0.915437,1.101775
111,0.938788,1.069751
112,0.909021,1.111217
113,0.935307,1.074310
114,0.922830,1.091253
115,0.911603,1.107383
116,0.932393,1.078179
117,0.895679,1.131827
118,0.921941,1.092499
119,0.907010,1.114237
120,0.912758,1.105682
121,0.916242,1.100612
122,0.959999,1.043478
123,0.888041,1.144260
124,0.910902,1.108416
125,0.932861,1.077551
126,0.932727,1.077733
127,0.900871,1.123643
128,0.866360,1.182388
129,0.947369,1.058825
130,0.930233,1.081080
131,0.936916,1.072194
132,0.903634,1.119377
133,0.917992,1.098097
134,0.907173,1.113989
135,0.901402,1.122817
136,0.916243,1.100611
137,0.912838,1.105565
138,0.936502,1.072735
139,0.931053,1.079977
140,0.939365,1.069000
141,0.935065,1.074628
142,0.982780,1.017834
143,0.952381,1.052633
144,0.914444,1.103219
145,0.906286,1.115330
146,0.910259,1.109372
147,0.945976,1.060567
148,0.971586,1.030127
149,0.880921,1.156303
150,0.927078,1.085376
151,0.903696,1.119276
152,0.951351,1.053893
153,0.878706,1.160143
154,0.936908,1.072200
155,0.972973,1.028570
156,0.920648,1.094321
157,0.929944,1.081470
158,0.938759,1.069789
159,0.920930,1.093922
160,1.000000,1.000000
161,0.883674,1.151593
162,0.902154,1.121652
163,0.924855,1.088437
164,0.944871,1.061962
165,0.946775,1.059566
166,0.936164,1.073179
167,0.884857,1.149592
168,0.906621,1.114823
169,0.907172,1.113991
170,0.915077,1.102298
171,0.888803,1.142998
172,0.926578,1.086059
173,0.870664,1.174463
174,0.921941,1.092499
175,0.897959,1.128207
176,0.955752,1.048544
177,0.917948,1.098159
178,0.917548,1.098732
179,0.917064,1.099427
180,0.924375,1.089102
181,0.917244,1.099170
182,0.885155,1.149090
183,0.953643,1.051096
184,0.894526,1.133670
185,0.940390,1.067678
186,0.898643,1.127129
187,0.918097,1.097949
188,0.882145,1.154200
189,0.940122,1.068023
190,0.924844,1.088453
191,0.905777,1.116101
192,1.000000,1.000001
193,0.919068,1.096563
194,0.876995,1.163141
195,0.878073,1.161250
196,0.902417,1.121246
197,0.910449,1.109088
198,0.921566,1.093026
199,0.894169,1.134246
200,0.922064,1.092327
201,0.881747,1.154882
202,0.873209,1.169868
203,0.927695,1.084526
204,0.971586,1.030127
205,0.902855,1.120571
206,0.949243,1.056495
207,0.912202,1.106498
208,0.879658,1.158487
209,0.906018,1.115739
210,0.900000,1.125000
211,0.867191,1.180844
212,0.917112,1.099357
213,0.909244,1.110883
214,0.925895,1.087000
215,0.938021,1.070747
216,0.923198,1.090741
217,0.918575,1.097264
218,0.953156,1.051684
219,0.918771,1.096986
220,0.893372,1.135533
221,0.913971,1.103906
222,0.916525,1.100204
223,0.914087,1.103737
224,0.867182,1.180862
225,0.858604,1.197147
226,0.944263,1.062730
227,0.952381,1.052633
228,0.921110,1.093672
229,0.938834,1.069691
230,0.903595,1.119433
231,0.949243,1.056494
232,0.940367,1.067710
233,0.873506,1.169331
234,0.967384,1.034892
235,0.895339,1.132369
236,0.849888,1.214516
237,0.932085,1.078592
238,0.991305,1.008850
239,0.904177,1.118542
240,0.895949,1.131395
241,0.864371,1.186114
242,0.961479,1.041737
243,0.916270,1.100573
244,0.907184,1.113970
245,0.948617,1.057270
246,0.902678,1.120844
247,0.909682,1.110228
248,0.974882,1.026446
249,0.864933,1.185057
250,0.939335,1.069042
251,0.904617,1.117871
252,0.927206,1.085199
253,0.868532,1.178368
254,0.917244,1.099170
255,0.973960,1.027468
256,0.948373,1.057570
257,0.920930,1.093922
258,0.870332,1.175067
259,0.902049,1.121814
260,0.923353,1.090524
261,0.903849,1.119044
262,0.925586,1.087426
263,0.863575,1.187615
264,0.932183,1.078461
265,0.920930,1.093922
266,0.920643,1.094328
267,0.919315,1.096211
268,0.935766,1.073704
269,0.901916,1.122020
270,0.914347,1.103357
271,0.934814,1.074961
272,0.880420,1.157166
273,0.868053,1.179249
274,0.944310,1.062670
275,0.916028,1.100921
276,0.899603,1.125622
277,0.965435,1.037131
278,0.976626,1.024519
279,0.902564,1.121022
280,0.926750,1.085825
281,0.928422,1.083534
282,0.922653,1.091502
283,0.938788,1.069751
284,0.903067,1.120246
285,0.912982,1.105352
286,0.934256,1.075698
287,0.885817,1.147975
288,0.913225,1.104997
289,0.918580,1.097258
290,0.896732,1.130149
291,0.911323,1.107794
292,0.897581,1.128804
293,0.947368,1.058824
294,0.889230,1.142292
295,0.927597,1.084663
296,0.953643,1.051096
297,0.858802,1.196763
298,0.896522,1.130484
299,0.919206,1.096367
300,0.913668,1.104350
301,0.923912,1.089744
302,0.898910,1.126705
303,0.861806,1.190978
304,0.930034,1.081351
305,0.880716,1.156658
306,0.871817,1.172371
307,0.938834,1.069691
308,0.935549,1.073989
309,0.921941,1.092500
310,0.893232,1.135756
311,0.855440,1.203354
312,0.951351,1.053893
313,0.928666,1.083203
314,0.929426,1.082171
315,0.931505,1.079367
316,0.940767,1.067193
317,0.943376,1.063855
318,0.898434,1.127459
319,0.866807,1.181557
320,0.905940,1.115855
321,0.917548,1.098733
322,0.940767,1.067194
323,0.919266,1.096281
324,0.921614,1.092959
325,0.924055,1.089550
326,0.903269,1.119932
327,0.859523,1.195364
328,0.934256,1.075698
329,0.914300,1.103429
330,0.942305,1.065220
331,0.913585,1.104471
332,0.971262,1.030488
333,0.847510,1.219401
334,0.905429,1.116632
335,0.942856,1.064516
336,0.917316,1.099068
337,0.897399,1.129087
338,0.877864,1.161613
339,0.924155,1.089410
340,0.945106,1.061660
341,0.935421,1.074159
342,0.905392,1.116687
343,0.904411,1.118183
344,0.940460,1.067586
345,0.891518,1.138541
346,0.850945,1.212364
347,0.938776,1.069766
348,0.894267,1.134089
349,0.972972,1.028572
350,0.901638,1.122448
351,0.955752,1.048544
352,0.920931,1.093924
353,0.937500,1.071428
354,0.893891,1.134694
355,0.912202,1.106498
356,0.956522,1.047620
357,0.896537,1.130458
358,0.916826,1.099771
359,0.904165,1.118561
360,0.912803,1.105616
361,0.923238,1.090684
362,0.945627,1.061008
363,0.898370,1.127558
364,0.948616,1.057271
365,0.865992,1.183072
366,0.921960,1.092475
367,0.932861,1.077551
368,0.922620,1.091548
369,0.858609,1.197139
370,0.918031,1.098042
371,0.933269,1.077011
372,0.945709,1.060903
373,0.907010,1.114237
374,0.920039,1.095183
375,0.932085,1.078592
376,0.905514,1.116503
377,0.927039,1.085425
378,0.917036,1.099470
379,0.923247,1.090674
380,0.905429,1.116632
381,0.868331,1.178735
382,0.888681,1.143202
383,0.934222,1.075741
384,0.920931,1.093924
385,0.914063,1.103775
386,0.857626,1.199057
387,0.939335,1.069042
388,0.897395,1.129096
389,0.915437,1.101775
390,0.926440,1.086249
391,0.910449,1.109088
392,0.891490,1.138584
393,0.847939,1.218517
394,0.943980,1.063084
395,0.879545,1.158683
396,0.983607,1.016951
397,0.932394,1.078174
398,0.957163,1.046851
399,0.898462,1.127414
400,0.932720,1.077741
401,0.939237,1.069168
402,0.933770,1.076343
403,0.931034,1.080000
404,0.930746,1.080390
405,0.983606,1.016948
406,0.875573,1.165648
407,0.942597,1.064849
408,0.926083,1.086740
409,1.000000,1.000001
410,0.912091,1.106661
411,0.906039,1.115704
412,0.884712,1.149838
413,0.873785,1.168831
414,0.899634,1.125572
415,0.982533,1.018101
416,0.915591,1.101553
417,0.956521,1.047620
418,0.880000,1.157893
419,0.924481,1.088953
420,0.843308,1.228209
421,0.918580,1.097258
422,0.883357,1.152133
423,0.941887,1.065757
424,0.951295,1.053962
425,0.923979,1.089653
426,0.897971,1.128187
427,0.932642,1.077843
428,0.900912,1.123577
429,0.920323,1.094779
430,0.924262,1.089258
431,0.910182,1.109485
432,0.945106,1.061660
433,0.959999,1.043478
434,0.910274,1.109350
435,0.904463,1.118102
436,0.915571,1.101582
437,0.907312,1.113780
438,0.958722,1.044994
439,0.849962,1.214366
440,0.927283,1.085092
441,0.874543,1.167482
442,0.912202,1.106498
443,0.943612,1.063557
444,0.877666,1.161960
445,0.930622,1.080554
446,0.934578,1.075271
447,0.909855,1.109969
448,0.919484,1.095970
449,0.888250,1.143915
450,0.939098,1.069349
451,0.896465,1.130573
452,0.903374,1.119771
453,0.876615,1.163810
454,0.885383,1.148704
455,0.936420,1.072844
456,0.943612,1.063557
457,0.976330,1.024848
458,0.928851,1.082953
459,0.879412,1.158915
460,0.913511,1.104581
461,0.910449,1.109088
462,0.882056,1.154353
463,0.948617,1.057268
464,0.921795,1.092704
465,0.862561,1.189537
466,0.927453,1.084860
467,0.947368,1.058824
468,0.896609,1.130345
469,0.876092,1.164733
470,0.942857,1.064516
471,0.875573,1.165648
472,0.897399,1.129087
473,0.916194,1.100683
474,0.918246,1.097735
475,0.933770,1.076343
476,0.901008,1.123430
477,0.889631,1.141635
478,0.883867,1.151266
479,0.919363,1.096139
480,0.973831,1.027612
481,0.918580,1.097258
482,0.898910,1.126705
483,0.906178,1.115493
484,0.860983,1.192555
485,0.905389,1.116690
486,0.903269,1.119932
487,0.912091,1.106661
488,0.929823,1.081633
489,0.939366,1.069002
490,0.947368,1.058824
491,0.974214,1.027192
492,0.952462,1.052531
493,0.921603,1.092974
494,0.873751,1.168895
495,0.918771,1.096986
496,0.913732,1.104256
497,0.894410,1.133858
498,0.878796,1.159984
499,0.951161,1.054125
500,0.902395,1.121281
501,0.938813,1.069719
502,0.897578,1.128810
503,0.897417,1.129063
504,0.906039,1.115704
505,0.904896,1.117441
506,0.941690,1.066009
507,0.933770,1.076343
508,0.932085,1.078592
509,0.924301,1.089202
510,0.921941,1.092499
511,0.946479,1.059936
512,0.927550,1.084727
513,0.942857,1.064516
514,0.890454,1.140282
515,1.000000,1.000000
516,0.926641,1.085972
517,0.871394,1.173140
518,0.882233,1.154051
519,0.901330,1.122927
520,0.906364,1.115213
521,0.919004,1.096652
522,0.927209,1.085195
523,0.909299,1.110799
524,0.911717,1.107214
525,0.933801,1.076302
526,0.908487,1.112016
527,0.921070,1.093726
528,0.940025,1.068149
529,0.921020,1.093798
530,0.927711,1.084508
531,0.900188,1.124705
532,0.900794,1.123763
533,0.906317,1.115286
534,0.935986,1.073412
535,0.887810,1.144644
536,0.900256,1.124601
537,0.899806,1.125304
538,0.914400,1.103279
539,0.953473,1.051299
540,0.916826,1.099771
541,0.960001,1.043476
542,0.973541,1.027938
543,0.904082,1.118685
544,0.913329,1.104845
545,0.882103,1.154275
546,0.892717,1.136591
547,0.952381,1.052634
548,0.930779,1.080343
549,0.906056,1.115679
550,0.957250,1.046748
551,0.905488,1.116542
552,0.941039,1.066843
553,0.889160,1.142409
554,0.898778,1.126914
555,0.912307,1.106344
556,0.905514,1.116501
557,0.884738,1.149793
558,0.925837,1.087077
559,0.913840,1.104098
560,0.939677,1.068600
561,0.943980,1.063084
562,0.872347,1.171416
563,0.902282,1.121455
564,0.938357,1.070313
565,0.928882,1.082911
566,0.927775,1.084420
567,0.921941,1.092499
568,0.889722,1.141482
569,0.919777,1.095554
570,0.905749,1.116147
571,0.910312,1.109296
572,0.904213,1.118486
573,0.914299,1.103429
574,0.912613,1.105894
575,0.938408,1.070244
576,0.930241,1.081069
577,0.935766,1.073704
578,0.876678,1.163697
579,0.883493,1.151903
580,0.975610,1.025640
581,0.950148,1.055373
582,0.923122,1.090843
583,0.944263,1.062730
584,0.955752,1.048544
585,0.929328,1.082307
586,0.919479,1.095977
587,0.899428,1.125895
588,0.868162,1.179049
589,0.889631,1.141635
590,0.893295,1.135653
591,0.886438,1.146934
592,0.950793,1.054579
593,0.962412,1.040642
594,0.907205,1.113942
595,0.868900,1.177690
596,0.938912,1.069587
597,0.946775,1.059566
598,0.967741,1.034482
599,0.926458,1.086225
600,0.903491,1.119593
601,0.961447,1.041777
602,0.908931,1.111351
603,0.920039,1.095183
604,0.926366,1.086351
605,0.885979,1.147705
606,0.893176,1.135849
607,0.923438,1.090406
608,0.882496,1.153603
609,0.917076,1.099410
610,0.912014,1.106776
611,0.893390,1.135504
612,1.000000,1.000001
613,0.895117,1.132723
614,0.919638,1.095752
615,0.889688,1.141538
616,0.880769,1.156565
617,0.898854,1.126795
618,0.897300,1.129246
619,0.922060,1.092334
620,0.871127,1.173624
621,0.915254,1.102041
622,0.924090,1.089498
623,0.901638,1.122448
624,0.928244,1.083778
625,0.930692,1.080460
626,0.936908,1.072200
627,0.906481,1.115034
628,0.912667,1.105814
629,0.923733,1.089994
630,0.916850,1.099739
631,0.967741,1.034482
632,0.866858,1.181462
633,0.918603,1.097228
634,0.928111,1.083960
635,0.912759,1.105682
636,0.893992,1.134530
637,0.916076,1.100850
638,0.911717,1.107214
639,0.932474,1.078068
640,0.914690,1.102858
641,0.931742,1.079051
642,0.944263,1.062731
643,0.874478,1.167594
644,0.883057,1.152646
645,0.973914,1.027523
646,0.933217,1.077079
647,0.913376,1.104777
648,0.925344,1.087758
649,0.890585,1.140065
650,0.919731,1.095620
651,0.947337,1.058864
652,0.908917,1.111369
653,0.938019,1.070754
654,0.886454,1.146906
655,0.956384,1.047786
656,0.928684,1.083180
657,0.904425,1.118160
658,0.904689,1.117759
659,0.941039,1.066843
660,0.893371,1.135531
661,0.912525,1.106023
662,0.937683,1.071189
663,0.920398,1.094676
664,0.848835,1.216669
665,0.940025,1.068149
666,0.899572,1.125671
667,1.000000,1.000000
668,0.925600,1.087406
669,0.912470,1.106107
670,0.940390,1.067678
671,0.958808,1.044889
672,0.910627,1.108827
673,0.930280,1.081017
674,0.931035,1.079999
675,0.923122,1.090846
676,0.869653,1.176310
677,0.923438,1.090406
678,0.906402,1.115153
679,0.931761,1.079025
680,0.867113,1.180989
681,0.942597,1.064849
682,0.912759,1.105682
683,0.890113,1.140840
684,0.885155,1.149090
685,0.947369,1.058825
686,0.901597,1.122516
687,0.870199,1.175315
688,0.896176,1.131031
689,0.927834,1.084336
690,0.940060,1.068104
691,0.903697,1.119277
692,0.879475,1.158805
693,0.894135,1.134299
694,0.946539,1.059861
695,0.901638,1.122448
696,0.902760,1.120714
697,0.923473,1.090354
698,0.879436,1.158872
699,0.939607,1.068689
700,0.925471,1.087585
701,0.929033,1.082706
702,0.915757,1.101313
703,0.889266,1.142233
704,0.919033,1.096613
705,0.921245,1.093479
706,0.930666,1.080494
707,0.913044,1.105264
708,0.885122,1.149145
709,0.947815,1.058268
710,0.924821,1.088482
711,0.902877,1.120536
712,0.866428,1.182261
713,0.857651,1.199006
714,0.923341,1.090540
715,0.890126,1.140817
716,0.888854,1.142913
717,0.902512,1.121100
718,0.895679,1.131827
719,0.880399,1.157209
720,0.941039,1.066843
721,0.947939,1.058113
722,0.915101,1.102264
723,0.950187,1.055324
724,0.999999,1.000002
725,0.914481,1.103165
726,0.881634,1.155079
727,0.917244,1.099170
728,0.999999,1.000000
729,0.921167,1.093589
730,0.922451,1.091788
731,0.955752,1.048544
732,0.920509,1.094517
733,0.873051,1.170146
734,0.947368,1.058824
735,0.933444,1.076775
736,0.927711,1.084508
737,0.917198,1.099237
738,0.898994,1.126578
739,0.930233,1.081080
740,0.923677,1.090072
741,0.933754,1.076365
742,0.951923,1.053191
743,0.921223,1.093512
744,0.947366,1.058824
745,0.926857,1.085675
746,0.944973,1.061830
747,0.894522,1.133680
748,0.915015,1.102385
749,0.863456,1.187840
750,0.951923,1.053191
751,0.920043,1.095177
752,0.956522,1.047620
753,0.919598,1.095809
754,0.907081,1.114129
755,0.905750,1.116144
756,0.898766,1.126936
757,0.910869,1.108467
758,0.958455,1.045312
759,0.938875,1.069639
760,0.869327,1.176907
761,0.911932,1.106896
762,0.886412,1.146976
763,0.927206,1.085199
764,0.904171,1.118549
765,0.901939,1.121984
766,0.957788,1.046103
767,0.899783,1.125338
768,0.940992,1.066902
769,0.954465,1.050096
770,0.897417,1.129063
771,0.881710,1.154948
772,0.950014,1.055537
773,0.936420,1.072844
774,0.892441,1.137039
775,0.949899,1.055680
776,0.914582,1.103019
777,0.927209,1.085195
778,0.900005,1.124991
779,0.899267,1.126148
780,0.952381,1.052633
781,0.920039,1.095183
782,0.927729,1.084483
783,0.887833,1.144607
784,0.903708,1.119259
785,0.938759,1.069789
786,0.913706,1.104294
787,0.967741,1.034483
788,0.895488,1.132132
789,0.931815,1.078951
790,0.905392,1.116687
791,0.903972,1.118855
792,0.902794,1.120663
793,0.951140,1.054151
794,0.913706,1.104294
795,0.951923,1.053191
796,0.900199,1.124686
797,0.923224,1.090705
798,0.916827,1.099769
799,0.932642,1.077843
800,0.871868,1.172282
801,0.912584,1.105939
802,0.894839,1.133169
803,0.974882,1.026446
804,0.926842,1.085696
805,0.916270,1.100573
806,0.928223,1.083806
807,0.921941,1.092499
808,1.000000,1.000000
809,0.999999,1.000001
810,0.884545,1.150119
