ó^Ç¶ÇΩèdóvìx,0.160000,0.300000,0.140000,0.260000,0.130000,0.230000,0.110000,0.190000,0.100000,0.160000,0.090000,0.130000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],ãÊä‘ïùÇÃëçòa
1,0.114370, 0.243894,0.093983, 0.358264,0.118530, 0.291451,0.102209, 0.223508,0.043810, 0.186473,0.086485, 0.137022,0.881226
2,0.129459, 0.195370,0.101265, 0.317757,0.104794, 0.187601,0.138215, 0.266969,0.131718, 0.188489,0.078261, 0.160103,0.632578
3,0.134571, 0.326139,0.188044, 0.253205,0.132650, 0.220501,0.122597, 0.195089,0.095541, 0.099547,0.036704, 0.195411,0.579787
4,0.149641, 0.278829,0.262259, 0.295399,0.110649, 0.168700,0.124962, 0.187520,0.073648, 0.144256,0.074429, 0.129708,0.408824
5,0.102628, 0.257146,0.064099, 0.356748,0.091733, 0.321940,0.080893, 0.176252,0.108549, 0.213392,0.047953, 0.178667,1.008291
6,0.116732, 0.333898,0.140976, 0.265407,0.140062, 0.178113,0.091987, 0.178400,0.063516, 0.228275,0.079544, 0.183092,0.734367
7,0.193095, 0.318914,0.158383, 0.202446,0.156698, 0.162216,0.156698, 0.162216,0.122682, 0.162863,0.076628, 0.127162,0.271632
8,0.127079, 0.312147,0.209879, 0.237074,0.136852, 0.224154,0.072691, 0.215749,0.074492, 0.166408,0.104939, 0.118537,0.548137
9,0.145972, 0.313693,0.118638, 0.299870,0.097133, 0.222389,0.076983, 0.247746,0.083014, 0.139375,0.092677, 0.162512,0.771168
10,0.109238, 0.381654,0.064392, 0.395157,0.069968, 0.264254,0.085566, 0.207004,0.082439, 0.158053,0.058723, 0.123551,1.059349
11,0.219948, 0.276961,0.183259, 0.288959,0.109974, 0.138480,0.124678, 0.232249,0.078863, 0.127431,0.089239, 0.129958,0.388075
12,0.108724, 0.325799,0.092404, 0.307932,0.052194, 0.313521,0.101995, 0.214871,0.101408, 0.218252,0.064726, 0.098173,0.957099
13,0.149155, 0.236767,0.165659, 0.235793,0.112029, 0.174172,0.211488, 0.236629,0.110481, 0.177393,0.071610, 0.118825,0.359157
14,0.128611, 0.230944,0.143689, 0.311570,0.156865, 0.198038,0.177451, 0.219205,0.078723, 0.177451,0.078433, 0.099019,0.472455
15,0.166866, 0.266878,0.118789, 0.289489,0.112400, 0.210263,0.149746, 0.206091,0.067153, 0.122558,0.100752, 0.189015,0.568586
16,0.131655, 0.317899,0.126904, 0.227792,0.131661, 0.317899,0.126907, 0.227789,0.097873, 0.097873,0.097873, 0.097873,0.574253
17,0.216987, 0.309714,0.153353, 0.293609,0.067066, 0.215876,0.102426, 0.213713,0.076887, 0.129589,0.090326, 0.130452,0.585908
18,0.151728, 0.395287,0.131315, 0.268145,0.100721, 0.216776,0.024065, 0.236051,0.090793, 0.125983,0.071341, 0.187795,0.860074
19,0.105756, 0.355755,0.083907, 0.342360,0.145165, 0.250542,0.108110, 0.142036,0.108110, 0.142036,0.091147, 0.125073,0.715608
20,0.147414, 0.252310,0.199862, 0.304757,0.095656, 0.226086,0.095656, 0.226086,0.083873, 0.142213,0.083873, 0.142213,0.587328
21,0.136580, 0.355160,0.137386, 0.220596,0.124714, 0.234707,0.109828, 0.213768,0.052837, 0.159683,0.075749, 0.178991,0.725812
22,0.200001, 0.254024,0.170605, 0.223338,0.104656, 0.223338,0.115344, 0.258343,0.100001, 0.127012,0.099070, 0.124268,0.420647
23,0.226383, 0.226383,0.106426, 0.271360,0.113191, 0.243146,0.132297, 0.229766,0.094710, 0.129955,0.113191, 0.113191,0.427603
24,0.148587, 0.280637,0.259702, 0.259973,0.080059, 0.206590,0.032433, 0.257603,0.109118, 0.169387,0.065993, 0.129919,0.608217
