No.,tL,tR
true,0.884956,1.149425
0,0.850101,1.214081
1,0.909259,1.110859
2,0.910478,1.109047
3,0.930039,1.081343
4,0.825426,1.268224
5,0.869551,1.176494
6,0.990101,1.010098
7,0.918273,1.097695
8,0.830321,1.256836
9,0.834092,1.248298
10,0.920415,1.094652
11,0.821543,1.277501
12,0.915779,1.101280
13,0.936026,1.073361
14,0.897993,1.128151
15,0.908363,1.112202
16,0.874017,1.168422
17,0.842831,1.229223
18,0.909629,1.110312
19,0.859672,1.195080
20,0.873878,1.168669
21,0.936923,1.072184
22,0.953410,1.051379
23,0.926836,1.085703
24,0.921604,1.092975
25,0.864925,1.185074
26,0.876878,1.163344
27,0.915726,1.101359
28,0.855122,1.203985
29,0.894415,1.133850
30,0.901283,1.123001
31,0.895643,1.131885
32,0.873959,1.168523
33,0.895662,1.131850
34,0.927339,1.085013
35,0.921808,1.092686
36,0.892775,1.136497
37,0.945902,1.060664
38,0.817187,1.288180
39,0.841107,1.232906
40,0.915225,1.102083
41,0.871205,1.173483
42,0.812885,1.299018
43,0.967044,1.035282
44,0.735561,1.561292
45,0.857380,1.199536
46,0.888438,1.143603
47,0.906044,1.115698
48,0.981522,1.019187
49,0.871653,1.172671
50,0.809821,1.306916
51,0.795222,1.346819
52,0.895874,1.131512
53,0.779950,1.393022
54,0.886175,1.147376
55,0.912290,1.106372
56,0.887815,1.144634
57,0.923349,1.090528
58,0.938150,1.070582
59,0.817880,1.286460
60,0.904079,1.118690
61,0.888111,1.144143
62,0.942124,1.065451
63,0.898173,1.127867
64,0.891243,1.138991
65,0.858478,1.197391
66,0.898335,1.127613
67,0.998397,1.001607
68,0.849518,1.215272
69,0.848944,1.216447
70,0.861789,1.191011
71,0.902574,1.121006
72,0.840082,1.235115
73,0.901056,1.123356
74,0.884478,1.150234
75,0.849883,1.214527
76,0.849769,1.214755
77,0.913805,1.104151
78,0.923554,1.090244
79,0.834581,1.247205
80,0.823580,1.272605
81,0.860949,1.192619
82,0.910866,1.108469
83,0.894296,1.134040
84,0.877388,1.162449
85,0.826127,1.266573
86,0.805630,1.317983
87,0.915063,1.102320
88,0.912036,1.106746
89,0.904010,1.118795
90,0.901349,1.122900
91,0.905859,1.115977
92,0.940522,1.067508
93,0.909268,1.110846
94,0.884470,1.150249
95,0.909274,1.110837
96,0.849616,1.215070
97,0.889279,1.142211
98,0.905754,1.116139
99,0.862306,1.190023
100,0.971742,1.029952
101,0.953362,1.051435
102,0.873083,1.170094
103,0.932383,1.078192
104,0.836436,1.243085
105,0.872831,1.170546
106,0.716247,1.656090
107,0.815500,1.292392
108,0.901948,1.121972
109,0.862951,1.188801
110,0.944443,1.062502
111,0.969382,1.032615
112,0.890000,1.141026
113,0.888438,1.143602
114,0.837369,1.241029
115,0.859729,1.194969
116,0.932383,1.078192
117,0.850533,1.213201
118,0.861649,1.191279
119,0.825696,1.267586
120,0.867337,1.180572
121,0.902280,1.121460
122,0.909833,1.110005
123,0.884008,1.151029
124,0.907735,1.113142
125,0.901056,1.123356
126,0.888371,1.143715
127,0.927048,1.085415
128,0.837436,1.240883
129,0.946653,1.059717
130,0.941532,1.066211
131,0.901954,1.121962
132,0.866725,1.181710
133,0.837508,1.240724
134,0.920315,1.094793
135,0.901187,1.123149
136,0.835356,1.245477
137,0.917424,1.098911
138,0.899596,1.125629
139,0.926502,1.086164
140,0.943372,1.063860
141,0.970252,1.031630
142,0.950823,1.054540
143,0.935860,1.073579
144,0.823581,1.272608
145,0.812727,1.299419
146,0.916759,1.099868
147,0.912953,1.105395
148,0.964743,1.037931
149,0.838804,1.237889
150,0.905267,1.116878
151,0.914106,1.103709
152,0.889173,1.142387
153,0.955797,1.048489
154,0.852618,1.208985
155,0.944770,1.062089
156,0.964869,1.037784
157,0.875651,1.165512
158,0.916115,1.100795
159,0.853383,1.207448
160,0.876188,1.164561
161,0.952808,1.052111
162,0.851873,1.210484
163,0.814364,1.295256
164,0.898506,1.127345
165,0.970484,1.031370
166,0.966871,1.035480
167,0.851533,1.211171
168,0.871387,1.173151
169,0.893796,1.134850
170,0.840069,1.235146
171,0.807610,1.312717
172,0.856023,1.202201
173,0.795987,1.344632
174,0.817966,1.286245
175,0.863015,1.188676
176,0.964443,1.038280
177,0.942342,1.065174
178,0.854965,1.204293
179,0.901720,1.122324
180,0.930612,1.080569
181,0.873753,1.168891
182,0.864946,1.185034
183,0.898869,1.126773
184,0.816885,1.288926
185,0.853766,1.206685
186,0.819867,1.281576
187,0.903515,1.119554
188,0.835088,1.246070
189,0.867320,1.180604
190,0.868603,1.178237
191,0.939872,1.068348
192,0.986325,1.014061
193,0.909233,1.110898
194,0.849635,1.215031
195,0.850719,1.212822
196,0.825890,1.267128
197,0.806828,1.314790
198,0.860842,1.192826
199,0.837031,1.241772
200,0.913202,1.105033
201,0.878613,1.160304
202,0.821167,1.278409
203,0.887649,1.144911
204,0.964743,1.037931
205,0.793349,1.352227
206,0.985367,1.015077
207,0.880481,1.157063
208,0.872244,1.171602
209,0.878665,1.160215
210,0.794150,1.349905
211,0.816108,1.290869
212,0.893151,1.135890
213,0.831163,1.254913
214,0.878485,1.160526
215,0.867368,1.180515
216,0.934795,1.074983
217,0.894289,1.134052
218,0.950616,1.054796
219,0.974249,1.027151
220,0.861495,1.191574
221,0.861318,1.191911
222,0.891546,1.138494
223,0.921041,1.093766
224,0.759599,1.463021
225,0.860516,1.193454
226,0.870894,1.174047
227,0.878928,1.159756
228,0.904808,1.117574
229,0.943892,1.063201
230,0.905819,1.116038
231,0.955946,1.048309
232,0.805069,1.319486
233,0.849834,1.214624
234,0.918668,1.097131
235,0.819887,1.281527
236,0.828977,1.259930
237,0.840616,1.233965
238,0.994900,1.005151
239,0.842575,1.229764
240,0.870578,1.174622
241,0.879350,1.159023
242,0.954024,1.050633
243,0.857270,1.199749
244,0.903280,1.119917
245,0.883518,1.151857
246,0.803795,1.322925
247,0.865497,1.183998
248,0.839342,1.236722
249,0.826224,1.266345
250,0.908815,1.111524
251,0.898664,1.127093
252,0.840531,1.234146
253,0.866351,1.182406
254,0.909268,1.110846
255,0.923054,1.090943
256,0.915083,1.102289
257,0.810046,1.306332
258,0.810684,1.304674
259,0.883156,1.152477
260,0.901542,1.122603
261,0.775577,1.407192
262,0.918497,1.097377
263,0.920736,1.094197
264,0.925498,1.087546
265,0.829303,1.259181
266,0.870070,1.175548
267,0.880092,1.157740
268,0.888274,1.143876
269,0.859869,1.194697
270,0.862703,1.189271
271,0.862589,1.189488
272,0.847090,1.220277
273,0.784373,1.379128
274,0.924466,1.088978
275,0.872539,1.171070
276,0.874140,1.168201
277,0.937724,1.071137
278,0.947379,1.058809
279,0.847465,1.219497
280,0.917915,1.098206
281,0.850170,1.213940
282,0.856310,1.201636
283,0.969381,1.032615
284,0.902402,1.121269
285,0.916794,1.099820
286,0.933844,1.076243
287,0.916235,1.100621
288,0.829993,1.257593
289,0.858976,1.196428
290,0.886899,1.146161
291,0.869691,1.176244
292,0.867799,1.179718
293,0.967897,1.034305
294,0.855169,1.203890
295,0.828180,1.261776
296,0.898869,1.126773
297,0.858970,1.196437
298,0.922747,1.091371
299,0.827261,1.263917
300,0.831960,1.253103
301,0.853693,1.206830
302,0.848432,1.217500
303,0.837317,1.241144
304,0.973151,1.028373
305,0.863306,1.188124
306,0.823059,1.273853
307,0.917692,1.098527
308,0.801165,1.330109
309,0.835414,1.245350
310,0.885838,1.147937
311,0.793831,1.350827
312,0.888568,1.143390
313,0.934907,1.074838
314,0.871828,1.172355
315,0.860828,1.192849
316,0.937554,1.071359
317,0.916269,1.100570
318,0.905932,1.115867
319,0.873401,1.169521
320,0.884938,1.149454
321,0.866009,1.183047
322,0.896385,1.130701
323,0.896629,1.130311
324,0.927241,1.085151
325,0.870782,1.174249
326,0.816404,1.290126
327,0.833724,1.249122
328,0.942250,1.065291
329,0.922109,1.092263
330,0.849253,1.215808
331,0.894854,1.133146
332,0.920415,1.094652
333,0.803416,1.323951
334,0.858477,1.197394
335,0.891460,1.138632
336,0.899533,1.125729
337,0.823409,1.273013
338,0.822512,1.275164
339,0.971739,1.029953
340,0.899188,1.126271
341,0.827699,1.262894
342,0.850902,1.212450
343,0.918604,1.097222
344,0.881653,1.155044
345,0.896089,1.131172
346,0.705583,1.716055
347,0.843416,1.227979
348,0.827382,1.263636
349,0.925683,1.087293
350,0.885558,1.148413
351,0.964443,1.038280
352,0.836063,1.243906
353,0.951213,1.054063
354,0.935135,1.074533
355,0.880481,1.157063
356,0.950146,1.055378
357,0.882057,1.154352
358,0.967034,1.035293
359,0.839621,1.236115
360,0.846067,1.222404
361,0.812874,1.299045
362,0.869033,1.177446
363,0.883440,1.151991
364,0.847766,1.218872
365,0.833819,1.248910
366,0.883390,1.152075
367,0.901062,1.123344
368,0.830503,1.256423
369,0.858266,1.197808
370,0.819901,1.281491
371,0.923508,1.090309
372,0.899656,1.125537
373,0.874748,1.167113
374,0.855882,1.202478
375,0.926683,1.085917
376,0.819030,1.283625
377,0.952686,1.052259
378,0.877949,1.161466
379,0.907822,1.113014
380,0.858477,1.197394
381,0.912602,1.105912
382,0.826950,1.264641
383,0.853071,1.208075
384,0.846493,1.221517
385,0.809426,1.307952
386,0.908722,1.111664
387,0.908810,1.111531
388,0.850240,1.213797
389,0.944415,1.062537
390,0.907744,1.113128
391,0.806827,1.314793
392,0.872477,1.171181
393,0.818955,1.283809
394,0.921808,1.092686
395,0.931380,1.079535
396,0.940720,1.067255
397,0.850085,1.214112
398,0.878550,1.160416
399,0.810241,1.305824
400,0.915173,1.102157
401,0.964689,1.037994
402,0.915938,1.101050
403,0.897527,1.128889
404,0.894626,1.133511
405,0.949859,1.055730
406,0.876657,1.163734
407,0.871659,1.172660
408,0.927252,1.085135
409,0.984646,1.015839
410,0.801570,1.328992
411,0.813948,1.296311
412,0.912559,1.105972
413,0.780501,1.391260
414,0.851500,1.211236
415,0.935616,1.073900
416,0.963702,1.039139
417,0.880621,1.156820
418,0.798324,1.338015
419,0.860027,1.194394
420,0.861008,1.192506
421,0.807379,1.313325
422,0.860798,1.192909
423,0.933448,1.076771
424,0.946931,1.059369
425,0.894406,1.133865
426,0.863287,1.188159
427,0.919973,1.095276
428,0.886367,1.147055
429,0.895306,1.132422
430,0.839521,1.236329
431,0.893164,1.135868
432,0.899190,1.126269
433,0.969241,1.032775
434,0.897722,1.128576
435,0.891377,1.138769
436,0.856790,1.200691
437,0.851785,1.210661
438,0.928020,1.084086
439,0.815665,1.291981
440,0.897349,1.129170
441,0.826431,1.265860
442,0.880475,1.157073
443,0.930836,1.080267
444,0.907709,1.113185
445,0.874015,1.168421
446,0.931628,1.079203
447,0.920719,1.094220
448,0.932864,1.077550
449,0.833303,1.250070
450,0.872526,1.171095
451,0.845911,1.222729
452,0.822081,1.276204
453,0.870758,1.174296
454,0.817964,1.286255
455,0.963410,1.039479
456,0.915726,1.101359
457,0.962314,1.040757
458,0.931930,1.078796
459,0.821813,1.276851
460,0.887160,1.145726
461,0.806829,1.314788
462,0.844775,1.225110
463,0.892764,1.136516
464,0.844425,1.225848
465,0.859135,1.196116
466,0.858141,1.198050
467,0.967897,1.034305
468,0.841064,1.233000
469,0.800377,1.332285
470,0.912282,1.106377
471,0.876657,1.163734
472,0.823409,1.273013
473,0.878364,1.160738
474,0.823022,1.273941
475,0.915938,1.101050
476,0.874406,1.167724
477,0.819038,1.283606
478,0.880214,1.157524
479,0.953134,1.051712
480,0.872427,1.171273
481,0.873772,1.168858
482,0.840783,1.233604
483,0.881886,1.154645
484,0.812274,1.300580
485,0.893733,1.134949
486,0.816404,1.290126
487,0.801570,1.328992
488,0.886901,1.146158
489,0.885792,1.148017
490,0.921650,1.092908
491,0.962953,1.040010
492,0.901611,1.122493
493,0.827165,1.264139
494,0.850825,1.212606
495,0.918786,1.096964
496,0.801806,1.328346
497,0.767383,1.434992
498,0.921427,1.093222
499,0.874614,1.167353
500,0.882664,1.153317
501,0.874017,1.168422
502,0.899976,1.125039
503,0.922855,1.091221
504,0.813948,1.296311
505,0.865771,1.183487
506,0.849310,1.215698
507,0.915938,1.101050
508,0.926683,1.085917
509,0.827022,1.264472
510,0.817966,1.286245
511,0.968835,1.033238
512,0.863826,1.187141
513,0.912282,1.106377
514,0.813613,1.297162
515,0.912709,1.105753
516,0.917867,1.098275
517,0.795574,1.345810
518,0.803908,1.322617
519,0.813766,1.296773
520,0.788339,1.367035
521,0.823999,1.271606
522,0.910725,1.108681
523,0.902963,1.120404
524,0.910138,1.109548
525,0.873305,1.169692
526,0.926440,1.086248
527,0.817187,1.288180
528,0.885736,1.148112
529,0.893641,1.135096
530,0.923795,1.089908
531,0.808322,1.310839
532,0.808156,1.311278
533,0.883727,1.151501
534,0.856691,1.200887
535,0.873426,1.169478
536,0.862883,1.188926
537,0.893212,1.135789
538,0.895710,1.131776
539,0.881752,1.154874
540,0.967034,1.035293
541,0.945858,1.060716
542,0.852801,1.208615
543,0.938327,1.070352
544,0.849865,1.214561
545,0.874318,1.167880
546,0.883674,1.151595
547,0.884015,1.151016
548,0.878586,1.160351
549,0.793038,1.353136
550,0.929883,1.081553
551,0.870872,1.174087
552,0.921746,1.092773
553,0.893594,1.135172
554,0.909936,1.109850
555,0.905412,1.116660
556,0.856938,1.200402
557,0.909298,1.110803
558,0.894849,1.133152
559,0.862070,1.190476
560,0.850999,1.212251
561,0.873075,1.170108
562,0.861271,1.192000
563,0.919109,1.096503
564,0.840672,1.233843
565,0.849179,1.215961
566,0.936894,1.072223
567,0.861649,1.191280
568,0.863226,1.188276
569,0.816010,1.291116
570,0.870051,1.175584
571,0.870049,1.175585
572,0.894253,1.134111
573,0.898467,1.127405
574,0.881631,1.155081
575,0.898773,1.126922
576,0.899420,1.125908
577,0.888274,1.143876
578,0.908071,1.112637
579,0.745135,1.519845
580,0.949930,1.055640
581,0.928538,1.083380
582,0.962404,1.040654
583,0.870894,1.174047
584,0.938150,1.070582
585,0.930167,1.081171
586,0.913481,1.104622
587,0.955297,1.049092
588,0.877752,1.161810
589,0.819038,1.283606
590,0.835496,1.245167
591,0.899289,1.126111
592,0.869189,1.177160
593,0.909342,1.110735
594,0.922257,1.092057
595,0.729070,1.591371
596,0.888019,1.144297
597,0.970484,1.031369
598,0.946468,1.059951
599,0.836499,1.242943
600,0.864882,1.185153
601,0.883077,1.152609
602,0.928698,1.083162
603,0.834700,1.246937
604,0.926459,1.086223
605,0.796168,1.344117
606,0.856734,1.200802
607,0.869117,1.177292
608,0.817888,1.286442
609,0.840070,1.235140
610,0.895209,1.132579
611,0.839454,1.236476
612,0.841664,1.231711
613,0.863723,1.187334
614,0.817436,1.287563
615,0.870727,1.174348
616,0.879579,1.158625
617,0.888530,1.143450
618,0.852614,1.208990
619,0.908760,1.111608
620,0.827911,1.262400
621,0.834911,1.246466
622,0.851715,1.210803
623,0.883657,1.151625
624,0.888816,1.142976
625,0.936474,1.072773
626,0.852617,1.208982
627,0.861337,1.191877
628,0.873836,1.168740
629,0.907209,1.113936
630,0.792735,1.354017
631,0.919238,1.096319
632,0.822542,1.275094
633,0.917791,1.098387
634,0.836397,1.243167
635,0.872881,1.170454
636,0.800666,1.331487
637,0.856524,1.201214
638,0.910138,1.109552
639,0.898596,1.127200
640,0.867844,1.179635
641,0.903297,1.119892
642,0.962085,1.041024
643,0.868904,1.177683
644,0.904092,1.118670
645,0.943810,1.063302
646,0.888425,1.143620
647,0.845851,1.222856
648,0.894815,1.133204
649,0.783228,1.382682
650,0.840701,1.233783
651,0.946217,1.060267
652,0.887896,1.144503
653,0.920377,1.094705
654,0.936816,1.072323
655,0.918924,1.096767
656,0.919809,1.095510
657,0.814874,1.293967
658,0.816065,1.290977
659,0.921746,1.092773
660,0.837288,1.241208
661,0.959573,1.043987
662,0.879775,1.158284
663,0.940349,1.067730
664,0.820735,1.279461
665,0.885736,1.148112
666,0.825031,1.269156
667,0.953472,1.051299
668,0.854974,1.204275
669,0.892946,1.136219
670,0.869541,1.176516
671,0.903175,1.120078
672,0.889563,1.141744
673,0.875983,1.164925
674,0.952316,1.052710
675,0.818765,1.284277
676,0.905272,1.116869
677,0.869117,1.177292
678,0.848524,1.217312
679,0.882514,1.153572
680,0.833049,1.250641
681,0.871659,1.172660
682,0.906545,1.114939
683,0.914741,1.102788
684,0.864922,1.185078
685,0.992339,1.007782
686,0.869898,1.175862
687,0.942170,1.065396
688,0.863953,1.186901
689,0.917451,1.098871
690,0.962379,1.040682
691,0.799639,1.334339
692,0.893768,1.134893
693,0.905151,1.117053
694,0.880228,1.157497
695,0.903040,1.120288
696,0.807093,1.314083
697,0.903587,1.119446
698,0.855634,1.202971
699,0.872136,1.171796
700,0.925517,1.087520
701,0.899787,1.125333
702,0.793232,1.352570
703,0.844719,1.225229
704,0.911551,1.107457
705,0.872635,1.170897
706,0.922268,1.092042
707,0.852530,1.209158
708,0.874182,1.168123
709,0.935848,1.073595
710,0.900139,1.124782
711,0.810979,1.303912
712,0.886660,1.146562
713,0.817854,1.286524
714,0.837488,1.240767
715,0.889757,1.141425
716,0.823653,1.272435
717,0.850282,1.213713
718,0.850533,1.213201
719,0.848791,1.216763
720,0.887987,1.144351
721,0.920614,1.094370
722,0.827287,1.263855
723,0.922859,1.091213
724,0.846082,1.222365
725,0.807091,1.314088
726,0.853889,1.206436
727,0.909268,1.110846
728,0.953914,1.050767
729,0.890836,1.139653
730,0.930550,1.080653
731,0.922197,1.092142
732,0.893344,1.135575
733,0.834445,1.247508
734,0.846947,1.220572
735,0.892761,1.136517
736,0.923795,1.089908
737,0.912283,1.106383
738,0.879362,1.159001
739,0.941532,1.066211
740,0.855302,1.203624
741,0.918343,1.097595
742,0.964281,1.038468
743,0.846717,1.221052
744,0.973138,1.028385
745,0.893760,1.134904
746,0.935779,1.073686
747,0.864832,1.185244
748,0.884657,1.149930
749,0.800805,1.331102
750,0.918988,1.096675
751,0.936516,1.072716
752,0.884476,1.150237
753,0.862984,1.188736
754,0.876911,1.163286
755,0.852370,1.209481
756,0.819794,1.281754
757,0.850863,1.212528
758,0.924836,1.088463
759,0.874338,1.167848
760,0.854950,1.204326
761,0.914511,1.103120
762,0.844510,1.225664
763,0.840531,1.234146
764,0.814466,1.294998
765,0.839478,1.236423
766,0.967649,1.034590
767,0.824829,1.269637
768,0.856303,1.201650
769,0.883594,1.151730
770,0.891456,1.138641
771,0.863191,1.188344
772,0.909305,1.110793
773,0.911899,1.106947
774,0.858775,1.196816
775,0.868744,1.177977
776,0.840814,1.233537
777,0.867349,1.180550
778,0.808999,1.309065
779,0.904457,1.118115
780,0.935860,1.073579
781,0.855880,1.202484
782,0.855470,1.203294
783,0.830492,1.256449
784,0.844814,1.225026
785,0.916107,1.100809
786,0.863716,1.187348
787,0.959358,1.044238
788,0.836995,1.241849
789,0.864807,1.185295
790,0.945226,1.061513
791,0.839307,1.236799
792,0.941213,1.066620
793,0.884383,1.150391
794,0.863716,1.187348
795,0.992149,1.007975
796,0.899138,1.126349
797,0.907588,1.113365
798,0.908050,1.112671
799,0.919973,1.095276
800,0.832628,1.251590
801,0.895853,1.131546
802,0.918696,1.097094
803,0.987923,1.012374
804,0.893899,1.134680
805,0.857273,1.199747
806,0.917008,1.099508
807,0.861649,1.191279
808,0.995917,1.004119
809,0.985633,1.014789
810,0.865469,1.184054
811,0.833397,1.249856
812,0.843859,1.227042
813,0.845249,1.224113
814,0.881501,1.155308
815,0.892067,1.137646
816,0.870049,1.175585
817,0.883614,1.151696
818,0.884656,1.149934
819,0.817187,1.288180
820,0.852764,1.208691
821,0.892646,1.136705
822,0.879788,1.158261
823,0.957378,1.046593
824,0.827292,1.263841
825,0.973151,1.028373
826,0.857187,1.199916
827,0.867981,1.179383
828,0.837319,1.241137
829,0.858977,1.196421
830,0.822456,1.275295
831,0.927604,1.084654
832,0.829973,1.257637
833,0.877247,1.162696
834,0.819771,1.281810
835,0.833727,1.249116
836,0.946811,1.059522
837,0.858532,1.197289
838,0.893512,1.135307
839,0.888578,1.143375
840,0.959798,1.043718
841,0.906506,1.115000
842,0.838865,1.237757
843,0.806305,1.316181
844,0.880228,1.157497
845,0.956873,1.047198
846,0.960226,1.043211
847,0.799410,1.334973
848,0.889211,1.142324
849,0.924569,1.088835
850,0.961404,1.041823
851,0.822240,1.275818
852,0.986837,1.013518
853,0.893426,1.135442
854,0.981515,1.019193
855,0.829429,1.258888
856,0.950823,1.054540
857,0.838400,1.238769
858,0.832474,1.251936
859,0.920381,1.094699
860,0.893760,1.134904
861,0.891927,1.137875
862,0.907925,1.112858
863,0.814505,1.294899
864,0.845017,1.224600
865,0.975531,1.025729
866,0.875983,1.164925
867,0.940685,1.067297
868,0.909850,1.109979
869,0.852033,1.210159
870,0.762046,1.454034
871,0.862707,1.189260
872,0.850016,1.214255
873,0.864946,1.185034
874,0.956873,1.047198
875,0.829242,1.259321
876,0.925022,1.088204
877,0.882266,1.153996
878,0.844807,1.225043
879,0.830081,1.257389
880,0.832057,1.252883
881,0.840325,1.234592
882,0.952055,1.053031
883,0.852248,1.209727
884,0.894504,1.133706
885,0.875140,1.166420
886,0.910535,1.108962
887,0.857586,1.199131
888,0.951824,1.053312
889,0.938150,1.070582
890,0.890119,1.140830
891,0.839220,1.236985
892,0.856890,1.200497
893,0.864925,1.185074
894,0.875892,1.165086
895,0.802664,1.325998
896,0.766332,1.438675
897,0.871353,1.173213
898,0.860828,1.192849
899,0.962642,1.040376
900,0.904163,1.118562
901,0.909145,1.111031
