ó^Ç¶ÇΩèdóvìx,0.160000,0.300000,0.150000,0.250000,0.150000,0.210000,0.120000,0.180000,0.080000,0.180000,0.040000,0.180000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],ãÊä‘ïùÇÃëçòa
1,0.128147, 0.210190,0.225044, 0.264106,0.174487, 0.228734,0.114367, 0.244652,0.058356, 0.183747,0.052878, 0.115293,0.493441
2,0.127869, 0.176795,0.161644, 0.255737,0.127869, 0.176795,0.161644, 0.197358,0.161644, 0.197358,0.080822, 0.174464,0.357018
3,0.195487, 0.256842,0.199455, 0.244327,0.128421, 0.223529,0.112548, 0.184831,0.079916, 0.139201,0.039958, 0.195487,0.488433
4,0.168063, 0.226023,0.201717, 0.238754,0.161653, 0.227358,0.114747, 0.198366,0.063767, 0.182486,0.038249, 0.178816,0.503607
5,0.177715, 0.224011,0.177715, 0.224011,0.102746, 0.201284,0.102746, 0.213068,0.100642, 0.213068,0.059238, 0.203756,0.558396
6,0.169490, 0.253881,0.169490, 0.217109,0.162545, 0.211156,0.124626, 0.194742,0.078454, 0.178170,0.054182, 0.186156,0.482428
7,0.173019, 0.290371,0.145185, 0.189686,0.145185, 0.186852,0.145185, 0.188042,0.145185, 0.188042,0.030228, 0.173019,0.432024
8,0.188196, 0.226391,0.209030, 0.250696,0.169678, 0.227548,0.112451, 0.194149,0.055730, 0.169678,0.052257, 0.144197,0.425317
9,0.189632, 0.259465,0.129733, 0.212888,0.171114, 0.217410,0.106444, 0.216021,0.094816, 0.157726,0.064866, 0.179886,0.486791
10,0.227116, 0.285317,0.179696, 0.229497,0.142659, 0.195128,0.142659, 0.196980,0.076499, 0.160754,0.037791, 0.125904,0.387160
11,0.241331, 0.272143,0.217521, 0.241331,0.113999, 0.159405,0.136071, 0.217521,0.066467, 0.137005,0.063601, 0.133606,0.322021
12,0.192352, 0.230231,0.192352, 0.230231,0.111328, 0.217352,0.111328, 0.217352,0.096176, 0.217352,0.048088, 0.135859,0.496753
13,0.193317, 0.224567,0.193317, 0.218958,0.109479, 0.197915,0.193317, 0.218958,0.109479, 0.197915,0.042830, 0.099950,0.316523
14,0.110654, 0.204389,0.196056, 0.221308,0.177537, 0.209945,0.196056, 0.233935,0.098028, 0.184204,0.046051, 0.121837,0.351236
15,0.186797, 0.214574,0.186797, 0.212049,0.106025, 0.195130,0.186797, 0.224675,0.053644, 0.131097,0.107287, 0.195130,0.345310
16,0.210938, 0.236864,0.118432, 0.217111,0.210938, 0.236864,0.118432, 0.217111,0.099517, 0.135231,0.070313, 0.128252,0.342863
17,0.249191, 0.286229,0.211682, 0.249191,0.124596, 0.211682,0.124596, 0.158546,0.065384, 0.128498,0.054445, 0.135959,0.340211
18,0.208433, 0.253445,0.208281, 0.256892,0.114557, 0.160218,0.114557, 0.233124,0.049702, 0.150271,0.042241, 0.208281,0.524460
