No.,tL,tR
true,0.862069,1.190476
0,0.926794,1.085763
1,0.957626,1.046299
2,0.940458,1.067590
3,0.951929,1.053185
4,0.883936,1.151149
5,0.941753,1.065928
6,1.000000,1.000000
7,0.903294,1.119895
8,0.905376,1.116711
9,0.899015,1.126541
10,0.916832,1.099763
11,0.878362,1.160743
12,0.900796,1.123758
13,0.916043,1.100900
14,0.923426,1.090422
15,0.925217,1.087937
16,0.933290,1.076979
17,0.921800,1.092699
18,0.931578,1.079269
19,0.896160,1.131058
20,0.980508,1.020285
21,0.957430,1.046533
22,0.882252,1.154020
23,0.903929,1.118919
24,0.918617,1.097205
25,0.883136,1.152511
26,0.939985,1.068204
27,0.938055,1.070706
28,0.928566,1.083340
29,0.950093,1.055441
30,0.892307,1.137257
31,0.913376,1.104777
32,0.932384,1.078192
33,0.872868,1.170478
34,0.946351,1.060096
35,0.919745,1.095600
36,0.917035,1.099471
37,0.947795,1.058291
38,0.900639,1.124002
39,0.911735,1.107188
40,0.941690,1.066007
41,0.947876,1.058190
42,0.933597,1.076571
43,0.907443,1.113581
44,0.855096,1.204036
45,0.963369,1.039528
46,0.925135,1.088046
47,0.929145,1.082553
48,0.974825,1.026510
49,0.919661,1.095719
50,0.939359,1.069010
51,0.899867,1.125207
52,0.844189,1.226347
53,0.894977,1.132949
54,0.931424,1.079475
55,0.914054,1.103787
56,0.920917,1.093940
57,0.927041,1.085423
58,0.916736,1.099903
59,0.896965,1.129778
60,0.958855,1.044836
61,0.909121,1.111067
62,0.933452,1.076766
63,0.881282,1.155681
64,0.946731,1.059622
65,0.910807,1.108559
66,0.909622,1.110318
67,0.961901,1.041243
68,0.932938,1.077452
69,0.910622,1.108832
70,0.874036,1.168384
71,0.938483,1.070147
72,0.863457,1.187837
73,0.932918,1.077475
74,0.961215,1.042048
75,0.905859,1.115978
76,0.968565,1.033544
77,0.967236,1.035062
78,0.902379,1.121308
79,0.944229,1.062773
80,0.889400,1.142015
81,0.884197,1.150706
82,0.926716,1.085869
83,0.906410,1.115142
84,0.946008,1.060526
85,0.936155,1.073193
86,0.905611,1.116354
87,1.000000,1.000001
88,0.910398,1.109166
89,0.891892,1.137931
90,0.911342,1.107766
91,0.898422,1.127472
92,0.917507,1.098791
93,0.953278,1.051537
94,0.923312,1.090580
95,0.889891,1.141203
96,0.895226,1.132549
97,0.918549,1.097303
98,0.924138,1.089433
99,0.955934,1.048326
100,0.937715,1.071149
101,0.967744,1.034481
102,0.953559,1.051199
103,0.909093,1.111109
104,0.880738,1.156620
105,0.897193,1.129415
106,0.871848,1.172315
107,0.873707,1.168974
108,0.930485,1.080740
109,0.900819,1.123723
110,0.952807,1.052111
111,0.932402,1.078166
112,0.909617,1.110328
113,0.918792,1.096953
114,0.883182,1.152434
115,0.898189,1.127841
116,0.904645,1.117824
117,0.892287,1.137290
118,0.867726,1.179852
119,0.888967,1.142725
120,0.893841,1.134771
121,0.891275,1.138937
122,0.922674,1.091470
123,0.907434,1.113594
124,0.887452,1.145243
125,0.961276,1.041975
126,0.922279,1.092026
127,0.899270,1.126143
128,0.846545,1.221408
129,0.982980,1.017620
130,0.938434,1.070211
131,0.899095,1.126419
132,0.979145,1.021763
133,0.896427,1.130631
134,0.905778,1.116100
135,0.921600,1.092982
136,0.854163,1.205889
137,0.933871,1.076210
138,0.919059,1.096574
139,0.936661,1.072525
140,0.920326,1.094776
141,0.999999,1.000000
142,0.932198,1.078439
143,0.903010,1.120334
144,0.906141,1.115550
145,0.892677,1.136657
146,0.967938,1.034259
147,0.935851,1.073589
148,0.935426,1.074152
149,0.959749,1.043775
150,0.956456,1.047697
151,0.934584,1.075261
152,0.951216,1.054057
153,0.889840,1.141289
154,0.922861,1.091212
155,0.912669,1.105812
156,0.969925,1.032001
157,0.983084,1.017508
158,0.908718,1.111667
159,0.927697,1.084526
160,0.957342,1.046636
161,0.897563,1.128831
162,0.872001,1.172043
163,0.920932,1.093918
164,0.943646,1.063511
165,0.984892,1.015581
166,0.983420,1.017150
167,0.885585,1.148367
168,0.887852,1.144576
169,0.902800,1.120657
170,0.899342,1.126028
171,0.907772,1.113086
172,0.923158,1.090793
173,0.885761,1.148070
174,0.914662,1.102898
175,0.880732,1.156628
176,0.955100,1.049330
177,0.884379,1.150400
178,0.966584,1.035808
179,0.980237,1.020575
180,0.938947,1.069545
181,0.922145,1.092212
182,0.917942,1.098169
183,0.939617,1.068675
184,0.851629,1.210975
185,0.967398,1.034876
186,0.923401,1.090458
187,0.921591,1.092992
188,0.905928,1.115876
189,0.906927,1.114360
190,0.900082,1.124872
191,0.925057,1.088155
192,0.973959,1.027470
193,0.891037,1.139325
194,0.975316,1.025967
195,0.849180,1.215965
196,0.894851,1.133148
197,0.911585,1.107409
198,0.888151,1.144081
199,0.954663,1.049856
200,0.907693,1.113208
201,0.909118,1.111072
202,0.882921,1.152876
203,0.915647,1.101474
204,0.887765,1.144720
205,0.862577,1.189510
206,0.896354,1.130752
207,0.908452,1.112070
208,0.845714,1.223143
209,0.903550,1.119504
210,0.919687,1.095680
211,0.874481,1.167589
212,0.883699,1.151552
213,0.951482,1.053734
214,0.939929,1.068273
215,0.937526,1.071393
216,0.955850,1.048425
217,0.880704,1.156676
218,0.937523,1.071400
219,0.906625,1.114815
220,0.894692,1.133406
221,0.909051,1.111169
222,0.910084,1.109632
223,0.917702,1.098514
224,0.865925,1.183202
225,0.892602,1.136777
226,0.898041,1.128075
227,0.918414,1.097495
228,0.944524,1.062398
229,0.922568,1.091618
230,0.974109,1.027306
231,0.958508,1.045249
232,0.931811,1.078957
233,0.920665,1.094295
234,0.915104,1.102261
235,0.916752,1.099878
236,0.883758,1.151452
237,0.936296,1.073006
238,0.968685,1.033406
239,0.857765,1.198783
240,0.906061,1.115672
241,0.878006,1.161362
242,0.937882,1.070930
243,0.929365,1.082258
244,0.875928,1.165019
245,0.881168,1.155880
246,0.905004,1.117277
247,0.888793,1.143017
248,0.958541,1.045209
249,0.875678,1.165462
250,0.936859,1.072266
251,0.930233,1.081079
252,0.926658,1.085950
253,0.914709,1.102834
254,0.913866,1.104059
255,0.932846,1.077573
256,0.884298,1.150535
257,0.869136,1.177257
258,0.882520,1.153564
259,0.924915,1.088355
260,0.911402,1.107677
261,0.888789,1.143026
262,0.931953,1.078767
263,0.971384,1.030353
264,0.901516,1.122639
265,0.900340,1.124469
266,0.929670,1.081841
267,0.899091,1.126424
268,0.956552,1.047582
269,0.939188,1.069232
270,0.933551,1.076634
271,0.904986,1.117306
272,0.875802,1.165247
273,0.873684,1.169016
274,0.875422,1.165918
275,0.983392,1.017179
276,0.886499,1.146834
277,0.925158,1.088016
278,0.963753,1.039080
279,0.903104,1.120186
280,0.946668,1.059699
281,0.955099,1.049330
282,0.912331,1.106309
283,0.915589,1.101556
284,0.891025,1.139347
285,0.914333,1.103381
286,0.929304,1.082339
287,0.847997,1.218398
288,0.970749,1.031067
289,0.922164,1.092186
290,0.906974,1.114291
291,0.884554,1.150103
292,0.909701,1.110200
293,0.951520,1.053687
294,0.934268,1.075682
295,0.880310,1.157361
296,0.907495,1.113501
297,0.849933,1.214423
298,0.980592,1.020192
299,0.891878,1.137952
300,0.909130,1.111051
301,0.882198,1.154107
302,0.892062,1.137653
303,0.913278,1.104920
304,0.917926,1.098193
305,0.895633,1.131898
306,0.880481,1.157063
307,0.902220,1.121549
308,0.918509,1.097356
309,0.911131,1.108082
310,0.898625,1.127157
311,0.958001,1.045851
312,0.958158,1.045663
313,0.922319,1.091968
314,0.954819,1.049672
315,0.887809,1.144649
316,0.930889,1.080197
317,0.909538,1.110444
318,0.889180,1.142377
319,0.952672,1.052277
320,0.939061,1.069396
321,0.882650,1.153340
322,0.874186,1.168116
323,0.950635,1.054771
324,0.959082,1.044564
325,0.939852,1.068373
326,0.921935,1.092508
327,0.903268,1.119936
328,0.994909,1.005143
329,0.924220,1.089315
330,0.947714,1.058394
331,0.916708,1.099942
332,0.960550,1.042829
333,0.902967,1.120397
334,0.887949,1.144414
335,0.909452,1.110573
336,0.942693,1.064723
337,0.933921,1.076139
338,0.946808,1.059522
339,0.928137,1.083927
340,0.924968,1.088280
341,0.883776,1.151422
342,0.906744,1.114637
343,0.952136,1.052932
344,0.946947,1.059351
345,0.897182,1.129434
346,0.848624,1.217106
347,0.954036,1.050618
348,0.882107,1.154268
349,0.905431,1.116632
350,0.917310,1.099076
351,0.899737,1.125410
352,0.896704,1.130193
353,0.949220,1.056522
354,0.863544,1.187677
355,0.919903,1.095374
356,0.928761,1.083075
357,0.906670,1.114749
358,0.933898,1.076173
359,0.932633,1.077858
360,0.910370,1.109207
361,0.956706,1.047400
362,0.916732,1.099907
363,0.863538,1.187685
364,0.889040,1.142609
365,0.870453,1.174849
366,0.940517,1.067515
367,0.924044,1.089557
368,0.930229,1.081086
369,0.871287,1.173334
370,0.938356,1.070313
371,0.901503,1.122661
372,0.937291,1.071702
373,0.914731,1.102800
374,0.962091,1.041020
375,0.955542,1.048800
376,0.891378,1.138767
377,0.923666,1.090088
378,0.983324,1.017254
379,0.924172,1.089385
380,0.899398,1.125941
381,0.949038,1.056745
382,0.887639,1.144931
383,0.924779,1.088542
384,0.883171,1.152449
385,0.951739,1.053414
386,0.898897,1.126730
387,0.899499,1.125786
388,0.931746,1.079045
389,0.942100,1.065481
390,0.979180,1.021724
391,0.891545,1.138496
392,0.921309,1.093388
393,0.927332,1.085025
394,0.949716,1.055909
395,0.972866,1.028692
396,0.979556,1.021317
397,0.927683,1.084543
398,0.943947,1.063129
399,0.924044,1.089561
400,0.896700,1.130200
401,0.881519,1.155275
402,0.920815,1.094086
403,0.984376,1.016130
404,0.928749,1.083092
405,0.911878,1.106978
406,0.910855,1.108489
407,0.934514,1.075354
408,0.926762,1.085808
409,0.977530,1.023526
410,0.897550,1.128853
411,0.848676,1.216998
412,0.890586,1.140064
413,0.891712,1.138224
414,0.910312,1.109293
415,0.935267,1.074361
416,0.926072,1.086755
417,0.917350,1.099018
418,0.882240,1.154041
419,0.887999,1.144331
420,0.853354,1.207503
421,0.905768,1.116116
422,0.940066,1.068098
423,0.953573,1.051178
424,0.898275,1.127707
425,0.892397,1.137109
426,0.899431,1.125893
427,0.926493,1.086176
428,0.929016,1.082730
429,0.897262,1.129308
430,0.874371,1.167786
431,0.938721,1.069839
432,0.931036,1.079998
433,0.972660,1.028919
434,0.907300,1.113799
435,0.890109,1.140848
436,0.889613,1.141662
437,0.901309,1.122962
438,0.909194,1.110958
439,0.901825,1.122159
440,0.943705,1.063437
441,0.925698,1.087271
442,0.906150,1.115534
443,0.965761,1.036756
444,0.893451,1.135401
445,0.882659,1.153323
446,0.965289,1.037299
447,0.892358,1.137173
448,0.942620,1.064819
449,0.881924,1.154580
450,0.987394,1.012932
451,0.927510,1.084780
452,0.917085,1.099400
453,0.882728,1.153204
454,0.857424,1.199448
455,0.932350,1.078236
456,0.941479,1.066280
457,0.916799,1.099810
458,0.955753,1.048542
459,0.833298,1.250078
460,0.889081,1.142540
461,0.908286,1.112320
462,0.870865,1.174099
463,0.966872,1.035480
464,0.919395,1.096096
465,0.880811,1.156493
466,0.891439,1.138668
467,0.965014,1.037618
468,0.947364,1.058827
469,0.863710,1.187364
470,0.959466,1.044108
471,0.877283,1.162634
472,0.904918,1.117408
473,0.963132,1.039803
474,0.908835,1.111493
475,0.961467,1.041750
476,0.956871,1.047199
477,0.863328,1.188083
478,0.883449,1.151980
479,0.967560,1.034691
480,0.969844,1.032093
481,0.938192,1.070526
482,0.862014,1.190581
483,0.955409,1.048955
484,0.904423,1.118163
485,0.900236,1.124632
486,0.893918,1.134649
487,0.895432,1.132221
488,0.928485,1.083451
489,0.899274,1.126136
490,0.961440,1.041781
491,0.924477,1.088962
492,0.921007,1.093814
493,0.853684,1.206845
494,0.921773,1.092736
495,0.971072,1.030705
496,0.910968,1.108319
497,0.904751,1.117662
498,0.891581,1.138437
499,0.956447,1.047710
500,0.888547,1.143423
501,0.915325,1.101938
502,0.902182,1.121611
503,0.912433,1.106160
504,0.936138,1.073212
505,0.885806,1.147992
506,0.903752,1.119192
507,0.953770,1.050937
508,0.966897,1.035451
509,0.913952,1.103932
510,0.890595,1.140049
511,0.912247,1.106435
512,0.902818,1.120625
513,0.930768,1.080359
514,0.869681,1.176257
515,0.967652,1.034585
516,0.911603,1.107382
517,0.890294,1.140543
518,0.920746,1.094183
519,0.910960,1.108334
520,0.902701,1.120809
521,0.900213,1.124667
522,0.937277,1.071718
523,0.890139,1.140797
524,0.959148,1.044487
525,0.934531,1.075332
526,0.915485,1.101707
527,0.948669,1.057203
528,0.918122,1.097913
529,0.894500,1.133712
530,0.929939,1.081479
531,0.956175,1.048035
532,0.905950,1.115840
533,0.959394,1.044194
534,0.940002,1.068180
535,0.900949,1.123522
536,0.913464,1.104649
537,0.918417,1.097490
538,0.912312,1.106337
539,0.934602,1.075241
540,0.950853,1.054503
541,0.974364,1.027022
542,0.982364,1.018280
543,0.956555,1.047578
544,0.882551,1.153506
545,0.921870,1.092602
546,0.921777,1.092730
547,0.928930,1.082846
548,0.966696,1.035680
549,0.918983,1.096685
550,0.993566,1.006518
551,0.975361,1.025918
552,0.922947,1.091092
553,0.891898,1.137922
554,0.898932,1.126674
555,0.908646,1.111777
556,0.910831,1.108523
557,0.929177,1.082510
558,0.906524,1.114969
559,0.947874,1.058194
560,0.981311,1.019415
561,0.920442,1.094610
562,0.894115,1.134332
563,0.889360,1.142078
564,0.885973,1.147710
565,0.939484,1.068849
566,0.933737,1.076388
567,0.963986,1.038811
568,0.901885,1.122070
569,0.877343,1.162527
570,0.901922,1.122011
571,0.935887,1.073543
572,0.872120,1.171826
573,0.879329,1.159060
574,0.888028,1.144283
575,0.924565,1.088840
576,0.932424,1.078135
577,0.879791,1.158257
578,0.878846,1.159899
579,0.891706,1.138234
580,0.957103,1.046925
581,0.996245,1.003783
582,0.901072,1.123327
583,0.935502,1.074050
584,0.963175,1.039753
585,0.971835,1.029846
586,0.994596,1.005462
587,0.920737,1.094196
588,0.919967,1.095284
589,0.884265,1.150593
590,0.872586,1.170988
591,0.920878,1.093996
592,0.895715,1.131766
593,0.953525,1.051238
594,0.881577,1.155175
595,0.870332,1.175072
596,0.918928,1.096763
597,0.934167,1.075814
598,0.999999,1.000001
599,0.909659,1.110262
600,0.911521,1.107502
601,0.925716,1.087246
602,0.940261,1.067847
603,0.911764,1.107144
604,1.000000,1.000000
605,0.869860,1.175930
606,0.885864,1.147897
607,0.935644,1.073864
608,0.865043,1.184852
609,0.904832,1.117538
610,0.891720,1.138209
611,0.909166,1.111000
612,0.917609,1.098645
613,0.892379,1.137138
614,0.921717,1.092815
615,0.937868,1.070947
616,0.938534,1.070078
617,0.943802,1.063313
618,0.935184,1.074470
619,0.989990,1.010213
620,0.900140,1.124780
621,0.913309,1.104875
622,0.941648,1.066062
623,0.939243,1.069160
624,0.889002,1.142670
625,0.927109,1.085331
626,0.962317,1.040757
627,0.912906,1.105467
628,0.894903,1.133067
629,0.904355,1.118271
630,0.934696,1.075115
631,0.987194,1.013140
632,0.858004,1.198315
633,0.933383,1.076855
634,0.911306,1.107822
635,0.901083,1.123313
636,0.967950,1.034245
637,0.903262,1.119944
638,0.906525,1.114969
639,0.930555,1.080646
640,0.967925,1.034274
641,0.913290,1.104903
642,0.904564,1.117950
643,0.904658,1.117808
644,0.913260,1.104947
645,0.879211,1.159263
646,0.908816,1.111524
647,0.921868,1.092600
648,0.978803,1.022136
649,0.952368,1.052646
650,0.969214,1.032805
651,0.901795,1.122212
652,0.902646,1.120892
653,0.930769,1.080360
654,0.922067,1.092324
655,0.918671,1.097128
656,0.902400,1.121275
657,0.967340,1.034944
658,0.939110,1.069333
659,0.916858,1.099724
660,0.860223,1.194017
661,0.936542,1.072681
662,0.944940,1.061875
663,0.955253,1.049145
664,0.867023,1.181156
665,0.934329,1.075602
666,0.860779,1.192944
667,0.952768,1.052159
668,0.904348,1.118278
669,0.884351,1.150447
670,0.903515,1.119556
671,0.915203,1.102118
672,0.968718,1.033370
673,0.883150,1.152488
674,0.960653,1.042710
675,0.917110,1.099364
676,0.883101,1.152570
677,0.908034,1.112695
678,0.904368,1.118251
679,0.940109,1.068042
680,0.958370,1.045411
681,0.929754,1.081727
682,0.944042,1.063010
683,0.932505,1.078028
684,0.899083,1.126434
685,0.953687,1.051041
686,0.897639,1.128710
687,0.935400,1.074185
688,0.891308,1.138882
689,0.915095,1.102272
690,0.966261,1.036181
691,0.939843,1.068383
692,0.908989,1.111262
693,0.883221,1.152364
694,0.906247,1.115390
695,0.904352,1.118271
696,0.942009,1.065598
697,0.960732,1.042614
698,0.859754,1.194922
699,0.902516,1.121094
700,0.933772,1.076341
701,0.896468,1.130568
702,0.909348,1.110727
703,0.945315,1.061401
704,0.919057,1.096578
705,0.918676,1.097120
706,0.980260,1.020552
707,0.904434,1.118149
708,0.892743,1.136548
709,0.931234,1.079731
710,0.925277,1.087856
711,0.872345,1.171422
712,0.869015,1.177479
713,0.900041,1.124937
714,0.897647,1.128700
715,0.921342,1.093343
716,0.907772,1.113087
717,0.915789,1.101267
718,0.883232,1.152349
719,0.895269,1.132482
720,0.904620,1.117864
721,0.907034,1.114199
722,0.891326,1.138854
723,0.978806,1.022132
724,0.974363,1.027023
725,0.928921,1.082858
726,0.891750,1.138161
727,0.863584,1.187599
728,0.955846,1.048430
729,0.933370,1.076874
730,0.959354,1.044242
731,0.937715,1.071149
732,0.951820,1.053315
733,0.921663,1.092890
734,0.903632,1.119376
735,0.984668,1.015817
736,0.958596,1.045141
737,0.950269,1.055224
738,0.873454,1.169428
739,0.922745,1.091371
740,0.939205,1.069209
741,0.966851,1.035502
742,0.931047,1.079984
743,0.926851,1.085683
744,0.913088,1.105198
745,0.904512,1.118028
746,0.952067,1.053015
747,0.955395,1.048976
748,0.940340,1.067743
749,0.883730,1.151499
750,0.923454,1.090383
751,0.941329,1.066470
752,0.897195,1.129416
753,0.937003,1.072077
754,0.892376,1.137144
755,0.932505,1.078029
756,0.873046,1.170157
757,0.912806,1.105614
758,0.933583,1.076591
759,0.967910,1.034290
760,0.861508,1.191549
761,0.973741,1.027714
762,0.953278,1.051538
763,0.947122,1.059132
764,0.992862,1.007239
765,0.926193,1.086588
766,0.998364,1.001642
767,0.915925,1.101067
768,0.890085,1.140886
769,0.908405,1.112138
770,0.940112,1.068037
771,0.946137,1.060367
772,0.972003,1.029656
773,0.915930,1.101063
774,0.904825,1.117553
775,0.912949,1.105402
776,0.914590,1.103005
777,0.902276,1.121463
778,0.895691,1.131807
779,0.858116,1.198098
780,0.941358,1.066433
781,0.936515,1.072719
782,0.909730,1.110158
783,0.858970,1.196436
784,0.890214,1.140675
785,0.958764,1.044940
786,0.918007,1.098077
787,0.918920,1.096774
788,0.885168,1.149067
789,0.968965,1.033088
790,0.971243,1.030511
791,0.904807,1.117578
792,0.930369,1.080898
793,0.946529,1.059872
794,0.959433,1.044147
795,0.985407,1.015033
796,0.851956,1.210312
797,0.944805,1.062045
798,0.894639,1.133493
799,0.940086,1.068071
800,0.907988,1.112763
801,0.938940,1.069555
802,0.926627,1.085993
