ó^Ç¶ÇΩèdóvìx,0.160000,0.300000,0.150000,0.250000,0.150000,0.210000,0.120000,0.180000,0.080000,0.180000,0.040000,0.180000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],ãÊä‘ïùÇÃëçòa
1,0.137883, 0.246226,0.127323, 0.380134,0.122112, 0.315202,0.104781, 0.231691,0.035218, 0.161548,0.059401, 0.078482,0.826564
2,0.108151, 0.180746,0.129302, 0.293248,0.120902, 0.206468,0.149682, 0.211811,0.149682, 0.211811,0.057451, 0.180746,0.569660
3,0.103006, 0.352281,0.112298, 0.314622,0.137124, 0.226915,0.106730, 0.252284,0.091813, 0.121888,0.000001, 0.181040,0.898057
4,0.158386, 0.204725,0.163538, 0.422051,0.103777, 0.201049,0.123107, 0.206020,0.026634, 0.164564,0.044596, 0.181555,0.759925
5,0.116462, 0.240671,0.097082, 0.336507,0.054127, 0.337732,0.081376, 0.203340,0.111802, 0.229905,0.023675, 0.167323,1.030953
6,0.090555, 0.359735,0.154155, 0.268049,0.146825, 0.163517,0.144792, 0.163517,0.099613, 0.197198,0.056873, 0.155171,0.614374
7,0.117045, 0.346972,0.150007, 0.207679,0.141551, 0.230405,0.150007, 0.196964,0.100038, 0.196964,0.009054, 0.153312,0.664592
8,0.156280, 0.334709,0.228186, 0.247714,0.125229, 0.257390,0.039374, 0.237950,0.063260, 0.166244,0.022620, 0.121044,0.730102
9,0.146555, 0.369809,0.123351, 0.237643,0.131628, 0.219009,0.104331, 0.219406,0.100188, 0.118822,0.075135, 0.154124,0.637626
10,0.165837, 0.323054,0.088369, 0.331654,0.090798, 0.277650,0.125203, 0.197852,0.074057, 0.182014,0.041384, 0.102127,0.828703
11,0.179112, 0.333473,0.176534, 0.313973,0.085478, 0.190453,0.100920, 0.242351,0.035935, 0.170862,0.042762, 0.128146,0.758517
12,0.114443, 0.324430,0.130713, 0.261907,0.124591, 0.265076,0.097422, 0.255471,0.108525, 0.189691,0.039762, 0.087970,0.769088
13,0.091578, 0.318001,0.105814, 0.312090,0.103138, 0.208952,0.105814, 0.312090,0.103138, 0.208952,0.040958, 0.089474,0.899119
14,0.121565, 0.232735,0.103134, 0.343366,0.136210, 0.206850,0.171530, 0.242171,0.008749, 0.284887,0.045251, 0.103552,0.827121
15,0.104663, 0.352324,0.115984, 0.287988,0.113905, 0.205786,0.150089, 0.202236,0.051039, 0.129786,0.092744, 0.193455,0.743152
16,0.129392, 0.340392,0.119249, 0.251570,0.120054, 0.345623,0.114337, 0.231286,0.076191, 0.115643,0.060344, 0.095917,0.760862
17,0.240973, 0.277325,0.182027, 0.282650,0.104200, 0.209067,0.127805, 0.178422,0.076545, 0.132460,0.057286, 0.131240,0.422328
18,0.111832, 0.452115,0.122636, 0.301893,0.061953, 0.259609,0.047681, 0.225857,0.042694, 0.136769,0.024698, 0.212264,1.177013
19,0.127049, 0.363984,0.043090, 0.350256,0.145426, 0.246445,0.111514, 0.134930,0.099569, 0.133935,0.066474, 0.177328,0.813755
20,0.124880, 0.281498,0.215424, 0.347572,0.101933, 0.233739,0.127058, 0.196654,0.044456, 0.160110,0.002579, 0.164097,0.767340
21,0.175559, 0.370357,0.143887, 0.207231,0.164658, 0.179316,0.143887, 0.207231,0.085994, 0.093322,0.022331, 0.206227,0.527369
22,0.113598, 0.338025,0.192524, 0.192524,0.125548, 0.226696,0.099871, 0.314513,0.096262, 0.096262,0.044457, 0.159719,0.655480
23,0.175044, 0.322890,0.009482, 0.348748,0.100864, 0.282073,0.111253, 0.238165,0.041125, 0.147108,0.048510, 0.174737,1.027442
24,0.156307, 0.302777,0.230093, 0.317287,0.115047, 0.208463,0.092468, 0.137626,0.065455, 0.185394,0.000001, 0.189083,0.681258
25,0.135596, 0.218002,0.128548, 0.317410,0.106012, 0.346484,0.100806, 0.216604,0.074872, 0.176799,0.058973, 0.119893,0.790385
26,0.121842, 0.268789,0.057537, 0.311881,0.107925, 0.300705,0.088593, 0.195316,0.097658, 0.250581,0.025071, 0.174102,1.002748
27,0.264264, 0.264264,0.113209, 0.279019,0.069600, 0.320644,0.132132, 0.132132,0.086699, 0.138440,0.051622, 0.147975,0.564948
28,0.166574, 0.259413,0.121487, 0.267643,0.117212, 0.242936,0.180074, 0.212994,0.040069, 0.163614,0.035388, 0.192597,0.678392
