ó^Ç¶ÇΩèdóvìx,0.160000,0.300000,0.150000,0.250000,0.150000,0.210000,0.120000,0.180000,0.080000,0.180000,0.040000,0.180000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],ãÊä‘ïùÇÃëçòa
1,0.192054, 0.192054,0.253728, 0.253728,0.218657, 0.218657,0.168236, 0.168236,0.098383, 0.098383,0.068941, 0.068941,0.000000
2,0.144449, 0.144449,0.211275, 0.211275,0.163685, 0.163685,0.180746, 0.180746,0.180746, 0.180746,0.119099, 0.119099,0.000000
3,0.227644, 0.227644,0.213460, 0.213460,0.182019, 0.182019,0.179507, 0.179507,0.106850, 0.106850,0.090520, 0.090520,0.000000
4,0.181555, 0.181555,0.292794, 0.292794,0.152413, 0.152413,0.164564, 0.164564,0.095599, 0.095599,0.113076, 0.113076,0.000000
5,0.178567, 0.178567,0.216794, 0.216794,0.195929, 0.195929,0.142358, 0.142358,0.170853, 0.170853,0.095499, 0.095499,0.000000
6,0.225145, 0.225145,0.211102, 0.211102,0.155171, 0.155171,0.154155, 0.154155,0.148405, 0.148405,0.106022, 0.106022,0.000000
7,0.232008, 0.232008,0.178843, 0.178843,0.185978, 0.185978,0.173486, 0.173486,0.148501, 0.148501,0.081183, 0.081183,0.000000
8,0.245494, 0.245494,0.237950, 0.237950,0.191310, 0.191310,0.138662, 0.138662,0.114752, 0.114752,0.071832, 0.071832,0.000000
9,0.258182, 0.258182,0.180497, 0.180497,0.175319, 0.175319,0.161868, 0.161868,0.109505, 0.109505,0.114629, 0.114629,0.000000
10,0.244446, 0.244446,0.210011, 0.210011,0.184224, 0.184224,0.161527, 0.161527,0.128036, 0.128036,0.071756, 0.071756,0.000000
11,0.256293, 0.256293,0.245254, 0.245254,0.137965, 0.137965,0.171635, 0.171635,0.103399, 0.103399,0.085454, 0.085454,0.000000
12,0.219436, 0.219436,0.196310, 0.196310,0.194833, 0.194833,0.176446, 0.176446,0.149108, 0.149108,0.063866, 0.063866,0.000000
