No.,tL,tR
true,0.862069,1.190476
0,0.754225,1.483380
1,0.782876,1.383782
2,0.742238,1.532043
3,0.733926,1.568718
4,0.733504,1.570643
5,0.748672,1.505342
6,0.756151,1.475989
7,0.751701,1.493242
8,0.744892,1.520857
9,0.767283,1.435338
10,0.788704,1.365937
11,0.753365,1.486719
12,0.809848,1.306848
13,0.794297,1.349480
14,0.806129,1.316647
15,0.801975,1.327887
16,0.804764,1.320306
17,0.721766,1.627313
18,0.724079,1.615679
19,0.747403,1.510496
20,0.792446,1.354854
21,0.799557,1.334565
22,0.731556,1.579652
23,0.775883,1.406181
24,0.794257,1.349595
25,0.751729,1.493135
26,0.774100,1.412080
27,0.808079,1.311482
28,0.831427,1.254312
29,0.724348,1.614341
30,0.739646,1.543205
31,0.744974,1.520512
32,0.734373,1.566674
33,0.750581,1.497683
34,0.787043,1.370952
35,0.802522,1.326390
36,0.750634,1.497477
37,0.743497,1.526711
38,0.746437,1.514459
39,0.788210,1.367422
40,0.799852,1.333739
41,0.848922,1.216492
42,0.735552,1.561344
43,0.779875,1.393256
44,0.710999,1.684835
45,0.733883,1.568910
46,0.769870,1.426373
47,0.760933,1.458104
48,0.744808,1.521206
49,0.791949,1.356315
50,0.765781,1.440625
51,0.741001,1.537343
52,0.704537,1.722276
53,0.736450,1.557305
54,0.748963,1.504167
55,0.782295,1.385600
56,0.772813,1.416380
57,0.727169,1.600499
58,0.809806,1.306952
59,0.783665,1.381318
60,0.794803,1.348027
61,0.720212,1.635267
62,0.751787,1.492903
63,0.744366,1.523058
64,0.848651,1.217047
65,0.777811,1.399894
66,0.756351,1.475229
67,0.763514,1.448719
68,0.758282,1.467933
69,0.731458,1.580111
70,0.724756,1.612316
71,0.724229,1.614927
72,0.739512,1.543791
73,0.755050,1.480203
74,0.823011,1.273965
75,0.761750,1.455111
76,0.776982,1.402586
77,0.779334,1.394982
78,0.806059,1.316839
79,0.740376,1.540032
80,0.757808,1.469715
81,0.735590,1.561163
82,0.758094,1.468636
83,0.744193,1.523775
84,0.745341,1.518988
85,0.759846,1.462110
86,0.784248,1.379516
87,0.820617,1.279753
88,0.759029,1.465146
89,0.731528,1.579781
90,0.748393,1.506471
91,0.766742,1.437228
92,0.831947,1.253133
93,0.751752,1.493041
94,0.776944,1.402709
95,0.742008,1.533020
96,0.782340,1.385458
97,0.751564,1.493784
98,0.743065,1.528533
99,0.815309,1.292877
100,0.852314,1.209595
101,0.744080,1.524253
102,0.780113,1.392498
103,0.754715,1.481484
104,0.739927,1.541982
105,0.746138,1.515693
106,0.728691,1.593179
107,0.724173,1.615206
108,0.751842,1.492684
109,0.723857,1.616784
110,0.765690,1.440945
111,0.801061,1.330399
112,0.741114,1.536851
113,0.761853,1.454730
114,0.754417,1.482637
115,0.752533,1.489971
116,0.778135,1.398842
117,0.738011,1.550368
118,0.735788,1.560274
119,0.763090,1.450246
120,0.745798,1.517094
121,0.719250,1.640250
122,0.791353,1.358063
123,0.754854,1.480951
124,0.731957,1.577787
125,0.770749,1.423368
126,0.773313,1.414701
127,0.727957,1.596694
128,0.699874,1.750786
129,0.755974,1.476662
130,0.795587,1.345772
131,0.767695,1.433897
