ó^Ç¶ÇΩèdóvìx,0.180000,0.280000,0.150000,0.250000,0.130000,0.230000,0.100000,0.200000,0.080000,0.180000,0.060000,0.160000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],ãÊä‘ïùÇÃëçòa
1,0.203947, 0.240405,0.203947, 0.240405,0.177638, 0.203947,0.101974, 0.209694,0.067982, 0.177638,0.067982, 0.104441,0.353060
2,0.177273, 0.205051,0.160606, 0.177273,0.088636, 0.177273,0.177273, 0.205051,0.177273, 0.205051,0.088636, 0.160606,0.260606
3,0.194801, 0.254296,0.197405, 0.240140,0.127148, 0.219627,0.111523, 0.186580,0.082179, 0.136714,0.054786, 0.194801,0.464317
4,0.170611, 0.243338,0.239370, 0.276407,0.133574, 0.189129,0.133574, 0.189129,0.065945, 0.159500,0.050697, 0.148725,0.412458
5,0.167953, 0.222925,0.167953, 0.207169,0.103584, 0.238109,0.099558, 0.202675,0.119054, 0.203307,0.073718, 0.193995,0.536359
6,0.176136, 0.210859,0.176136, 0.227062,0.176136, 0.227062,0.070286, 0.191761,0.063342, 0.191761,0.088068, 0.201389,0.499790
7,0.212232, 0.291738,0.162536, 0.218185,0.145869, 0.184758,0.094088, 0.183369,0.145869, 0.194587,0.043412, 0.123358,0.391988
8,0.184714, 0.219436,0.205548, 0.242585,0.166196, 0.217893,0.116663, 0.195825,0.068516, 0.166196,0.068516, 0.147913,0.379696
9,0.193797, 0.250990,0.125495, 0.237408,0.118704, 0.218489,0.118704, 0.218489,0.096899, 0.165371,0.073430, 0.182225,0.545943
10,0.227969, 0.292525,0.181171, 0.235410,0.143422, 0.198455,0.097508, 0.190786,0.078470, 0.169612,0.049614, 0.135057,0.443692
11,0.241791, 0.266483,0.217982, 0.253696,0.108991, 0.154846,0.133241, 0.217982,0.063534, 0.133967,0.066984, 0.140503,0.334954
12,0.191856, 0.227210,0.191856, 0.227210,0.111080, 0.214078,0.111080, 0.214078,0.095928, 0.214078,0.063952, 0.137595,0.468497
13,0.165542, 0.214153,0.184061, 0.215311,0.102447, 0.173876,0.204894, 0.239616,0.116336, 0.192394,0.051224, 0.140146,0.350992
14,0.188826, 0.224179,0.188826, 0.224179,0.188826, 0.212395,0.106197, 0.194381,0.094413, 0.192992,0.064331, 0.120455,0.337163
15,0.186797, 0.219204,0.186797, 0.212049,0.106025, 0.195130,0.186797, 0.224675,0.049014, 0.131097,0.107287, 0.195130,0.354570
16,0.202496, 0.255021,0.127511, 0.208669,0.202496, 0.227749,0.113874, 0.208669,0.101248, 0.139127,0.083155, 0.129984,0.338438
17,0.249191, 0.286229,0.211682, 0.249191,0.124596, 0.211682,0.124596, 0.158546,0.065384, 0.128498,0.054445, 0.135959,0.340211
18,0.194128, 0.250559,0.201893, 0.255657,0.111699, 0.200181,0.087591, 0.207200,0.063949, 0.147990,0.062640, 0.216513,0.556200
19,0.194676, 0.266393,0.133165, 0.222201,0.133197, 0.225049,0.100179, 0.167887,0.088798, 0.159207,0.095128, 0.214120,0.509715
20,0.176659, 0.265670,0.253170, 0.296099,0.134161, 0.199387,0.058965, 0.176659,0.063937, 0.117931,0.083849, 0.173513,0.458517
21,0.203614, 0.241468,0.177973, 0.227118,0.120734, 0.189084,0.177973, 0.227118,0.059324, 0.119939,0.077684, 0.177973,0.365398
22,0.208049, 0.246938,0.208049, 0.246938,0.106308, 0.214222,0.104025, 0.212616,0.104025, 0.142914,0.070872, 0.135043,0.397344
23,0.214669, 0.275251,0.128366, 0.190090,0.162144, 0.229821,0.095045, 0.222077,0.067755, 0.176764,0.071556, 0.166462,0.520929
24,0.167077, 0.267627,0.255722, 0.307805,0.074821, 0.176881,0.124073, 0.165740,0.073148, 0.176881,0.063931, 0.146295,0.482458
25,0.209541, 0.241840,0.210358, 0.257581,0.120920, 0.221932,0.061457, 0.209541,0.105179, 0.145136,0.073977, 0.142536,0.437133
26,0.185242, 0.231539,0.164343, 0.213814,0.166724, 0.203761,0.092621, 0.186926,0.106907, 0.205444,0.067920, 0.174759,0.432486
27,0.284990, 0.340546,0.142495, 0.231428,0.106041, 0.181972,0.083152, 0.178209,0.072182, 0.166305,0.045493, 0.167186,0.531292
28,0.183775, 0.216183,0.183775, 0.219129,0.105777, 0.189331,0.183775, 0.216183,0.061258, 0.145707,0.105777, 0.189331,0.351726
29,0.297802, 0.321612,0.148901, 0.180647,0.144734, 0.165568,0.082784, 0.157448,0.107204, 0.165568,0.074451, 0.153281,0.288248
30,0.192524, 0.282743,0.135122, 0.210176,0.141316, 0.210640,0.086271, 0.179778,0.105088, 0.203635,0.067561, 0.185148,0.544238
31,0.242535, 0.295313,0.137934, 0.233097,0.116549, 0.246808,0.069893, 0.160483,0.108447, 0.170650,0.043690, 0.174601,0.561904
32,0.186525, 0.206366,0.198430, 0.229680,0.198430, 0.229680,0.103183, 0.198430,0.066143, 0.097393,0.099215, 0.186525,0.296148
33,0.186257, 0.224719,0.154541, 0.230179,0.205488, 0.258729,0.074906, 0.172770,0.077271, 0.192793,0.054577, 0.167769,0.493919
34,0.240079, 0.267857,0.120040, 0.149669,0.212937, 0.242460,0.120040, 0.212937,0.106468, 0.149669,0.049868, 0.127976,0.301138
35,0.238885, 0.301166,0.175256, 0.238885,0.150583, 0.193230,0.100389, 0.193312,0.064410, 0.138228,0.075292, 0.130363,0.390370
36,0.185354, 0.219823,0.106566, 0.190909,0.185354, 0.217761,0.185354, 0.220707,0.068224, 0.185354,0.092677, 0.141919,0.352946
37,0.207322, 0.240655,0.205477, 0.260338,0.120328, 0.220909,0.102738, 0.214266,0.075774, 0.154810,0.062482, 0.134902,0.451760
38,0.135353, 0.244807,0.244807, 0.270705,0.135353, 0.166603,0.135353, 0.170075,0.135353, 0.170075,0.048590, 0.142928,0.330386
39,0.236444, 0.270425,0.174828, 0.240611,0.132785, 0.197817,0.087414, 0.195662,0.090142, 0.186733,0.062906, 0.124233,0.430961
40,0.213711, 0.255377,0.151047, 0.234544,0.120744, 0.181350,0.106855, 0.181350,0.075524, 0.180459,0.085328, 0.213711,0.493583
41,0.250446, 0.292113,0.118556, 0.179831,0.173164, 0.250446,0.125223, 0.166890,0.066778, 0.173164,0.062611, 0.140778,0.406443
42,0.175685, 0.208093,0.175685, 0.210408,0.175685, 0.210408,0.095418, 0.183261,0.164141, 0.190837,0.046236, 0.164141,0.334295
43,0.241068, 0.276782,0.206147, 0.241068,0.120534, 0.160437,0.120534, 0.157571,0.066329, 0.140142,0.063243, 0.206147,0.364291
44,0.147723, 0.253506,0.253506, 0.295446,0.147723, 0.187578,0.147723, 0.191201,0.048319, 0.158834,0.052864, 0.115578,0.404285
45,0.235825, 0.282491,0.141246, 0.228795,0.103981, 0.235825,0.103981, 0.161246,0.075067, 0.177193,0.073891, 0.180461,0.532021
46,0.235512, 0.267919,0.217919, 0.256808,0.133960, 0.221392,0.127015, 0.170997,0.065900, 0.136002,0.037709, 0.128867,0.363971
47,0.192368, 0.237507,0.213201, 0.248555,0.121752, 0.207800,0.106601, 0.160347,0.080174, 0.213201,0.064123, 0.154374,0.443565
48,0.145657, 0.231451,0.224648, 0.267858,0.112324, 0.171281,0.115725, 0.231593,0.112324, 0.167880,0.074883, 0.144375,0.428876
49,0.193642, 0.270871,0.150587, 0.214476,0.135435, 0.180890,0.075293, 0.193642,0.135435, 0.186301,0.087198, 0.176228,0.444816
50,0.185209, 0.219931,0.177273, 0.216955,0.160606, 0.210209,0.106494, 0.200000,0.092605, 0.207937,0.054239, 0.168543,0.447150
51,0.202687, 0.244354,0.122177, 0.282677,0.141338, 0.239272,0.109474, 0.231422,0.094226, 0.148962,0.053648, 0.129764,0.552902
52,0.254345, 0.309900,0.143839, 0.205567,0.076781, 0.200071,0.063586, 0.168376,0.081179, 0.175321,0.066690, 0.254345,0.627160
53,0.140954, 0.225495,0.197717, 0.275495,0.098859, 0.263951,0.080894, 0.212210,0.081250, 0.172204,0.089186, 0.161787,0.622283
54,0.207174, 0.248840,0.207174, 0.248840,0.114004, 0.225692,0.114004, 0.155670,0.065335, 0.207174,0.057002, 0.149091,0.470617
55,0.190737, 0.222635,0.222635, 0.261524,0.210289, 0.244240,0.074212, 0.137179,0.058532, 0.128536,0.058745, 0.190737,0.369701
56,0.188289, 0.222019,0.200194, 0.235547,0.200194, 0.235547,0.100097, 0.171012,0.082728, 0.200194,0.055152, 0.109025,0.346691
57,0.247371, 0.278445,0.177741, 0.251881,0.117019, 0.184407,0.139222, 0.196961,0.072981, 0.142945,0.048402, 0.142625,0.394526
58,0.204618, 0.252946,0.162951, 0.209826,0.126473, 0.168507,0.162951, 0.211562,0.069942, 0.135245,0.126473, 0.168507,0.293185
59,0.176471, 0.221343,0.176471, 0.221343,0.159805, 0.198694,0.107466, 0.196673,0.107466, 0.196673,0.067371, 0.170221,0.409897
60,0.266828, 0.296921,0.148460, 0.259302,0.127667, 0.167268,0.127667, 0.171728,0.066707, 0.159340,0.055756, 0.152354,0.413828
61,0.257769, 0.285012,0.081670, 0.154411,0.142506, 0.173756,0.142506, 0.257769,0.142506, 0.175839,0.071253, 0.115003,0.323581
62,0.235499, 0.285144,0.142572, 0.223454,0.100910, 0.168787,0.104115, 0.235499,0.074554, 0.184993,0.065954, 0.178520,0.552793
63,0.145040, 0.202579,0.181746, 0.290079,0.145040, 0.188690,0.145040, 0.192659,0.096693, 0.178373,0.052315, 0.181746,0.468254
64,0.207281, 0.240614,0.207281, 0.250210,0.118792, 0.217569,0.108784, 0.222713,0.074649, 0.140997,0.060154, 0.150956,0.446118
65,0.210735, 0.252402,0.121108, 0.223081,0.209101, 0.242217,0.105368, 0.152590,0.075801, 0.142724,0.055770, 0.209101,0.444232
66,0.198436, 0.233930,0.171146, 0.213869,0.189665, 0.230600,0.114650, 0.203553,0.071804, 0.145900,0.055300, 0.171146,0.397998
67,0.172168, 0.207882,0.178120, 0.224417,0.178120, 0.229046,0.103941, 0.203373,0.064003, 0.183887,0.061296, 0.193745,0.484702
68,0.151953, 0.250564,0.241040, 0.289651,0.086393, 0.185286,0.134409, 0.193619,0.070908, 0.169497,0.062641, 0.164039,0.505312
69,0.288558, 0.323190,0.161595, 0.243453,0.115774, 0.186640,0.071050, 0.173015,0.077183, 0.150992,0.045040, 0.163510,0.481600
70,0.249064, 0.304278,0.152139, 0.236127,0.102439, 0.192853,0.051696, 0.249064,0.091466, 0.197774,0.053041, 0.120058,0.600310
71,0.150908, 0.222985,0.189034, 0.257429,0.125242, 0.179020,0.089510, 0.205374,0.094517, 0.223222,0.085810, 0.176949,0.529958
72,0.237886, 0.303002,0.151501, 0.237258,0.107170, 0.173893,0.107170, 0.240490,0.063506, 0.182574,0.060600, 0.134948,0.544332
73,0.187831, 0.248016,0.206350, 0.261905,0.110119, 0.204719,0.087082, 0.197635,0.076318, 0.144842,0.059400, 0.215784,0.545801
74,0.183367, 0.235351,0.229398, 0.264752,0.129851, 0.205589,0.081879, 0.189903,0.081879, 0.144329,0.078450, 0.175253,0.430351
75,0.262518, 0.286824,0.131259, 0.152092,0.244120, 0.266486,0.069102, 0.134963,0.131259, 0.155565,0.043753, 0.122060,0.235979
76,0.207176, 0.248843,0.175926, 0.217593,0.141782, 0.207176,0.124421, 0.185185,0.103588, 0.167824,0.068287, 0.152199,0.357639
77,0.177821, 0.231987,0.231987, 0.277442,0.115994, 0.183625,0.088910, 0.204011,0.083132, 0.151081,0.076188, 0.177821,0.451936
78,0.246010, 0.285368,0.156573, 0.246010,0.142684, 0.184350,0.142684, 0.184350,0.093565, 0.163517,0.047561, 0.107327,0.341846
79,0.194780, 0.222558,0.194780, 0.225083,0.167489, 0.194780,0.194780, 0.225083,0.053986, 0.167489,0.051220, 0.107972,0.285929
80,0.160389, 0.302712,0.147568, 0.230474,0.098570, 0.195111,0.147568, 0.209961,0.104126, 0.195111,0.057618, 0.150793,0.568322
81,0.242575, 0.269324,0.218766, 0.258448,0.134662, 0.222238,0.109383, 0.152152,0.069903, 0.138445,0.046148, 0.137954,0.357124
82,0.205338, 0.259233,0.145936, 0.222699,0.123367, 0.180915,0.111002, 0.180658,0.090458, 0.222005,0.086411, 0.171978,0.474977
83,0.281603, 0.314936,0.157468, 0.188132,0.086490, 0.153622,0.094066, 0.180917,0.132029, 0.179398,0.086490, 0.144850,0.323708
84,0.181050, 0.240574,0.116319, 0.213760,0.181050, 0.255786,0.089628, 0.204442,0.068287, 0.179257,0.065406, 0.204442,0.596521
85,0.171294, 0.233004,0.209512, 0.267273,0.133636, 0.201849,0.104756, 0.201597,0.080091, 0.140857,0.046619, 0.209512,0.508184
86,0.238290, 0.273269,0.136635, 0.240894,0.119145, 0.255651,0.113937, 0.168528,0.080298, 0.155603,0.062659, 0.155093,0.498075
87,0.210748, 0.246101,0.183378, 0.221164,0.177251, 0.220551,0.105374, 0.191140,0.073517, 0.186252,0.060263, 0.124262,0.378940
88,0.154401, 0.247468,0.247468, 0.280801,0.140401, 0.204525,0.082793, 0.159778,0.123734, 0.184104,0.063731, 0.110797,0.374945
89,0.187593, 0.220069,0.216597, 0.252708,0.216597, 0.252708,0.108298, 0.141632,0.054149, 0.187593,0.038877, 0.123179,0.355777
90,0.158027, 0.223305,0.158027, 0.229324,0.111653, 0.224160,0.107806, 0.193381,0.094986, 0.236446,0.078815, 0.184069,0.581370
91,0.202755, 0.258310,0.115266, 0.186558,0.093279, 0.226146,0.080360, 0.222362,0.101377, 0.160721,0.113073, 0.239792,0.587779
