ó^Ç¶ÇΩèdóvìx,0.180000,0.280000,0.150000,0.250000,0.130000,0.230000,0.100000,0.200000,0.080000,0.180000,0.060000,0.160000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],ãÊä‘ïùÇÃëçòa
1,0.206075, 0.230274,0.206075, 0.230274,0.135026, 0.292252,0.136487, 0.208277,0.065534, 0.135026,0.073732, 0.080968,0.354142
2,0.179193, 0.179193,0.129693, 0.242627,0.111131, 0.184106,0.178360, 0.227922,0.179193, 0.179193,0.079696, 0.129693,0.285469
3,0.140317, 0.317903,0.182997, 0.248702,0.157782, 0.216614,0.124351, 0.215982,0.092501, 0.096496,0.060223, 0.146133,0.483660
4,0.147829, 0.263443,0.263443, 0.310613,0.119402, 0.151332,0.125940, 0.211463,0.066369, 0.129242,0.070488, 0.140434,0.413056
5,0.130492, 0.226662,0.136783, 0.283673,0.140858, 0.300202,0.107471, 0.146230,0.144250, 0.171352,0.080702, 0.131325,0.518889
6,0.160489, 0.324329,0.161070, 0.238582,0.150989, 0.164179,0.103163, 0.161070,0.100770, 0.173273,0.086636, 0.175450,0.473765
7,0.174893, 0.326728,0.177995, 0.186908,0.151560, 0.195559,0.101546, 0.195199,0.146797, 0.203092,0.048890, 0.090833,0.396638
8,0.178697, 0.274210,0.220769, 0.246383,0.136623, 0.245295,0.103911, 0.178697,0.080971, 0.140875,0.080632, 0.112937,0.396794
9,0.192746, 0.298090,0.144207, 0.268215,0.122550, 0.195246,0.122674, 0.198185,0.096560, 0.122784,0.094535, 0.144207,0.453455
10,0.202076, 0.326820,0.156539, 0.260817,0.119252, 0.239054,0.108940, 0.179636,0.086939, 0.143669,0.059763, 0.116494,0.532980
11,0.226122, 0.264457,0.227037, 0.235338,0.114110, 0.134252,0.132228, 0.256305,0.064532, 0.148779,0.074389, 0.122450,0.323163
12,0.166875, 0.261306,0.144404, 0.256271,0.130653, 0.248275,0.125824, 0.231282,0.109457, 0.175344,0.073919, 0.076390,0.497735
13,0.162208, 0.247255,0.170349, 0.226156,0.112663, 0.170788,0.214527, 0.227987,0.113993, 0.172072,0.061814, 0.120188,0.328892
14,0.196433, 0.196433,0.196433, 0.196433,0.175356, 0.230029,0.115014, 0.245330,0.092830, 0.189472,0.063157, 0.103078,0.321551
15,0.181486, 0.267525,0.156991, 0.246765,0.123382, 0.220074,0.162057, 0.186527,0.061792, 0.108183,0.108183, 0.177035,0.412216
16,0.187988, 0.287710,0.143855, 0.205993,0.176248, 0.270167,0.135083, 0.217161,0.093015, 0.101370,0.088396, 0.093015,0.350830
17,0.253717, 0.268934,0.174678, 0.263407,0.134467, 0.179147,0.131703, 0.179206,0.084636, 0.127925,0.063963, 0.138217,0.313672
18,0.151704, 0.371030,0.190944, 0.240568,0.108514, 0.224833,0.093124, 0.159160,0.074944, 0.106149,0.088085, 0.190944,0.585369
19,0.149176, 0.349099,0.125014, 0.236192,0.163718, 0.234864,0.117432, 0.130654,0.109793, 0.125014,0.109868, 0.149176,0.449997
20,0.175382, 0.237258,0.237258, 0.303973,0.114276, 0.224731,0.080506, 0.203398,0.060820, 0.161011,0.086973, 0.114415,0.489573
21,0.189691, 0.325918,0.159972, 0.190771,0.156408, 0.218594,0.159972, 0.190771,0.072865, 0.097699,0.077369, 0.159972,0.367448
22,0.204512, 0.240637,0.204512, 0.240637,0.110023, 0.207872,0.118062, 0.276689,0.088847, 0.102256,0.090550, 0.115405,0.366991
23,0.224064, 0.273870,0.111608, 0.246622,0.121563, 0.261374,0.123311, 0.226107,0.066670, 0.121563,0.079509, 0.143738,0.546549
24,0.163004, 0.293381,0.248210, 0.256993,0.083716, 0.199807,0.111902, 0.167431,0.075922, 0.177641,0.060270, 0.161725,0.513955
25,0.189314, 0.258608,0.211356, 0.222245,0.129304, 0.251870,0.083770, 0.206969,0.094218, 0.168636,0.077526, 0.106185,0.429026
26,0.186487, 0.208222,0.126476, 0.250576,0.144877, 0.243251,0.098929, 0.159433,0.125288, 0.239357,0.077962, 0.139141,0.479961
27,0.252286, 0.277791,0.123383, 0.270148,0.112158, 0.260495,0.078934, 0.168213,0.076381, 0.157868,0.065124, 0.157220,0.583469
28,0.184585, 0.248650,0.166780, 0.220215,0.105156, 0.184585,0.175650, 0.225523,0.073405, 0.128289,0.109461, 0.177700,0.369924
29,0.286890, 0.342617,0.146114, 0.161920,0.125732, 0.188848,0.094424, 0.154132,0.114206, 0.176761,0.077182, 0.131175,0.310906
30,0.185390, 0.364689,0.124240, 0.234432,0.120487, 0.194645,0.107195, 0.121896,0.117216, 0.205071,0.091172, 0.133564,0.508598
31,0.250328, 0.252804,0.112651, 0.298697,0.149262, 0.258596,0.070148, 0.168138,0.112886, 0.156809,0.054122, 0.115558,0.501206
32,0.171545, 0.253001,0.195430, 0.223602,0.195430, 0.223602,0.119869, 0.195430,0.070145, 0.070451,0.107287, 0.174207,0.280588
33,0.150213, 0.345546,0.122016, 0.226073,0.217141, 0.241662,0.102744, 0.122016,0.080059, 0.150213,0.069443, 0.172875,0.516768
34,0.239619, 0.325892,0.116808, 0.122487,0.213203, 0.243717,0.097789, 0.217275,0.108637, 0.134310,0.063456, 0.116808,0.320975
35,0.222689, 0.366605,0.160380, 0.222689,0.158210, 0.210346,0.118621, 0.167959,0.070115, 0.134637,0.083396, 0.084352,0.373177
36,0.181279, 0.257075,0.107408, 0.222790,0.187819, 0.214815,0.161561, 0.188557,0.084708, 0.192671,0.093910, 0.107408,0.366631
37,0.164739, 0.341772,0.196741, 0.264054,0.152603, 0.218044,0.086659, 0.164739,0.085968, 0.155858,0.069679, 0.099145,0.487223
38,0.136400, 0.217636,0.217636, 0.342641,0.146243, 0.193251,0.131768, 0.146243,0.131768, 0.146243,0.058402, 0.131768,0.355566
39,0.205215, 0.352868,0.161651, 0.205215,0.160176, 0.179959,0.084877, 0.187490,0.103811, 0.195974,0.058952, 0.103811,0.450636
40,0.200618, 0.252642,0.149393, 0.212711,0.120459, 0.205739,0.104658, 0.150445,0.101972, 0.198840,0.090796, 0.211727,0.464209
41,0.247537, 0.262077,0.102046, 0.215200,0.159179, 0.286150,0.124086, 0.184149,0.087531, 0.166144,0.063856, 0.102046,0.431531
42,0.176853, 0.237061,0.183035, 0.198983,0.167087, 0.183035,0.105351, 0.183896,0.145129, 0.219117,0.054513, 0.145940,0.336063
43,0.225210, 0.331226,0.184247, 0.278410,0.132153, 0.174773,0.105236, 0.132153,0.067645, 0.112605,0.072095, 0.184247,0.426829
44,0.151396, 0.198976,0.198976, 0.329484,0.158119, 0.219423,0.148959, 0.159447,0.069039, 0.160329,0.067776, 0.138077,0.411471
45,0.183936, 0.353619,0.132144, 0.231323,0.102528, 0.183936,0.103445, 0.185912,0.088510, 0.198632,0.093200, 0.142816,0.592475
46,0.176417, 0.337348,0.199805, 0.261393,0.150157, 0.232180,0.130697, 0.182753,0.069540, 0.132571,0.037640, 0.089500,0.471491
47,0.178985, 0.215130,0.204736, 0.274740,0.123329, 0.217856,0.107565, 0.185990,0.087159, 0.205909,0.072619, 0.125983,0.451216
48,0.146168, 0.292246,0.231253, 0.231303,0.110576, 0.171633,0.146123, 0.236431,0.105489, 0.146199,0.072004, 0.110576,0.376775
49,0.145532, 0.324304,0.160492, 0.197571,0.147692, 0.172773,0.086386, 0.150545,0.162152, 0.198912,0.093149, 0.160492,0.409194
50,0.150879, 0.250390,0.156952, 0.312431,0.150083, 0.208999,0.117687, 0.169120,0.096807, 0.155956,0.074557, 0.156140,0.506072
51,0.175293, 0.295821,0.142909, 0.335035,0.158264, 0.246982,0.114943, 0.186902,0.081384, 0.115288,0.057644, 0.089535,0.539126
52,0.183675, 0.308254,0.143594, 0.203047,0.098406, 0.266340,0.065656, 0.210307,0.096787, 0.157311,0.077649, 0.188974,0.668467
53,0.134382, 0.221172,0.191550, 0.260695,0.110586, 0.247487,0.099598, 0.234880,0.079985, 0.140125,0.080344, 0.199197,0.607110
54,0.181768, 0.315922,0.162369, 0.331894,0.114311, 0.162369,0.117430, 0.160491,0.071761, 0.183233,0.069719, 0.128732,0.565284
55,0.149465, 0.293921,0.237664, 0.237664,0.197368, 0.285259,0.091307, 0.130900,0.062845, 0.102532,0.059921, 0.151155,0.402862
56,0.170170, 0.223215,0.222425, 0.237553,0.175673, 0.243348,0.105019, 0.204383,0.081547, 0.175673,0.068128, 0.092868,0.354079
57,0.199678, 0.314928,0.177871, 0.287541,0.098919, 0.178567,0.157464, 0.206747,0.091819, 0.120098,0.059788, 0.106581,0.428921
58,0.193641, 0.259714,0.152702, 0.242206,0.129857, 0.158099,0.158099, 0.201737,0.080735, 0.135254,0.129857, 0.158099,0.310218
59,0.177057, 0.255587,0.160832, 0.276982,0.132682, 0.188779,0.122235, 0.164458,0.136342, 0.182484,0.069880, 0.132682,0.401944
60,0.223731, 0.322207,0.161103, 0.298332,0.102042, 0.208346,0.126560, 0.139357,0.064903, 0.120208,0.069449, 0.163762,0.504424
61,0.203335, 0.356604,0.086024, 0.165812,0.164805, 0.185106,0.151161, 0.203335,0.141062, 0.167801,0.082402, 0.092553,0.342422
62,0.235958, 0.281925,0.117669, 0.248144,0.124072, 0.153917,0.119898, 0.235958,0.086851, 0.149044,0.072863, 0.173701,0.485379
63,0.153816, 0.159045,0.157262, 0.350454,0.148587, 0.196381,0.153578, 0.155480,0.116818, 0.179002,0.065460, 0.164117,0.408957
64,0.187356, 0.282776,0.188226, 0.248659,0.108091, 0.259305,0.129652, 0.219488,0.082043, 0.094676,0.070694, 0.129035,0.467876
