ó^Ç¶ÇΩèdóvìx,0.180000,0.280000,0.150000,0.250000,0.130000,0.230000,0.100000,0.200000,0.080000,0.180000,0.060000,0.160000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],ãÊä‘ïùÇÃëçòa
1,0.192730, 0.243619,0.192730, 0.243619,0.123209, 0.304068,0.118758, 0.226007,0.015701, 0.184858,0.064893, 0.089807,0.583957
2,0.179193, 0.179193,0.119793, 0.252527,0.096564, 0.198673,0.174194, 0.232088,0.179193, 0.179193,0.030196, 0.179193,0.441735
3,0.105453, 0.352767,0.129025, 0.302674,0.134612, 0.239784,0.109365, 0.230968,0.082512, 0.106485,0.017359, 0.188996,0.843349
4,0.124244, 0.287028,0.210417, 0.363639,0.069879, 0.200855,0.108492, 0.228912,0.058521, 0.137091,0.066771, 0.144151,0.723353
5,0.115719, 0.241435,0.079368, 0.341088,0.125458, 0.315602,0.093552, 0.160149,0.129651, 0.185951,0.050778, 0.161249,0.810948
6,0.135443, 0.349375,0.155763, 0.243889,0.138710, 0.176458,0.087775, 0.176458,0.065038, 0.209004,0.078792, 0.183294,0.676957
7,0.157811, 0.343811,0.158294, 0.206608,0.103850, 0.243268,0.091226, 0.205520,0.072987, 0.276902,0.045613, 0.094110,0.740438
8,0.165820, 0.287087,0.187693, 0.279460,0.109016, 0.272901,0.061984, 0.220624,0.072211, 0.149634,0.076781, 0.116788,0.652988
9,0.182735, 0.308101,0.139618, 0.272804,0.098451, 0.219344,0.109672, 0.211188,0.085700, 0.133644,0.087041, 0.151701,0.593565
10,0.106612, 0.422284,0.071444, 0.345912,0.013632, 0.344674,0.094809, 0.193767,0.076270, 0.154339,0.051187, 0.125070,1.172093
11,0.175888, 0.314691,0.218736, 0.243639,0.094237, 0.154125,0.123470, 0.265064,0.050819, 0.162491,0.068124, 0.128715,0.537452
12,0.121253, 0.306928,0.100056, 0.300619,0.112732, 0.266196,0.111316, 0.245790,0.082084, 0.202716,0.067743, 0.082566,0.809631
13,0.123968, 0.285495,0.155707, 0.240799,0.108077, 0.175374,0.200669, 0.241844,0.110628, 0.175437,0.058522, 0.123480,0.484857
14,0.196433, 0.196433,0.196433, 0.196433,0.107015, 0.298370,0.104476, 0.255868,0.078245, 0.204058,0.061362, 0.104874,0.512072
15,0.144045, 0.304966,0.082795, 0.320960,0.110880, 0.232576,0.126207, 0.222377,0.041427, 0.128548,0.093734, 0.191484,0.801823
16,0.139332, 0.336366,0.134925, 0.214923,0.122720, 0.323694,0.126015, 0.226229,0.090705, 0.103679,0.084219, 0.097192,0.604169
17,0.243767, 0.278884,0.160282, 0.277803,0.130663, 0.182951,0.128599, 0.182311,0.069527, 0.143034,0.061479, 0.140701,0.411368
18,0.098891, 0.423843,0.173068, 0.258444,0.071954, 0.261393,0.035966, 0.216319,0.070055, 0.111039,0.066184, 0.212845,0.967763
19,0.138643, 0.359633,0.117404, 0.243802,0.150496, 0.248086,0.111587, 0.136499,0.098308, 0.136499,0.079648, 0.179397,0.607830
20,0.142024, 0.270616,0.206320, 0.334912,0.099857, 0.239150,0.071057, 0.212846,0.000001, 0.221830,0.045522, 0.155866,0.870438
21,0.168893, 0.346716,0.140828, 0.209914,0.119157, 0.255845,0.140828, 0.209914,0.067215, 0.103349,0.061969, 0.175371,0.602220
22,0.191102, 0.254046,0.191102, 0.254046,0.095320, 0.222574,0.104729, 0.290022,0.079815, 0.111287,0.079163, 0.126792,0.517537
23,0.175044, 0.322890,0.009482, 0.348748,0.100864, 0.282073,0.111253, 0.238165,0.041125, 0.147108,0.048510, 0.174737,1.027442
24,0.119583, 0.336802,0.226253, 0.278950,0.069929, 0.213593,0.026732, 0.252601,0.049780, 0.203783,0.000001, 0.221993,1.015447
25,0.119175, 0.328748,0.196960, 0.236640,0.115561, 0.265613,0.073938, 0.216800,0.033225, 0.229628,0.072267, 0.111445,0.777748
26,0.151900, 0.242809,0.064962, 0.312090,0.062473, 0.325655,0.067589, 0.190774,0.108683, 0.255962,0.057418, 0.159685,0.973951
27,0.212972, 0.317105,0.051666, 0.341864,0.019200, 0.353453,0.060147, 0.187000,0.004993, 0.229256,0.056977, 0.165366,1.188086
28,0.163429, 0.269805,0.128699, 0.258296,0.073124, 0.216617,0.148548, 0.252625,0.064499, 0.137195,0.086575, 0.200586,0.670251
29,0.219999, 0.409508,0.126811, 0.181223,0.089753, 0.224827,0.080281, 0.168274,0.105599, 0.185368,0.054339, 0.154017,0.646435
30,0.141568, 0.408511,0.093072, 0.265600,0.106742, 0.208391,0.096292, 0.132800,0.111087, 0.211201,0.085422, 0.139315,0.731636
31,0.244139, 0.258993,0.097724, 0.313624,0.142783, 0.265076,0.022419, 0.215868,0.044687, 0.225007,0.041928, 0.127752,0.812641
32,0.143353, 0.281193,0.174703, 0.244329,0.174703, 0.244329,0.105783, 0.209516,0.069839, 0.070758,0.078362, 0.203132,0.506512
33,0.115571, 0.380188,0.112380, 0.235709,0.191692, 0.267111,0.068364, 0.156396,0.044182, 0.186090,0.012916, 0.229401,0.909790
34,0.230693, 0.334818,0.114209, 0.125086,0.198722, 0.258198,0.074390, 0.240674,0.099361, 0.143586,0.060616, 0.119648,0.444019
35,0.215321, 0.373974,0.129271, 0.253798,0.114887, 0.253669,0.111832, 0.174748,0.066936, 0.137816,0.081689, 0.086059,0.560127
36,0.131394, 0.306960,0.100659, 0.229539,0.175059, 0.227576,0.146587, 0.203530,0.076061, 0.201317,0.087529, 0.113788,0.565421
37,0.145490, 0.361021,0.180095, 0.280700,0.136865, 0.233783,0.018616, 0.232781,0.073767, 0.168059,0.062916, 0.105908,0.764502
38,0.088127, 0.265909,0.203282, 0.356996,0.139006, 0.200489,0.127257, 0.150754,0.127257, 0.150754,0.051164, 0.139006,0.527817
39,0.185288, 0.372796,0.117572, 0.249294,0.144868, 0.195267,0.054419, 0.217948,0.090113, 0.209672,0.040012, 0.122751,0.735456
