No.,tL,tR
true,0.833333,1.250000
0,0.999999,1.000000
1,0.999999,1.000000
2,1.000000,1.000000
3,1.000000,1.000000
4,1.000000,1.000000
5,1.000000,1.000000
6,1.000000,1.000000
7,0.999999,1.000000
8,1.000000,1.000000
9,1.000000,1.000000
10,1.000000,1.000000
11,1.000000,1.000000
12,1.000000,1.000000
13,1.000000,1.000000
14,1.000000,1.000000
15,1.000000,1.000001
16,0.999999,1.000000
17,0.999999,1.000000
18,0.999999,1.000000
19,0.999999,1.000000
20,1.000000,1.000000
21,1.000000,1.000001
22,1.000000,1.000001
23,1.000000,1.000001
24,1.000000,1.000000
25,1.000000,1.000001
26,0.999999,1.000000
27,1.000000,1.000000
28,1.000000,1.000000
29,1.000000,1.000000
30,1.000000,1.000001
31,1.000000,1.000000
32,1.000000,1.000001
33,1.000000,1.000000
34,1.000000,1.000000
35,1.000000,1.000000
36,1.000000,1.000000
37,0.999999,1.000000
38,0.999999,1.000000
39,1.000000,1.000000
40,0.999999,1.000000
41,0.999999,1.000000
42,1.000000,1.000000
43,1.000000,1.000000
44,0.999999,1.000000
45,1.000000,1.000000
46,1.000000,1.000000
47,1.000000,1.000000
48,1.000000,1.000001
49,1.000000,1.000001
50,1.000000,1.000000
51,0.999999,1.000000
52,1.000000,1.000000
53,1.000000,1.000000
54,1.000000,1.000000
55,1.000000,1.000000
56,1.000000,1.000001
57,1.000000,1.000000
58,1.000000,1.000000
59,1.000000,1.000000
60,1.000000,1.000001
61,1.000000,1.000000
62,0.999999,1.000000
63,1.000000,1.000000
64,1.000000,1.000001
65,0.999999,1.000000
66,1.000000,1.000000
67,1.000000,1.000000
68,1.000000,1.000000
69,1.000000,1.000000
70,1.000000,1.000001
71,1.000000,1.000000
72,0.999999,1.000000
73,1.000000,1.000000
74,1.000000,1.000000
75,0.999999,1.000000
76,1.000000,1.000000
77,1.000000,1.000000
78,1.000000,1.000000
79,0.999999,1.000000
80,1.000000,1.000001
81,0.999999,1.000000
82,0.999998,1.000000
83,1.000000,1.000000
84,1.000000,1.000000
85,1.000000,1.000000
86,1.000000,1.000000
87,1.000000,1.000000
88,1.000000,1.000000
89,1.000000,1.000000
90,0.999999,1.000000
91,1.000000,1.000000
92,1.000000,1.000000
93,1.000000,1.000000
94,1.000000,1.000000
95,1.000000,1.000001
96,1.000000,1.000000
97,1.000000,1.000000
98,1.000000,1.000000
99,1.000000,1.000001
100,1.000000,1.000000
101,1.000000,1.000001
102,1.000000,1.000000
103,1.000000,1.000000
104,0.999999,1.000000
105,1.000000,1.000001
106,1.000000,1.000000
107,0.999998,1.000000
108,1.000000,1.000000
109,0.999999,1.000000
110,1.000000,1.000000
111,0.999999,1.000000
112,1.000000,1.000001
113,0.999999,1.000000
114,1.000000,1.000001
115,1.000000,1.000000
116,1.000000,1.000001
117,0.999999,1.000000
118,1.000000,1.000000
119,0.999999,1.000000
120,0.999999,1.000000
121,1.000000,1.000000
122,1.000000,1.000000
123,0.999999,1.000000
124,0.999999,1.000000
125,1.000000,1.000000
126,1.000000,1.000000
127,1.000000,1.000000
128,0.999999,1.000000
129,1.000000,1.000001
130,1.000000,1.000000
131,1.000000,1.000000
132,1.000000,1.000000
133,1.000000,1.000000
134,1.000000,1.000000
135,1.000000,1.000000
136,0.999999,1.000000
137,1.000000,1.000000
138,0.999999,1.000000
