ó^Ç¶ÇΩèdóvìx,0.200000,0.260000,0.150000,0.250000,0.110000,0.250000,0.080000,0.220000,0.080000,0.180000,0.080000,0.140000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],ãÊä‘ïùÇÃëçòa
1,0.209639, 0.250043,0.209639, 0.254083,0.113304, 0.209639,0.104819, 0.221985,0.069880, 0.147787,0.069880, 0.139302,0.445678
2,0.174242, 0.202020,0.174242, 0.215909,0.087121, 0.189394,0.101010, 0.189394,0.174242, 0.215909,0.087121, 0.189394,0.404040
3,0.238872, 0.264798,0.215062, 0.242840,0.132399, 0.218534,0.119436, 0.160794,0.051540, 0.136103,0.077311, 0.142312,0.330761
4,0.186643, 0.248173,0.248173, 0.289840,0.110590, 0.202933,0.083389, 0.196259,0.061962, 0.141202,0.080245, 0.150590,0.457995
5,0.190909, 0.236364,0.190909, 0.221212,0.110606, 0.202020,0.095455, 0.207576,0.101010, 0.207576,0.095455, 0.140909,0.431313
6,0.202426, 0.244093,0.174648, 0.216315,0.158775, 0.226236,0.072105, 0.186553,0.072105, 0.180353,0.082364, 0.184028,0.475153
7,0.237548, 0.263189,0.210961, 0.241516,0.118774, 0.159372,0.105480, 0.149638,0.131594, 0.210961,0.045527, 0.125441,0.300233
8,0.191937, 0.227885,0.208277, 0.246739,0.165271, 0.214944,0.082246, 0.197685,0.069426, 0.171018,0.075962, 0.148610,0.413761
9,0.165363, 0.224808,0.203974, 0.262023,0.128697, 0.187585,0.128697, 0.187585,0.082682, 0.158611,0.062667, 0.207308,0.455840
10,0.227447, 0.290109,0.180910, 0.233399,0.143161, 0.194799,0.096703, 0.187320,0.077800, 0.166970,0.064933, 0.136451,0.418095
11,0.226580, 0.264297,0.226580, 0.260530,0.113290, 0.144154,0.088099, 0.226580,0.059731, 0.129630,0.113290, 0.147240,0.344862
12,0.190674, 0.246230,0.190674, 0.232341,0.098542, 0.224863,0.077447, 0.214326,0.098542, 0.218452,0.065695, 0.142212,0.556849
13,0.168904, 0.209028,0.187423, 0.218287,0.099884, 0.174460,0.199769, 0.232176,0.113773, 0.192978,0.063503, 0.139815,0.333488
14,0.189028, 0.224382,0.189028, 0.224382,0.186729, 0.212597,0.106299, 0.193195,0.064398, 0.186729,0.093365, 0.129868,0.342305
15,0.186301, 0.218708,0.186301, 0.209870,0.104935, 0.191856,0.186301, 0.221654,0.062100, 0.133081,0.107039, 0.191856,0.334049
16,0.204377, 0.226599,0.113300, 0.204377,0.204377, 0.234680,0.117340, 0.204377,0.102189, 0.135522,0.102189, 0.150673,0.312458
17,0.234256, 0.267590,0.211529, 0.234256,0.117128, 0.211529,0.117128, 0.172729,0.077105, 0.136736,0.083278, 0.136736,0.319151
18,0.198302, 0.241511,0.198302, 0.247684,0.108410, 0.201577,0.089678, 0.208106,0.065341, 0.147101,0.078446, 0.215543,0.523045
19,0.227189, 0.294304,0.133291, 0.227189,0.147152, 0.219865,0.096044, 0.156019,0.096044, 0.156019,0.102988, 0.143897,0.394585
20,0.193062, 0.244451,0.231951, 0.274880,0.131127, 0.208494,0.054291, 0.193062,0.064354, 0.137317,0.096531, 0.170479,0.457368
21,0.200015, 0.235368,0.187194, 0.236339,0.115159, 0.209416,0.101004, 0.222237,0.062398, 0.135264,0.093597, 0.202009,0.481266
22,0.209201, 0.241252,0.222021, 0.260910,0.096336, 0.209201,0.080417, 0.192672,0.104600, 0.149899,0.096336, 0.137154,0.382177
23,0.236730, 0.287656,0.132254, 0.191464,0.154631, 0.242828,0.061661, 0.195158,0.057794, 0.169251,0.097579, 0.172995,0.518703
24,0.174410, 0.262528,0.250623, 0.301905,0.073072, 0.180946,0.121839, 0.163506,0.072031, 0.180946,0.074133, 0.144062,0.467784
25,0.203948, 0.243653,0.226987, 0.274209,0.113493, 0.207450,0.065614, 0.203948,0.097938, 0.153451,0.069150, 0.140160,0.445741
26,0.185242, 0.226909,0.164343, 0.213814,0.166724, 0.209934,0.066377, 0.177140,0.106907, 0.205444,0.092621, 0.184545,0.435572
27,0.287086, 0.340789,0.143543, 0.217114,0.099959, 0.187702,0.071771, 0.177273,0.072371, 0.169859,0.062567, 0.169966,0.525405
28,0.187450, 0.219857,0.187450, 0.230379,0.062577, 0.187450,0.187450, 0.230379,0.062483, 0.135571,0.107614, 0.201339,0.409952
29,0.301783, 0.329561,0.150892, 0.186606,0.142120, 0.167339,0.055780, 0.155278,0.108531, 0.171725,0.075446, 0.154940,0.330898
30,0.193794, 0.291300,0.142178, 0.190114,0.141269, 0.208945,0.078391, 0.175457,0.091724, 0.201201,0.097100, 0.188527,0.511090
31,0.253120, 0.303120,0.143227, 0.229060,0.114530, 0.253120,0.066903, 0.132413,0.108491, 0.170038,0.051500, 0.174477,0.524456
32,0.203443, 0.227012,0.191098, 0.221962,0.172579, 0.209616,0.113506, 0.196653,0.067814, 0.124890,0.098848, 0.172579,0.305423
33,0.193318, 0.240193,0.153435, 0.210679,0.203735, 0.254661,0.067912, 0.169060,0.076717, 0.193318,0.067912, 0.169060,0.473943
34,0.236986, 0.286986,0.118493, 0.168493,0.128712, 0.236986,0.118493, 0.257423,0.085808, 0.145008,0.063034, 0.153581,0.496951
35,0.245945, 0.284834,0.201160, 0.251236,0.122972, 0.186604,0.087537, 0.201160,0.062201, 0.141912,0.080481, 0.133960,0.399408
36,0.185354, 0.219823,0.106566, 0.190909,0.185354, 0.217761,0.185354, 0.220707,0.068224, 0.185354,0.092677, 0.141919,0.352946
37,0.220232, 0.252912,0.233304, 0.270341,0.126456, 0.233304,0.077768, 0.135757,0.077768, 0.152097,0.077768, 0.142293,0.373408
38,0.170836, 0.234171,0.234171, 0.266578,0.130974, 0.177009,0.130974, 0.177009,0.117085, 0.165697,0.056945, 0.138550,0.318027
39,0.245424, 0.277831,0.149956, 0.249392,0.136601, 0.182007,0.054259, 0.168895,0.129656, 0.175419,0.074978, 0.155582,0.418253
40,0.232848, 0.279515,0.108445, 0.232848,0.139758, 0.227307,0.079683, 0.184926,0.102493, 0.165710,0.077299, 0.169169,0.518949
41,0.199864, 0.250790,0.153404, 0.221469,0.191531, 0.233197,0.072177, 0.169029,0.076702, 0.194798,0.068010, 0.169029,0.476625
42,0.178220, 0.210627,0.178220, 0.210627,0.178220, 0.210627,0.089110, 0.183270,0.158949, 0.183775,0.059407, 0.158949,0.315751
43,0.242208, 0.273073,0.211153, 0.242208,0.121104, 0.151968,0.121104, 0.158141,0.046541, 0.134438,0.086909, 0.211153,0.341962
44,0.149237, 0.237605,0.237605, 0.290515,0.145258, 0.214226,0.086280, 0.183681,0.062973, 0.179173,0.063693, 0.149755,0.509911
45,0.235825, 0.282491,0.141246, 0.228795,0.103981, 0.235825,0.103981, 0.161246,0.075067, 0.170657,0.080427, 0.180461,0.518949
46,0.248916, 0.285027,0.208765, 0.255166,0.141125, 0.219181,0.085055, 0.169971,0.053452, 0.131882,0.054274, 0.147185,0.416826
47,0.211340, 0.261340,0.211340, 0.261340,0.105670, 0.229859,0.061168, 0.131986,0.061607, 0.211340,0.105670, 0.147337,0.486406
48,0.178336, 0.280323,0.107920, 0.223017,0.089168, 0.216214,0.140161, 0.215840,0.092569, 0.216214,0.087772, 0.152465,0.608148
49,0.178221, 0.284430,0.142215, 0.188638,0.142215, 0.181898,0.055935, 0.178221,0.142215, 0.181898,0.142215, 0.181898,0.393966
50,0.176620, 0.235648,0.199769, 0.236806,0.109144, 0.198843,0.109144, 0.217130,0.088310, 0.198843,0.078935, 0.150810,0.476157
51,0.197519, 0.246060,0.123030, 0.290531,0.145266, 0.238707,0.096844, 0.227433,0.096844, 0.153684,0.053168, 0.130916,0.574662
52,0.294414, 0.342033,0.147207, 0.188874,0.082150, 0.185134,0.073603, 0.164301,0.084020, 0.172848,0.092567, 0.172848,0.452076
53,0.188437, 0.246518,0.127667, 0.250811,0.116946, 0.226307,0.074546, 0.255334,0.059695, 0.215104,0.089542, 0.149092,0.686333
54,0.209172, 0.263076,0.202526, 0.252295,0.113820, 0.212526,0.087692, 0.154969,0.068864, 0.209172,0.075996, 0.149890,0.483858
55,0.231880, 0.248083,0.231880, 0.253484,0.217991, 0.235352,0.082694, 0.122350,0.061175, 0.112263,0.077293, 0.125555,0.194176
56,0.223479, 0.263883,0.210658, 0.249120,0.126891, 0.223004,0.074493, 0.183871,0.091935, 0.156303,0.061290, 0.135073,0.422506
57,0.235947, 0.265576,0.196617, 0.241238,0.095610, 0.196617,0.132788, 0.216899,0.078649, 0.130093,0.068184, 0.141783,0.384410
58,0.209337, 0.278156,0.166281, 0.230170,0.077297, 0.176028,0.088014, 0.216744,0.076723, 0.154593,0.129819, 0.196837,0.505058
59,0.203577, 0.250244,0.216911, 0.259840,0.095122, 0.223577,0.056182, 0.155771,0.123607, 0.219009,0.072304, 0.123858,0.464597
60,0.255556, 0.279861,0.255556, 0.279861,0.127778, 0.148785,0.127778, 0.152083,0.063889, 0.131481,0.049595, 0.127778,0.239699
61,0.232601, 0.284058,0.102630, 0.163504,0.142029, 0.215677,0.102630, 0.232601,0.137862, 0.179529,0.074834, 0.132042,0.414824
