No.,tL,tR
true,0.862069,1.190476
0,0.904427,1.118159
1,0.909300,1.110801
2,0.926573,1.086065
3,0.895955,1.131386
4,0.906178,1.115493
5,0.890369,1.140419
6,0.934402,1.075502
7,0.916219,1.100645
8,0.923123,1.090844
9,0.894110,1.134339
10,0.967165,1.035142
11,0.876006,1.164886
12,0.919507,1.095937
13,0.953451,1.051328
14,0.925837,1.087077
15,0.938834,1.069691
16,0.938813,1.069719
17,0.889343,1.142105
18,0.906294,1.115317
19,0.917505,1.098796
20,0.893336,1.135589
21,0.927452,1.084862
22,0.888214,1.143974
23,0.888906,1.142827
24,0.922052,1.092342
25,0.903324,1.119850
26,0.865573,1.183858
27,0.925838,1.087078
28,0.938129,1.070606
29,0.872549,1.171052
30,0.889966,1.141082
31,0.934960,1.074766
32,0.892562,1.136842
33,0.901269,1.123020
34,0.920740,1.094189
35,0.943981,1.063084
36,0.926049,1.086786
37,0.928153,1.083905
38,0.913668,1.104350
39,0.881001,1.156164
40,0.892685,1.136643
41,0.944882,1.061945
42,0.955350,1.049028
43,0.878152,1.161108
44,0.886815,1.146301
45,0.896458,1.130585
46,0.914521,1.103110
47,0.849598,1.215108
48,0.930495,1.080728
49,0.886881,1.146191
50,0.892993,1.136142
51,0.890429,1.140322
52,0.860305,1.193857
53,0.907754,1.113117
54,0.956024,1.048217
55,0.907543,1.113432
56,0.916423,1.100350
57,0.889840,1.141291
58,0.905925,1.115875
59,0.960001,1.043476
60,0.928126,1.083944
61,0.902375,1.121309
62,0.904204,1.118501
63,0.942305,1.065219
64,0.903787,1.119139
65,0.925958,1.086913
66,0.900793,1.123763
67,0.898681,1.127069
68,0.887681,1.144860
69,0.896744,1.130127
70,0.893687,1.135021
71,0.889065,1.142563
72,0.895991,1.131329
73,0.923691,1.090051
74,0.937753,1.071098
75,0.869664,1.176291
76,0.944055,1.062993
77,0.878696,1.160161
78,0.949868,1.055719
79,0.927502,1.084793
80,0.909560,1.110410
81,0.920274,1.094850
82,0.924090,1.089499
83,0.831405,1.254362
84,0.921230,1.093500
85,0.867167,1.180887
86,0.896664,1.130256
87,0.923691,1.090051
88,0.961174,1.042097
89,0.881925,1.154580
90,0.876085,1.164744
91,0.868897,1.177695
92,0.933465,1.076746
93,0.922763,1.091346
94,0.943903,1.063187
95,0.897546,1.128858
96,0.872295,1.171512
97,0.891760,1.138145
98,0.873297,1.169706
99,0.935313,1.074297
100,0.920930,1.093922
101,0.899268,1.126148
102,0.906318,1.115279
103,0.917020,1.099492
104,0.873365,1.169587
105,0.921094,1.093693
106,0.882999,1.152743
107,0.918636,1.097177
108,0.929944,1.081472
109,0.893305,1.135636
110,0.908922,1.111364
111,0.923232,1.090692
112,0.903789,1.119137
113,0.925202,1.087958
114,0.898983,1.126594
115,0.926500,1.086167
116,0.936484,1.072759
117,0.864377,1.186103
118,0.916578,1.100128
119,0.916822,1.099775
120,0.907270,1.113844
121,0.898817,1.126855
122,0.957446,1.046512
123,0.928733,1.083114
124,0.915552,1.101608
125,0.981818,1.018867
126,0.899130,1.126362
127,0.891863,1.137979
128,0.862472,1.189710
129,0.892841,1.136389
130,0.888523,1.143462
131,0.910215,1.109437
132,0.877325,1.162558
133,0.903448,1.119657
134,0.880508,1.157016
135,0.903026,1.120306
136,0.904730,1.117698
137,0.905504,1.116515
138,0.913526,1.104559
139,0.953452,1.051329
140,0.911006,1.108265
141,0.894266,1.134088
142,0.940307,1.067785
143,0.918675,1.097120
144,0.902918,1.120473
145,0.879383,1.158962
146,0.876712,1.163638
147,0.930402,1.080851
148,0.963565,1.039300
149,0.925169,1.088002
150,0.927078,1.085376
151,0.871593,1.172780
152,0.929746,1.081738
153,0.909397,1.110657
154,0.948117,1.057889
155,0.943965,1.063106
156,0.900630,1.124017
157,0.926563,1.086078
158,0.888423,1.143627
159,0.919507,1.095937
160,0.928223,1.083806
161,0.857772,1.198769
162,0.899919,1.125125
163,0.903694,1.119282
164,0.889570,1.141732
165,0.901808,1.122185
166,0.906594,1.114863
167,0.926714,1.085873
168,0.931001,1.080047
169,0.939287,1.069104
170,0.884573,1.150072
171,0.921568,1.093024
172,0.916857,1.099725
173,0.847228,1.219988
174,0.911322,1.107794
175,0.911699,1.107241
176,0.940767,1.067194
177,0.890242,1.140628
178,0.913472,1.104637
179,0.958175,1.045644
180,0.916207,1.100662
181,0.903805,1.119109
182,0.917169,1.099276
183,0.929905,1.081523
184,0.895409,1.132257
185,0.936540,1.072685
186,0.917209,1.099219
187,0.914228,1.103532
188,0.912354,1.106274
189,0.921573,1.093017
190,0.905983,1.115789
191,0.901599,1.122513
192,0.958175,1.045644
193,0.900302,1.124528
194,0.911326,1.107793
195,0.862583,1.189498
196,0.896860,1.129946
197,0.967384,1.034892
198,0.914450,1.103208
199,0.901639,1.122448
200,0.949783,1.055825
201,0.880148,1.157638
202,0.875621,1.165562
203,0.915611,1.101523
204,0.944574,1.062336
205,0.892194,1.137440
206,0.888584,1.143360
207,0.899268,1.126148
208,0.851291,1.211662
209,0.875644,1.165527
210,0.901026,1.123400
211,0.922182,1.092161
212,0.911638,1.107330
213,0.895371,1.132316
214,0.927613,1.084641
215,0.929127,1.082578
216,0.889645,1.141610
217,0.915909,1.101091
218,0.902380,1.121304
219,0.887348,1.145415
220,0.875095,1.166499
221,0.920805,1.094098
222,0.923238,1.090684
223,0.917753,1.098439
224,0.860352,1.193768
225,0.877101,1.162953
226,0.919345,1.096168
227,0.903052,1.120266
228,0.887831,1.144611
229,0.938834,1.069691
230,0.897304,1.129242
231,0.908755,1.111613
232,0.914810,1.102684
233,0.914481,1.103165
234,0.947326,1.058878
235,0.868310,1.178775
236,0.881739,1.154894
237,0.934016,1.076013
238,0.991305,1.008850
239,0.894486,1.133738
240,0.928620,1.083268
241,0.910986,1.108295
242,0.962060,1.041053
243,0.872614,1.170934
244,0.895056,1.132824
245,0.919488,1.095965
246,0.897101,1.129563
247,0.926800,1.085753
248,0.937738,1.071116
249,0.867851,1.179624
250,0.920687,1.094267
251,0.866262,1.182573
252,0.895472,1.132155
253,0.898378,1.127544
254,0.922763,1.091346
255,0.973960,1.027468
256,0.915822,1.101221
257,0.901742,1.122292
258,0.868040,1.179272
259,0.917321,1.099059
260,0.906442,1.115097
261,0.903849,1.119044
262,0.905800,1.116069
263,0.879793,1.158253
264,0.910783,1.108592
265,0.883665,1.151609
266,0.908864,1.111451
