ó^Ç¶ÇΩèdóvìx,0.200000,0.260000,0.150000,0.250000,0.110000,0.250000,0.080000,0.220000,0.080000,0.180000,0.080000,0.140000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],ãÊä‘ïùÇÃëçòa
1,0.212665, 0.256740,0.198555, 0.239634,0.118252, 0.271056,0.103357, 0.212665,0.077127, 0.118252,0.079878, 0.111819,0.420333
2,0.157715, 0.257223,0.145707, 0.220515,0.110257, 0.186955,0.128611, 0.241612,0.149571, 0.169269,0.082014, 0.150551,0.452249
3,0.187440, 0.308644,0.188067, 0.248202,0.154322, 0.215554,0.123206, 0.211396,0.069496, 0.102594,0.093557, 0.097521,0.367823
4,0.161568, 0.252035,0.252035, 0.331700,0.118486, 0.193614,0.089060, 0.177441,0.070481, 0.122258,0.084166, 0.147155,0.448405
5,0.191449, 0.202993,0.151851, 0.267588,0.133794, 0.278389,0.094967, 0.161688,0.128610, 0.191449,0.095725, 0.101497,0.407208
6,0.195894, 0.319537,0.132397, 0.268175,0.131892, 0.219456,0.079019, 0.132397,0.106223, 0.193853,0.088938, 0.132217,0.531273
7,0.220886, 0.274687,0.197809, 0.241161,0.120581, 0.181223,0.110257, 0.136237,0.129609, 0.220514,0.056593, 0.110443,0.328530
8,0.163370, 0.291063,0.207692, 0.299382,0.126789, 0.225630,0.097796, 0.168096,0.090636, 0.126789,0.096158, 0.106599,0.435118
9,0.187561, 0.245822,0.172635, 0.283976,0.127042, 0.191053,0.126691, 0.195326,0.093782, 0.128872,0.072679, 0.174562,0.439222
10,0.206255, 0.326769,0.162777, 0.260271,0.128891, 0.206892,0.108923, 0.183259,0.086757, 0.145147,0.068964, 0.115094,0.474865
11,0.211848, 0.331722,0.223541, 0.230860,0.107687, 0.134107,0.110574, 0.256174,0.067053, 0.113826,0.100837, 0.111770,0.356919
12,0.167248, 0.240208,0.134839, 0.315662,0.110003, 0.227077,0.105221, 0.275839,0.109631, 0.167248,0.071579, 0.075447,0.602959
13,0.163639, 0.222283,0.172674, 0.228777,0.114260, 0.171941,0.218298, 0.229819,0.114479, 0.173394,0.074094, 0.116341,0.285111
14,0.193576, 0.194224,0.193576, 0.194224,0.154143, 0.257645,0.128255, 0.265709,0.081141, 0.163194,0.077524, 0.096788,0.343568
15,0.188198, 0.238652,0.166098, 0.241523,0.120762, 0.226656,0.163352, 0.188198,0.071256, 0.106962,0.106962, 0.181382,0.366746
16,0.195012, 0.257837,0.128919, 0.228738,0.210537, 0.236467,0.115976, 0.205730,0.092012, 0.105269,0.105269, 0.118234,0.304550
17,0.241666, 0.285035,0.176242, 0.270721,0.106700, 0.176242,0.121774, 0.194365,0.092964, 0.113512,0.097183, 0.123595,0.326942
18,0.155682, 0.330696,0.167676, 0.275200,0.102731, 0.244494,0.095298, 0.157988,0.081498, 0.124276,0.096784, 0.167676,0.600661
19,0.226466, 0.346164,0.120779, 0.238938,0.167718, 0.220517,0.110259, 0.120779,0.110259, 0.120779,0.104108, 0.113233,0.320822
20,0.175246, 0.236718,0.236718, 0.311425,0.126520, 0.209456,0.077577, 0.192783,0.060705, 0.157743,0.086926, 0.128185,0.472620
21,0.173620, 0.306463,0.164839, 0.179754,0.147931, 0.233595,0.107552, 0.213283,0.075130, 0.098155,0.084574, 0.215103,0.492708
22,0.191208, 0.293869,0.226477, 0.255587,0.088102, 0.201605,0.097956, 0.210683,0.100802, 0.117207,0.103175, 0.113328,0.384556
23,0.244391, 0.269352,0.119666, 0.277423,0.103911, 0.244391,0.092474, 0.228911,0.067151, 0.106885,0.108872, 0.136571,0.527068
24,0.167902, 0.261612,0.255772, 0.258317,0.084188, 0.202369,0.115357, 0.168377,0.080368, 0.174026,0.070977, 0.160736,0.450871
25,0.181388, 0.262826,0.220894, 0.263744,0.130128, 0.249978,0.071950, 0.184223,0.105011, 0.147740,0.070136, 0.111983,0.440987
26,0.184071, 0.248861,0.117978, 0.258995,0.144949, 0.210196,0.082954, 0.160936,0.129497, 0.234482,0.099727, 0.127352,0.481648
27,0.259595, 0.271571,0.128469, 0.262581,0.110222, 0.242152,0.076484, 0.150977,0.080541, 0.152969,0.080717, 0.183722,0.527943
28,0.190386, 0.243055,0.170944, 0.218449,0.074263, 0.190386,0.176108, 0.217347,0.072816, 0.165972,0.104163, 0.176108,0.422636
29,0.285105, 0.336192,0.143382, 0.160799,0.117855, 0.228199,0.076066, 0.157913,0.112064, 0.175506,0.076863, 0.130055,0.377329
30,0.168761, 0.365404,0.149895, 0.204671,0.131521, 0.186185,0.078066, 0.131521,0.102335, 0.187208,0.121155, 0.173276,0.496532
31,0.252419, 0.295708,0.133226, 0.270168,0.132705, 0.254265,0.062908, 0.146096,0.105252, 0.136976,0.071859, 0.138418,0.483262
32,0.214112, 0.257214,0.188385, 0.231766,0.155033, 0.223836,0.125620, 0.188385,0.069374, 0.092966,0.092966, 0.160343,0.309020
33,0.177333, 0.274409,0.117792, 0.234264,0.227176, 0.264602,0.076076, 0.117792,0.079305, 0.177333,0.085253, 0.168667,0.474133
34,0.247445, 0.263159,0.116133, 0.123723,0.148816, 0.266237,0.110599, 0.297632,0.092378, 0.135903,0.065337, 0.132638,0.438584
35,0.252243, 0.303706,0.166063, 0.274040,0.120547, 0.218153,0.095190, 0.166281,0.072718, 0.132077,0.098632, 0.100352,0.389216
36,0.181279, 0.257075,0.107408, 0.222790,0.187819, 0.214815,0.161561, 0.188557,0.084708, 0.192671,0.093910, 0.107408,0.366631
37,0.207268, 0.309792,0.216021, 0.265956,0.127740, 0.275532,0.081498, 0.103634,0.084492, 0.130018,0.087796, 0.110253,0.390369
38,0.146322, 0.250319,0.250319, 0.279914,0.131954, 0.213334,0.128101, 0.153161,0.117157, 0.131954,0.069363, 0.128101,0.313568
39,0.198089, 0.329512,0.149904, 0.198494,0.150134, 0.232904,0.076719, 0.163790,0.112566, 0.202584,0.072737, 0.112566,0.479701
40,0.206995, 0.290510,0.118898, 0.206995,0.117185, 0.253061,0.097102, 0.156341,0.120038, 0.166897,0.071773, 0.194205,0.536017
41,0.209609, 0.221738,0.133595, 0.221839,0.173588, 0.292242,0.089729, 0.183088,0.083796, 0.180103,0.077078, 0.133595,0.465211
42,0.195712, 0.233954,0.166578, 0.221539,0.159315, 0.195712,0.091524, 0.166578,0.142031, 0.221455,0.063571, 0.142031,0.362538
43,0.228398, 0.301908,0.196375, 0.267756,0.126179, 0.171324,0.115445, 0.126179,0.053051, 0.120716,0.096292, 0.196375,0.368520
44,0.146708, 0.202669,0.177343, 0.355202,0.177601, 0.240193,0.108662, 0.151830,0.074417, 0.148869,0.065240, 0.151266,0.500058
45,0.179100, 0.327514,0.122760, 0.244876,0.107852, 0.179100,0.110324, 0.182861,0.083701, 0.209063,0.103297, 0.149552,0.585931
46,0.196126, 0.308195,0.185083, 0.307597,0.152559, 0.206309,0.102386, 0.204433,0.060662, 0.118673,0.055666, 0.102311,0.495036
47,0.201645, 0.237151,0.209338, 0.228303,0.091657, 0.201645,0.079826, 0.188696,0.090981, 0.209727,0.092533, 0.168499,0.468039
48,0.129061, 0.319053,0.153000, 0.237096,0.084731, 0.140980,0.145630, 0.306000,0.102280, 0.181119,0.095742, 0.105309,0.579114
49,0.147749, 0.317267,0.157580, 0.233429,0.158628, 0.159209,0.077810, 0.148765,0.158628, 0.159209,0.123097, 0.158628,0.353015
50,0.160660, 0.245017,0.172985, 0.317296,0.124672, 0.198404,0.114227, 0.174517,0.094373, 0.161618,0.102010, 0.134220,0.462145
51,0.168214, 0.306284,0.153142, 0.358617,0.167355, 0.206937,0.103469, 0.183053,0.083043, 0.112951,0.056475, 0.100461,0.536604
52,0.259809, 0.276102,0.133491, 0.212652,0.089127, 0.242258,0.064341, 0.186684,0.104640, 0.149741,0.121129, 0.160026,0.454927
53,0.151719, 0.238771,0.147006, 0.230212,0.119385, 0.228739,0.089156, 0.296653,0.072885, 0.153088,0.094072, 0.178313,0.651552
54,0.179763, 0.334529,0.171457, 0.297612,0.104662, 0.172148,0.098268, 0.168842,0.078822, 0.180368,0.093354, 0.120174,0.547347
55,0.209933, 0.277483,0.238085, 0.242842,0.197878, 0.255718,0.088045, 0.137492,0.067608, 0.098939,0.078546, 0.107431,0.239811
56,0.231234, 0.250626,0.217911, 0.254342,0.119152, 0.234239,0.084781, 0.207820,0.098629, 0.119152,0.066497, 0.115617,0.363592
57,0.200655, 0.319924,0.158747, 0.285660,0.089112, 0.158747,0.154799, 0.257545,0.089907, 0.096042,0.082027, 0.106837,0.449507
58,0.202951, 0.238212,0.143484, 0.247206,0.078739, 0.228226,0.113866, 0.212909,0.076177, 0.181957,0.118156, 0.158118,0.533254
59,0.187387, 0.234937,0.195321, 0.283435,0.089966, 0.196792,0.079209, 0.146879,0.139503, 0.218806,0.069348, 0.158418,0.478534
60,0.225989, 0.254726,0.254726, 0.255751,0.110055, 0.205868,0.126594, 0.143525,0.069667, 0.116627,0.068623, 0.167847,0.288691
61,0.204947, 0.333049,0.101526, 0.146172,0.153219, 0.248499,0.115782, 0.204947,0.140207, 0.169494,0.080631, 0.101526,0.407376
62,0.216834, 0.314107,0.129906, 0.228591,0.114295, 0.157864,0.087668, 0.234812,0.104702, 0.198284,0.073270, 0.139666,0.546648
63,0.151648, 0.204403,0.157207, 0.350943,0.143983, 0.171690,0.125812, 0.151648,0.116981, 0.185233,0.080688, 0.159762,0.447361
64,0.224196, 0.272069,0.194022, 0.241010,0.103677, 0.227775,0.113888, 0.241424,0.080671, 0.097011,0.090320, 0.113935,0.386451
65,0.212545, 0.272029,0.157221, 0.261668,0.160379, 0.314443,0.089574, 0.106272,0.083847, 0.091851,0.081305, 0.168866,0.430257
66,0.197365, 0.282402,0.138000, 0.217138,0.190956, 0.198551,0.111293, 0.240272,0.089574, 0.120578,0.075871, 0.138000,0.393883
67,0.157985, 0.284145,0.185411, 0.239980,0.142045, 0.209085,0.094715, 0.210446,0.074651, 0.176889,0.082603, 0.142045,0.525181
68,0.144926, 0.284601,0.239629, 0.325496,0.094742, 0.156142,0.100488, 0.199480,0.108499, 0.116940,0.094867, 0.134190,0.433699
69,0.221015, 0.364501,0.182251, 0.336701,0.113641, 0.150295,0.075029, 0.122210,0.092896, 0.141883,0.070941, 0.128636,0.488453
70,0.227525, 0.287948,0.141183, 0.250641,0.122939, 0.213494,0.067255, 0.227525,0.105032, 0.143361,0.067247, 0.145851,0.537639
71,0.175370, 0.217512,0.174186, 0.279099,0.115535, 0.250176,0.083392, 0.197075,0.086412, 0.174186,0.108756, 0.138301,0.512699
72,0.172494, 0.368361,0.148601, 0.285634,0.117101, 0.121335,0.108571, 0.172494,0.082176, 0.170572,0.080876, 0.171784,0.580362
73,0.139654, 0.336549,0.179131, 0.286353,0.139824, 0.206502,0.074582, 0.139654,0.092229, 0.145267,0.067734, 0.192521,0.613693
74,0.144564, 0.261558,0.198409, 0.301376,0.150688, 0.200555,0.084037, 0.144564,0.093010, 0.102793,0.125756, 0.192689,0.407072
75,0.267111, 0.277879,0.136755, 0.168046,0.167743, 0.302948,0.078208, 0.139734,0.110335, 0.167743,0.066567, 0.116931,0.346562
76,0.188158, 0.335821,0.114917, 0.244539,0.107664, 0.207067,0.104201, 0.240884,0.117720, 0.156261,0.070956, 0.111811,0.592765
77,0.236404, 0.249241,0.245402, 0.274047,0.118381, 0.200298,0.077148, 0.131301,0.094286, 0.122701,0.096496, 0.154295,0.263766
78,0.187284, 0.383999,0.154867, 0.233512,0.095124, 0.203374,0.121563, 0.159704,0.102490, 0.195243,0.064870, 0.097968,0.547602
