ó^Ç¶ÇΩèdóvìx,0.200000,0.260000,0.150000,0.250000,0.110000,0.250000,0.080000,0.220000,0.080000,0.180000,0.080000,0.140000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],ãÊä‘ïùÇÃëçòa
1,0.134498, 0.313829,0.134498, 0.345212,0.059179, 0.177538,0.067249, 0.219182,0.044833, 0.229574,0.044833, 0.229574,1.029820
2,0.121884, 0.243767,0.121884, 0.304709,0.060942, 0.199446,0.060942, 0.199446,0.121884, 0.304709,0.060942, 0.199446,0.903047
3,0.172259, 0.306239,0.123042, 0.266592,0.095700, 0.233268,0.086130, 0.223299,0.033776, 0.189485,0.050664, 0.219546,0.876857
4,0.101724, 0.261576,0.144412, 0.346588,0.061616, 0.231059,0.059246, 0.222172,0.038510, 0.235774,0.050862, 0.246463,1.087262
5,0.131004, 0.327511,0.131004, 0.262009,0.065502, 0.192140,0.065502, 0.216157,0.065502, 0.216157,0.065502, 0.262009,0.951965
6,0.130350, 0.325874,0.065175, 0.260699,0.083796, 0.279321,0.047400, 0.223457,0.047400, 0.219965,0.055864, 0.260699,1.140031
7,0.177393, 0.310438,0.123542, 0.267673,0.088696, 0.240220,0.061771, 0.256234,0.096088, 0.207550,0.032029, 0.138367,0.840962
8,0.114367, 0.294085,0.144215, 0.336502,0.066659, 0.233308,0.052078, 0.201127,0.048072, 0.201127,0.048072, 0.260388,1.053076
9,0.095832, 0.287495,0.117947, 0.276847,0.076665, 0.255551,0.076665, 0.255551,0.047916, 0.255551,0.039316, 0.214663,1.091319
10,0.139081, 0.313458,0.110632, 0.260776,0.090145, 0.247899,0.060097, 0.218428,0.046360, 0.254981,0.036877, 0.221265,1.033615
11,0.167127, 0.282028,0.167127, 0.320328,0.083564, 0.222837,0.055709, 0.176959,0.041782, 0.162212,0.083564, 0.236764,0.802253
12,0.103703, 0.347249,0.103703, 0.291076,0.061279, 0.247159,0.034568, 0.209194,0.061279, 0.247159,0.040853, 0.252777,1.189229
13,0.094665, 0.236663,0.126220, 0.283996,0.070999, 0.198797,0.141998, 0.307662,0.079874, 0.198797,0.047333, 0.212997,0.877823
14,0.138422, 0.299913,0.138422, 0.299913,0.138422, 0.246083,0.069211, 0.171297,0.046141, 0.152264,0.069211, 0.230703,0.800346
15,0.132026, 0.286057,0.132026, 0.256051,0.066013, 0.184837,0.132026, 0.312062,0.044009, 0.198040,0.072014, 0.184837,0.843769
16,0.146759, 0.269058,0.073380, 0.179372,0.146759, 0.293518,0.080717, 0.179372,0.073380, 0.242152,0.073380, 0.242152,0.811252
17,0.174172, 0.348343,0.118753, 0.237507,0.087086, 0.209006,0.087086, 0.225778,0.051227, 0.204908,0.051227, 0.204908,0.860899
18,0.087730, 0.292432,0.087730, 0.321675,0.078957, 0.263189,0.042298, 0.232226,0.028199, 0.267889,0.052638, 0.245038,1.244898
19,0.140602, 0.286412,0.070301, 0.210903,0.096664, 0.257771,0.064443, 0.246054,0.064443, 0.246054,0.070301, 0.246054,0.986493
20,0.113923, 0.284806,0.138088, 0.333713,0.078567, 0.239097,0.031645, 0.175266,0.037974, 0.235702,0.056961, 0.274258,1.085683
21,0.130969, 0.283766,0.110820, 0.323225,0.067531, 0.240110,0.055410, 0.240110,0.036940, 0.247613,0.055410, 0.208095,1.085840
22,0.124649, 0.280459,0.162043, 0.351094,0.047660, 0.190639,0.054014, 0.186973,0.062324, 0.270072,0.047660, 0.222412,1.003300
23,0.127422, 0.361028,0.076453, 0.276081,0.074588, 0.251736,0.033979, 0.196925,0.033979, 0.228018,0.050969, 0.288823,1.205220
24,0.093032, 0.265805,0.171751, 0.400753,0.042938, 0.204305,0.062021, 0.279096,0.031011, 0.204305,0.046516, 0.198468,1.105463
25,0.103426, 0.284421,0.155139, 0.374919,0.077569, 0.226244,0.038785, 0.186167,0.046542, 0.258565,0.031028, 0.217195,1.095023
26,0.128272, 0.320679,0.085514, 0.263873,0.085514, 0.285048,0.043979, 0.192407,0.064136, 0.233221,0.064136, 0.233221,1.056899
27,0.179057, 0.415189,0.089529, 0.251800,0.054234, 0.216935,0.044764, 0.243406,0.036156, 0.222644,0.031335, 0.214951,1.129850
28,0.124748, 0.270288,0.124748, 0.328882,0.034022, 0.154860,0.124748, 0.328882,0.041583, 0.187122,0.068045, 0.212072,0.964211
29,0.228188, 0.361297,0.114094, 0.285235,0.084069, 0.204919,0.038031, 0.147121,0.076063, 0.219631,0.057047, 0.184306,0.805016
30,0.105167, 0.276063,0.088340, 0.265020,0.066924, 0.267697,0.049078, 0.264265,0.049078, 0.229030,0.058893, 0.280445,1.165040
31,0.144645, 0.361613,0.085085, 0.241075,0.062889, 0.225421,0.036161, 0.241075,0.062889, 0.283002,0.030134, 0.226008,1.156390
32,0.158953, 0.282583,0.129517, 0.291414,0.097138, 0.226655,0.081960, 0.203990,0.052984, 0.218561,0.075366, 0.180878,0.808162
33,0.099585, 0.323651,0.066390, 0.232365,0.132780, 0.376210,0.044260, 0.224066,0.033195, 0.199170,0.044260, 0.224066,1.159059
