ó^Ç¶ÇΩèdóvìx,0.145000,0.215000,0.130000,0.210000,0.115000,0.205000,0.090000,0.190000,0.075000,0.185000,0.060000,0.180000,0.035000,0.165000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],wL[6],wR[6],ãÊä‘ïùÇÃëçòa
1,0.101011, 0.205757,0.180043, 0.225098,0.180043, 0.228853,0.050963, 0.139520,0.075115, 0.132879,0.090022, 0.172957,0.034591, 0.183149,0.576425
2,0.157832, 0.202945,0.165351, 0.211331,0.091519, 0.191881,0.097424, 0.199400,0.086435, 0.182322,0.086435, 0.183038,0.041499, 0.102589,0.547013
3,0.126929, 0.245395,0.122697, 0.252339,0.106824, 0.190024,0.072691, 0.193222,0.072691, 0.176190,0.068911, 0.160046,0.038088, 0.173953,0.782337
4,0.160181, 0.205236,0.153578, 0.203238,0.160181, 0.203038,0.080090, 0.117948,0.056117, 0.173845,0.101619, 0.185181,0.034893, 0.164856,0.506683
5,0.147581, 0.181347,0.141164, 0.182340,0.157970, 0.204909,0.078985, 0.175053,0.078985, 0.186542,0.090674, 0.186542,0.030615, 0.157293,0.548052
6,0.154622, 0.223016,0.154622, 0.200654,0.086835, 0.188810,0.077311, 0.188810,0.063001, 0.149478,0.099603, 0.188353,0.047486, 0.177397,0.633037
7,0.144673, 0.189345,0.152610, 0.192746,0.152610, 0.192746,0.076305, 0.165919,0.144673, 0.183562,0.054271, 0.166896,0.030522, 0.153122,0.488670
8,0.190414, 0.236201,0.142428, 0.216869,0.095207, 0.180126,0.106196, 0.180126,0.071214, 0.201618,0.047603, 0.169343,0.031736, 0.130921,0.630407
9,0.168923, 0.234857,0.160520, 0.227214,0.067994, 0.189277,0.048830, 0.201471,0.062500, 0.131389,0.094699, 0.206738,0.050368, 0.155220,0.692332
10,0.085015, 0.198512,0.092791, 0.181308,0.164677, 0.216942,0.105841, 0.197365,0.093617, 0.206030,0.058652, 0.211683,0.048839, 0.138729,0.701136
11,0.190737, 0.243984,0.108356, 0.226452,0.095369, 0.216711,0.095369, 0.226452,0.067908, 0.152999,0.060874, 0.142988,0.032655, 0.139147,0.697464
12,0.190108, 0.236027,0.124326, 0.205981,0.118612, 0.198680,0.110360, 0.161123,0.095054, 0.154939,0.059306, 0.154402,0.047527, 0.143555,0.509412
13,0.182781, 0.231723,0.198654, 0.251684,0.067340, 0.214945,0.099327, 0.134680,0.051896, 0.141277,0.066218, 0.142854,0.024832, 0.191790,0.617905
