ó^Ç¶ÇΩèdóvìx,0.145000,0.215000,0.130000,0.210000,0.115000,0.205000,0.090000,0.190000,0.075000,0.185000,0.060000,0.180000,0.035000,0.165000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],wL[6],wR[6],ãÊä‘ïùÇÃëçòa
1,0.051221, 0.233568,0.094562, 0.288414,0.094562, 0.312449,0.023640, 0.219137,0.030733, 0.235617,0.047281, 0.209541,0.012293, 0.146982,1.291416
2,0.066776, 0.267106,0.097596, 0.268390,0.048798, 0.226563,0.050750, 0.226563,0.048798, 0.217500,0.048798, 0.187292,0.016694, 0.228375,1.243577
3,0.058993, 0.235970,0.044244, 0.265467,0.044244, 0.265467,0.029496, 0.249851,0.029496, 0.256313,0.031231, 0.260262,0.016592, 0.212373,1.491406
4,0.088214, 0.310445,0.080616, 0.222388,0.088214, 0.297721,0.044107, 0.202892,0.025446, 0.178345,0.049620, 0.226048,0.017643, 0.168303,1.212282
5,0.060629, 0.218265,0.039231, 0.231461,0.095274, 0.314406,0.047637, 0.230857,0.047637, 0.235987,0.047637, 0.235987,0.012126, 0.182865,1.299657
6,0.078360, 0.265863,0.078360, 0.267728,0.041978, 0.231060,0.039180, 0.231060,0.030931, 0.231985,0.046397, 0.236711,0.024487, 0.195899,1.320614
7,0.072447, 0.260807,0.093146, 0.276332,0.093146, 0.276332,0.046573, 0.197277,0.072447, 0.249940,0.031049, 0.168152,0.018629, 0.143725,1.145131
8,0.092819, 0.286191,0.064642, 0.245798,0.046409, 0.259763,0.050277, 0.259763,0.032321, 0.189277,0.023205, 0.218595,0.015470, 0.215472,1.349717
9,0.088131, 0.308459,0.067394, 0.286427,0.027279, 0.225669,0.016849, 0.193641,0.027279, 0.230733,0.044066, 0.252729,0.022033, 0.209312,1.413939
10,0.030301, 0.227257,0.045451, 0.227257,0.084251, 0.294880,0.029274, 0.248827,0.042126, 0.257558,0.028084, 0.197389,0.014637, 0.272708,1.451752
11,0.099705, 0.304099,0.049852, 0.246769,0.049852, 0.199409,0.049852, 0.246769,0.033235, 0.222777,0.024926, 0.235018,0.016617, 0.221119,1.351920
12,0.096995, 0.266735,0.071470, 0.226321,0.054317, 0.203689,0.061724, 0.257183,0.048497, 0.242487,0.027158, 0.214409,0.024249, 0.204767,1.231180
13,0.067455, 0.275442,0.110381, 0.335743,0.027595, 0.197040,0.055191, 0.205432,0.027595, 0.236093,0.036794, 0.241890,0.013798, 0.169550,1.322381
14,0.092878, 0.291733,0.092878, 0.270895,0.050011, 0.207686,0.092878, 0.241721,0.046439, 0.182854,0.030959, 0.176469,0.023220, 0.199379,1.141472
15,0.093326, 0.272200,0.093326, 0.263126,0.051575, 0.234772,0.056972, 0.234772,0.025787, 0.182061,0.031109, 0.240682,0.037981, 0.182311,1.219849
16,0.108184, 0.324552,0.061072, 0.244287,0.030051, 0.200341,0.054092, 0.197211,0.030051, 0.220375,0.036061, 0.216368,0.036061, 0.241293,1.288854
17,0.055180, 0.270153,0.036787, 0.199261,0.055180, 0.294294,0.055180, 0.306556,0.018393, 0.217995,0.022992, 0.228796,0.017244, 0.221989,1.478088
