No.,tL,tR
true,0.819672,1.282051
0,0.700368,1.747705
1,0.709166,1.695228
2,0.659338,2.068993
3,0.722590,1.623137
4,0.698961,1.756534
5,0.685283,1.849294
6,0.722436,1.623912
7,0.684226,1.857021
8,0.672657,1.947955
9,0.681289,1.879011
10,0.682190,1.872200
11,0.704160,1.724527
12,0.696462,1.772512
13,0.728926,1.592058
14,0.714107,1.667642
15,0.700251,1.748435
16,0.672193,1.951859
17,0.705679,1.715484
18,0.693353,1.792976
19,0.758047,1.468817
20,0.695056,1.781690
21,0.717684,1.648454
22,0.688154,1.828702
23,0.663579,2.028311
24,0.726112,1.605647
25,0.707185,1.706651
26,0.694007,1.788611
27,0.705059,1.719164
28,0.706936,1.708102
29,0.700082,1.749484
30,0.674703,1.931009
31,0.707333,1.705792
32,0.704462,1.722727
33,0.700522,1.746740
34,0.685631,1.846760
35,0.692762,1.796942
36,0.711872,1.679955
37,0.672961,1.945416
38,0.669626,1.973831
39,0.721794,1.627167
40,0.690646,1.811328
41,0.724636,1.612914
42,0.701687,1.739542
43,0.695187,1.780820
44,0.680956,1.881560
45,0.670986,1.962108
46,0.692854,1.796319
47,0.671074,1.961353
48,0.687691,1.831978
49,0.679481,1.892903
50,0.693045,1.795032
51,0.708993,1.696212
52,0.702066,1.737221
53,0.717194,1.651045
54,0.703187,1.730391
55,0.692923,1.795851
56,0.685351,1.848801
57,0.738805,1.546879
58,0.683956,1.859019
59,0.662538,2.038100
60,0.700646,1.745975
61,0.664383,2.020843
62,0.689950,1.816138
63,0.707127,1.706986
64,0.667608,1.991580
65,0.691194,1.807576
66,0.694878,1.782862
67,0.676638,1.915324
68,0.734588,1.565697
69,0.720703,1.632749
70,0.712570,1.676083
71,0.677016,1.912302
72,0.720527,1.633648
73,0.748271,1.506964
74,0.703058,1.731179
75,0.681210,1.879618
76,0.715444,1.660401
77,0.716583,1.654287
78,0.657369,2.088629
79,0.681242,1.879371
80,0.691287,1.806936
81,0.695314,1.779996
82,0.741586,1.534830
83,0.709065,1.695803
84,0.717186,1.651086
85,0.711237,1.683505
86,0.687141,1.835883
87,0.705389,1.717204
88,0.733809,1.569248
89,0.698564,1.759043
90,0.734183,1.567541
91,0.690200,1.814411
92,0.716573,1.654347
93,0.699645,1.752228
94,0.667241,1.994849
95,0.678954,1.897004
96,0.704348,1.723404
97,0.713462,1.671159
98,0.694686,1.784118
99,0.757234,1.471874
100,0.718815,1.642522
101,0.722811,1.622028
102,0.732312,1.576139
103,0.695327,1.779901
104,0.696764,1.770563
105,0.726090,1.605758
106,0.714128,1.667528
107,0.690328,1.813516
108,0.693201,1.793979
109,0.670678,1.964741
110,0.700741,1.745390
111,0.727738,1.597750
112,0.702507,1.734527
113,0.665986,2.006155
114,0.694434,1.785778
115,0.657938,2.082899
116,0.672204,1.951760
117,0.696321,1.773430
118,0.668254,1.985849
119,0.696115,1.774768
120,0.687532,1.833110
121,0.738262,1.549261
122,0.683579,1.861806
123,0.704125,1.724742
124,0.677999,1.904504
125,0.748031,1.507941
126,0.686254,1.842255
127,0.727738,1.597745
128,0.703103,1.730897
129,0.703266,1.729915
130,0.709891,1.691092
131,0.693478,1.792137
132,0.721304,1.629668
133,0.729555,1.589067
134,0.663803,2.026227
135,0.693437,1.792413
136,0.735962,1.559488
137,0.693058,1.794952
138,0.687159,1.835775
139,0.666907,1.997842
140,0.725659,1.607864
141,0.731512,1.579856
142,0.706488,1.710726
143,0.670606,1.965359
144,0.683706,1.860870
145,0.703298,1.729721
146,0.686635,1.839517
147,0.712024,1.679117
148,0.678702,1.898975
149,0.703358,1.729365
150,0.680612,1.884187
151,0.690457,1.812629
152,0.686314,1.841824
153,0.683829,1.859960
154,0.700215,1.748649
155,0.680713,1.883409
156,0.658164,2.080633
157,0.665900,2.006932
158,0.716643,1.653967
159,0.665232,2.013020
160,0.686751,1.838681
161,0.731867,1.578201
162,0.689538,1.818999
163,0.664038,2.024042
164,0.701362,1.741544
165,0.679398,1.893548
166,0.705464,1.716753
167,0.736820,1.555653
168,0.673395,1.941800
169,0.705387,1.717213
170,0.705964,1.713796
171,0.707937,1.702284
172,0.684949,1.851722
173,0.683140,1.865073
174,0.672320,1.950789
175,0.741551,1.534978
176,0.711050,1.684559
177,0.706828,1.708739
178,0.691056,1.808518
179,0.670953,1.962389
180,0.710062,1.690128
181,0.729559,1.589044
182,0.694569,1.784886
183,0.730590,1.584171
184,0.681561,1.876951
185,0.700699,1.745645
186,0.700174,1.748915
187,0.669704,1.973157
188,0.670368,1.967408
189,0.714729,1.664259
190,0.681066,1.880714
191,0.737451,1.552853
192,0.695180,1.780871
193,0.669676,1.973399
194,0.673284,1.942725
195,0.653341,2.130357
196,0.684043,1.858370
197,0.683459,1.862707
198,0.715636,1.659360
199,0.695697,1.777481
200,0.694834,1.783148
201,0.799712,1.334134
202,0.685667,1.846500
203,0.689898,1.816494
204,0.692801,1.796671
205,0.711540,1.681809
206,0.720028,1.636219
207,0.669513,1.974813
208,0.749249,1.503011
209,0.705062,1.719132
210,0.689352,1.820290
211,0.728288,1.595113
212,0.676233,1.918572
213,0.681921,1.874225
214,0.693431,1.792449
215,0.726298,1.604740
216,0.666839,1.998445
217,0.703339,1.729481
218,0.728683,1.593214
219,0.690711,1.810889
220,0.676556,1.915984
221,0.726151,1.605456
222,0.714323,1.666461
223,0.717398,1.649966
224,0.737893,1.550888
225,0.760343,1.460270
226,0.720388,1.634358
227,0.694843,1.783087
228,0.669811,1.972219
229,0.676121,1.919478
230,0.668225,1.986105
231,0.710090,1.689966
232,0.703124,1.730775
233,0.686288,1.842007
234,0.698978,1.756414
235,0.687021,1.836746
236,0.699975,1.750152
237,0.740814,1.538144
238,0.680055,1.888456
239,0.712552,1.676179
240,0.700735,1.745426
241,0.689236,1.821106
242,0.707344,1.705722
243,0.710298,1.688787
244,0.696195,1.774248
245,0.706068,1.713197
246,0.679040,1.896342
247,0.654220,2.121057
248,0.665081,2.014407
249,0.711066,1.684472
250,0.691397,1.806189
251,0.691175,1.807707
252,0.769067,1.429133
253,0.673157,1.943782
254,0.744536,1.522346
255,0.688991,1.822812
256,0.670363,1.967447
257,0.669936,1.971139
258,0.684422,1.855580
259,0.677893,1.905335
260,0.681285,1.879032
261,0.688852,1.823792
262,0.693224,1.793838
263,0.719325,1.639858
264,0.667967,1.988392
265,0.705037,1.719294
266,0.687551,1.832962
267,0.702644,1.733688
268,0.695370,1.779625
269,0.708986,1.696252
270,0.693584,1.791428
271,0.745613,1.517861
272,0.689687,1.817960
273,0.666724,1.999484
274,0.696721,1.770827
275,0.703442,1.728848
276,0.702752,1.733036
277,0.679284,1.894438
278,0.740207,1.540775
279,0.663241,2.031480
280,0.714517,1.665415
281,0.670036,1.970276
282,0.685347,1.848818
283,0.674332,1.934038
284,0.714647,1.664705
285,0.709795,1.691635
286,0.682391,1.870683
287,0.687671,1.832109
288,0.674211,1.935048
289,0.692564,1.798270
290,0.691209,1.807468
291,0.681528,1.877197
292,0.696996,1.769072
293,0.686716,1.838928
294,0.682818,1.867483
295,0.718376,1.644818
296,0.702797,1.732760
297,0.715568,1.659729
298,0.705007,1.719466
299,0.742057,1.532811
300,0.674145,1.935588
301,0.708054,1.701609
302,0.697390,1.766529
303,0.711928,1.679648
304,0.693184,1.794102
305,0.687394,1.834095
306,0.691798,1.803459
307,0.720216,1.635251
308,0.685750,1.845901
309,0.674038,1.936461
310,0.701356,1.741581
311,0.674144,1.935595
312,0.683470,1.862624
313,0.699659,1.752139
314,0.696683,1.771084
315,0.666272,2.003562
316,0.658059,2.081694
317,0.684148,1.857597
318,0.698946,1.756620
319,0.703120,1.730799
320,0.702947,1.731845
321,0.715768,1.658653
322,0.733316,1.571509
323,0.754763,1.481306
324,0.692211,1.800653
325,0.675304,1.926099
326,0.701430,1.741129
327,0.735330,1.562336
328,0.675882,1.921407
329,0.673597,1.940120
