ó^Ç¶ÇΩèdóvìx,0.115000,0.245000,0.110000,0.230000,0.105000,0.215000,0.090000,0.190000,0.085000,0.175000,0.080000,0.160000,0.065000,0.135000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],wL[6],wR[6],ãÊä‘ïùÇÃëçòa
1,0.089249, 0.152741,0.178498, 0.232070,0.081730, 0.201055,0.081730, 0.206276,0.101154, 0.210966,0.048593, 0.183869,0.089249, 0.142821,0.659593
2,0.098872, 0.204237,0.171769, 0.226714,0.096874, 0.197743,0.096874, 0.210231,0.066294, 0.198980,0.085885, 0.138540,0.049436, 0.157552,0.667995
3,0.106432, 0.215628,0.154717, 0.202658,0.154717, 0.212863,0.088724, 0.183288,0.095569, 0.183288,0.064993, 0.175725,0.056348, 0.105050,0.557001
4,0.100948, 0.262211,0.155052, 0.217768,0.131106, 0.193743,0.100948, 0.166820,0.077526, 0.133686,0.068529, 0.121258,0.087404, 0.183003,0.556976
5,0.145604, 0.181319,0.090659, 0.179487,0.089744, 0.190476,0.145604, 0.181319,0.078755, 0.178571,0.090659, 0.190476,0.078755, 0.178571,0.560440
6,0.107784, 0.206991,0.181555, 0.215568,0.103495, 0.202983,0.060386, 0.137509,0.090777, 0.146745,0.103495, 0.202983,0.090777, 0.148950,0.523460
7,0.133745, 0.216761,0.122585, 0.234768,0.122585, 0.267491,0.090523, 0.165442,0.075611, 0.124809,0.053833, 0.157067,0.075611, 0.159170,0.651016
8,0.161420, 0.198050,0.092398, 0.173324,0.151030, 0.184796,0.075515, 0.129028,0.080710, 0.166903,0.161420, 0.198050,0.057775, 0.169583,0.439467
9,0.209577, 0.239509,0.119755, 0.151501,0.119755, 0.151501,0.119755, 0.151501,0.059877, 0.136561,0.119755, 0.151501,0.059877, 0.209577,0.383300
10,0.099583, 0.243214,0.183294, 0.244140,0.097798, 0.159107,0.056594, 0.226736,0.055744, 0.210863,0.056711, 0.144935,0.073929, 0.147351,0.752693
11,0.201271, 0.231884,0.074900, 0.162788,0.110840, 0.162788,0.110840, 0.162788,0.149801, 0.210200,0.074900, 0.136050,0.074900, 0.136050,0.405094
12,0.134455, 0.205317,0.134455, 0.195679,0.096500, 0.278830,0.074880, 0.147940,0.048573, 0.175019,0.067227, 0.193001,0.060502, 0.187620,0.766813
13,0.144554, 0.185907,0.087314, 0.194563,0.152072, 0.204453,0.080798, 0.188703,0.076036, 0.188703,0.076036, 0.181184,0.057528, 0.182148,0.651321
14,0.118988, 0.199502,0.075516, 0.217189,0.118988, 0.170576,0.099071, 0.252629,0.077351, 0.178602,0.080618, 0.180000,0.062873, 0.168096,0.733187
15,0.127061, 0.193685,0.184757, 0.225573,0.075513, 0.163462,0.135989, 0.208566,0.067995, 0.166064,0.092378, 0.163462,0.051291, 0.144203,0.530032
16,0.162648, 0.258366,0.074508, 0.163581,0.074508, 0.158539,0.118979, 0.179742,0.129968, 0.194394,0.073387, 0.158539,0.073387, 0.179454,0.585231
17,0.090398, 0.179517,0.118270, 0.189455,0.083409, 0.240204,0.156987, 0.202622,0.118270, 0.191549,0.056658, 0.153985,0.059135, 0.159540,0.633743
18,0.168958, 0.213176,0.145757, 0.193448,0.096724, 0.196736,0.084479, 0.173535,0.076960, 0.181489,0.094683, 0.181698,0.056319, 0.136037,0.552238
19,0.152848, 0.216113,0.078404, 0.190943,0.073177, 0.193438,0.070904, 0.179456,0.085948, 0.180154,0.055932, 0.186683,0.139861, 0.196138,0.685851
20,0.170345, 0.242977,0.121489, 0.185794,0.080992, 0.184454,0.129551, 0.197805,0.105200, 0.163544,0.073850, 0.136946,0.053995, 0.153059,0.529158
