No.,tL,tR
true,0.819672,1.282051
0,0.847443,1.219543
1,0.854501,1.205216
2,0.900136,1.124787
3,0.941331,1.066470
4,0.862491,1.189670
5,0.900052,1.124919
6,0.878194,1.161034
7,0.924974,1.088272
8,0.931604,1.079236
9,0.859245,1.195903
10,0.892800,1.136454
11,0.846281,1.221959
12,0.843780,1.227208
13,0.859364,1.195675
14,0.885554,1.148417
15,0.883346,1.152153
16,0.855759,1.202724
17,0.864657,1.185574
18,0.868600,1.178242
19,0.895825,1.131590
20,0.845627,1.223324
21,0.930600,1.080586
22,0.900709,1.123895
23,0.885542,1.148438
24,0.852319,1.209585
25,0.873934,1.168570
26,0.878380,1.160711
27,0.854195,1.205828
28,0.860650,1.193192
29,0.875662,1.165492
30,0.984431,1.016068
31,0.873259,1.169775
32,0.873102,1.170060
33,0.863592,1.187581
34,0.852384,1.209453
35,0.900637,1.124006
36,0.877757,1.161803
37,0.867662,1.179973
38,0.870242,1.175233
39,0.868546,1.178343
40,0.919291,1.096246
41,0.850257,1.213762
42,0.873423,1.169481
43,0.895371,1.132319
44,0.850942,1.212371
45,0.916186,1.100694
46,0.934183,1.075796
47,0.882448,1.153686
48,0.911320,1.107799
49,0.914887,1.102574
50,0.908499,1.111998
51,0.885627,1.148294
52,0.931475,1.079407
53,0.900740,1.123847
54,0.871821,1.172367
55,0.920281,1.094839
56,0.865378,1.184221
57,0.864343,1.186165
58,0.864942,1.185038
59,0.866883,1.181414
60,0.847212,1.220021
61,0.891864,1.137975
62,0.874648,1.167290
63,0.907960,1.112805
64,0.892833,1.136402
65,0.903549,1.119506
66,0.881206,1.155811
67,0.856161,1.201927
68,0.909248,1.110878
69,0.860055,1.194339
70,0.913943,1.103949
71,0.841781,1.231462
72,0.861005,1.192511
73,0.867588,1.180109
74,0.841298,1.232499
75,0.876569,1.163888
76,0.918354,1.097579
77,0.925469,1.087585
78,0.866350,1.182410
79,0.824456,1.270522
80,0.847886,1.218629
81,0.898582,1.127222
82,0.869419,1.176736
83,0.866193,1.182699
84,0.922471,1.091754
85,0.817768,1.286736
86,0.850593,1.213075
87,0.904567,1.117945
88,0.899583,1.125651
89,0.846896,1.220678
90,0.885031,1.149297
91,0.857158,1.199972
92,0.873579,1.169201
93,0.873668,1.169041
94,0.878029,1.161326
95,0.876459,1.164085
96,0.857390,1.199520
97,0.903857,1.119031
98,0.880574,1.156903
99,0.852915,1.208388
100,0.926437,1.086252
101,0.887245,1.145586
102,0.872830,1.170546
103,0.837199,1.241402
104,0.809413,1.307983
105,0.943454,1.063757
106,0.887137,1.145768
107,0.900088,1.124866
108,0.859842,1.194752
109,0.894215,1.134171
110,0.863415,1.187921
111,0.853095,1.208024
112,0.822039,1.276305
113,0.881768,1.154846
114,0.892079,1.137628
115,0.897724,1.128575
116,0.843566,1.227661
117,0.912749,1.105694
118,0.931424,1.079478
119,0.887248,1.145582
120,0.857531,1.199238
121,0.931682,1.079130
122,0.870757,1.174295
123,0.933709,1.076424
124,0.852610,1.209000
125,0.865452,1.184084
126,0.914470,1.103180
127,0.893899,1.134680
128,0.836482,1.242982
129,0.845790,1.222980
130,0.908912,1.111380
131,0.862959,1.188785
132,0.892992,1.136147
133,0.860522,1.193438
134,0.959286,1.044322
135,0.875727,1.165373
136,0.883790,1.151403
137,0.887483,1.145191
138,0.821577,1.277418
139,0.890158,1.140766
140,0.910909,1.108405
141,0.911901,1.106940
142,0.828588,1.260832
143,0.860109,1.194235
144,0.886395,1.147007
145,0.916469,1.100284
146,0.893877,1.134712
147,0.850502,1.213264
148,0.908251,1.112369
149,0.869082,1.177354
150,0.875549,1.165690
151,0.904471,1.118089
152,0.905971,1.115810
153,0.836902,1.242054
154,0.864885,1.185144
155,0.867463,1.180342
156,0.860677,1.193141
157,0.818042,1.286061
158,0.865351,1.184274
159,0.884807,1.149676
160,0.889996,1.141031
161,0.862564,1.189530
162,0.846222,1.222079
163,0.895393,1.132281
164,0.873196,1.169888
165,0.848593,1.217167
166,0.849402,1.215507
167,0.877428,1.162378
168,0.873452,1.169428
169,0.918256,1.097720
170,0.844856,1.224941
171,0.856725,1.200819
172,0.843752,1.227269
173,0.854575,1.205069
174,0.891225,1.139020
175,0.883487,1.151913
176,0.876188,1.164559
177,0.961735,1.041438
178,0.898043,1.128071
179,0.924062,1.089537
180,0.899282,1.126124
181,0.893610,1.135147
182,0.868130,1.179108
183,0.939651,1.068633
184,0.857745,1.198824
185,0.868312,1.178773
186,0.849761,1.214773
187,0.846930,1.220605
188,0.860505,1.193471
189,0.834413,1.247578
190,0.862302,1.190030
191,0.847377,1.219680
192,0.894518,1.133687
193,0.874200,1.168093
194,0.846769,1.220943
195,0.895543,1.132041
196,0.873555,1.169246
197,0.920735,1.094200
198,0.927816,1.084363
199,0.890746,1.139802
200,0.880392,1.157215
201,0.870326,1.175083
202,0.916628,1.100053
203,0.873604,1.169156
204,0.887027,1.145951
205,0.842912,1.229048
206,0.854308,1.205602
207,0.869622,1.176367
208,0.840905,1.233342
209,0.894036,1.134461
210,0.855617,1.203002
211,0.852148,1.209929
212,0.887560,1.145062
213,0.895519,1.132081
214,0.857672,1.198963
215,0.820996,1.278823
216,0.907803,1.113043
217,0.879699,1.158417
218,0.879357,1.159012
219,0.885541,1.148439
220,0.882592,1.153442
221,0.900005,1.124991
222,0.847808,1.218790
223,0.869558,1.176486
224,0.916698,1.099955
225,0.897143,1.129498
226,0.892094,1.137602
227,0.897251,1.129325
228,0.901508,1.122651
229,0.934184,1.075794
230,0.900122,1.124810
231,0.881728,1.154916
232,0.916315,1.100508
233,0.863304,1.188128
234,0.827558,1.263221
235,0.886133,1.147447
236,0.867028,1.181145
237,0.826884,1.264800
238,0.879487,1.158783
239,0.877346,1.162520
240,0.910049,1.109685
241,0.877290,1.162622
242,0.874488,1.167579
243,0.873603,1.169160
244,0.945365,1.061338
245,0.891115,1.139197
246,0.899810,1.125295
247,0.890211,1.140677
248,0.871465,1.173012
