ó^Ç¶ÇΩèdóvìx,0.115000,0.245000,0.110000,0.230000,0.105000,0.215000,0.090000,0.190000,0.085000,0.175000,0.080000,0.160000,0.065000,0.135000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],wL[6],wR[6],ãÊä‘ïùÇÃëçòa
1,0.078168, 0.175792,0.166521, 0.261407,0.057644, 0.197555,0.018000, 0.265630,0.092383, 0.210565,0.076791, 0.201988,0.078168, 0.119387,0.864649
2,0.000001, 0.349327,0.110218, 0.249463,0.000001, 0.289334,0.066524, 0.242187,0.064818, 0.208192,0.000001, 0.232539,0.051165, 0.136230,1.414542
3,0.120743, 0.289450,0.099536, 0.237859,0.059449, 0.337658,0.082239, 0.155620,0.078183, 0.187433,0.067762, 0.165668,0.053354, 0.065046,0.877466
4,0.095371, 0.331168,0.093906, 0.320584,0.127540, 0.163348,0.104231, 0.162123,0.064996, 0.120910,0.072722, 0.087267,0.088749, 0.167084,0.704970
5,0.087240, 0.254503,0.088658, 0.226155,0.094232, 0.184867,0.106339, 0.237000,0.064405, 0.144566,0.098588, 0.206793,0.040631, 0.166022,0.839812
6,0.105579, 0.271719,0.118993, 0.289770,0.103727, 0.200650,0.066545, 0.135985,0.034287, 0.197606,0.079930, 0.197606,0.072932, 0.124674,0.836017
7,0.117356, 0.242327,0.030836, 0.322983,0.030250, 0.359683,0.089921, 0.152406,0.000001, 0.215321,0.053831, 0.174162,0.067138, 0.143786,1.221337
8,0.138239, 0.190207,0.097047, 0.241698,0.108716, 0.234839,0.066548, 0.119991,0.048747, 0.178985,0.164223, 0.193746,0.052790, 0.164223,0.647380
9,0.144469, 0.312737,0.099530, 0.145402,0.096010, 0.177253,0.122466, 0.183455,0.068258, 0.136631,0.094136, 0.183455,0.023923, 0.212274,0.702414
10,0.051914, 0.312356,0.163315, 0.221324,0.044617, 0.176707,0.062059, 0.232305,0.055331, 0.219243,0.029650, 0.204089,0.007848, 0.219243,1.170531
11,0.165718, 0.281196,0.066020, 0.184780,0.062687, 0.244186,0.070593, 0.204209,0.117480, 0.213956,0.056634, 0.128146,0.063797, 0.140598,0.794142
12,0.013312, 0.303848,0.110516, 0.221032,0.064514, 0.317698,0.024498, 0.197858,0.045325, 0.191158,0.007389, 0.291053,0.052950, 0.158849,1.362992
13,0.042243, 0.326775,0.094648, 0.265666,0.082153, 0.243899,0.083820, 0.191710,0.065476, 0.167641,0.033256, 0.179722,0.039741, 0.183250,1.117323
