ó^Ç¶ÇΩèdóvìx,0.115000,0.245000,0.110000,0.230000,0.105000,0.215000,0.090000,0.190000,0.085000,0.175000,0.080000,0.160000,0.065000,0.135000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],wL[6],wR[6],ãÊä‘ïùÇÃëçòa
1,0.047893, 0.255428,0.095786, 0.311303,0.030248, 0.211736,0.030248, 0.207535,0.047893, 0.235110,0.023946, 0.191571,0.047893, 0.263410,1.352187
2,0.044420, 0.236232,0.088840, 0.310938,0.044420, 0.209984,0.044420, 0.244309,0.022210, 0.219984,0.044420, 0.216546,0.022210, 0.251068,1.378123
3,0.054520, 0.218080,0.074831, 0.261910,0.074831, 0.228633,0.043368, 0.236254,0.054520, 0.236254,0.036347, 0.205787,0.028912, 0.245753,1.265340
4,0.050533, 0.193782,0.077378, 0.233854,0.075799, 0.270824,0.050533, 0.232135,0.038689, 0.219239,0.037900, 0.240031,0.050533, 0.228771,1.237271
5,0.054393, 0.217573,0.050209, 0.200837,0.050209, 0.251046,0.054393, 0.217573,0.050209, 0.251046,0.050209, 0.251046,0.050209, 0.251046,1.280335
6,0.056295, 0.197032,0.092484, 0.246625,0.058854, 0.226586,0.028147, 0.215797,0.046242, 0.235415,0.058854, 0.226586,0.046242, 0.264841,1.225764
7,0.061181, 0.275316,0.061181, 0.237927,0.061181, 0.229430,0.040788, 0.265119,0.024473, 0.220253,0.020394, 0.232067,0.024473, 0.246218,1.412659
8,0.106591, 0.284244,0.053296, 0.173211,0.062986, 0.226749,0.031493, 0.230948,0.053296, 0.192457,0.106591, 0.284244,0.035530, 0.158364,1.100433
9,0.102478, 0.204956,0.079705, 0.239116,0.079705, 0.239116,0.079705, 0.239116,0.039853, 0.168788,0.079705, 0.239116,0.039853, 0.168788,0.997991
10,0.046375, 0.250424,0.061833, 0.298860,0.041737, 0.278249,0.023187, 0.224552,0.026086, 0.224552,0.023187, 0.229666,0.027825, 0.243468,1.499539
11,0.106022, 0.265056,0.043656, 0.202406,0.067469, 0.202406,0.067469, 0.202406,0.087312, 0.231924,0.043656, 0.218281,0.043656, 0.218281,1.081519
12,0.058363, 0.272360,0.058363, 0.291814,0.036315, 0.219401,0.030262, 0.266307,0.019929, 0.235373,0.029181, 0.213224,0.023321, 0.245788,1.488532
