ó^Ç¶ÇΩèdóvìx,0.120000,0.240000,0.120000,0.220000,0.120000,0.200000,0.110000,0.170000,0.090000,0.170000,0.070000,0.170000,0.040000,0.160000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],wL[6],wR[6],ãÊä‘ïùÇÃëçòa
1,0.138489, 0.192528,0.147808, 0.191764,0.158797, 0.215705,0.075197, 0.184007,0.084893, 0.179698,0.059997, 0.162925,0.039430, 0.168761,0.590776
2,0.153417, 0.199335,0.141512, 0.186155,0.076709, 0.180890,0.153417, 0.199335,0.076709, 0.180890,0.076709, 0.168985,0.035378, 0.170560,0.572300
3,0.140728, 0.243120,0.097187, 0.180728,0.135673, 0.194375,0.109655, 0.191717,0.079110, 0.180595,0.070364, 0.175714,0.042502, 0.158530,0.649559
4,0.163928, 0.213247,0.138552, 0.197762,0.141606, 0.197410,0.081964, 0.173350,0.058044, 0.174266,0.058402, 0.188481,0.046621, 0.166368,0.621768
5,0.161037, 0.215402,0.161037, 0.209251,0.094209, 0.150542,0.121238, 0.187011,0.098971, 0.187011,0.059830, 0.143794,0.040413, 0.170254,0.526531
6,0.151847, 0.177357,0.139942, 0.169704,0.151847, 0.185861,0.086128, 0.168331,0.151847, 0.187561,0.075924, 0.168331,0.039662, 0.145657,0.405604
7,0.118852, 0.192938,0.142186, 0.254188,0.157223, 0.200080,0.088135, 0.177900,0.080617, 0.179780,0.049782, 0.170757,0.059426, 0.128135,0.607557
8,0.124705, 0.180592,0.124705, 0.173580,0.121301, 0.249410,0.147939, 0.193393,0.084958, 0.175813,0.073969, 0.153047,0.049313, 0.147275,0.546220
9,0.139193, 0.191760,0.095880, 0.210352,0.149913, 0.201500,0.086861, 0.166666,0.082893, 0.177655,0.080586, 0.192997,0.045262, 0.178484,0.638826
10,0.210732, 0.244373,0.122186, 0.237046,0.107280, 0.153708,0.102177, 0.150647,0.107280, 0.156089,0.038141, 0.130239,0.029371, 0.210732,0.565667
11,0.128487, 0.190579,0.103093, 0.175137,0.165369, 0.216389,0.149496, 0.189178,0.074748, 0.158199,0.066344, 0.153997,0.062681, 0.166302,0.499564
12,0.150590, 0.200480,0.092934, 0.206821,0.150590, 0.209083,0.091998, 0.181542,0.103411, 0.181781,0.092934, 0.181781,0.033503, 0.122551,0.568079
13,0.114950, 0.193001,0.121959, 0.216295,0.209492, 0.252009,0.084596, 0.177261,0.081628, 0.169030,0.061159, 0.139630,0.036023, 0.142968,0.580386
14,0.138981, 0.212521,0.146500, 0.192532,0.146500, 0.192532,0.104381, 0.175804,0.073250, 0.167893,0.062068, 0.169057,0.048833, 0.169148,0.558972
15,0.105824, 0.181619,0.163479, 0.226299,0.090810, 0.185124,0.090810, 0.185124,0.163479, 0.204748,0.091263, 0.154180,0.037022, 0.120221,0.514629
16,0.094158, 0.229343,0.095624, 0.197841,0.114671, 0.196742,0.125660, 0.175660,0.125660, 0.175660,0.084635, 0.163756,0.057336, 0.163254,0.604511
17,0.122874, 0.180697,0.190701, 0.256737,0.150085, 0.214511,0.122874, 0.180697,0.061437, 0.198142,0.034191, 0.144038,0.041898, 0.101120,0.551881
18,0.151285, 0.195502,0.086631, 0.187915,0.085846, 0.176926,0.075642, 0.187915,0.151285, 0.192101,0.075642, 0.187915,0.064034, 0.181360,0.619268
19,0.135259, 0.180795,0.149545, 0.231664,0.113281, 0.162732,0.113281, 0.162732,0.083701, 0.159069,0.135259, 0.174545,0.033815, 0.164323,0.471718
20,0.167970, 0.210827,0.167970, 0.234213,0.093509, 0.172108,0.108648, 0.198582,0.070610, 0.185534,0.059165, 0.191079,0.037235, 0.102551,0.589788
21,0.163553, 0.213004,0.094199, 0.187362,0.154236, 0.188398,0.090523, 0.193315,0.081776, 0.139973,0.081776, 0.183998,0.046841, 0.181046,0.574191
22,0.153417, 0.199335,0.153417, 0.199335,0.076709, 0.163490,0.141512, 0.186155,0.082423, 0.171732,0.085866, 0.180890,0.040873, 0.164846,0.531567
23,0.123167, 0.257470,0.116719, 0.164338,0.121481, 0.246334,0.121481, 0.170422,0.109058, 0.154089,0.085823, 0.161316,0.031825, 0.136475,0.580891
24,0.177280, 0.213198,0.177280, 0.213198,0.177280, 0.213198,0.088640, 0.189780,0.088640, 0.124558,0.033467, 0.177280,0.035456, 0.090743,0.443914
25,0.102047, 0.189345,0.150832, 0.188145,0.094073, 0.204094,0.162559, 0.208591,0.090803, 0.184562,0.063115, 0.189090,0.042553, 0.130191,0.588036
26,0.184004, 0.244298,0.118486, 0.167428,0.135682, 0.205168,0.118486, 0.167428,0.092002, 0.162893,0.048755, 0.184004,0.048755, 0.122614,0.507663
27,0.130068, 0.202249,0.176852, 0.225321,0.130068, 0.202249,0.107559, 0.167568,0.072553, 0.158640,0.073963, 0.161647,0.045064, 0.146197,0.527745
28,0.150487, 0.183820,0.150487, 0.185521,0.138582, 0.168344,0.090209, 0.161476,0.150487, 0.186201,0.080738, 0.166970,0.042384, 0.144296,0.393255
29,0.157931, 0.202828,0.094325, 0.189374,0.158575, 0.206695,0.094687, 0.201014,0.083047, 0.192851,0.059446, 0.142445,0.036484, 0.180296,0.631010
30,0.105638, 0.179401,0.142496, 0.208962,0.171819, 0.229983,0.052819, 0.197906,0.079185, 0.195879,0.085910, 0.145638,0.045997, 0.158369,0.632275
31,0.158388, 0.185861,0.158388, 0.184029,0.158388, 0.185861,0.158388, 0.185861,0.079194, 0.164341,0.079194, 0.164341,0.041429, 0.096337,0.333260
32,0.162442, 0.210601,0.096986, 0.187550,0.173564, 0.213700,0.116869, 0.193000,0.081221, 0.187550,0.059618, 0.145349,0.034713, 0.136839,0.549175
33,0.177928, 0.216930,0.146182, 0.196446,0.146182, 0.196446,0.074225, 0.166023,0.100302, 0.166023,0.088964, 0.166307,0.030713, 0.127329,0.471010
34,0.156539, 0.192254,0.129947, 0.194635,0.163306, 0.204660,0.085413, 0.155588,0.085413, 0.188947,0.064973, 0.167877,0.061704, 0.148744,0.505410
35,0.082200, 0.156855,0.152495, 0.196146,0.164400, 0.210318,0.078428, 0.179366,0.082200, 0.181067,0.137808, 0.191673,0.033107, 0.153937,0.538725
36,0.205787, 0.254974,0.127487, 0.223216,0.094412, 0.167222,0.063981, 0.173783,0.066264, 0.150449,0.055364, 0.215527,0.048598, 0.152936,0.676214
37,0.149715, 0.183729,0.149715, 0.193933,0.149715, 0.183729,0.085062, 0.171693,0.085062, 0.175356,0.074857, 0.175356,0.053568, 0.168512,0.504613
38,0.089902, 0.207176,0.157825, 0.203280,0.157825, 0.201781,0.103588, 0.193539,0.078913, 0.139446,0.065595, 0.186397,0.035900, 0.178833,0.620905
