ó^Ç¶ÇΩèdóvìx,0.120000,0.240000,0.120000,0.220000,0.120000,0.200000,0.110000,0.170000,0.090000,0.170000,0.070000,0.170000,0.040000,0.160000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],wL[6],wR[6],ãÊä‘ïùÇÃëçòa
1,0.105657, 0.209372,0.126878, 0.241208,0.150673, 0.231608,0.091574, 0.150673,0.102518, 0.241311,0.063736, 0.105657,0.051422, 0.127713,0.615083
2,0.125969, 0.207602,0.154991, 0.200126,0.097990, 0.242101,0.125218, 0.196074,0.089139, 0.155917,0.069520, 0.172076,0.037306, 0.125969,0.599733
3,0.137932, 0.243418,0.134701, 0.177995,0.098189, 0.274545,0.121709, 0.171169,0.088193, 0.155065,0.075698, 0.176387,0.042129, 0.102869,0.602895
4,0.156132, 0.230198,0.150963, 0.248543,0.114213, 0.183187,0.091034, 0.160349,0.075004, 0.169873,0.078233, 0.158831,0.061514, 0.121925,0.545812
5,0.146302, 0.219533,0.158872, 0.256229,0.094796, 0.183611,0.106604, 0.162404,0.108896, 0.158872,0.067091, 0.106604,0.060106, 0.170079,0.514666
6,0.155729, 0.209687,0.109996, 0.160947,0.154917, 0.183890,0.104844, 0.175257,0.160056, 0.167417,0.082663, 0.167619,0.045973, 0.121007,0.371647
7,0.122230, 0.176337,0.139741, 0.244460,0.150315, 0.209367,0.104683, 0.163373,0.087846, 0.161729,0.061909, 0.180017,0.055078, 0.142915,0.556395
8,0.123971, 0.174943,0.130499, 0.224607,0.096738, 0.260998,0.142277, 0.203827,0.102209, 0.143437,0.087472, 0.137784,0.062337, 0.108902,0.508996
9,0.122105, 0.233244,0.113428, 0.255097,0.090465, 0.243503,0.101034, 0.178443,0.086896, 0.132976,0.089221, 0.208161,0.054633, 0.090795,0.684435
10,0.125581, 0.341933,0.163934, 0.236459,0.107367, 0.176375,0.090184, 0.114203,0.114203, 0.140926,0.050614, 0.168656,0.036214, 0.133349,0.623804
11,0.108851, 0.190999,0.128464, 0.199087,0.171465, 0.256928,0.126745, 0.203127,0.094268, 0.154477,0.057839, 0.110584,0.069317, 0.127850,0.486104
12,0.145965, 0.224113,0.085039, 0.227763,0.147151, 0.249405,0.111475, 0.148400,0.111727, 0.151983,0.110466, 0.160454,0.034884, 0.091173,0.506585
13,0.127610, 0.238487,0.108124, 0.184857,0.184857, 0.306822,0.100507, 0.164119,0.082060, 0.133274,0.071052, 0.135611,0.042241, 0.120378,0.567098
14,0.132963, 0.262097,0.122135, 0.176114,0.122135, 0.176114,0.131049, 0.217096,0.084497, 0.171036,0.072367, 0.162333,0.047929, 0.122135,0.573849
15,0.127896, 0.204707,0.151013, 0.271475,0.102354, 0.181987,0.084004, 0.164563,0.145546, 0.178195,0.089098, 0.167210,0.047947, 0.084004,0.504285
16,0.107561, 0.288786,0.091293, 0.234364,0.121760, 0.188726,0.124032, 0.142987,0.125396, 0.169345,0.072699, 0.125396,0.072197, 0.135458,0.570125
17,0.123855, 0.154058,0.151417, 0.278100,0.154058, 0.260189,0.123855, 0.154058,0.070811, 0.151417,0.056926, 0.160974,0.044823, 0.115459,0.548510
18,0.133233, 0.207759,0.112627, 0.195689,0.091780, 0.225254,0.079634, 0.154041,0.124431, 0.206537,0.074894, 0.156246,0.068846, 0.169027,0.629110
19,0.140821, 0.202758,0.130381, 0.241498,0.102252, 0.140821,0.112796, 0.199437,0.092660, 0.127394,0.127394, 0.209754,0.041655, 0.130381,0.504083
20,0.150808, 0.248971,0.134872, 0.261381,0.111981, 0.178225,0.130690, 0.202212,0.073775, 0.150808,0.073476, 0.165052,0.043501, 0.074246,0.561793
21,0.140767, 0.178289,0.104137, 0.296976,0.104383, 0.241452,0.094913, 0.180604,0.089145, 0.106246,0.079533, 0.120542,0.068482, 0.194528,0.637277
22,0.138504, 0.167516,0.143158, 0.195442,0.072415, 0.246704,0.120747, 0.143158,0.091040, 0.188959,0.094191, 0.151242,0.053011, 0.193912,0.573867
23,0.136715, 0.325971,0.121486, 0.139277,0.122678, 0.278105,0.132554, 0.139092,0.088169, 0.151040,0.107692, 0.137306,0.031747, 0.088169,0.517918
24,0.196819, 0.213319,0.159418, 0.201469,0.164076, 0.230850,0.091707, 0.198823,0.099412, 0.110446,0.039392, 0.164076,0.041355, 0.088838,0.415643
25,0.127628, 0.232979,0.132647, 0.219588,0.103854, 0.257008,0.140358, 0.178144,0.088659, 0.151914,0.072872, 0.163452,0.056168, 0.074729,0.555628
26,0.142845, 0.284107,0.138839, 0.213683,0.142629, 0.147036,0.142053, 0.154983,0.074585, 0.148848,0.071228, 0.196791,0.067787, 0.074585,0.440068
27,0.113261, 0.158516,0.154480, 0.320809,0.121862, 0.177194,0.108686, 0.192245,0.077350, 0.123405,0.096123, 0.174821,0.059386, 0.121862,0.537705
28,0.137491, 0.210490,0.141632, 0.219802,0.121660, 0.151060,0.105227, 0.177410,0.145794, 0.152014,0.088705, 0.164745,0.052622, 0.131348,0.413739
29,0.128651, 0.272384,0.091078, 0.244956,0.139155, 0.219215,0.122478, 0.216187,0.089750, 0.128651,0.067127, 0.103267,0.037946, 0.139155,0.647630
30,0.109794, 0.124345,0.124345, 0.199990,0.142189, 0.316542,0.065853, 0.162326,0.090234, 0.187224,0.081523, 0.143001,0.055593, 0.197039,0.660936
31,0.144171, 0.150657,0.150303, 0.218430,0.150657, 0.161829,0.148421, 0.219648,0.103816, 0.174614,0.087307, 0.162724,0.053211, 0.074211,0.324227
