No.,tL,tR
true,0.826446,1.265823
0,0.769385,1.428039
1,0.779865,1.393289
2,0.784389,1.379074
3,0.817168,1.288227
4,0.807501,1.313003
5,0.860042,1.194364
6,0.770488,1.424256
7,0.858529,1.197295
8,0.723137,1.620388
9,0.813427,1.297635
10,0.813952,1.296304
11,0.834520,1.247338
12,0.756643,1.474115
13,0.791459,1.357755
14,0.800605,1.331657
15,0.841048,1.233035
16,0.791687,1.357084
17,0.715688,1.659079
18,0.789081,1.364811
19,0.801109,1.330261
20,0.793231,1.352570
21,0.828257,1.261597
22,0.875850,1.165160
23,0.907208,1.113937
24,0.810100,1.306192
25,0.897327,1.129207
26,0.810437,1.305314
27,0.845625,1.223328
28,0.798100,1.338645
29,0.793240,1.352549
30,0.922969,1.091061
31,0.802219,1.327218
32,0.805597,1.318068
33,0.810437,1.305314
34,0.852763,1.208693
35,0.704993,1.719551
36,0.784567,1.378527
37,0.740875,1.537882
38,0.815960,1.291239
39,0.787253,1.370315
40,0.764511,1.445143
41,0.832922,1.250924
42,0.824755,1.269812
43,0.780765,1.390428
44,0.874321,1.167879
45,0.786424,1.372834
46,0.783205,1.382755
47,0.855294,1.203645
48,0.874553,1.167462
49,0.786584,1.372343
50,0.783021,1.383327
51,0.766530,1.437978
52,0.798412,1.337768
53,0.804578,1.320809
54,0.843507,1.227786
55,0.857805,1.198702
56,0.831701,1.253689
57,0.858629,1.197097
58,0.900671,1.123952
59,0.795941,1.344762
60,0.730019,1.586863
61,0.818202,1.285663
62,0.874034,1.168388
63,0.777048,1.402369
64,0.863153,1.188412
65,0.979183,1.021724
66,0.767302,1.435272
67,0.679979,1.889052
68,0.882469,1.153647
69,0.876901,1.163306
70,0.822221,1.275863
71,0.763686,1.448096
72,0.861059,1.192407
73,0.877837,1.161659
74,0.752866,1.488667
75,0.934862,1.074894
76,0.899676,1.125508
77,0.818851,1.284061
78,0.836268,1.243455
79,0.809397,1.308022
80,0.885917,1.147808
81,0.827473,1.263421
82,0.790883,1.359453
83,0.716960,1.652284
84,0.738706,1.547315
85,0.819094,1.283470
86,0.798587,1.337276
87,0.834932,1.246418
88,0.784244,1.379525
89,0.785267,1.376370
90,0.843590,1.227611
91,0.861481,1.191600
92,0.887958,1.144399
93,0.799770,1.333974
94,0.833622,1.249357
95,0.814090,1.295951
96,0.771531,1.420703
97,0.845795,1.222971
98,0.734981,1.563917
99,0.823181,1.273558
100,0.786531,1.372505
101,0.795770,1.345252
102,0.799135,1.335741
103,0.851898,1.210432
104,0.782192,1.385926
105,0.769597,1.427309
106,0.759488,1.463437
107,0.896870,1.129928
108,0.803086,1.324849
109,0.752424,1.490397
110,0.860939,1.192634
111,0.810995,1.303874
112,0.794381,1.349240
113,0.864421,1.186022
114,0.865386,1.184208
115,0.875292,1.166149
116,0.754429,1.482591
117,0.806047,1.316869
118,0.780636,1.390834
119,0.848037,1.218315
120,0.839347,1.236708
121,0.832039,1.252924
122,0.857119,1.200048
123,0.840299,1.234646
124,0.881484,1.155336
125,0.835807,1.244479
126,0.796977,1.341814
127,0.855472,1.203288
128,0.795534,1.345924
129,0.850063,1.214158
130,0.835682,1.244755
131,0.763502,1.448759
132,0.883450,1.151977
133,0.803086,1.324845
134,0.911979,1.106829
135,0.751962,1.492214
136,0.852213,1.209798
137,0.809462,1.307853
138,0.785569,1.375446
139,0.829116,1.259608
140,0.791827,1.356672
141,0.865578,1.183849
142,0.859800,1.194830
143,0.865226,1.184510
144,0.823832,1.272002
145,0.863260,1.188214
146,0.954263,1.050341
147,0.850994,1.212262
148,0.877690,1.161919
149,0.824648,1.270064
150,0.847098,1.220253
151,0.798582,1.337294
152,0.886151,1.147415
153,0.840629,1.233934
154,0.808567,1.310197
155,0.774410,1.411040
156,0.886314,1.147143
157,0.816839,1.289045
158,0.836663,1.242585
159,0.852391,1.209438
160,0.824349,1.270776
161,0.858980,1.196417
162,0.852851,1.208515
163,0.815230,1.293072
164,0.867092,1.181025
165,0.789252,1.364296
166,0.802635,1.326081
167,0.765941,1.440057
168,0.879746,1.158335
169,0.746176,1.515533
170,0.764721,1.444394
171,0.801372,1.329536
172,0.842137,1.230700
173,0.793934,1.350532
174,0.871211,1.173469
175,0.776710,1.403475
176,0.829635,1.258414
177,0.799443,1.334884
178,0.734691,1.565224
179,0.823530,1.272728
180,0.809385,1.308055
181,0.749574,1.501704
182,0.782583,1.384696
183,0.843032,1.228799
184,0.810774,1.304451
185,0.810168,1.306017
186,0.794213,1.349726
187,0.818904,1.283934
188,0.821785,1.276916
189,0.775369,1.407874
190,0.821877,1.276696
191,0.870700,1.174402
192,0.780799,1.390318
193,0.783258,1.382589
194,0.874241,1.168018
195,0.831584,1.253958
196,0.898825,1.126842
197,0.730005,1.586934
198,0.831965,1.253090
199,0.791151,1.358659
200,0.792541,1.354582
201,0.747901,1.508471
202,0.801445,1.329338
203,0.758219,1.468166
204,0.749766,1.500938
205,0.888339,1.143767
206,0.858570,1.197212
207,0.876830,1.163433
208,0.797982,1.338977
209,0.848547,1.217263
210,0.868700,1.178056
211,0.749456,1.502180
212,0.809446,1.307894
213,0.852797,1.208624
214,0.796714,1.342565
215,0.794746,1.348190
216,0.769336,1.428210
217,0.883912,1.151192
218,0.776426,1.404400
219,0.794296,1.349484
220,0.807809,1.312193
221,0.804672,1.320552
222,0.784770,1.377902
223,0.816198,1.290641
224,0.822131,1.276082
225,0.883331,1.152177
226,0.847907,1.218586
227,0.828253,1.261607
228,0.834076,1.248333
229,0.857453,1.199392
230,0.838914,1.237651
231,0.836522,1.242892
232,0.773651,1.413569
233,0.813801,1.296680
234,0.756480,1.474733
235,0.870404,1.174938
236,0.787014,1.371035
237,0.840781,1.233611
238,0.848236,1.217904
239,0.778806,1.396677
240,0.752528,1.489987
241,0.838742,1.238027
242,0.879085,1.159483
243,0.700529,1.746700
244,0.741414,1.535565
245,0.769881,1.426334
246,0.835624,1.244880
247,0.932484,1.078057
248,0.834583,1.247197
249,0.761887,1.454613
250,0.878028,1.161324
251,0.901969,1.121938
252,0.832558,1.251752
253,0.858390,1.197566
254,0.848372,1.217625
255,0.758836,1.465861
256,0.869556,1.176489
257,0.793367,1.352174
258,0.813823,1.296630
259,0.856727,1.200816
260,0.876407,1.164176
261,0.715451,1.660357
262,0.842404,1.230132
263,0.834842,1.246617
264,0.862163,1.190298
265,0.816036,1.291047
266,0.824628,1.270112
267,0.923646,1.090115
268,0.854588,1.205046
269,0.790608,1.360268
270,0.784919,1.377443
271,0.806136,1.316628
272,0.880286,1.157398
273,0.754361,1.482857
274,0.777488,1.400939
275,0.898893,1.126733
276,0.816808,1.289122
277,0.808617,1.310068
278,0.830755,1.255846
279,0.752491,1.490135
280,0.891166,1.139117
281,0.796817,1.342271
282,0.812955,1.298833
283,0.775233,1.408322
284,0.783334,1.382353
285,0.839884,1.235546
286,0.790325,1.361105
287,0.846788,1.220898
288,0.766615,1.437678
289,0.865581,1.183844
290,0.820260,1.280616
291,0.912731,1.105719
292,0.859404,1.195597
293,0.845229,1.224157
294,0.815943,1.291284
295,0.802874,1.325425
296,0.761201,1.457118
297,0.868326,1.178746
298,0.804272,1.321629
299,0.812166,1.300857
300,0.844454,1.225783
301,0.796416,1.343409
302,0.830901,1.255513
303,0.865785,1.183461
304,0.852253,1.209718
305,0.842141,1.230690
306,0.876542,1.163934
307,0.860590,1.193310
308,0.835321,1.245555
309,0.793847,1.350780
310,0.826061,1.266726
311,0.751019,1.495940
312,0.792092,1.355895
313,0.764404,1.445519
314,0.857640,1.199026
315,0.925126,1.088064
316,0.939359,1.069010
317,0.872614,1.170937
318,0.918316,1.097632
319,0.852077,1.210069
320,0.817542,1.287298
321,0.818737,1.284347
322,0.756752,1.473705
323,0.827624,1.263071
324,0.739049,1.545808
325,0.979891,1.020954
326,0.825092,1.269011
327,0.825512,1.268022
328,0.807867,1.312043
329,0.744022,1.524499
330,0.823711,1.272294
331,0.807706,1.312465
332,0.893051,1.136050
333,0.764852,1.443929
334,0.768027,1.432741
335,0.721262,1.629878
336,0.860396,1.193681
337,0.760726,1.458864
338,0.843446,1.227916
339,0.778097,1.398959
340,0.782571,1.384731
341,0.730301,1.585540
342,0.894122,1.134322
343,0.737750,1.551528
344,0.817713,1.286872
345,0.798133,1.338548
346,0.787641,1.369139
347,0.815116,1.293357
348,0.836642,1.242633
349,0.817207,1.288129
350,0.852240,1.209740
351,0.818732,1.284361
352,0.875005,1.166656
353,0.790712,1.359958
354,0.793503,1.351779
355,0.780343,1.391761
356,0.833372,1.249911
357,0.847716,1.218977
358,0.907284,1.113823
359,0.821103,1.278570
360,0.846359,1.221793
361,0.814365,1.295253
362,0.843152,1.228542
363,0.776816,1.403129
364,0.865866,1.183312
365,0.870794,1.174230
366,0.733215,1.571974
367,0.824910,1.269446
368,0.811779,1.301851
369,0.855344,1.203545
370,0.776213,1.405098
371,0.825185,1.268789
372,0.835050,1.246156
373,0.817526,1.287336
374,0.860827,1.192851
375,0.831823,1.253419
376,0.818010,1.286139
377,0.820105,1.280994
378,0.856423,1.201412
379,0.878578,1.160366
380,0.800336,1.332399
381,0.830721,1.255928
382,0.910256,1.109378
383,0.929840,1.081613
384,0.868320,1.178759
385,0.846497,1.221505
386,0.792699,1.354118
387,0.799437,1.334896
388,0.833955,1.248603
389,0.854345,1.205525
390,0.845851,1.222854
391,0.796709,1.342581
392,0.876292,1.164378
393,0.705642,1.715707
394,0.900870,1.123641
395,0.831814,1.253438
396,0.841719,1.231594
397,0.868138,1.179095
398,0.860852,1.192806
399,0.772240,1.418303
