ó^Ç¶ÇΩèdóvìx,0.120000,0.240000,0.120000,0.220000,0.120000,0.200000,0.110000,0.170000,0.090000,0.170000,0.070000,0.170000,0.040000,0.160000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],wL[6],wR[6],ãÊä‘ïùÇÃëçòa
1,0.053534, 0.258749,0.049416, 0.247081,0.091773, 0.298263,0.037789, 0.226734,0.045887, 0.230609,0.032944, 0.211320,0.018894, 0.197006,1.339524
2,0.087992, 0.285975,0.051329, 0.243812,0.043996, 0.213212,0.087992, 0.285975,0.043996, 0.213212,0.043996, 0.213212,0.012832, 0.172465,1.255731
3,0.073605, 0.277480,0.040892, 0.253529,0.035387, 0.212323,0.047183, 0.264224,0.036803, 0.256762,0.036803, 0.225322,0.018873, 0.220816,1.420910
4,0.086632, 0.295992,0.063834, 0.239377,0.056852, 0.255835,0.043316, 0.241014,0.031099, 0.215440,0.028877, 0.217933,0.021658, 0.202141,1.335465
5,0.082750, 0.257443,0.082750, 0.262040,0.050923, 0.237640,0.060182, 0.240726,0.050923, 0.240726,0.033949, 0.209052,0.020061, 0.170838,1.236929
6,0.101467, 0.228300,0.059189, 0.207161,0.101467, 0.270578,0.050733, 0.191226,0.101467, 0.279033,0.050733, 0.191226,0.025367, 0.142053,1.019155
7,0.049399, 0.257288,0.064999, 0.261246,0.082332, 0.267579,0.041166, 0.242586,0.032499, 0.227496,0.020583, 0.205830,0.024700, 0.222297,1.368643
8,0.050036, 0.260185,0.050036, 0.216821,0.059133, 0.205409,0.086728, 0.295665,0.043364, 0.222109,0.043364, 0.231276,0.028909, 0.206965,1.276860
9,0.057503, 0.230012,0.048656, 0.259501,0.035141, 0.263555,0.048656, 0.218954,0.048656, 0.267610,0.028751, 0.240965,0.024328, 0.227712,1.416615
10,0.115945, 0.258854,0.062017, 0.235435,0.062017, 0.263572,0.044298, 0.254713,0.062017, 0.273908,0.020672, 0.188266,0.011074, 0.147212,1.243919
11,0.059804, 0.239217,0.052137, 0.225927,0.096826, 0.242065,0.075309, 0.263582,0.037655, 0.217859,0.037655, 0.217859,0.034758, 0.199348,1.211713
