ó^Ç¶ÇΩèdóvìx,0.130000,0.230000,0.120000,0.220000,0.110000,0.210000,0.090000,0.190000,0.080000,0.180000,0.070000,0.170000,0.050000,0.150000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],wL[6],wR[6],ãÊä‘ïùÇÃëçòa
1,0.140251, 0.264373,0.140919, 0.196010,0.136212, 0.167766,0.126935, 0.146859,0.083390, 0.145653,0.088124, 0.153499,0.069090, 0.140919,0.430160
2,0.203108, 0.251997,0.098047, 0.231674,0.097656, 0.216118,0.107137, 0.240077,0.092815, 0.101554,0.069117, 0.109438,0.054719, 0.126543,0.554803
3,0.161721, 0.179685,0.130459, 0.198368,0.137041, 0.196976,0.099184, 0.169323,0.077703, 0.230363,0.081605, 0.155405,0.045126, 0.137041,0.534324
4,0.169969, 0.245874,0.123930, 0.237926,0.122937, 0.200581,0.077709, 0.123930,0.086394, 0.183829,0.092651, 0.186809,0.054072, 0.093389,0.544676
5,0.094069, 0.274565,0.127105, 0.166408,0.163824, 0.254833,0.127361, 0.169479,0.082477, 0.186361,0.076860, 0.129225,0.053363, 0.094069,0.549881
6,0.136624, 0.207154,0.135978, 0.170571,0.146046, 0.179827,0.103577, 0.171454,0.095477, 0.184907,0.073707, 0.190954,0.058010, 0.145714,0.501163
7,0.122249, 0.172870,0.176738, 0.257784,0.125121, 0.262858,0.080812, 0.141843,0.120015, 0.193024,0.061863, 0.125121,0.064341, 0.095360,0.497720
8,0.117520, 0.265575,0.121279, 0.213422,0.147657, 0.262510,0.095677, 0.148248,0.088525, 0.142114,0.068400, 0.155628,0.044288, 0.129157,0.633309
9,0.139385, 0.310459,0.178808, 0.249996,0.091631, 0.178808,0.099087, 0.142226,0.102898, 0.119646,0.084071, 0.141959,0.047320, 0.113706,0.513599
10,0.143384, 0.304315,0.134042, 0.176644,0.150811, 0.217184,0.101816, 0.134042,0.055458, 0.184909,0.057897, 0.151515,0.067824, 0.120159,0.577536
11,0.144221, 0.282396,0.135862, 0.177976,0.133702, 0.223139,0.074187, 0.126439,0.111570, 0.178742,0.063219, 0.152136,0.048420, 0.147990,0.577637
