ó^Ç¶ÇΩèdóvìx,0.130000,0.230000,0.120000,0.220000,0.110000,0.210000,0.090000,0.190000,0.080000,0.180000,0.070000,0.170000,0.050000,0.150000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],wL[6],wR[6],ãÊä‘ïùÇÃëçòa
1,0.109240, 0.295384,0.132731, 0.204198,0.104917, 0.199060,0.119238, 0.154556,0.074046, 0.154997,0.083209, 0.158415,0.058727, 0.151282,0.635785
2,0.194369, 0.260736,0.076294, 0.253427,0.008084, 0.305690,0.093127, 0.254086,0.080593, 0.113776,0.010399, 0.168156,0.046930, 0.134333,0.980408
3,0.138981, 0.202425,0.091358, 0.237469,0.126402, 0.207615,0.085351, 0.183156,0.067899, 0.240167,0.029395, 0.207615,0.018852, 0.163314,0.883523
4,0.092325, 0.323518,0.108512, 0.253344,0.103961, 0.219558,0.025095, 0.176544,0.062301, 0.207922,0.084682, 0.194778,0.033321, 0.114140,0.979608
5,0.082930, 0.285705,0.120783, 0.172730,0.132953, 0.285705,0.110602, 0.186238,0.075330, 0.193508,0.063233, 0.142852,0.000001, 0.147431,0.828337
6,0.079017, 0.264760,0.112184, 0.194365,0.079868, 0.246005,0.090421, 0.184610,0.083739, 0.196645,0.000001, 0.264660,0.040788, 0.162936,1.027964
7,0.100498, 0.194621,0.148019, 0.286503,0.100139, 0.287840,0.048966, 0.173689,0.074826, 0.238213,0.000001, 0.186983,0.056596, 0.103105,0.941908
8,0.037137, 0.345958,0.095687, 0.239013,0.124419, 0.285748,0.038842, 0.205084,0.069883, 0.160755,0.057660, 0.166368,0.000001, 0.173445,1.152742
9,0.116028, 0.333816,0.158363, 0.270441,0.056037, 0.214402,0.029014, 0.212299,0.079182, 0.143363,0.047185, 0.178845,0.039610, 0.121416,0.949164
10,0.102598, 0.345101,0.119922, 0.190765,0.136122, 0.231873,0.080515, 0.155343,0.027067, 0.213301,0.033957, 0.175454,0.041024, 0.146959,0.917591
11,0.117014, 0.309603,0.116538, 0.197300,0.076575, 0.280267,0.007549, 0.193077,0.096770, 0.193541,0.051928, 0.163428,0.002869, 0.193541,1.061514
12,0.128941, 0.228293,0.106969, 0.301776,0.107177, 0.217877,0.090057, 0.207579,0.009535, 0.194390,0.081660, 0.178617,0.019729, 0.127401,0.911864
13,0.141468, 0.266845,0.087356, 0.208950,0.121804, 0.145041,0.076611, 0.203264,0.101036, 0.196041,0.081827, 0.146885,0.000001, 0.222871,0.779793
