ó^Ç¶ÇΩèdóvìx,0.130000,0.230000,0.120000,0.220000,0.110000,0.210000,0.090000,0.190000,0.080000,0.180000,0.070000,0.170000,0.050000,0.150000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],wL[6],wR[6],ãÊä‘ïùÇÃëçòa
1,0.202312, 0.202312,0.168464, 0.168464,0.151989, 0.151989,0.136897, 0.136897,0.114521, 0.114521,0.120812, 0.120812,0.105004, 0.105004,0.000000
2,0.227553, 0.227553,0.164861, 0.164861,0.156887, 0.156887,0.173607, 0.173607,0.097184, 0.097184,0.089277, 0.089277,0.090631, 0.090631,0.000000
3,0.170703, 0.170703,0.164413, 0.164413,0.167009, 0.167009,0.134254, 0.134254,0.154033, 0.154033,0.118505, 0.118505,0.091083, 0.091083,0.000000
4,0.207922, 0.207922,0.180928, 0.180928,0.161759, 0.161759,0.100820, 0.100820,0.135111, 0.135111,0.139730, 0.139730,0.073730, 0.073730,0.000000
5,0.184317, 0.184317,0.146757, 0.146757,0.209329, 0.209329,0.148420, 0.148420,0.134419, 0.134419,0.103043, 0.103043,0.073716, 0.073716,0.000000
6,0.171889, 0.171889,0.153274, 0.153274,0.162936, 0.162936,0.137515, 0.137515,0.140192, 0.140192,0.132331, 0.132331,0.101862, 0.101862,0.000000
7,0.147560, 0.147560,0.217261, 0.217261,0.193990, 0.193990,0.111328, 0.111328,0.156520, 0.156520,0.093492, 0.093492,0.079851, 0.079851,0.000000
8,0.191548, 0.191548,0.167350, 0.167350,0.205084, 0.205084,0.121963, 0.121963,0.115319, 0.115319,0.112014, 0.112014,0.086723, 0.086723,0.000000
9,0.224922, 0.224922,0.214402, 0.214402,0.135219, 0.135219,0.120656, 0.120656,0.111272, 0.111272,0.113015, 0.113015,0.080513, 0.080513,0.000000
10,0.223850, 0.223850,0.155343, 0.155343,0.183998, 0.183998,0.117929, 0.117929,0.120184, 0.120184,0.104706, 0.104706,0.093991, 0.093991,0.000000
11,0.213309, 0.213309,0.156919, 0.156919,0.178421, 0.178421,0.100313, 0.100313,0.145156, 0.145156,0.107678, 0.107678,0.098205, 0.098205,0.000000
12,0.178617, 0.178617,0.204372, 0.204372,0.162527, 0.162527,0.148818, 0.148818,0.101963, 0.101963,0.130139, 0.130139,0.073565, 0.073565,0.000000
13,0.204157, 0.204157,0.148153, 0.148153,0.133423, 0.133423,0.139937, 0.139937,0.148539, 0.148539,0.114356, 0.114356,0.111436, 0.111436,0.000000
14,0.189612, 0.189612,0.137675, 0.137675,0.194116, 0.194116,0.151201, 0.151201,0.103238, 0.103238,0.107031, 0.107031,0.117126, 0.117126,0.000000
15,0.234719, 0.234719,0.152647, 0.152647,0.159653, 0.159653,0.122837, 0.122837,0.127203, 0.127203,0.116696, 0.116696,0.086245, 0.086245,0.000000
16,0.209942, 0.209942,0.131138, 0.131138,0.154791, 0.154791,0.130060, 0.130060,0.131697, 0.131697,0.145881, 0.145881,0.096490, 0.096490,0.000000
17,0.196248, 0.196248,0.136361, 0.136361,0.171010, 0.171010,0.147444, 0.147444,0.109897, 0.109897,0.137645, 0.137645,0.101395, 0.101395,0.000000
18,0.187419, 0.187419,0.139261, 0.139261,0.152262, 0.152262,0.151980, 0.151980,0.127454, 0.127454,0.121844, 0.121844,0.119781, 0.119781,0.000000
19,0.226495, 0.226495,0.193473, 0.193473,0.131479, 0.131479,0.135535, 0.135535,0.118810, 0.118810,0.098200, 0.098200,0.096008, 0.096008,0.000000
20,0.225957, 0.225957,0.168575, 0.168575,0.160727, 0.160727,0.125385, 0.125385,0.107113, 0.107113,0.124924, 0.124924,0.087320, 0.087320,0.000000
21,0.204184, 0.204184,0.150794, 0.150794,0.110695, 0.110695,0.185813, 0.185813,0.115185, 0.115185,0.114978, 0.114978,0.118351, 0.118351,0.000000
22,0.186193, 0.186193,0.179297, 0.179297,0.152237, 0.152237,0.163443, 0.163443,0.143141, 0.143141,0.099446, 0.099446,0.076243, 0.076243,0.000000
23,0.198522, 0.198522,0.176035, 0.176035,0.167098, 0.167098,0.115371, 0.115371,0.107829, 0.107829,0.143824, 0.143824,0.091321, 0.091321,0.000000
24,0.212872, 0.212872,0.135090, 0.135090,0.208512, 0.208512,0.111326, 0.111326,0.101835, 0.101835,0.130380, 0.130380,0.099985, 0.099985,0.000000
25,0.175682, 0.175682,0.151732, 0.151732,0.165956, 0.165956,0.187779, 0.187779,0.098971, 0.098971,0.124269, 0.124269,0.095612, 0.095612,0.000000
26,0.151295, 0.151295,0.193106, 0.193106,0.178760, 0.178760,0.149870, 0.149870,0.100909, 0.100909,0.132694, 0.132694,0.093366, 0.093366,0.000000
27,0.153550, 0.153550,0.153937, 0.153937,0.137869, 0.137869,0.153937, 0.153937,0.140741, 0.140741,0.161515, 0.161515,0.098451, 0.098451,0.000000
28,0.194710, 0.194710,0.178662, 0.178662,0.202967, 0.202967,0.168222, 0.168222,0.084658, 0.084658,0.069431, 0.069431,0.101349, 0.101349,0.000000
29,0.196164, 0.196164,0.183933, 0.183933,0.155242, 0.155242,0.138778, 0.138778,0.121349, 0.121349,0.126312, 0.126312,0.078221, 0.078221,0.000000
30,0.166142, 0.166142,0.180956, 0.180956,0.173569, 0.173569,0.131911, 0.131911,0.132414, 0.132414,0.154932, 0.154932,0.060076, 0.060076,0.000000
31,0.186002, 0.186002,0.196566, 0.196566,0.136917, 0.136917,0.128747, 0.128747,0.129294, 0.129294,0.141991, 0.141991,0.080483, 0.080483,0.000000
32,0.226105, 0.226105,0.162409, 0.162409,0.134119, 0.134119,0.181047, 0.181047,0.099665, 0.099665,0.069043, 0.069043,0.127613, 0.127613,0.000000
33,0.201932, 0.201932,0.154605, 0.154605,0.164800, 0.164800,0.126782, 0.126782,0.129342, 0.129342,0.135283, 0.135283,0.087257, 0.087257,0.000000
34,0.175387, 0.175387,0.155693, 0.155693,0.185095, 0.185095,0.142377, 0.142377,0.085549, 0.085549,0.177985, 0.177985,0.077915, 0.077915,0.000000
35,0.203344, 0.203344,0.124595, 0.124595,0.188006, 0.188006,0.163321, 0.163321,0.118900, 0.118900,0.109340, 0.109340,0.092494, 0.092494,0.000000
36,0.201541, 0.201541,0.134072, 0.134072,0.196767, 0.196767,0.133664, 0.133664,0.151335, 0.151335,0.089157, 0.089157,0.093463, 0.093463,0.000000
37,0.182076, 0.182076,0.198130, 0.198130,0.145918, 0.145918,0.147596, 0.147596,0.104779, 0.104779,0.148383, 0.148383,0.073117, 0.073117,0.000000
38,0.166355, 0.166355,0.185622, 0.185622,0.177135, 0.177135,0.122428, 0.122428,0.145527, 0.145527,0.120969, 0.120969,0.081963, 0.081963,0.000000
39,0.158363, 0.158363,0.187286, 0.187286,0.165328, 0.165328,0.151486, 0.151486,0.115871, 0.115871,0.125810, 0.125810,0.095857, 0.095857,0.000000
40,0.169484, 0.169484,0.168575, 0.168575,0.168723, 0.168723,0.168320, 0.168320,0.157662, 0.157662,0.086437, 0.086437,0.080799, 0.080799,0.000000
41,0.185192, 0.185192,0.181528, 0.181528,0.167765, 0.167765,0.113240, 0.113240,0.151210, 0.151210,0.103726, 0.103726,0.097340, 0.097340,0.000000
42,0.168047, 0.168047,0.204861, 0.204861,0.142024, 0.142024,0.152710, 0.152710,0.134112, 0.134112,0.125387, 0.125387,0.072857, 0.072857,0.000000
43,0.177136, 0.177136,0.147454, 0.147454,0.160275, 0.160275,0.159499, 0.159499,0.118034, 0.118034,0.135296, 0.135296,0.102306, 0.102306,0.000000
44,0.159037, 0.159037,0.187289, 0.187289,0.212619, 0.212619,0.137241, 0.137241,0.119127, 0.119127,0.102754, 0.102754,0.081932, 0.081932,0.000000
45,0.220454, 0.220454,0.198143, 0.198143,0.160522, 0.160522,0.127201, 0.127201,0.119714, 0.119714,0.098375, 0.098375,0.075591, 0.075591,0.000000
