ó^Ç¶ÇΩèdóvìx,0.140000,0.220000,0.120000,0.220000,0.100000,0.220000,0.070000,0.210000,0.070000,0.190000,0.070000,0.170000,0.060000,0.140000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],wL[6],wR[6],ãÊä‘ïùÇÃëçòa
1,0.146651, 0.197671,0.115483, 0.192616,0.083081, 0.181089,0.146651, 0.247449,0.087994, 0.179618,0.073325, 0.128172,0.050693, 0.169508,0.592246
2,0.200783, 0.259563,0.100391, 0.236087,0.100391, 0.187723,0.071972, 0.220391,0.055662, 0.144348,0.052551, 0.160508,0.061620, 0.148011,0.713258
3,0.186242, 0.236242,0.100264, 0.210839,0.104337, 0.212992,0.060583, 0.147883,0.060900, 0.165539,0.096692, 0.219575,0.052296, 0.145615,0.677370
4,0.130291, 0.204853,0.174241, 0.218458,0.087120, 0.162735,0.079536, 0.191784,0.045698, 0.186996,0.087120, 0.166921,0.097324, 0.166921,0.597338
5,0.173665, 0.226046,0.163584, 0.225723,0.096851, 0.208297,0.044112, 0.202332,0.052451, 0.131874,0.069494, 0.147759,0.067444, 0.190370,0.664799
6,0.170984, 0.215202,0.085147, 0.200746,0.155111, 0.202730,0.053487, 0.170294,0.058317, 0.137049,0.077555, 0.188841,0.095696, 0.188841,0.607405
7,0.116267, 0.173069,0.065786, 0.204282,0.193077, 0.256343,0.116267, 0.167287,0.043404, 0.144328,0.061535, 0.204282,0.096539, 0.157536,0.614252
8,0.175921, 0.223540,0.100206, 0.201895,0.167758, 0.208574,0.087961, 0.197566,0.087961, 0.193732,0.062969, 0.124695,0.033402, 0.133819,0.567645
9,0.157884, 0.212702,0.095509, 0.196494,0.157884, 0.212306,0.057718, 0.188250,0.078942, 0.194878,0.055950, 0.149272,0.053959, 0.188250,0.684305
10,0.146274, 0.189564,0.134369, 0.191007,0.159261, 0.206880,0.057416, 0.181817,0.079630, 0.175578,0.079630, 0.188565,0.053087, 0.156925,0.580668
11,0.113135, 0.194366,0.147541, 0.241760,0.147541, 0.193672,0.080587, 0.174071,0.083294, 0.180508,0.082699, 0.180874,0.047599, 0.132356,0.595211
12,0.162764, 0.210383,0.081382, 0.182910,0.154106, 0.193067,0.061581, 0.166351,0.154106, 0.199394,0.057918, 0.115216,0.086876, 0.173947,0.482536
13,0.123513, 0.192262,0.182576, 0.259271,0.139412, 0.203409,0.055877, 0.122716,0.076799, 0.165263,0.078261, 0.174006,0.060803, 0.165831,0.565517
14,0.074432, 0.202421,0.134578, 0.188999,0.134578, 0.186958,0.054017, 0.197099,0.091406, 0.162050,0.091406, 0.219443,0.091406, 0.171208,0.656355
15,0.191191, 0.247468,0.104963, 0.224524,0.095595, 0.224524,0.054600, 0.209926,0.063730, 0.154070,0.049962, 0.134144,0.095595, 0.149708,0.688727
16,0.150376, 0.198929,0.155978, 0.245663,0.115506, 0.187724,0.077989, 0.186591,0.075188, 0.187114,0.073341, 0.174866,0.051993, 0.118742,0.599258
17,0.138291, 0.211009,0.172649, 0.231379,0.092277, 0.162453,0.113705, 0.173040,0.049958, 0.171726,0.062179, 0.183853,0.065353, 0.172129,0.611176
