ó^Ç¶ÇΩèdóvìx,0.140000,0.220000,0.120000,0.220000,0.100000,0.220000,0.070000,0.210000,0.070000,0.190000,0.070000,0.170000,0.060000,0.140000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],wL[6],wR[6],ãÊä‘ïùÇÃëçòa
1,0.120383, 0.173963,0.076786, 0.259665,0.082427, 0.223631,0.121219, 0.285619,0.088113, 0.159315,0.016268, 0.180928,0.055107, 0.156575,0.879392
2,0.166751, 0.217840,0.083837, 0.224828,0.072060, 0.288443,0.081605, 0.243909,0.000001, 0.194916,0.005977, 0.254692,0.054201, 0.110940,1.071135
3,0.133710, 0.339122,0.027215, 0.312287,0.105786, 0.217820,0.047811, 0.159810,0.055680, 0.186829,0.034311, 0.208310,0.048781, 0.122528,1.093413
4,0.098155, 0.233027,0.103638, 0.265951,0.018597, 0.291121,0.079533, 0.216874,0.000001, 0.200963,0.064336, 0.161851,0.100482, 0.165470,1.070514
5,0.124762, 0.241744,0.084430, 0.362616,0.058493, 0.175148,0.000001, 0.279584,0.025212, 0.160822,0.074508, 0.179850,0.009306, 0.223523,1.246577
6,0.139135, 0.258675,0.071895, 0.230940,0.092922, 0.198905,0.000001, 0.246132,0.001588, 0.204687,0.072957, 0.206913,0.023355, 0.251896,1.196296
7,0.075305, 0.253089,0.071957, 0.207943,0.136987, 0.268246,0.072096, 0.196150,0.000001, 0.228277,0.000001, 0.238819,0.070373, 0.180756,1.146560
8,0.172897, 0.192219,0.102826, 0.230501,0.135597, 0.257646,0.067140, 0.230669,0.074033, 0.171026,0.012043, 0.181720,0.038958, 0.132725,0.793012
9,0.097949, 0.237007,0.101665, 0.185956,0.103384, 0.245532,0.003103, 0.217602,0.031162, 0.280969,0.052438, 0.167478,0.058153, 0.217602,1.104292
10,0.038532, 0.347441,0.086926, 0.253149,0.145289, 0.171908,0.051247, 0.237898,0.067310, 0.158598,0.086666, 0.188812,0.019616, 0.146609,1.008830
11,0.019490, 0.323181,0.061355, 0.337878,0.104617, 0.223772,0.075857, 0.156729,0.077470, 0.171660,0.065590, 0.214096,0.053524, 0.114780,1.084192
12,0.117683, 0.274373,0.044902, 0.237108,0.135275, 0.193375,0.064705, 0.171342,0.141341, 0.205962,0.053575, 0.083733,0.092661, 0.183965,0.699715
13,0.110159, 0.254708,0.127486, 0.339896,0.123393, 0.202228,0.057058, 0.097561,0.080851, 0.135637,0.086801, 0.175927,0.064973, 0.143322,0.698557
14,0.060544, 0.258761,0.104248, 0.154445,0.036890, 0.263103,0.063220, 0.272383,0.000001, 0.306649,0.047648, 0.233982,0.068778, 0.129347,1.237340
15,0.178517, 0.235447,0.099300, 0.227605,0.055921, 0.228130,0.078531, 0.287061,0.038487, 0.136857,0.020180, 0.215365,0.041635, 0.156965,0.974858
16,0.110058, 0.213401,0.099588, 0.313748,0.130197, 0.213401,0.085259, 0.219231,0.059397, 0.178913,0.067174, 0.190359,0.042804, 0.076471,0.811045
17,0.100522, 0.226335,0.103774, 0.332331,0.081772, 0.189933,0.098109, 0.221537,0.045039, 0.172712,0.014315, 0.175814,0.074493, 0.163313,0.963953
18,0.138620, 0.330565,0.044671, 0.260085,0.114504, 0.145581,0.067370, 0.201935,0.057731, 0.269306,0.067326, 0.163684,0.034070, 0.104550,0.951413
19,0.000001, 0.363472,0.084627, 0.275761,0.040054, 0.246090,0.000001, 0.296599,0.060159, 0.129692,0.035981, 0.233781,0.100738, 0.133043,1.356877
20,0.086887, 0.241427,0.071234, 0.282156,0.088347, 0.208349,0.000001, 0.270016,0.000001, 0.271258,0.055163, 0.176695,0.055979, 0.192487,1.284776
21,0.111387, 0.238941,0.151232, 0.243790,0.126353, 0.249143,0.018968, 0.172116,0.069806, 0.197511,0.036737, 0.187748,0.000001, 0.196265,0.971030
22,0.085352, 0.280644,0.058935, 0.284111,0.043722, 0.245171,0.048267, 0.192274,0.090764, 0.154407,0.092649, 0.214730,0.059784, 0.149189,1.041054
23,0.115981, 0.251751,0.131745, 0.234571,0.150465, 0.183866,0.055945, 0.078340,0.083917, 0.215194,0.019846, 0.231905,0.061053, 0.185421,0.762097
24,0.111780, 0.180406,0.056058, 0.304754,0.003680, 0.305739,0.077355, 0.228384,0.032836, 0.265990,0.000001, 0.255691,0.022617, 0.154709,1.391345
25,0.079231, 0.193886,0.086589, 0.245754,0.013866, 0.326276,0.089374, 0.244553,0.053421, 0.233418,0.082281, 0.192889,0.021903, 0.136558,1.146670
26,0.073767, 0.224950,0.009073, 0.285994,0.147533, 0.296292,0.072863, 0.160716,0.072243, 0.193163,0.068966, 0.172093,0.024818, 0.197528,1.061474
27,0.108575, 0.197955,0.158967, 0.329318,0.148645, 0.254711,0.054287, 0.088013,0.079484, 0.123473,0.048427, 0.190996,0.093762, 0.123387,0.615706
28,0.099580, 0.272812,0.076714, 0.293725,0.000001, 0.289833,0.076075, 0.167698,0.084369, 0.188443,0.060943, 0.147623,0.068203, 0.173982,1.068230
29,0.101499, 0.293967,0.123763, 0.195308,0.118810, 0.245405,0.074620, 0.219642,0.000001, 0.246893,0.000001, 0.171146,0.049410, 0.159535,1.063793
30,0.104802, 0.254216,0.100903, 0.322183,0.044462, 0.226057,0.080692, 0.166177,0.085890, 0.218268,0.024239, 0.184337,0.026555, 0.161217,1.064913
31,0.000001, 0.321210,0.134691, 0.280524,0.000001, 0.257040,0.058567, 0.227043,0.069346, 0.117670,0.072416, 0.237287,0.000001, 0.224204,1.329955
