ó^Ç¶ÇΩèdóvìx,0.095000,0.225000,0.090000,0.210000,0.085000,0.195000,0.080000,0.180000,0.075000,0.165000,0.070000,0.150000,0.065000,0.135000,0.060000,0.120000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],wL[6],wR[6],wL[7],wR[7],ãÊä‘ïùÇÃëçòa
1,0.110077, 0.211156,0.101812, 0.191332,0.067390, 0.193327,0.088434, 0.133572,0.092794, 0.174928,0.066786, 0.121437,0.080675, 0.149404,0.095044, 0.121831,0.593973
2,0.102429, 0.159953,0.063155, 0.209979,0.116872, 0.178377,0.094755, 0.248198,0.058927, 0.196336,0.076105, 0.126310,0.055286, 0.133656,0.039988, 0.139674,0.784965
3,0.095238, 0.189194,0.150829, 0.178142,0.075272, 0.131714,0.143956, 0.158877,0.083947, 0.163314,0.074065, 0.095238,0.065857, 0.169867,0.056083, 0.168408,0.509507
4,0.089411, 0.205942,0.095412, 0.192600,0.069709, 0.253578,0.073748, 0.136080,0.083235, 0.162575,0.065786, 0.181116,0.060193, 0.156367,0.078835, 0.095412,0.767342
5,0.137213, 0.223072,0.111536, 0.186782,0.129370, 0.178366,0.079151, 0.163455,0.074197, 0.138903,0.073221, 0.135264,0.088594, 0.151174,0.045906, 0.083796,0.521624
6,0.099316, 0.228670,0.089646, 0.267574,0.076483, 0.149057,0.071204, 0.198632,0.075231, 0.184410,0.078265, 0.150462,0.066358, 0.115231,0.050504, 0.098956,0.785985
7,0.181541, 0.246354,0.120442, 0.198841,0.109657, 0.191307,0.091664, 0.147556,0.072085, 0.115856,0.060002, 0.133869,0.066934, 0.114426,0.057801, 0.091664,0.479748
8,0.101677, 0.227478,0.089630, 0.205371,0.066468, 0.158297,0.066629, 0.125899,0.135091, 0.248688,0.055004, 0.132937,0.095336, 0.135091,0.064909, 0.091494,0.650511
9,0.095360, 0.244508,0.112744, 0.195516,0.089174, 0.144605,0.084354, 0.245635,0.067485, 0.130197,0.068742, 0.095360,0.095495, 0.171716,0.065099, 0.094008,0.643092
10,0.118816, 0.239265,0.116696, 0.173382,0.119391, 0.239176,0.092586, 0.118431,0.051814, 0.133380,0.058814, 0.127783,0.118431, 0.131918,0.042386, 0.117731,0.562131
11,0.113268, 0.211425,0.200959, 0.222952,0.111476, 0.138994,0.094064, 0.185860,0.083419, 0.115955,0.064667, 0.113268,0.057977, 0.138432,0.053184, 0.094097,0.441968
12,0.112242, 0.169605,0.137463, 0.193139,0.114815, 0.224483,0.078019, 0.149745,0.069132, 0.137463,0.059214, 0.140969,0.066866, 0.161435,0.062857, 0.122552,0.598784
13,0.126049, 0.179662,0.124895, 0.165105,0.082785, 0.252098,0.072053, 0.169585,0.085373, 0.185959,0.072070, 0.144105,0.048333, 0.091312,0.075720, 0.124895,0.625444
14,0.092747, 0.228701,0.072015, 0.212521,0.098104, 0.133848,0.114351, 0.216117,0.102587, 0.159348,0.066446, 0.099262,0.068028, 0.144029,0.089310, 0.102587,0.592826
15,0.098901, 0.166113,0.122277, 0.158943,0.124725, 0.244555,0.090162, 0.128051,0.059979, 0.108553,0.107390, 0.148416,0.054269, 0.181046,0.074208, 0.132413,0.536177
16,0.122848, 0.233318,0.081315, 0.199799,0.067960, 0.129092,0.064546, 0.154630,0.100158, 0.165925,0.094833, 0.218672,0.089398, 0.127356,0.053229, 0.096922,0.651428
17,0.093726, 0.220702,0.066005, 0.190949,0.090389, 0.222616,0.095474, 0.211733,0.077340, 0.150435,0.090675, 0.159450,0.072208, 0.093726,0.074183, 0.090389,0.679999
18,0.101269, 0.189975,0.134869, 0.205466,0.070040, 0.151053,0.075689, 0.206012,0.093017, 0.178683,0.081295, 0.140080,0.083301, 0.134869,0.066426, 0.087957,0.588189
19,0.087096, 0.225059,0.069352, 0.222433,0.095670, 0.187855,0.093914, 0.184411,0.092202, 0.191341,0.058220, 0.145629,0.070069, 0.095922,0.053673, 0.127153,0.759606
20,0.120884, 0.181978,0.087784, 0.285076,0.077169, 0.120884,0.071805, 0.175568,0.137427, 0.162180,0.057678, 0.168743,0.076972, 0.115357,0.079261, 0.081235,0.582040
21,0.082785, 0.101370,0.096469, 0.196704,0.173809, 0.204651,0.093013, 0.190430,0.096102, 0.192939,0.050685, 0.130049,0.064951, 0.093398,0.097870, 0.134776,0.488634
22,0.142041, 0.182126,0.085126, 0.200184,0.083924, 0.197357,0.060709, 0.094784,0.083918, 0.221167,0.061728, 0.187195,0.090592, 0.172127,0.053106, 0.083918,0.677714
23,0.110685, 0.213643,0.107121, 0.119533,0.146213, 0.221370,0.105619, 0.171246,0.081265, 0.154963,0.100794, 0.107121,0.044785, 0.100352,0.050059, 0.165232,0.506921
24,0.123035, 0.205601,0.103236, 0.131576,0.064255, 0.123035,0.087537, 0.207759,0.101301, 0.190236,0.094445, 0.178338,0.088219, 0.131726,0.065863, 0.103838,0.544219
25,0.100815, 0.207923,0.101497, 0.205448,0.100596, 0.225070,0.061076, 0.203443,0.112518, 0.138543,0.066584, 0.069954,0.069930, 0.125344,0.068685, 0.142574,0.636599
26,0.093014, 0.227337,0.113128, 0.191567,0.095829, 0.159994,0.067794, 0.191658,0.108689, 0.171008,0.067567, 0.117695,0.064712, 0.142620,0.053010, 0.134379,0.672514
