ó^Ç¶ÇΩèdóvìx,0.100000,0.220000,0.100000,0.200000,0.100000,0.180000,0.100000,0.160000,0.090000,0.150000,0.070000,0.150000,0.050000,0.150000,0.030000,0.150000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],wL[6],wR[6],wL[7],wR[7],ãÊä‘ïùÇÃëçòa
1,0.064984, 0.237933,0.037292, 0.297297,0.059906, 0.194325,0.060295, 0.178485,0.036000, 0.240273,0.082842, 0.168230,0.021647, 0.152934,0.023826, 0.143731,1.226415
2,0.050109, 0.201474,0.152957, 0.255132,0.104441, 0.201474,0.075981, 0.201474,0.000001, 0.240014,0.055759, 0.195852,0.021640, 0.117919,0.014001, 0.111771,1.050221
3,0.038214, 0.331017,0.060142, 0.287346,0.012280, 0.237963,0.000001, 0.239264,0.000001, 0.191396,0.000001, 0.231057,0.000001, 0.181364,0.000001, 0.189951,1.778718
4,0.060118, 0.177081,0.090790, 0.218263,0.000001, 0.250847,0.134633, 0.193149,0.067317, 0.208503,0.000001, 0.198937,0.055003, 0.193149,0.009209, 0.142998,1.165854
5,0.022948, 0.297788,0.062934, 0.171066,0.085921, 0.273861,0.073951, 0.157551,0.047112, 0.171842,0.006346, 0.229393,0.046842, 0.154569,0.000001, 0.197873,1.307888
6,0.110035, 0.234825,0.063119, 0.195875,0.120800, 0.202772,0.067670, 0.161786,0.076130, 0.202772,0.055018, 0.141465,0.000001, 0.193272,0.026429, 0.148030,0.961595
7,0.109361, 0.219843,0.086302, 0.184362,0.000001, 0.310902,0.101523, 0.205092,0.073580, 0.137586,0.073580, 0.120169,0.040519, 0.195686,0.034197, 0.107297,0.961875
8,0.062014, 0.276018,0.000001, 0.242582,0.061766, 0.284018,0.074019, 0.205121,0.066046, 0.196336,0.041330, 0.144408,0.016803, 0.205854,0.000001, 0.123683,1.356041
9,0.020936, 0.301163,0.039417, 0.263327,0.072022, 0.229141,0.080188, 0.190096,0.051907, 0.199686,0.014091, 0.223022,0.053683, 0.114570,0.037516, 0.109235,1.260479
10,0.031515, 0.294550,0.067812, 0.265450,0.116426, 0.156541,0.058213, 0.187871,0.102582, 0.158860,0.045441, 0.130721,0.061996, 0.162021,0.004077, 0.155923,1.023875
11,0.077342, 0.243853,0.077342, 0.157255,0.067504, 0.231603,0.138731, 0.142650,0.088591, 0.186221,0.018260, 0.234484,0.070345, 0.141581,0.000001, 0.124238,0.923768
12,0.066614, 0.220021,0.163138, 0.220021,0.049083, 0.200342,0.097992, 0.122029,0.081569, 0.134888,0.056094, 0.207215,0.000001, 0.240559,0.035807, 0.104627,0.899405
13,0.019394, 0.223438,0.077847, 0.293022,0.000001, 0.293232,0.000001, 0.243713,0.060708, 0.169476,0.050291, 0.174849,0.000001, 0.236930,0.000001, 0.157097,1.583513
