ó^Ç¶ÇΩèdóvìx,0.110000,0.210000,0.100000,0.200000,0.090000,0.190000,0.080000,0.180000,0.070000,0.170000,0.060000,0.160000,0.050000,0.150000,0.040000,0.140000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],wL[6],wR[6],wL[7],wR[7],ãÊä‘ïùÇÃëçòa
1,0.152344, 0.152344,0.127309, 0.127309,0.187027, 0.187027,0.119421, 0.119421,0.135495, 0.135495,0.093200, 0.093200,0.099982, 0.099982,0.085223, 0.085223,0.000000
2,0.158412, 0.158412,0.170341, 0.170341,0.184579, 0.184579,0.120730, 0.120730,0.122410, 0.122410,0.071979, 0.071979,0.096161, 0.096161,0.075388, 0.075388,0.000000
3,0.141866, 0.141866,0.158045, 0.158045,0.159458, 0.159458,0.130731, 0.130731,0.119609, 0.119609,0.090682, 0.090682,0.092021, 0.092021,0.107588, 0.107588,0.000000
4,0.181276, 0.181276,0.185014, 0.185014,0.107719, 0.107719,0.113635, 0.113635,0.134401, 0.134401,0.136229, 0.136229,0.095895, 0.095895,0.045830, 0.045830,0.000000
5,0.150550, 0.150550,0.126143, 0.126143,0.131923, 0.131923,0.133639, 0.133639,0.113441, 0.113441,0.176698, 0.176698,0.081276, 0.081276,0.086331, 0.086331,0.000000
6,0.148007, 0.148007,0.160377, 0.160377,0.143070, 0.143070,0.155321, 0.155321,0.130026, 0.130026,0.107644, 0.107644,0.087788, 0.087788,0.067767, 0.067767,0.000000
7,0.180575, 0.180575,0.109434, 0.109434,0.145434, 0.145434,0.135294, 0.135294,0.105513, 0.105513,0.153367, 0.153367,0.095724, 0.095724,0.074659, 0.074659,0.000000
8,0.154635, 0.154635,0.136205, 0.136205,0.148973, 0.148973,0.130104, 0.130104,0.127400, 0.127400,0.095052, 0.095052,0.134401, 0.134401,0.073229, 0.073229,0.000000
9,0.146652, 0.146652,0.151739, 0.151739,0.123456, 0.123456,0.139853, 0.139853,0.111670, 0.111670,0.146042, 0.146042,0.052015, 0.052015,0.128574, 0.128574,0.000000
10,0.154694, 0.154694,0.202465, 0.202465,0.100912, 0.100912,0.100515, 0.100515,0.111805, 0.111805,0.125037, 0.125037,0.085345, 0.085345,0.119226, 0.119226,0.000000
11,0.126692, 0.126692,0.144100, 0.144100,0.152897, 0.152897,0.137821, 0.137821,0.108378, 0.108378,0.118295, 0.118295,0.097617, 0.097617,0.114201, 0.114201,0.000000
12,0.153833, 0.153833,0.136239, 0.136239,0.154436, 0.154436,0.138582, 0.138582,0.136264, 0.136264,0.107987, 0.107987,0.121422, 0.121422,0.051237, 0.051237,0.000000
13,0.156514, 0.156514,0.165191, 0.165191,0.141466, 0.141466,0.127932, 0.127932,0.125422, 0.125422,0.114503, 0.114503,0.087119, 0.087119,0.081854, 0.081854,0.000000
14,0.135336, 0.135336,0.164809, 0.164809,0.152159, 0.152159,0.129560, 0.129560,0.116990, 0.116990,0.073486, 0.073486,0.105374, 0.105374,0.122286, 0.122286,0.000000
