No.,tL,tR
true,0.769231,1.428571
0,0.850889,1.212475
1,0.832215,1.252524
2,0.846726,1.221030
3,0.864777,1.185352
4,0.846317,1.221883
5,0.832938,1.250894
6,0.824716,1.269906
7,0.853254,1.207706
8,0.869956,1.175754
9,0.836924,1.242006
10,0.793110,1.352920
11,0.858069,1.198189
12,0.805573,1.318133
13,0.842539,1.229844
14,0.847606,1.219204
15,0.848752,1.216840
16,0.825990,1.266894
17,0.883509,1.151877
18,0.848158,1.218067
19,0.818928,1.283873
20,0.828031,1.262121
21,0.821504,1.277593
22,0.853216,1.207781
23,0.835086,1.246075
24,0.849041,1.216252
25,0.817310,1.287876
26,0.791593,1.357362
27,0.822908,1.274218
28,0.840280,1.234690
29,0.808334,1.310810
30,0.801826,1.328293
31,0.818912,1.283916
32,0.881751,1.154880
33,0.828437,1.261179
34,0.846611,1.221271
35,0.844789,1.225080
36,0.874998,1.166672
37,0.864174,1.186486
38,0.854993,1.204240
39,0.826283,1.266204
40,0.827912,1.262398
41,0.877045,1.163052
42,0.837229,1.241335
43,0.838367,1.238844
44,0.908370,1.112191
45,0.816673,1.289457
46,0.778756,1.396841
47,0.862221,1.190184
48,0.843446,1.227916
49,0.839798,1.235732
50,0.839957,1.235388
51,0.806884,1.314636
52,0.828643,1.260705
53,0.849527,1.215250
54,0.844025,1.226690
55,0.912844,1.105558
56,0.836262,1.243466
57,0.846883,1.220706
58,0.814607,1.294641
59,0.848917,1.216501
60,0.836269,1.243453
61,0.793259,1.352485
62,0.826433,1.265855
63,0.795553,1.345877
64,0.795205,1.346872
65,0.870370,1.175003
66,0.843230,1.228373
67,0.810570,1.304975
68,0.866910,1.181364
69,0.795977,1.344663
70,0.842597,1.229720
71,0.801825,1.328295
72,0.812839,1.299133
73,0.814750,1.294282
74,0.859149,1.196091
75,0.812743,1.299380
76,0.775185,1.408478
77,0.833289,1.250100
78,0.839790,1.235750
79,0.806506,1.315642
80,0.811663,1.302146
81,0.811408,1.302803
82,0.822635,1.274870
83,0.860193,1.194073
84,0.835926,1.244211
85,0.859728,1.194972
86,0.886523,1.146792
87,0.812270,1.300588
88,0.888021,1.144297
89,0.782493,1.384980
90,0.826354,1.266044
91,0.817598,1.287160
92,0.861619,1.191336
93,0.848066,1.218258
94,0.831811,1.253439
95,0.837694,1.240316
96,0.853941,1.206331
97,0.827253,1.263935
98,0.814807,1.294138
99,0.807604,1.312730
100,0.895510,1.132095
101,0.829970,1.257642
102,0.869431,1.176718
103,0.818710,1.284414
104,0.832751,1.251314
105,0.776041,1.405665
106,0.845483,1.223622
107,0.811166,1.303431
108,0.827913,1.262398
109,0.868483,1.178459
110,0.849634,1.215037
111,0.854272,1.205675
112,0.825836,1.267257
113,0.831977,1.253065
114,0.815727,1.291824
115,0.868561,1.178314
116,0.805533,1.318239
117,0.817006,1.288628
118,0.809428,1.307944
119,0.834445,1.247510
120,0.816043,1.291031
121,0.800862,1.330945
122,0.792323,1.355217
123,0.792843,1.353697
124,0.815052,1.293520
125,0.833941,1.248633
126,0.827224,1.264002
127,0.844266,1.226183
128,0.781956,1.386668
129,0.799158,1.335677
130,0.835454,1.245259
131,0.895742,1.131726
132,0.847676,1.219060
133,0.797607,1.340034
134,0.840069,1.235146
135,0.827658,1.262988
136,0.829476,1.258780
137,0.786690,1.372021
138,0.858455,1.197437
139,0.876536,1.163951
140,0.838600,1.238336
141,0.829262,1.259276
142,0.781945,1.386699
143,0.799646,1.334319
144,0.821920,1.276590
145,0.821145,1.278467
146,0.850928,1.212397
147,0.823524,1.272739
148,0.847206,1.220034
149,0.936335,1.072957
150,0.837912,1.239840
151,0.803100,1.324812
152,0.792422,1.354927
153,0.780161,1.392343
154,0.805150,1.319266
155,0.809028,1.308990
156,0.852184,1.209855
157,0.827170,1.264130
158,0.836568,1.242790
159,0.840721,1.233738
160,0.792874,1.353605
161,0.829410,1.258934
162,0.824222,1.271076
163,0.847074,1.220308
164,0.842899,1.229080
165,0.878539,1.160433
166,0.845224,1.224169
167,0.833351,1.249958
168,0.812284,1.300552
169,0.811297,1.303088
170,0.836623,1.242670
171,0.794936,1.347644
172,0.832911,1.250951
173,0.804673,1.320554
174,0.827923,1.262376
175,0.838899,1.237679
176,0.832586,1.251685
177,0.798887,1.336441
178,0.808585,1.310149
179,0.854869,1.204487
180,0.838921,1.237634
181,0.844714,1.225241
182,0.837051,1.241729
183,0.813892,1.296450
184,0.828564,1.260885
185,0.811178,1.303397
186,0.820393,1.280288
187,0.813727,1.296865
188,0.814639,1.294560
189,0.919324,1.096197
190,0.851161,1.211927
191,0.841969,1.231060
192,0.809325,1.308212
193,0.820044,1.281146
194,0.831044,1.255182
195,0.885090,1.149198
196,0.875572,1.165649
197,0.844597,1.225487
198,0.790974,1.359185
199,0.848633,1.217088
200,0.865458,1.184072
201,0.810706,1.304620
202,0.780223,1.392147
203,0.788522,1.366486
204,0.866573,1.181994
205,0.829486,1.258759
206,0.844887,1.224876
207,0.850253,1.213770
208,0.775467,1.407549
209,0.821535,1.277514
210,0.801481,1.329238
211,0.826082,1.266677
212,0.830084,1.257384
213,0.824451,1.270530
214,0.864167,1.186496
215,0.811781,1.301844
216,0.815663,1.291983
217,0.845569,1.223447
218,0.775000,1.409092
219,0.807050,1.314202
