ó^Ç¶ÇΩèdóvìx,0.120000,0.200000,0.100000,0.200000,0.080000,0.200000,0.060000,0.200000,0.050000,0.190000,0.050000,0.170000,0.050000,0.150000,0.050000,0.130000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],wL[6],wR[6],wL[7],wR[7],ãÊä‘ïùÇÃëçòa
1,0.159722, 0.159722,0.211703, 0.211703,0.120202, 0.120202,0.137434, 0.137434,0.100904, 0.100904,0.121061, 0.121061,0.062862, 0.062862,0.086112, 0.086112,0.000000
2,0.127711, 0.127711,0.142368, 0.142368,0.141895, 0.141895,0.119157, 0.119157,0.153782, 0.153782,0.101607, 0.101607,0.123812, 0.123812,0.089668, 0.089668,0.000000
3,0.154925, 0.154925,0.145294, 0.145294,0.187605, 0.187605,0.115319, 0.115319,0.114536, 0.114536,0.064158, 0.064158,0.115044, 0.115044,0.103120, 0.103120,0.000000
4,0.186993, 0.186993,0.193922, 0.193922,0.119914, 0.119914,0.126787, 0.126787,0.120596, 0.120596,0.097045, 0.097045,0.092955, 0.092955,0.061789, 0.061789,0.000000
5,0.163983, 0.163983,0.204142, 0.204142,0.093939, 0.093939,0.092869, 0.092869,0.071150, 0.071150,0.162924, 0.162924,0.094001, 0.094001,0.116992, 0.116992,0.000000
6,0.208539, 0.208539,0.119992, 0.119992,0.086546, 0.086546,0.145190, 0.145190,0.132851, 0.132851,0.118485, 0.118485,0.125614, 0.125614,0.062783, 0.062783,0.000000
7,0.211390, 0.211390,0.119233, 0.119233,0.109196, 0.109196,0.097952, 0.097952,0.113674, 0.113674,0.159658, 0.159658,0.105257, 0.105257,0.083640, 0.083640,0.000000
8,0.211962, 0.211962,0.125950, 0.125950,0.171713, 0.171713,0.112213, 0.112213,0.165577, 0.165577,0.056079, 0.056079,0.079016, 0.079016,0.077490, 0.077490,0.000000
9,0.148398, 0.148398,0.216070, 0.216070,0.158688, 0.158688,0.120202, 0.120202,0.117025, 0.117025,0.085733, 0.085733,0.075779, 0.075779,0.078106, 0.078106,0.000000
10,0.129942, 0.129942,0.163611, 0.163611,0.127165, 0.127165,0.158244, 0.158244,0.093233, 0.093233,0.102256, 0.102256,0.124525, 0.124525,0.101025, 0.101025,0.000000
11,0.191236, 0.191236,0.133150, 0.133150,0.086226, 0.086226,0.122069, 0.122069,0.130291, 0.130291,0.166675, 0.166675,0.095032, 0.095032,0.075319, 0.075319,0.000000
12,0.158103, 0.158103,0.163561, 0.163561,0.161511, 0.161511,0.099862, 0.099862,0.105984, 0.105984,0.092783, 0.092783,0.108983, 0.108983,0.109213, 0.109213,0.000000
13,0.201823, 0.201823,0.131128, 0.131128,0.125658, 0.125658,0.072187, 0.072187,0.099324, 0.099324,0.144920, 0.144920,0.106268, 0.106268,0.118692, 0.118692,0.000000
14,0.200615, 0.200615,0.142260, 0.142260,0.139793, 0.139793,0.100887, 0.100887,0.127707, 0.127707,0.099559, 0.099559,0.106477, 0.106477,0.082702, 0.082702,0.000000
15,0.172748, 0.172748,0.153747, 0.153747,0.115871, 0.115871,0.121193, 0.121193,0.151942, 0.151942,0.105581, 0.105581,0.086112, 0.086112,0.092805, 0.092805,0.000000
16,0.157416, 0.157416,0.161367, 0.161367,0.158042, 0.158042,0.145670, 0.145670,0.128101, 0.128101,0.094729, 0.094729,0.073883, 0.073883,0.080792, 0.080792,0.000000
17,0.169273, 0.169273,0.128440, 0.128440,0.159094, 0.159094,0.099403, 0.099403,0.143264, 0.143264,0.123216, 0.123216,0.112957, 0.112957,0.064353, 0.064353,0.000000
18,0.185609, 0.185609,0.124554, 0.124554,0.130183, 0.130183,0.106763, 0.106763,0.106413, 0.106413,0.158426, 0.158426,0.084098, 0.084098,0.103953, 0.103953,0.000000
19,0.205320, 0.205320,0.156288, 0.156288,0.131190, 0.131190,0.131231, 0.131231,0.106770, 0.106770,0.048405, 0.048405,0.100716, 0.100716,0.120080, 0.120080,0.000000
20,0.194436, 0.194436,0.119297, 0.119297,0.127631, 0.127631,0.131079, 0.131079,0.111360, 0.111360,0.126983, 0.126983,0.114183, 0.114183,0.075030, 0.075030,0.000000
21,0.160981, 0.160981,0.114538, 0.114538,0.181819, 0.181819,0.121156, 0.121156,0.115973, 0.115973,0.086747, 0.086747,0.105310, 0.105310,0.113476, 0.113476,0.000000
22,0.174443, 0.174443,0.156211, 0.156211,0.143741, 0.143741,0.116942, 0.116942,0.095051, 0.095051,0.113796, 0.113796,0.089460, 0.089460,0.110356, 0.110356,0.000000
23,0.154786, 0.154786,0.124765, 0.124765,0.167751, 0.167751,0.113874, 0.113874,0.171017, 0.171017,0.068377, 0.068377,0.109514, 0.109514,0.089915, 0.089915,0.000000
24,0.225356, 0.225356,0.115211, 0.115211,0.167449, 0.167449,0.106191, 0.106191,0.125921, 0.125921,0.101386, 0.101386,0.076268, 0.076268,0.082219, 0.082219,0.000000
25,0.186616, 0.186616,0.178729, 0.178729,0.140638, 0.140638,0.103025, 0.103025,0.128634, 0.128634,0.048324, 0.048324,0.082324, 0.082324,0.131711, 0.131711,0.000000
26,0.202493, 0.202493,0.152389, 0.152389,0.179571, 0.179571,0.129898, 0.129898,0.076299, 0.076299,0.087682, 0.087682,0.085275, 0.085275,0.086393, 0.086393,0.000000
27,0.152185, 0.152185,0.150130, 0.150130,0.104950, 0.104950,0.163259, 0.163259,0.105537, 0.105537,0.081606, 0.081606,0.160172, 0.160172,0.082163, 0.082163,0.000000
28,0.159068, 0.159068,0.153902, 0.153902,0.178066, 0.178066,0.096874, 0.096874,0.098148, 0.098148,0.130148, 0.130148,0.074021, 0.074021,0.109772, 0.109772,0.000000
29,0.149751, 0.149751,0.148153, 0.148153,0.164149, 0.164149,0.141600, 0.141600,0.126215, 0.126215,0.096615, 0.096615,0.086312, 0.086312,0.087205, 0.087205,0.000000
30,0.140067, 0.140067,0.170877, 0.170877,0.163336, 0.163336,0.161793, 0.161793,0.120386, 0.120386,0.065312, 0.065312,0.083620, 0.083620,0.094609, 0.094609,0.000000
31,0.119854, 0.119854,0.199663, 0.199663,0.109168, 0.109168,0.119461, 0.119461,0.102304, 0.102304,0.125088, 0.125088,0.098892, 0.098892,0.125570, 0.125570,0.000000
32,0.184191, 0.184191,0.124400, 0.124400,0.112630, 0.112630,0.171476, 0.171476,0.104148, 0.104148,0.099688, 0.099688,0.112779, 0.112779,0.090688, 0.090688,0.000000
33,0.210276, 0.210276,0.119748, 0.119748,0.131689, 0.131689,0.107071, 0.107071,0.103327, 0.103327,0.163272, 0.163272,0.087630, 0.087630,0.076988, 0.076988,0.000000
34,0.135792, 0.135792,0.169257, 0.169257,0.164945, 0.164945,0.107218, 0.107218,0.085998, 0.085998,0.127738, 0.127738,0.111002, 0.111002,0.098050, 0.098050,0.000000
35,0.185520, 0.185520,0.156119, 0.156119,0.115968, 0.115968,0.143550, 0.143550,0.104976, 0.104976,0.075920, 0.075920,0.108638, 0.108638,0.109310, 0.109310,0.000000
36,0.141009, 0.141009,0.104682, 0.104682,0.138022, 0.138022,0.134506, 0.134506,0.188391, 0.188391,0.112804, 0.112804,0.103199, 0.103199,0.077388, 0.077388,0.000000
37,0.176456, 0.176456,0.129666, 0.129666,0.124016, 0.124016,0.092825, 0.092825,0.071976, 0.071976,0.112880, 0.112880,0.171334, 0.171334,0.120847, 0.120847,0.000000
38,0.185099, 0.185099,0.112274, 0.112274,0.094723, 0.094723,0.132594, 0.132594,0.129320, 0.129320,0.162070, 0.162070,0.092450, 0.092450,0.091471, 0.091471,0.000000
39,0.182245, 0.182245,0.153208, 0.153208,0.165557, 0.165557,0.090448, 0.090448,0.128418, 0.128418,0.064245, 0.064245,0.125466, 0.125466,0.090413, 0.090413,0.000000
40,0.167898, 0.167898,0.152574, 0.152574,0.161157, 0.161157,0.095455, 0.095455,0.079405, 0.079405,0.115203, 0.115203,0.140584, 0.140584,0.087725, 0.087725,0.000000
41,0.212071, 0.212071,0.129862, 0.129862,0.129716, 0.129716,0.120180, 0.120180,0.109084, 0.109084,0.109633, 0.109633,0.088625, 0.088625,0.100829, 0.100829,0.000000
42,0.194147, 0.194147,0.150320, 0.150320,0.126340, 0.126340,0.092710, 0.092710,0.146808, 0.146808,0.142025, 0.142025,0.069595, 0.069595,0.078056, 0.078056,0.000000
43,0.161300, 0.161300,0.155233, 0.155233,0.142876, 0.142876,0.106036, 0.106036,0.086258, 0.086258,0.172724, 0.172724,0.064743, 0.064743,0.110830, 0.110830,0.000000
44,0.164609, 0.164609,0.174771, 0.174771,0.151752, 0.151752,0.092726, 0.092726,0.071363, 0.071363,0.102130, 0.102130,0.125923, 0.125923,0.116726, 0.116726,0.000000
45,0.178439, 0.178439,0.126035, 0.126035,0.098974, 0.098974,0.153549, 0.153549,0.071074, 0.071074,0.143163, 0.143163,0.120718, 0.120718,0.108048, 0.108048,0.000000
46,0.147167, 0.147167,0.164864, 0.164864,0.130170, 0.130170,0.116047, 0.116047,0.131886, 0.131886,0.127376, 0.127376,0.058412, 0.058412,0.124078, 0.124078,0.000000
47,0.163101, 0.163101,0.180050, 0.180050,0.143704, 0.143704,0.130940, 0.130940,0.078111, 0.078111,0.114147, 0.114147,0.101490, 0.101490,0.088457, 0.088457,0.000000
48,0.161374, 0.161374,0.165254, 0.165254,0.155786, 0.155786,0.122402, 0.122402,0.095559, 0.095559,0.106782, 0.106782,0.106666, 0.106666,0.086178, 0.086178,0.000000
49,0.136964, 0.136964,0.154123, 0.154123,0.167814, 0.167814,0.134047, 0.134047,0.071869, 0.071869,0.131638, 0.131638,0.121125, 0.121125,0.082420, 0.082420,0.000000
50,0.156611, 0.156611,0.160688, 0.160688,0.176935, 0.176935,0.118666, 0.118666,0.104239, 0.104239,0.127887, 0.127887,0.068231, 0.068231,0.086742, 0.086742,0.000000
51,0.162427, 0.162427,0.123107, 0.123107,0.179040, 0.179040,0.094555, 0.094555,0.120908, 0.120908,0.134530, 0.134530,0.091078, 0.091078,0.094355, 0.094355,0.000000
52,0.157733, 0.157733,0.183510, 0.183510,0.106787, 0.106787,0.143799, 0.143799,0.090092, 0.090092,0.115339, 0.115339,0.080665, 0.080665,0.122076, 0.122076,0.000000
53,0.165400, 0.165400,0.183807, 0.183807,0.137731, 0.137731,0.102386, 0.102386,0.138866, 0.138866,0.064237, 0.064237,0.100033, 0.100033,0.107540, 0.107540,0.000000
54,0.121015, 0.121015,0.162108, 0.162108,0.114324, 0.114324,0.151770, 0.151770,0.141792, 0.141792,0.082298, 0.082298,0.140282, 0.140282,0.086410, 0.086410,0.000000
55,0.224249, 0.224249,0.149758, 0.149758,0.119135, 0.119135,0.103228, 0.103228,0.115552, 0.115552,0.100847, 0.100847,0.070610, 0.070610,0.116621, 0.116621,0.000000
56,0.244597, 0.244597,0.121537, 0.121537,0.143584, 0.143584,0.097929, 0.097929,0.088633, 0.088633,0.136229, 0.136229,0.089875, 0.089875,0.077615, 0.077615,0.000000
57,0.152958, 0.152958,0.125899, 0.125899,0.156307, 0.156307,0.096055, 0.096055,0.187800, 0.187800,0.115898, 0.115898,0.091413, 0.091413,0.073670, 0.073670,0.000000
58,0.136088, 0.136088,0.148180, 0.148180,0.146859, 0.146859,0.173753, 0.173753,0.106761, 0.106761,0.103943, 0.103943,0.091102, 0.091102,0.093315, 0.093315,0.000000
59,0.125063, 0.125063,0.160456, 0.160456,0.145183, 0.145183,0.163523, 0.163523,0.083853, 0.083853,0.125542, 0.125542,0.118209, 0.118209,0.078171, 0.078171,0.000000
60,0.145574, 0.145574,0.154598, 0.154598,0.098649, 0.098649,0.183900, 0.183900,0.118708, 0.118708,0.131923, 0.131923,0.080291, 0.080291,0.086358, 0.086358,0.000000
61,0.137344, 0.137344,0.127374, 0.127374,0.113719, 0.113719,0.116321, 0.116321,0.175729, 0.175729,0.077380, 0.077380,0.124310, 0.124310,0.127824, 0.127824,0.000000
62,0.179091, 0.179091,0.137741, 0.137741,0.163454, 0.163454,0.114810, 0.114810,0.103062, 0.103062,0.110706, 0.110706,0.087914, 0.087914,0.103222, 0.103222,0.000000
63,0.210547, 0.210547,0.119842, 0.119842,0.144338, 0.144338,0.095738, 0.095738,0.118422, 0.118422,0.124476, 0.124476,0.094878, 0.094878,0.091760, 0.091760,0.000000
64,0.191008, 0.191008,0.128302, 0.128302,0.134360, 0.134360,0.142364, 0.142364,0.115041, 0.115041,0.077379, 0.077379,0.125914, 0.125914,0.085633, 0.085633,0.000000
