ó^Ç¶ÇΩèdóvìx,0.120000,0.200000,0.100000,0.200000,0.080000,0.200000,0.060000,0.200000,0.050000,0.190000,0.050000,0.170000,0.050000,0.150000,0.050000,0.130000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],wL[6],wR[6],wL[7],wR[7],ãÊä‘ïùÇÃëçòa
1,0.051263, 0.252044,0.070792, 0.274319,0.025632, 0.241251,0.019561, 0.195998,0.019561, 0.195998,0.023597, 0.207691,0.008849, 0.212376,0.011799, 0.189270,1.537893
2,0.052938, 0.263034,0.052938, 0.233257,0.026469, 0.205523,0.029777, 0.217045,0.029777, 0.233808,0.013234, 0.180718,0.026469, 0.217045,0.017646, 0.200321,1.501503
3,0.036284, 0.228818,0.024189, 0.213435,0.048379, 0.248804,0.030237, 0.241893,0.020158, 0.200318,0.020158, 0.235846,0.020158, 0.200318,0.018142, 0.212866,1.564593
4,0.062207, 0.238461,0.077759, 0.246236,0.044133, 0.217725,0.025920, 0.205777,0.023666, 0.205777,0.012960, 0.163294,0.023666, 0.215763,0.023666, 0.212992,1.412048
5,0.047721, 0.231146,0.075509, 0.245404,0.012585, 0.168717,0.034688, 0.223302,0.023860, 0.207650,0.052031, 0.248692,0.023860, 0.190016,0.018877, 0.195941,1.421737
6,0.044045, 0.254480,0.037269, 0.254995,0.037269, 0.254668,0.024846, 0.216157,0.014250, 0.170997,0.014250, 0.193796,0.018634, 0.209705,0.019125, 0.235516,1.580629
7,0.083805, 0.279350,0.027237, 0.200691,0.034046, 0.216722,0.013968, 0.176237,0.032043, 0.204275,0.054473, 0.226972,0.011715, 0.176237,0.027935, 0.234294,1.429557
8,0.080400, 0.257951,0.030422, 0.234501,0.046900, 0.211051,0.026800, 0.212978,0.040200, 0.211051,0.018155, 0.208781,0.015211, 0.207882,0.015633, 0.182083,1.452557
9,0.045325, 0.241731,0.055989, 0.237954,0.026604, 0.212089,0.022662, 0.199526,0.030216, 0.242713,0.022662, 0.225178,0.017736, 0.223956,0.013302, 0.182357,1.531009
10,0.048861, 0.264666,0.048861, 0.260594,0.034901, 0.226856,0.032574, 0.211733,0.012215, 0.202355,0.021716, 0.220472,0.016287, 0.184720,0.011634, 0.201553,1.545899
11,0.069131, 0.259240,0.034565, 0.239077,0.017283, 0.231187,0.023044, 0.237513,0.011522, 0.184813,0.023044, 0.207122,0.023044, 0.237156,0.008641, 0.193622,1.579456
12,0.057083, 0.256874,0.057083, 0.266387,0.019408, 0.187613,0.022568, 0.206212,0.019028, 0.206212,0.019408, 0.200552,0.019408, 0.207945,0.028542, 0.225677,1.514945
13,0.058440, 0.264197,0.032351, 0.247042,0.016175, 0.215671,0.019480, 0.245865,0.014610, 0.194800,0.018116, 0.199280,0.012078, 0.237239,0.014610, 0.210045,1.628280
14,0.071670, 0.297569,0.018395, 0.214611,0.019709, 0.202659,0.018395, 0.229940,0.013526, 0.185147,0.018395, 0.229940,0.023890, 0.216801,0.019709, 0.219644,1.592621
15,0.034876, 0.209255,0.046501, 0.248199,0.034876, 0.237871,0.017438, 0.189879,0.024112, 0.212008,0.023251, 0.237871,0.011625, 0.210977,0.025698, 0.235564,1.563248
16,0.029122, 0.220232,0.018967, 0.184480,0.040894, 0.260700,0.025290, 0.202319,0.037935, 0.258940,0.019414, 0.219806,0.014561, 0.228119,0.019414, 0.219806,1.588805
17,0.045681, 0.271547,0.014977, 0.228404,0.022466, 0.212179,0.015227, 0.212831,0.022840, 0.217830,0.015227, 0.204776,0.020303, 0.236017,0.014977, 0.244719,1.656604
18,0.070978, 0.260251,0.047318, 0.220819,0.015346, 0.146011,0.025810, 0.186965,0.038715, 0.214851,0.063091, 0.252365,0.023659, 0.193575,0.030693, 0.209553,1.368779
19,0.047534, 0.233707,0.028011, 0.208525,0.034287, 0.234291,0.023767, 0.173687,0.018240, 0.220767,0.015845, 0.234390,0.018674, 0.226577,0.036479, 0.245222,1.554330
20,0.051854, 0.253772,0.034197, 0.240116,0.018890, 0.210050,0.011399, 0.187995,0.018890, 0.223529,0.025186, 0.220381,0.028335, 0.239826,0.011399, 0.224180,1.599700
21,0.047736, 0.261298,0.030920, 0.240670,0.030920, 0.246637,0.020007, 0.174141,0.016591, 0.216888,0.020007, 0.226747,0.020613, 0.226747,0.013338, 0.206740,1.599734
22,0.065231, 0.276364,0.032616, 0.226498,0.017595, 0.205990,0.017712, 0.208016,0.016308, 0.198110,0.023460, 0.228739,0.017595, 0.205990,0.026568, 0.233206,1.565828
23,0.045980, 0.217127,0.045980, 0.240117,0.045980, 0.241730,0.017597, 0.204220,0.022990, 0.181665,0.022990, 0.228167,0.024159, 0.214937,0.026396, 0.219965,1.495858
24,0.092982, 0.294443,0.023245, 0.206177,0.060796, 0.246561,0.015497, 0.189446,0.015497, 0.199050,0.021289, 0.201790,0.015967, 0.196921,0.021289, 0.199050,1.466877
25,0.077628, 0.275699,0.061021, 0.259340,0.022713, 0.209760,0.025876, 0.202918,0.013449, 0.178094,0.011357, 0.224863,0.019407, 0.207009,0.020173, 0.190691,1.496751
26,0.089922, 0.269767,0.022481, 0.194672,0.047862, 0.247286,0.014987, 0.181152,0.013997, 0.199425,0.022481, 0.228623,0.018663, 0.216020,0.018663, 0.213998,1.501888
27,0.046598, 0.253243,0.022701, 0.232689,0.015265, 0.218464,0.030182, 0.226608,0.011351, 0.213706,0.015533, 0.227014,0.022701, 0.217455,0.020122, 0.226369,1.631095
28,0.056312, 0.280620,0.021586, 0.232466,0.016190, 0.181324,0.018771, 0.221396,0.014391, 0.218740,0.019188, 0.227854,0.018771, 0.237761,0.018771, 0.215862,1.632045
29,0.034716, 0.198379,0.020830, 0.173581,0.069433, 0.254586,0.069433, 0.266158,0.034716, 0.196726,0.023144, 0.190516,0.020830, 0.210777,0.023144, 0.213032,1.407509
30,0.033784, 0.236871,0.035050, 0.216144,0.044508, 0.268905,0.019206, 0.201806,0.019206, 0.227520,0.015932, 0.219593,0.020319, 0.220124,0.010160, 0.210873,1.603671
31,0.033617, 0.246562,0.067234, 0.277341,0.025213, 0.239438,0.011069, 0.199243,0.016809, 0.198551,0.033617, 0.235093,0.011206, 0.195305,0.007379, 0.202324,1.587712
32,0.065217, 0.255432,0.065217, 0.255432,0.032608, 0.202897,0.065217, 0.249998,0.019323, 0.186794,0.016304, 0.173911,0.021739, 0.183793,0.019323, 0.186794,1.390102
33,0.094463, 0.283388,0.035424, 0.212541,0.047231, 0.203685,0.035424, 0.212541,0.026989, 0.194323,0.053979, 0.207818,0.023616, 0.172497,0.015744, 0.180338,1.334263
34,0.030301, 0.226135,0.051998, 0.251324,0.032650, 0.217666,0.018719, 0.218392,0.015150, 0.223355,0.025999, 0.228549,0.014181, 0.203087,0.017333, 0.225161,1.587337
35,0.054338, 0.235466,0.039244, 0.245278,0.022972, 0.232595,0.018113, 0.188373,0.013081, 0.205084,0.017229, 0.231590,0.022972, 0.232595,0.017229, 0.223838,1.589639
36,0.028013, 0.233373,0.032248, 0.254452,0.032248, 0.216775,0.021498, 0.202861,0.040784, 0.231108,0.016124, 0.212164,0.028013, 0.233034,0.014332, 0.202973,1.573481
37,0.076403, 0.259225,0.032744, 0.191008,0.021488, 0.174399,0.025468, 0.198873,0.014326, 0.179070,0.038202, 0.184641,0.076403, 0.279438,0.038202, 0.210109,1.353528
38,0.068410, 0.258436,0.041806, 0.229932,0.041806, 0.236900,0.041806, 0.212830,0.020903, 0.162305,0.041806, 0.212830,0.013935, 0.191815,0.020903, 0.203576,1.417251
39,0.050382, 0.214122,0.036887, 0.231858,0.034427, 0.218040,0.018443, 0.198620,0.022952, 0.210641,0.018443, 0.221319,0.034427, 0.229516,0.025191, 0.234732,1.517696
40,0.033721, 0.202327,0.050582, 0.264149,0.014226, 0.188373,0.018773, 0.227618,0.028159, 0.241844,0.028159, 0.222560,0.033721, 0.239290,0.014079, 0.192419,1.557160
41,0.046396, 0.241079,0.015465, 0.205214,0.023198, 0.237930,0.028998, 0.226826,0.011746, 0.211361,0.015465, 0.222316,0.019332, 0.214363,0.028998, 0.251313,1.620803
42,0.034062, 0.190980,0.049001, 0.257258,0.034062, 0.226789,0.034062, 0.226789,0.034062, 0.226789,0.017031, 0.183907,0.022708, 0.227080,0.017031, 0.218389,1.515961
43,0.049815, 0.249077,0.039071, 0.207564,0.033210, 0.232471,0.016605, 0.205122,0.026219, 0.235428,0.030708, 0.209451,0.016605, 0.206132,0.026219, 0.216303,1.523096
44,0.073568, 0.272141,0.073568, 0.253400,0.037681, 0.214573,0.021457, 0.179122,0.019073, 0.201328,0.025121, 0.206870,0.012715, 0.166609,0.036784, 0.205990,1.400066
