No.,tL,tR
true,0.943396,1.063830
0,1.000000,1.000000
1,1.000000,1.000000
2,1.000000,1.000000
3,1.000000,1.000001
4,0.981926,1.018752
5,0.955747,1.048550
6,0.990148,1.010051
7,0.977611,1.023439
8,0.952963,1.051923
9,0.983929,1.016604
10,1.000000,1.000000
11,0.967392,1.034883
12,0.984688,1.015795
13,0.999999,1.000000
14,0.982769,1.017847
15,0.976242,1.024942
16,1.000000,1.000000
17,0.945847,1.060731
18,0.953390,1.051402
19,0.974927,1.026397
20,0.962281,1.040797
21,0.983929,1.016604
22,0.958481,1.045278
23,0.988184,1.012103
24,0.993140,1.006954
25,0.954124,1.050511
26,0.945847,1.060731
27,0.986921,1.013430
28,1.000000,1.000000
29,1.000000,1.000000
30,1.000000,1.000000
31,0.963095,1.039845
32,0.945847,1.060731
33,1.000000,1.000001
34,1.000000,1.000000
35,1.000000,1.000000
36,0.978874,1.022060
37,0.950263,1.055231
38,0.981926,1.018752
39,0.976610,1.024538
40,0.999999,1.000000
41,0.945847,1.060731
42,1.000000,1.000000
43,0.992082,1.008046
44,0.999999,1.000000
45,0.973000,1.028540
46,0.962298,1.040776
47,0.980823,1.019942
48,1.000000,1.000000
49,0.962281,1.040797
50,1.000000,1.000000
51,0.948149,1.057852
52,0.999999,1.000000
53,0.945847,1.060731
54,0.997215,1.002802
55,1.000000,1.000000
56,1.000000,1.000000
57,1.000000,1.000000
58,0.991251,1.008906
59,0.983926,1.016607
60,1.000000,1.000001
61,0.941922,1.065712
62,0.924174,1.089379
63,0.945847,1.060731
64,0.984688,1.015795
65,0.984450,1.016048
66,0.982769,1.017847
67,0.999999,1.000000
68,0.928797,1.083027
69,1.000000,1.000000
70,0.959068,1.044582
71,0.983926,1.016607
72,0.981270,1.019457
73,0.999999,1.000000
74,0.928184,1.083863
75,0.945422,1.061267
76,0.975434,1.025835
77,1.000000,1.000000
78,0.982258,1.018394
79,1.000000,1.000000
80,1.000000,1.000000
81,0.975434,1.025835
82,0.999999,1.000000
83,1.000000,1.000000
84,1.000000,1.000000
85,1.000000,1.000000
86,0.979054,1.021863
87,0.999999,1.000000
88,0.928184,1.083863
89,1.000000,1.000000
90,1.000000,1.000000
91,0.962851,1.040131
92,0.958288,1.045508
93,0.991251,1.008906
94,1.000000,1.000000
95,0.992082,1.008046
96,0.962298,1.040776
97,0.962281,1.040797
98,0.999999,1.000000
99,0.928184,1.083863
100,0.967392,1.034883
101,1.000000,1.000000
102,0.999999,1.000000
103,0.982769,1.017847
