ó^Ç¶ÇΩèdóvìx,0.320000,0.380000,0.240000,0.320000,0.160000,0.280000,0.080000,0.220000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],ãÊä‘ïùÇÃëçòa
1,0.329997, 0.329997,0.329997, 0.329997,0.199582, 0.199582,0.140424, 0.140424,0.000000
2,0.371314, 0.371314,0.279705, 0.279705,0.216194, 0.216194,0.132788, 0.132788,0.000000
3,0.346541, 0.346541,0.246266, 0.246266,0.203596, 0.203596,0.203596, 0.203596,0.000000
4,0.378489, 0.378489,0.230429, 0.230429,0.230429, 0.230429,0.160654, 0.160654,0.000000
5,0.365855, 0.365855,0.277772, 0.277772,0.232558, 0.232558,0.123815, 0.123815,0.000000
6,0.371760, 0.371760,0.241359, 0.241359,0.233518, 0.233518,0.153364, 0.153364,0.000000
7,0.418092, 0.418092,0.249691, 0.249691,0.222594, 0.222594,0.109623, 0.109623,0.000000
8,0.425785, 0.425785,0.231234, 0.231234,0.194551, 0.194551,0.148431, 0.148431,0.000000
9,0.364727, 0.364727,0.308250, 0.308250,0.254253, 0.254253,0.072769, 0.072769,0.000000
10,0.328937, 0.328937,0.316503, 0.316503,0.202901, 0.202901,0.151658, 0.151658,0.000000
11,0.308861, 0.308861,0.240699, 0.240699,0.308861, 0.308861,0.141579, 0.141579,0.000000
12,0.301540, 0.301540,0.358407, 0.358407,0.230062, 0.230062,0.109991, 0.109991,0.000000
13,0.324362, 0.324362,0.272901, 0.272901,0.298632, 0.298632,0.104105, 0.104105,0.000000
14,0.304999, 0.304999,0.304999, 0.304999,0.276859, 0.276859,0.113143, 0.113143,0.000000
15,0.337353, 0.337353,0.273455, 0.273455,0.263114, 0.263114,0.126078, 0.126078,0.000000
16,0.394132, 0.394132,0.238920, 0.238920,0.225606, 0.225606,0.141343, 0.141343,0.000000
17,0.308861, 0.308861,0.240699, 0.240699,0.308861, 0.308861,0.141579, 0.141579,0.000000
18,0.367727, 0.367727,0.281878, 0.281878,0.199974, 0.199974,0.150420, 0.150420,0.000000
19,0.388870, 0.388870,0.299478, 0.299478,0.188111, 0.188111,0.123541, 0.123541,0.000000
20,0.342729, 0.342729,0.238919, 0.238919,0.273522, 0.273522,0.144830, 0.144830,0.000000
21,0.333286, 0.333286,0.306455, 0.306455,0.234906, 0.234906,0.125353, 0.125353,0.000000
22,0.328937, 0.328937,0.316503, 0.316503,0.202901, 0.202901,0.151658, 0.151658,0.000000
23,0.327301, 0.327301,0.316655, 0.316655,0.252063, 0.252063,0.103981, 0.103981,0.000000
24,0.356909, 0.356909,0.308463, 0.308463,0.199509, 0.199509,0.135119, 0.135119,0.000000
25,0.340655, 0.340655,0.292876, 0.292876,0.268987, 0.268987,0.097482, 0.097482,0.000000
26,0.380435, 0.380435,0.269895, 0.269895,0.248159, 0.248159,0.101511, 0.101511,0.000000
27,0.367727, 0.367727,0.281878, 0.281878,0.199974, 0.199974,0.150420, 0.150420,0.000000
28,0.416905, 0.416905,0.257163, 0.257163,0.192216, 0.192216,0.133715, 0.133715,0.000000
29,0.333333, 0.333333,0.333333, 0.333333,0.166667, 0.166667,0.166667, 0.166667,0.000000
30,0.376866, 0.376866,0.320737, 0.320737,0.188433, 0.188433,0.113964, 0.113964,0.000000
31,0.276859, 0.276859,0.304999, 0.304999,0.304999, 0.304999,0.113144, 0.113144,0.000000
32,0.319122, 0.319122,0.242838, 0.242838,0.280980, 0.280980,0.157060, 0.157060,0.000000
33,0.367727, 0.367727,0.281878, 0.281878,0.199974, 0.199974,0.150420, 0.150420,0.000000
34,0.285714, 0.285714,0.285714, 0.285714,0.285714, 0.285714,0.142857, 0.142857,0.000000
35,0.294638, 0.294638,0.356393, 0.356393,0.250756, 0.250756,0.098213, 0.098213,0.000000
36,0.320042, 0.320042,0.320042, 0.320042,0.242741, 0.242741,0.117175, 0.117175,0.000000
37,0.320281, 0.320281,0.339177, 0.339177,0.200662, 0.200662,0.139880, 0.139880,0.000000
38,0.346196, 0.346196,0.285545, 0.285545,0.204809, 0.204809,0.163451, 0.163451,0.000000
39,0.365855, 0.365855,0.277772, 0.277772,0.232558, 0.232558,0.123815, 0.123815,0.000000
40,0.424862, 0.424862,0.270067, 0.270067,0.161286, 0.161286,0.143784, 0.143784,0.000000
