ó^Ç¶ÇΩèdóvìx,0.280000,0.420000,0.220000,0.340000,0.180000,0.260000,0.120000,0.180000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],ãÊä‘ïùÇÃëçòa
1,0.321631, 0.338363,0.321631, 0.338363,0.164999, 0.234165,0.105841, 0.175007,0.171796
2,0.356439, 0.356439,0.289756, 0.361706,0.178219, 0.208928,0.101002, 0.147511,0.149168
3,0.400000, 0.400001,0.200000, 0.200000,0.200000, 0.200000,0.200000, 0.200000,0.000003
4,0.235338, 0.478673,0.184981, 0.285694,0.184981, 0.285694,0.050652, 0.293987,0.688097
5,0.280849, 0.398566,0.274475, 0.287222,0.180161, 0.297879,0.124788, 0.156060,0.279454
6,0.242639, 0.443653,0.150543, 0.334734,0.142140, 0.343146,0.091882, 0.251264,0.745593
7,0.324311, 0.457256,0.226079, 0.287455,0.223531, 0.228628,0.088036, 0.164704,0.276087
8,0.384203, 0.406208,0.197603, 0.280437,0.187584, 0.207621,0.126756, 0.209589,0.207711
9,0.252429, 0.473597,0.181506, 0.422465,0.094953, 0.363013,0.091033, 0.121004,0.760157
10,0.298794, 0.359081,0.235117, 0.397890,0.129766, 0.276036,0.118990, 0.184325,0.434664
11,0.280980, 0.357264,0.195033, 0.290643,0.273733, 0.288227,0.109425, 0.204696,0.281658
12,0.244674, 0.358407,0.329974, 0.386840,0.179203, 0.280920,0.100513, 0.119469,0.291271
13,0.280368, 0.343664,0.262088, 0.298647,0.262088, 0.298647,0.095601, 0.158897,0.199711
14,0.304188, 0.427521,0.195745, 0.269372,0.215324, 0.340220,0.107362, 0.140268,0.354764
15,0.280849, 0.398566,0.274475, 0.287222,0.180161, 0.297879,0.124788, 0.156060,0.279454
16,0.276484, 0.467036,0.150945, 0.331773,0.183271, 0.283765,0.093213, 0.213514,0.592174
17,0.280980, 0.357264,0.195033, 0.290643,0.273733, 0.288227,0.109425, 0.204696,0.281658
18,0.285416, 0.450039,0.209399, 0.354357,0.130374, 0.269575,0.100737, 0.200103,0.548148
19,0.296200, 0.484848,0.195262, 0.357027,0.154932, 0.235591,0.073936, 0.202204,0.559340
20,0.280980, 0.357264,0.195033, 0.290643,0.273733, 0.288227,0.109425, 0.204696,0.281658
21,0.344665, 0.445742,0.222871, 0.241502,0.222871, 0.241502,0.108516, 0.172332,0.202155
22,0.361654, 0.414370,0.194006, 0.339577,0.171260, 0.216751,0.078405, 0.223976,0.389349
23,0.253010, 0.413562,0.263030, 0.349879,0.174492, 0.295320,0.091771, 0.158936,0.435393
24,0.273737, 0.288220,0.280978, 0.357258,0.195043, 0.290634,0.109430, 0.204699,0.281622
25,0.280368, 0.343664,0.262088, 0.298647,0.262088, 0.298647,0.095601, 0.158897,0.199711
