No.,tL,tR
true,0.943396,1.063830
0,1.000000,1.000000
1,0.871161,1.173562
2,1.000000,1.000000
3,0.887097,1.145832
4,0.917487,1.098819
5,0.885522,1.148471
6,0.912804,1.105614
7,0.928572,1.083333
8,0.854131,1.205951
9,0.889683,1.141547
10,0.904256,1.118422
11,0.918368,1.097561
12,0.961538,1.041666
13,0.914430,1.103238
14,0.917487,1.098819
15,0.853908,1.206402
16,0.904256,1.118422
17,0.891157,1.139130
18,0.882000,1.154449
19,0.904256,1.118422
20,0.923948,1.089694
21,0.905406,1.116668
22,0.896686,1.130222
23,0.889683,1.141547
24,0.961538,1.041666
25,0.914430,1.103238
26,0.888725,1.143130
27,0.921769,1.092742
28,1.000000,1.000000
29,0.946513,1.059897
30,1.000000,1.000001
31,0.913793,1.104166
32,0.928572,1.083333
33,0.917487,1.098819
34,0.917487,1.098819
35,0.939025,1.069446
36,0.889683,1.141547
37,0.858732,1.196898
38,0.917487,1.098819
39,0.927651,1.084590
40,1.000000,1.000000
41,0.891157,1.139130
42,0.927651,1.084590
43,0.955697,1.048610
44,0.909875,1.109943
45,0.892362,1.137169
46,0.889683,1.141547
47,0.905064,1.117189
48,0.906454,1.115077
49,0.917487,1.098819
50,1.000000,1.000000
51,0.896686,1.130222
52,0.917487,1.098819
53,0.891157,1.139130
54,0.955697,1.048610
55,0.908164,1.112498
56,0.928572,1.083333
57,0.928572,1.083333
58,0.946513,1.059897
59,0.889683,1.141547
60,0.917487,1.098819
61,0.901612,1.122491
62,0.885522,1.148471
63,0.891157,1.139130
64,0.961538,1.041666
65,0.915583,1.101564
66,0.917487,1.098819
67,0.913793,1.104166
68,0.870299,1.175130
69,0.910123,1.109571
70,0.908164,1.112498
71,0.910123,1.109571
72,0.896686,1.130222
73,0.955697,1.048610
74,0.885522,1.148471
75,0.860813,1.192880
76,0.939025,1.069446
77,0.871161,1.173562
78,0.892318,1.137239
79,1.000000,1.000000
80,0.889683,1.141547
81,0.939025,1.069446
82,0.910123,1.109571
83,0.884000,1.151042
84,0.871161,1.173562
85,0.948799,1.057043
86,0.918368,1.097561
87,0.910123,1.109571
88,0.885522,1.148471
89,0.961538,1.041666
90,1.000000,1.000000
91,0.924528,1.088889
92,0.892362,1.137169
93,0.946513,1.059897
94,0.914430,1.103238
95,0.955697,1.048610
96,0.896686,1.130222
97,0.910123,1.109571
98,0.905064,1.117189
99,0.885522,1.148471
100,0.860813,1.192880
101,0.939025,1.069446
102,0.927651,1.084590
103,0.917487,1.098819
