ó^Ç¶ÇΩèdóvìx,0.270000,0.330000,0.210000,0.290000,0.150000,0.250000,0.090000,0.210000,0.030000,0.170000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],ãÊä‘ïùÇÃëçòa
1,0.286481, 0.316483,0.254802, 0.286481,0.158241, 0.254802,0.127401, 0.180197,0.034086, 0.101026,0.277978
2,0.293157, 0.329268,0.185906, 0.293157,0.139819, 0.210906,0.109756, 0.190254,0.082317, 0.165460,0.378090
3,0.332046, 0.368725,0.184362, 0.223251,0.184362, 0.226029,0.092181, 0.175114,0.047907, 0.166023,0.318283
4,0.280080, 0.307858,0.254208, 0.289103,0.153929, 0.254208,0.118013, 0.167313,0.048184, 0.127104,0.291171
5,0.372947, 0.402144,0.184251, 0.216776,0.184251, 0.214756,0.100536, 0.184251,0.033099, 0.106988,0.249831
6,0.292857, 0.341005,0.235441, 0.295887,0.168651, 0.243377,0.058860, 0.193212,0.032989, 0.137720,0.422405
7,0.244360, 0.281397,0.244360, 0.281397,0.204608, 0.244360,0.081453, 0.204608,0.068203, 0.145257,0.314034
8,0.350256, 0.396622,0.198311, 0.247200,0.115822, 0.199370,0.064437, 0.198878,0.039874, 0.189231,0.462601
9,0.293062, 0.327544,0.225564, 0.293062,0.163772, 0.227945,0.105733, 0.188637,0.045808, 0.128874,0.332123
10,0.283564, 0.311846,0.248097, 0.283564,0.155923, 0.248097,0.102602, 0.178650,0.062024, 0.125632,0.295580
11,0.310612, 0.326862,0.284082, 0.310612,0.155306, 0.169751,0.155306, 0.171556,0.021219, 0.094694,0.146950
12,0.295304, 0.339748,0.204610, 0.295304,0.134970, 0.205413,0.113249, 0.214548,0.042186, 0.154667,0.419361
13,0.291071, 0.308214,0.291071, 0.308214,0.139286, 0.162679,0.139286, 0.162679,0.058214, 0.139286,0.162143
14,0.285836, 0.327394,0.163697, 0.250136,0.250136, 0.285836,0.095279, 0.194000,0.027793, 0.119894,0.354520
15,0.235759, 0.282744,0.235759, 0.272682,0.235759, 0.276784,0.094248, 0.235759,0.030298, 0.100208,0.336355
16,0.286619, 0.322517,0.215201, 0.286619,0.161258, 0.228442,0.073249, 0.137645,0.073249, 0.215201,0.380848
17,0.247883, 0.298677,0.238792, 0.296368,0.122509, 0.247883,0.099559, 0.248730,0.038009, 0.161590,0.506495
18,0.283923, 0.319289,0.251231, 0.283923,0.159645, 0.251231,0.125616, 0.177987,0.036422, 0.110733,0.286326
19,0.209308, 0.284779,0.279223, 0.321159,0.160579, 0.224933,0.075069, 0.209308,0.074978, 0.160664,0.401686
20,0.293569, 0.329163,0.204444, 0.293569,0.164581, 0.221835,0.102578, 0.211587,0.046763, 0.131911,0.376129
21,0.241415, 0.298780,0.257873, 0.299236,0.149618, 0.251415,0.083805, 0.257873,0.042979, 0.117005,0.448619
22,0.247570, 0.289792,0.247570, 0.287076,0.198999, 0.250745,0.089931, 0.157118,0.032199, 0.198999,0.367462
23,0.291618, 0.329768,0.164884, 0.225443,0.212400, 0.291618,0.070800, 0.212400,0.061759, 0.139311,0.397079
24,0.300530, 0.315768,0.315768, 0.336281,0.157884, 0.182134,0.087067, 0.150265,0.056711, 0.097593,0.164081
25,0.293956, 0.331603,0.210918, 0.293956,0.165801, 0.230362,0.093178, 0.210918,0.036845, 0.132464,0.398604
26,0.256634, 0.286364,0.256634, 0.293557,0.210839, 0.256634,0.093653, 0.210839,0.040568, 0.094280,0.283346
27,0.356227, 0.386858,0.193429, 0.232677,0.116338, 0.204050,0.077559, 0.143742,0.098104, 0.191017,0.316687
28,0.290883, 0.325366,0.228952, 0.290883,0.162683, 0.231333,0.105007, 0.192534,0.041790, 0.130568,0.341369
29,0.270937, 0.307301,0.237171, 0.270937,0.153650, 0.237171,0.135469, 0.193650,0.047434, 0.146279,0.310677
30,0.387895, 0.423046,0.193947, 0.220311,0.172568, 0.204292,0.073437, 0.172568,0.040858, 0.111076,0.262588
